NON $ % + - . 0 1 2 3 4 5 6 7 8 9 : ;
#NON	i	c	e	q	g	d	p	h	f	o	a	n	l	m	k	b	j
0.0	0.7204641434355266	0.21408092333605044	0.707992769112646	0.8457990788292936	0.9978679756881408	0.8794718450531527	0.014110611151233687	0.42389664470506583	0.10639254631461537	0.11705636311433809	0.3907809255190723	0.9713339019058262	0.2592211479373858	0.8959685883430774	0.8352660150760601	0.6588667655674535	0.6974646000148418
0.5050505050505051	0.5069992885342575	0.14138919239471412	0.3073017771412348	0.40452466924990693	0.5079552438052974	0.49363386687227173	0.08264680259657983	0.1880488615587302	0.06736609352306269	0.06094547638890076	0.2219366510690889	0.4029381226328919	0.22382737307636202	0.6302311899906594	0.21518924890355862	0.31843887482026595	0.513817855842835
1.0101010101010102	0.3863057667426527	0.11807741866483153	0.14288170675781237	0.22847071606768138	0.3127023348628769	0.38102080232676	0.11460634959080222	0.12547771614585745	0.047137909110586976	0.03737274853471928	0.13179389022994992	0.24048015853657473	0.20351900039541793	0.47215920076758355	0.07340485717118472	0.2168206758272156	0.4060940381974121
1.5151515151515151	0.3201709099792013	0.11071257733954583	0.0750447059114243	0.15796188481785037	0.23472936531552216	0.3393971653030557	0.12955425295153913	0.10903748285711101	0.03621900308500758	0.027226376331354333	0.08322198653636634	0.19582791616044043	0.19186021064207667	0.3771184126857572	0.04110927319312566	0.18715560255308888	0.34553214840367147
2.0202020202020203	0.2846003177087713	0.10842020198992196	0.04709495259777813	0.12954757965044705	0.20345934604786575	0.32005154561915333	0.13652612793918265	0.10478304195949717	0.03032133897445513	0.022876645953745486	0.05706613093664255	0.1846905356144218	0.18513512103581192	0.319759543526677	0.03397076975218502	0.17885958211838282	0.3123184293285772
2.5252525252525255	0.2654761846105077	0.1076983872369638	0.03561308536202841	0.11797776368184183	0.1908136585495104	0.3098228589678829	0.13974008522370113	0.1036881755663077	0.02714336323358773	0.02103190879000403	0.04299645021806216	0.18231246044562868	0.18122179140015088	0.2851850503284107	0.032519358318264274	0.17672026494987547	0.29413755869603075
3.0303030303030303	0.2550456896793474	0.10745226797810369	0.03091006998431878	0.11319028922510453	0.18562727486133684	0.30412480654930235	0.14119088307211466	0.1033927051544987	0.02543030843656879	0.020258084581219603	0.03543016278545733	0.18182529869566463	0.17892238389037174	0.26440772922692707	0.03228854114000858	0.17626173102659964	0.28402663184342836
3.5353535353535355	0.24923463511480873	0.10735315885517618	0.028987734975772464	0.11116344414200188	0.18345575309829465	0.300874914583468	0.1418262231409848	0.10329849102971127	0.024503952767751618	0.019936043247861808	0.031359201957287905	0.18160534417153257	0.17756050705773105	0.25195548722684036	0.032284554931204114	0.17621879265518786	0.2782692766230835
4.040404040404041	0.24592802183876109	0.10730500014223417	0.02820249898233884	0.11027935194481045	0.18252132407063607	0.29898980875094794	0.14209304911684753	0.10325919875652108	0.02400049176033386	0.019802315618027498	0.0291667119705442	0.18139502538120522	0.17674979230456844	0.2445045998129097	0.03230469699717947	0.17625669784589842	0.27491538764284945
4.545454545454546	0.24401288148259997	0.10727873367108183	0.02788129666819357	0.10987968187804137	0.18210575625455092	0.2978798697563873	0.1421985607496955	0.10323908282123721	0.023725279154226897	0.01974643027162795	0.02798448299567624	0.18120209881643923	0.17626608055813572	0.2400485915783105	0.032317351854783	0.17629714893328435	0.2729258495568558
5.050505050505051	0.24288836056407206	0.10726403840520161	0.027749378442472928	0.1096918200710875	0.18191418443378488	0.29721789377382074	0.1422364898752652	0.10322819108006404	0.0235739775430568	0.019722658093469538	0.027346222756972353	0.181048042070792	0.1759775087672856	0.23738278430968815	0.03232280169139264	0.17632707857230778	0.2717300464845975
5.555555555555556	0.24222126932549265	0.10725612328595097	0.027694820936844312	0.10960007936954444	0.18182275184902322	0.29681903412469723	0.14224788676976388	0.10322260841771695	0.02349038528936468	0.019712238295879588	0.027001264801609234	0.18093621508838942	0.17580572268933986	0.23578649932660442	0.03232455787263102	0.17634755256149076	0.2710047732678516
6.0606060606060606	0.2418225096853641	0.10725223421365586	0.027672035711003847	0.10955376891909463	0.1817778341682348	0.2965768684957937	0.14224994845285863	0.10322016014644021	0.023444029080418913	0.019707490140481437	0.02681466832033239	0.18085972565889744	0.17570386493993403	0.23482939353136528	0.03232485825120302	0.1763614072332634	0.270562185083343
6.565656565656566	0.2415827886854592	0.10725065684210168	0.02766242144611024	0.10952981896833733	0.18175536166707862	0.2964290353707909	0.14224940859370833	0.1032194748891093	0.02341826893204971	0.01970524380315731	0.026713688225352535	0.18080930025210643	0.1756438214212532	0.23425464690432943	0.032324742119373244	0.17637086512753364	0.27029099771379805
7.070707070707071	0.24143804769015909	0.10725032688664858	0.027658336026540012	0.10951726928677663	0.18174407551816296	0.29633844441506785	0.14224861383053247	0.10321969492936958	0.02340395324615773	0.019704157548540713	0.02665904371454479	0.18077681080643826	0.17560870553879165	0.2339089334569989	0.03232459861064182	0.17637739808462546	0.27012437491059493
