NON $ % + - . 0 1 2 3 4 5 6 7 8 9 : ; < >
#NON	q	g	e	b	f	d	l	m	h	o	j	c	p	k	r	i	n	a	s
0.0	0.9223324104067079	0.5489632621914796	0.3306191268522125	0.42864926184689445	0.26354238085560977	0.4101833353672839	0.6309145049480405	0.5369008106123411	0.29199457754365366	0.9719569538508528	0.11471744444434873	0.33267225896630437	0.7086126890954099	0.37230475920306405	0.9809522553748785	0.1578605297846275	0.531165667986324	0.6555551442626241	0.3885078882553147
0.5050505050505051	0.2825151228816966	0.4132580597851359	0.1699342747794445	0.3705673673644175	0.31212705160613574	0.23204516204649372	0.40523892391634647	0.16818397625821319	0.21328399217932337	0.5478434814235755	0.15879017407243703	0.33208850314524174	0.3196971108969023	0.12387979249326309	0.5134840430260426	0.19431742308969874	0.3279006090505998	0.23590699579590493	0.17478594425255645
1.0101010101010102	0.09816898378966504	0.29897908872985973	0.08736187403070979	0.2993630712294756	0.2780030328650029	0.1654197942868739	0.26826292751953945	0.06185183540530555	0.1557797623950131	0.3370118175349845	0.13923273887102422	0.2612705201804729	0.21312915949795447	0.04785718911095307	0.2912323433576088	0.1773826774128065	0.24237558213138388	0.09146111689923528	0.08894340079561157
1.5151515151515151	0.039455004948934835	0.21281146506225293	0.0451015979532535	0.23305515156348636	0.2211151404962134	0.1352402433499285	0.1793208333270399	0.026752821916130497	0.11133924661166866	0.2196413404570834	0.10551812488552853	0.18615152495263446	0.17754418099368152	0.021269432702419874	0.17483192627874475	0.14333256171580466	0.20156170784476135	0.03836524434251538	0.04848476328914538
2.0202020202020203	0.018140379229079427	0.15235192083433916	0.023484139939346747	0.17855510943166736	0.16736490850865787	0.11638835716775793	0.12053797781835743	0.013142850910084564	0.07893236544759409	0.1485660217642661	0.07536120901010955	0.12757201542577107	0.1586695784072907	0.010528901516883755	0.10926309087269237	0.10934057878671574	0.17714549979814534	0.017355576541619233	0.027469892153358988
2.5252525252525255	0.009249140657302191	0.11121128529591974	0.01238467393075204	0.13646813316466572	0.12438203830847647	0.10135868125807339	0.08168345068124588	0.007026479822259783	0.05627129338597447	0.10321612885990519	0.05273187954801577	0.08679668048033436	0.1436187482206777	0.005612716226980075	0.0704998561464644	0.08132448506480527	0.15890306766342055	0.008392786782686623	0.015974671821300673
3.0303030303030303	0.005066148492054125	0.08315053776407444	0.006639648322415203	0.1048634718928878	0.09223150619518415	0.08827764149724501	0.05600671047173402	0.0039642633368735134	0.04064263032558198	0.07329872340287479	0.03687261318555278	0.05958829092937919	0.12988197937669782	0.0031464189217413215	0.04677459984351743	0.06003481461110942	0.14344707792541214	0.004291685855747988	0.009493710343728878
3.5353535353535355	0.0029138671678292107	0.06358677144181768	0.0036297444273276865	0.08132592254747305	0.06878288667826132	0.07677984657680043	0.038959239289695684	0.0023195648775920946	0.02981170741915177	0.053061766824841435	0.02602093176266718	0.04157700737012098	0.11721647894363044	0.0018290151830641188	0.03182462967830702	0.04442481306768559	0.1297456775616015	0.0022970942560953077	0.005756379298108431
4.040404040404041	0.0017353896644275875	0.04954714979178593	0.002027742168932266	0.06375146387739754	0.05177393828308889	0.06676926573751789	0.02753109935739585	0.001394805516904615	0.02220059188095101	0.039073886704944466	0.0186110068562911	0.02954613822046541	0.1056941812712407	0.0010937150102625927	0.022148487872904556	0.03312411056526981	0.11747969400947081	0.0012762002430932939	0.00355703507470772
4.545454545454546	0.0010614463118847174	0.03918861887318527	0.0011589777752845105	0.050522834528753474	0.039384761346162714	0.058134554618285414	0.019767742170502235	0.0008576981758588424	0.01676173264166793	0.029213140941473533	0.013506392725544342	0.02137531065403037	0.09533184562659136	0.000669565229181009	0.015726623784143728	0.024945446466471236	0.10650531322651162	0.0007312212858672392	0.0022374333342456377
5.050505050505051	0.0006634887285632924	0.031366923539559055	0.0006779316636936652	0.040459593030532884	0.03028232761450039	0.05072670998112265	0.014412815893557142	0.0005377240621107332	0.012810691208916128	0.02213571802648367	0.00994152801879716	0.015719200919942646	0.08607506740364458	0.0004183150222452776	0.011364845020656074	0.018988552939017196	0.09670652616799917	0.0004300045444948612	0.0014308722703186868
