NON $ % + - . 0 1 2 3 4 5 6 7 8 9
#NON	c	f	h	i	a	d	j	n	l	g	b	k	m	e	o
0.0	0.6525860409744881	0.6507291941907188	0.7195010906568192	0.46501068508697063	0.7896234159779043	0.9147441477814707	0.9916930338274544	0.3223988898694017	0.3867799893407248	0.9668968598376094	0.7913654366549878	0.34548284117659234	0.3406053766456777	0.7108810945489603	0.2688052838281211
0.5050505050505051	0.43533975700353017	0.3059236870143096	0.57777545656615	0.3883396496176553	0.4983557149473136	0.4510709730993202	0.5766730992479104	0.1478543221177783	0.23628419964269498	0.5477843089617862	0.473346692981321	0.11469360785583309	0.2538904555478427	0.4102549735719587	0.1969018208265387
1.0101010101010102	0.3108279699064028	0.14779307752888296	0.4696597277255348	0.32570784265311636	0.34012518358614796	0.22703811142368066	0.33727851116013435	0.07027899065212008	0.17914113986087077	0.3908202554678813	0.3386148765221849	0.04565990246579011	0.2156056693500286	0.23717069657296452	0.17003112077311405
1.5151515151515151	0.233945111242999	0.07479627307028523	0.3838360060009769	0.27267088208568274	0.2453037783065898	0.11830534764574943	0.19978502295764777	0.035580781550380323	0.15976004326844195	0.30939613036222047	0.2628404937892423	0.022653729425359707	0.20136677714117016	0.13814289586542955	0.1615702000037126
2.0202020202020203	0.1821173104858954	0.04088039124361711	0.314309206418473	0.22766903114148182	0.18334996153587232	0.06532659377424747	0.1211950969464707	0.019939242177833095	0.15663723586797476	0.2537444206231309	0.21024042443893048	0.014068969423330836	0.19991292343386577	0.08178547180987145	0.1618906497639069
2.5252525252525255	0.14452141418986733	0.0250592100064252	0.2578797713394661	0.1901847241803793	0.1405187904641824	0.03946802371960136	0.07652555174651737	0.012841176266551138	0.16051639307960996	0.21093495269449963	0.17049226100912693	0.010563894974458464	0.20484921470946127	0.0498724964310432	0.16623614541866477
3.0303030303030303	0.1161176715827493	0.017694595521695427	0.21268856296712227	0.1599418527203681	0.11022257137870398	0.0268782511938928	0.05131406746244459	0.009622143741234082	0.16697798056186378	0.17762656558983672	0.14032186183236361	0.009074820112631674	0.2123018850076586	0.03190075437998486	0.17193000172651351
3.5353535353535355	0.09449906290831699	0.014313745227191185	0.17739531422666754	0.1365492061547528	0.08889693016922422	0.020807949472976078	0.03721521353919683	0.00818889353899858	0.17378415627449975	0.15263344176030583	0.11817722675857027	0.008465128405246857	0.22002052913961043	0.021848559823194707	0.17751000266918895
4.040404040404041	0.0783227919621498	0.012815035251246948	0.1507357348499623	0.11934009658627383	0.07424727281230825	0.01794258977135629	0.029426164540622177	0.007584713546510435	0.17982433301959772	0.1349138199540272	0.10273585610460248	0.008257028726241417	0.22683743928009276	0.016275198091928015	0.18227435503505462
4.545454545454546	0.06659427577338246	0.012198806512372984	0.13134044461571423	0.10735288713169173	0.0645401868262663	0.016643161711260204	0.025191077861870168	0.007362723332064883	0.18464367564010453	0.1231381437952255	0.09258384915772755	0.008228861736561675	0.23228578156247706	0.013220005131758661	0.18598717539829226
5.050505050505051	0.05840548796392526	0.011985661033224937	0.11775450025473747	0.09944842881600312	0.05836760372335999	0.016096151747632043	0.022935523603757803	0.007310468073718527	0.1881888139443931	0.11580483086706682	0.08629614634302452	0.008272579832693517	0.23632588904128565	0.011569309272192997	0.18868210452391038
5.555555555555556	0.05290206051689224	0.01194607489354641	0.1085678931116726	0.09449898687679846	0.05460326200003482	0.015898795417281106	0.021766123823476476	0.007326651320159532	0.19062900431895055	0.1115076476241019	0.08261624306985105	0.008336059262786834	0.23914499001758807	0.010693573084637645	0.19052623349381428
