NON $ % + -
#NON	b	a	c	d
0.0	0.86287945948441	0.6844483594990478	0.25574155001383325	0.10434788626701608
0.5050505050505051	0.4433902201743033	0.36540550912191805	0.1849662490195215	0.21023572735824594
1.0101010101010102	0.25904586926217016	0.2530467759998384	0.1477415036018533	0.23344740357632654
1.5151515151515151	0.1723246051675549	0.2035573974241801	0.1251117014135176	0.22404822751798534
2.0202020202020203	0.12878347537764614	0.17691059816381832	0.1101703368698213	0.2059218529242748
2.5252525252525255	0.10570941088179997	0.16097016392774446	0.09977531196199607	0.18873179496889675
3.0303030303030303	0.09297648255922575	0.1511111083560454	0.0923805277886078	0.1753502607009662
3.5353535353535355	0.08575008358670891	0.14500326759117455	0.0871259250646799	0.16587577261276618
4.040404040404041	0.08157281169871923	0.14124942801273582	0.08344494185019141	0.15952684759955418
4.545454545454546	0.07913005130980078	0.13896300616950832	0.08091600423305102	0.15541921759987315
5.050505050505051	0.07769143134031642	0.13758062945842464	0.07921314156807932	0.1528237689779866
5.555555555555556	0.07684055165481553	0.13674933733824537	0.07808767918087048	0.1512105676581224
6.0606060606060606	0.07633600361150598	0.1362512836005865	0.0773559165635831	0.15021953326688098
6.565656565656566	0.07603636585052465	0.13595361229126549	0.07688675521823535	0.14961581929288356
7.070707070707071	0.0758582559424322	0.13577598028867546	0.07658949638713604	0.14925029407782545
7.575757575757576	0.07575232933111373	0.13567008680400267	0.07640301510225736	0.14902997334068502
8.080808080808081	0.07568931009909936	0.13560699850075814	0.07628699719905008	0.1488976118657785
8.585858585858587	0.07565181087446207	0.13556942378604545	0.07621531619633007	0.14881828213875056
9.090909090909092	0.07562949477945922	0.13554705299290393	0.07617128455312318	0.14877082325849636
9.595959595959597	0.07561621416954584	0.13553373115384681	0.07614437116498025	0.1487424685976802
10.101010101010102	0.0756083085036653	0.13552580504803777	0.07612798493438082	0.14872554363703305
10.606060606060607	0.07560360385235793	0.1355210852159591	0.0761180438320066	0.14871544777458004
11.111111111111112	0.07560080318100862	0.13551827262220942	0.076112030633282	0.1487094303207001
11.616161616161618	0.07559913707923789	0.13551660583930028	0.07610840067240426	0.14870584490501337
12.121212121212121	0.07559814522719084	0.13551560923547723	0.07610621586714003	0.1487037089868872
12.626262626262626	0.07559755508335393	0.13551501692333484	0.07610490277901676	0.14870243733962682
13.131313131313131	0.07559720321426912	0.1355146635738879	0.07610411338424715	0.1487016788200077
13.636363636363637	0.07559699382913303	0.13551445344956287	0.07610364019848004	0.14870122729324994
14.141414141414142	0.07559687173309124	0.13551433092762638	0.07610336241930002	0.14870096393136817
14.646464646464647	0.075596796576578	0.13551425556878097	0.07610319095885196	0.1487008018090826
15.151515151515152	0.07559675049181322	0.135514209374014	0.07610308560105726	0.1487007023962377
15.656565656565657	0.07559672428194332	0.13551418302254106	0.07610302509684268	0.14870064583268397
16.161616161616163	0.07559670889494453	0.135514167475641	0.07610298928548132	0.14870061261426865
16.666666666666668	0.07559669997003672	0.13551415846190704	0.07610296849087116	0.1487005933500973
17.171717171717173	0.07559669487264974	0.13551415338918954	0.0761029566022063	0.14870058234876826
17.67676767676768	0.07559669181344406	0.13551415042572246	0.07610294944147752	0.14870057574190665
18.181818181818183	0.07559668993271758	0.1355141486275543	0.07610294502449814	0.14870057167633854
18.68686868686869	0.07559668877935681	0.1355141474776805	0.07610294232735658	0.14870056918493016
19.191919191919194	0.07559668807592845	0.1355141466970305	0.0761029407089188	0.1487005676713975
19.6969696969697	0.07559668764784294	0.1355141461710115	0.07610293974204108	0.14870056675495621
20.202020202020204	0.07559668738563456	0.13551414585962934	0.0761029391459498	0.14870056619326635
20.70707070707071	0.07559668710690032	0.1355141454998392	0.07610293852258165	0.1487005655980665
21.212121212121215	0.07559668691169719	0.13551414526631786	0.07610293807932637	0.14870056517978547
21.71717171717172	0.07559668680002518	0.13551414515906537	0.07610293781618395	0.14870056493842324
22.222222222222225	0.07559668677188429	0.13551414517808175	0.07610293773315441	0.1487005648739798
22.72727272727273	0.07559668682523765	0.1355141453199318	0.07610293782597483	0.1487005649821691
23.232323232323235	0.0755966867854162	0.1355141452900384	0.07610293772908794	0.14870056489544278
23.73737373737374	0.07559668676995765	0.13551414528662742	0.0761029376884833	0.14870056486113015
24.242424242424242	0.07559668677886197	0.13551414530969877	0.07610293770416086	0.14870056487923125
24.747474747474747	0.07559668681212918	0.1355141453592525	0.07610293777612068	0.14870056494974604
25.252525252525253	0.07559668686975927	0.13551414543528859	0.0761029379043627	0.14870056507267457
25.757575757575758	0.0755966868693284	0.1355141454598926	0.07610293789418647	0.14870056506977045
26.262626262626263	0.07559668689179753	0.1355141454803346	0.07610293794757936	0.14870056511842553
26.767676767676768	0.07559668691426667	0.1355141455007766	0.07610293800097225	0.14870056516708058
27.272727272727273	0.07559668693673582	0.13551414552121857	0.07610293805436512	0.14870056521573563
27.77777777777778	0.07559668695920496	0.13551414554166058	0.076102938107758	0.14870056526439068
28.282828282828284	0.07559668696036907	0.13551414554276492	0.07610293811051005	0.148700565266908
28.78787878787879	0.07559668696120359	0.1355141455435701	0.07610293811247867	0.1487005652687116
29.292929292929294	0.0755966869620381	0.1355141455443753	0.07610293811444731	0.14870056527051514
29.7979797979798	0.07559668696287261	0.1355141455451805	0.07610293811641593	0.14870056527231873
30.303030303030305	0.07559668696370712	0.13551414554598568	0.07610293811838456	0.1487005652741223
30.80808080808081	0.07559668696454164	0.13551414554679084	0.07610293812035318	0.14870056527592587
31.313131313131315	0.07559668696537615	0.13551414554759603	0.07610293812232181	0.14870056527772943
31.81818181818182	0.07559668696621068	0.13551414554840122	0.07610293812429043	0.14870056527953301
32.323232323232325	0.07559668696704519	0.1355141455492064	0.07610293812625905	0.14870056528133657
32.82828282828283	0.0755966869678797	0.1355141455500116	0.07610293812822769	0.14870056528314016
33.333333333333336	0.07559668696871422	0.13551414555081678	0.07610293813019631	0.14870056528494371
33.83838383838384	0.07559668696954873	0.13551414555162195	0.07610293813216494	0.1487005652867473
34.343434343434346	0.07559668697038324	0.13551414555242713	0.07610293813413356	0.14870056528855086
34.84848484848485	0.07559668697121776	0.13551414555323232	0.0761029381361022	0.14870056529035444
35.35353535353536	0.07559668697205227	0.1355141455540375	0.07610293813807081	0.148700565292158
35.85858585858586	0.07559668697288678	0.1355141455548427	0.07610293814003943	0.14870056529396158
36.36363636363637	0.0755966869737213	0.1355141455556479	0.07610293814200807	0.14870056529576514
36.86868686868687	0.07559668697455581	0.13551414555645305	0.07610293814397669	0.14870056529756873
37.37373737373738	0.07559668697539032	0.13551414555725824	0.07610293814594532	0.14870056529937228
37.87878787878788	0.07559668697622483	0.13551414555806343	0.07610293814791394	0.14870056530117587
38.38383838383839	0.07559668697705935	0.13551414555886862	0.07610293814988257	0.14870056530297943
38.88888888888889	0.07559668697789386	0.1355141455596738	0.0761029381518512	0.148700565304783
39.3939393939394	0.07559668697872839	0.135514145560479	0.07610293815381983	0.14870056530658657
39.8989898989899	0.0755966869795629	0.13551414556128416	0.07610293815578845	0.14870056530839015
40.40404040404041	0.07559668698039741	0.13551414556208935	0.07610293815775707	0.1487005653101937
40.909090909090914	0.07559668698123193	0.13551414556289454	0.0761029381597257	0.1487005653119973
41.41414141414142	0.07559668698206644	0.13551414556369973	0.07610293816169432	0.14870056531380085
41.919191919191924	0.07559668698290095	0.13551414556450492	0.07610293816366295	0.14870056531560444
42.42424242424243	0.07559668698373546	0.1355141455653101	0.07610293816563157	0.148700565317408
42.929292929292934	0.07559668698456998	0.13551414556611527	0.0761029381676002	0.14870056531921158
43.43434343434344	0.07559668698540449	0.13551414556692046	0.07610293816956883	0.14870056532101514
43.939393939393945	0.075596686986239	0.13551414556772565	0.07610293817153745	0.1487005653228187
44.44444444444445	0.07559668698707352	0.13551414556853084	0.07610293817350608	0.14870056532462228
44.949494949494955	0.07559668698790803	0.13551414556933603	0.0761029381754747	0.14870056532642584
45.45454545454546	0.07559668698874254	0.13551414557014121	0.07610293817744333	0.14870056532822942
45.959595959595966	0.07559668698957706	0.13551414557094638	0.07610293817941195	0.14870056533003298
46.46464646464647	0.07559668699041157	0.13551414557175157	0.07610293818138059	0.14870056533183656
46.969696969696976	0.0755966869912461	0.13551414557255675	0.0761029381833492	0.14870056533364012
47.47474747474748	0.07559668699208061	0.13551414557336194	0.07610293818531784	0.1487005653354437
47.979797979797986	0.07559668699291512	0.13551414557416713	0.07610293818728646	0.14870056533724726
48.484848484848484	0.07559668699374963	0.13551414557497232	0.07610293818925508	0.14870056533905085
48.98989898989899	0.07559668699458415	0.13551414557577748	0.07610293819122371	0.1487005653408544
49.494949494949495	0.07559668699541866	0.13551414557658267	0.07610293819319233	0.148700565342658
50.0	0.07559668699625317	0.13551414557738786	0.07610293819516097	0.14870056534446155
