,,,Slide ID,a,d,b,c
,,,Antibody Name,a,d,b,c
,,,HUGO ID,a,d,b,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.3048321161113099,0.7112485142752871,0.38310968164978665,0.24884518404566747
C1,no,Insulin,0.5050505050505051,0.16778162231974633,0.42968035847259933,0.23446566465885071,0.20448242675956735
C1,no,Insulin,1.0101010101010102,0.09767090934624759,0.28603756567071553,0.1669671269525371,0.16594328509793863
C1,no,Insulin,1.5151515151515151,0.061085527732018,0.20901497236621155,0.1282520685122852,0.1344075393674294
C1,no,Insulin,2.0202020202020203,0.04139268796981367,0.16478557061481316,0.10324332785448148,0.10977135289055893
C1,no,Insulin,2.5252525252525255,0.030357629139492002,0.13734068059129742,0.0864170899035792,0.09119463497464965
C1,no,Insulin,3.0303030303030303,0.0238794989251042,0.11906498130266138,0.07495742032278128,0.07753831837063825
C1,no,Insulin,3.5353535353535355,0.01988691103738518,0.10624598772579635,0.0670865509713314,0.06765872389305869
C1,no,Insulin,4.040404040404041,0.017309949002819416,0.09696631293504233,0.06161365103948223,0.06056616290943271
C1,no,Insulin,4.545454545454546,0.015578645190674097,0.0901391453408817,0.0577470582013589,0.05547945636639251
C1,no,Insulin,5.050505050505051,0.014377343244157258,0.08507991322101549,0.054969143700315755,0.051817707667064554
C1,no,Insulin,5.555555555555556,0.013523177907416565,0.08131930932659899,0.052943202855484386,0.04916468561109033
C1,no,Insulin,6.0606060606060606,0.012904990927277536,0.07851936036462326,0.051448023687040545,0.04722807347669375
C1,no,Insulin,6.565656565656566,0.012451965909419688,0.07643154075403621,0.05033507049593642,0.045804035263375446
C1,no,Insulin,7.070707070707071,0.012117069223994373,0.07487207364397971,0.049501859739575785,0.044750124574671035
C1,no,Insulin,7.575757575757576,0.01186797352310553,0.07370504695228018,0.048875767857549886,0.04396595957850171
C1,no,Insulin,8.080808080808081,0.011681889920589944,0.07283002993055854,0.048404228654134344,0.04338004028846676
C1,no,Insulin,8.585858585858587,0.011542440223142523,0.07217279026037252,0.048048587992818255,0.04294084262279056
C1,no,Insulin,9.090909090909092,0.011437692068118208,0.07167834671873165,0.04778011450656612,0.042610826475821005
C1,no,Insulin,9.595959595959597,0.011358872125024367,0.07130588314470462,0.04757731694740148,0.04236240317283277
C1,no,Insulin,10.101010101010102,0.011299485387933824,0.07102502156080194,0.04742407648434075,0.04217516017264198
C1,no,Insulin,10.606060606060607,0.01125469691661446,0.07081305783921477,0.047308231361325906,0.04203389010668191
C1,no,Insulin,11.111111111111112,0.011220891728347098,0.07065299629231876,0.04722065478743118,0.04192723450711917
C1,no,Insulin,11.616161616161618,0.011195353688104662,0.0705320476846418,0.04715446898986993,0.04184666147521707
C1,no,Insulin,12.121212121212121,0.011176063384426928,0.07044063390780757,0.04710435852465892,0.04178576441871429
C1,no,Insulin,12.626262626262626,0.011161481400803029,0.07037152053944482,0.04706646854167336,0.0417397300025012
C1,no,Insulin,13.131313131313131,0.01115045662675066,0.07031925794284308,0.047037808393336454,0.04170492232121574
C1,no,Insulin,13.636363636363637,0.011142119817951521,0.07027973198494825,0.04701612776012816,0.04167859909592776
C1,no,Insulin,14.141414141414142,0.011135814672288741,0.07024983505982219,0.0469997256691686,0.04165868949042597
C1,no,Insulin,14.646464646464647,0.01113104498098284,0.07022721679408771,0.046987315016441177,0.04164362760258973
C1,no,Insulin,15.151515151515152,0.011127435835476849,0.07021010078694051,0.04697792237788496,0.041632230075701236
C1,no,Insulin,15.656565656565657,0.011124706237006786,0.07019715519207653,0.04697081763265121,0.04162360981990962
C1,no,Insulin,16.161616161616163,0.011122641331780316,0.0701873616528988,0.04696544241576716,0.0416170885607829
C1,no,Insulin,16.666666666666668,0.011121078882813195,0.07017995117145927,0.04696137532390553,0.04161215423182214
C1,no,Insulin,17.171717171717173,0.011119896335049024,0.07017434238865299,0.046958297137885095,0.0416084196559848
C1,no,Insulin,17.67676767676768,0.011119002112219131,0.07017010067121533,0.04695596831426639,0.041605595197421845
C1,no,Insulin,18.181818181818183,0.011118325885197016,0.07016689235969986,0.04695420482196806,0.04160345851637442
C1,no,Insulin,18.68686868686869,0.011117814290322285,0.07016446466649444,0.04695286883206723,0.04160184149874139
C1,no,Insulin,19.191919191919194,0.01111742696290779,0.0701626271538242,0.04695185931512596,0.04160061794496674
C1,no,Insulin,19.6969696969697,0.011117133274453914,0.07016123625421661,0.046951102421168345,0.041599692935940166
C1,no,Insulin,20.202020202020204,0.01111691057158975,0.07016018382308191,0.04695053550406636,0.04159899387960921
C1,no,Insulin,20.70707070707071,0.011116743781454866,0.07015938863354525,0.04695008751101733,0.04159846252202759
C1,no,Insulin,21.212121212121215,0.011116616549067183,0.07015878587758828,0.04694975866675681,0.04159806153512569
C1,no,Insulin,21.71717171717172,0.011116520494255232,0.0701583299167239,0.04694950736638185,0.041597757771243915
C1,no,Insulin,22.222222222222225,0.011116447516289745,0.07015798371932394,0.046949317196219344,0.041597527238302054
