NON $ % + -
#NON	c	d	b	a
0.0	0.2660905411081246	0.9632608570034258	0.5360008878518973	0.5913138090287378
0.5050505050505051	0.15876544780799176	0.627220977187665	0.24878858267780807	0.5025004764056259
1.0101010101010102	0.11418353969747301	0.43631154303052144	0.13921180234264782	0.43032664094039913
1.5151515151515151	0.09547044352107989	0.3239195446246277	0.09326143997306933	0.37240757038491207
2.0202020202020203	0.08816740132060186	0.2554048399555843	0.07127921957270215	0.32677864345033963
2.5252525252525255	0.0860883494136042	0.212285018834083	0.05916739127709454	0.29150306176630203
3.0303030303030303	0.08635319011096879	0.18438983251557664	0.051679575629572864	0.26468703731478294
3.5353535353535355	0.08755309764693782	0.16592943478082367	0.04669347681464587	0.24458793472064233
4.040404040404041	0.08899937994926427	0.15349047398807045	0.043236122639431974	0.22969523894840765
4.545454545454546	0.09037469047331613	0.1449914452850679	0.040791416679934175	0.21876093649341743
5.050505050505051	0.09155411607673106	0.1391231122545323	0.03904807836316835	0.21079083460196182
5.555555555555556	0.09250884087771699	0.13503949216824868	0.03780114627442487	0.20501434477675534
6.0606060606060606	0.09325406466940599	0.13218151881438067	0.03690882926684925	0.20084636372127498
6.565656565656566	0.09382163761335531	0.13017300647458488	0.0362706455878833	0.19784946965873554
7.070707070707071	0.09424647293032037	0.12875723978661502	0.03581465135101803	0.19570050461012542
7.575757575757576	0.09456048579728604	0.12775713585662565	0.035489165532864166	0.19416284105841683
8.080808080808081	0.0947904288799049	0.12704956730133168	0.035257054052706883	0.19306441596203303
8.585858585858587	0.09495763275952301	0.12654841305308304	0.03509166406926232	0.19228077656188014
9.090909090909092	0.09507857017421285	0.12619317520727397	0.03497389527048159	0.19172227302937483
9.595959595959597	0.09516568721055146	0.12594123010107638	0.03489008288215905	0.1913245411693742
10.101010101010102	0.09522824326028977	0.1257624808991341	0.034830465349048455	0.1910414867617077
10.606060606060607	0.0952730551107506	0.12563561315453076	0.03478806961662678	0.19084012456249236
11.111111111111112	0.09530509647078222	0.1255455563522569	0.034757930364419015	0.1906969353497724
11.616161616161618	0.09532797174422142	0.12548162057274048	0.03473650943085081	0.19059514444065445
12.121212121212121	0.09534428570504781	0.12543622383677022	0.03472128678093114	0.1905227957917371
12.626262626262626	0.09535590903602256	0.12540398696173813	0.03471047033286467	0.19047138261237592
13.131313131313131	0.09536418515181155	0.12538109533216074	0.0347027858913752	0.19043485232232019
13.636363636363637	0.09537007475890151	0.1253648387829834	0.034697326531932735	0.1904088987305079
14.141414141414142	0.0953742637711799	0.12535329434210069	0.03469344875841132	0.19039046245220057
14.646464646464647	0.09537724294050173	0.12534509546714023	0.03469069440531042	0.19037736498687835
15.151515151515152	0.09537936061681117	0.12533927242348455	0.034688737289815495	0.1903680615887706
15.656565656565657	0.09538086562136067	0.12533513715767639	0.034687347322956655	0.1903614540023201
16.161616161616163	0.09538193544102855	0.12533220019095098	0.03468636117949102	0.19035675996650572
16.666666666666668	0.09538269530811723	0.1253301143876872	0.03468565950483179	0.19035342655971815
17.171717171717173	0.09538323526157531	0.12532863302170322	0.03468516130177518	0.1903510588737835
17.67676767676768	0.09538361885143506	0.12532758099474456	0.034684807693135464	0.19034937726941006
18.181818181818183	0.0953838913231608	0.12532683389268812	0.034684556760446184	0.1903481830185354
18.68686868686869	0.0953840848434767	0.12532630335331515	0.03468437835069629	0.1903473349316537
19.191919191919194	0.09538422247853214	0.1253259260730193	0.03468425155135468	0.19034673182401363
19.6969696969697	0.09538432028555024	0.12532565799513445	0.03468416142788845	0.19034630327809474
20.202020202020204	0.09538438898224219	0.12532546972191816	0.03468409813876633	0.19034600230355853
20.70707070707071	0.09538443772962445	0.12532533612976424	0.03468405322346634	0.19034578874113112
21.212121212121215	0.09538447297320986	0.12532523954506938	0.0346840207339304	0.1903456343394856
21.71717171717172	0.09538449866329914	0.12532516913988798	0.03468399703297742	0.19034552178925712
22.222222222222225	0.09538451798538937	0.12532511618943418	0.03468397922017132	0.19034543714164723
22.72727272727273	0.09538452936081486	0.12532508502344744	0.03468396873691104	0.1903453873174961
23.232323232323235	0.0953845381239245	0.1253250610183718	0.0346839607151426	0.19034534894035862
23.73737373737374	0.09538454449039083	0.12532504357909946	0.03468395494243969	0.1903453210598871
24.242424242424242	0.09538454881461232	0.125325031733457	0.03468395107932742	0.19034530212220563
24.747474747474747	0.09538455180935952	0.1253250235278389	0.03468394844570027	0.19034528900436576
25.252525252525253	0.09538455390082387	0.125325017795762	0.034683946623670844	0.19034527984124144
25.757575757575758	0.09538455539516665	0.12532501369940202	0.034683945311117785	0.19034527329316944
26.262626262626263	0.09538455650087986	0.12532501066864535	0.034683944291374585	0.19034526844840374
26.767676767676768	0.09538455730115454	0.1253250084757356	0.034683943480125844	0.190345264942781
27.272727272727273	0.09538455788620705	0.12532500687326886	0.034683942789211705	0.19034526238083277
27.77777777777778	0.09538455830706406	0.12532500572093352	0.034683942187620886	0.19034526053840053
28.282828282828284	0.09538455864788797	0.12532500478770547	0.034683941691593195	0.19034525904629804
28.78787878787879	0.09538455897092557	0.12532500390299947	0.03468394135197763	0.19034525763184576
29.292929292929294	0.09538455921229001	0.1253250032418953	0.03468394111658543	0.19034525657490775
29.7979797979798	0.0953845593719813	0.12532500280439293	0.0346839409854166	0.19034525587548404
30.303030303030305	0.09538455944999942	0.1253250025904924	0.03468394095847113	0.19034525553357462
30.80808080808081	0.09538455947137356	0.12532500253168827	0.03468394099865403	0.19034525543964131
31.313131313131315	0.09538455955046031	0.12532500231498425	0.03468394093648089	0.19034525509321157
31.81818181818182	0.09538455959800998	0.12532500218465853	0.03468394090422592	0.1903452548848795
32.323232323232325	0.0953845596140226	0.1253250021407111	0.03468394090188912	0.1903452548146451
32.82828282828283	0.09538455959849816	0.12532500218314194	0.034683940929470504	0.19034525488250834
33.333333333333336	0.09538455955143665	0.1253250023119511	0.03468394098697006	0.19034525508846925
33.83838383838384	0.09538455960884366	0.12532500215455622	0.03468394095671384	0.1903452548368816
34.343434343434346	0.09538455957492901	0.12532500224745335	0.03468394098619939	0.19034525498539878
34.84848484848485	0.09538455954101435	0.1253250023403505	0.03468394101568494	0.19034525513391595
35.35353535353536	0.0953845595070997	0.12532500243324762	0.034683941045170495	0.19034525528243312
35.85858585858586	0.09538455947318504	0.12532500252614476	0.03468394107465605	0.1903452554309503
36.36363636363637	0.09538455946406947	0.1253250025511144	0.03468394108267367	0.19034525547086972
