NON $ % + - . 0
#NON	b	e	a	f	c	d
0.0	0.7095183988443173	0.2797492853203476	0.022432148582644085	0.10929897105381114	0.7493064236731716	0.22474637008754872
0.5050505050505051	0.308679239656929	0.13464017786173355	0.22629787878859883	0.10326927652226274	0.4217337375415526	0.12068296120706927
1.0101010101010102	0.19284440144286638	0.0780103648199869	0.25539933942102105	0.10517602337427227	0.25049693148079893	0.08767665066572003
1.5151515151515151	0.16534220743406533	0.05381319975457276	0.23792963450667448	0.1111728092237826	0.16245551321618157	0.07749099257109542
2.0202020202020203	0.16438115237149373	0.043705916212630494	0.21391464945449548	0.11867334864117117	0.118293952451068	0.07546683235946193
2.5252525252525255	0.17011734004251552	0.03962487836322528	0.194896604800526	0.12597884169281456	0.09683733757816744	0.07619707823619085
3.0303030303030303	0.17625926457665367	0.03803867547314479	0.18262197075628459	0.13218558200817376	0.08679599101959037	0.07751537484691517
3.5353535353535355	0.1811251289928956	0.037478359495689714	0.17565364494448582	0.13701559455472942	0.08229387863857021	0.07864906189821251
4.040404040404041	0.18457960156401365	0.037339792868660286	0.17205664215590832	0.14056190980552202	0.08037536952065812	0.07943070350759163
4.545454545454546	0.18691345036959803	0.03736646181004743	0.17033912843751042	0.14306755171892646	0.07961012067449483	0.07991024418892519
5.050505050505051	0.1884551982416522	0.03744623616497816	0.16957620471493107	0.1447939664085917	0.07933365230560083	0.08018294881710751
5.555555555555556	0.18946484446086925	0.0375313876363624	0.16926303251808805	0.14596439436671488	0.07925071830250034	0.08032959754394364
6.0606060606060606	0.19012489964679063	0.03760414453063488	0.16914737945329691	0.1467498816761336	0.07923688268903138	0.08040495509917334
6.565656565656566	0.19055709636788304	0.03766032551393124	0.16911191617399954	0.1472738273110333	0.07924323866745166	0.08044214757679338
7.070707070707071	0.19084090993575867	0.03770129202468842	0.16910566379185094	0.1476221272195475	0.07925254902536605	0.08045980616012445
7.575757575757576	0.1910278578727543	0.037730119694469204	0.1691081479644842	0.14785327541042234	0.07925991560029312	0.08046785748297058
8.080808080808081	0.19115134317961047	0.037749943878505623	0.16911201041432766	0.1480065842626415	0.07926473598193874	0.08047136414937411
8.585858585858587	0.19123309441204112	0.037763373938561634	0.1691151122287752	0.14810826834588892	0.07926759061614395	0.08047280636850883
9.090909090909092	0.19128731262778478	0.03777238561586691	0.16911715727709958	0.1481757366524684	0.07926917329495672	0.0804733538036619
9.595959595959597	0.19132331511005224	0.03777839666773169	0.16911837571247393	0.14822052278275388	0.0792700080689789	0.08047353499563642
10.101010101010102	0.19134724286773128	0.03778239225763364	0.16911905378777806	0.14825026678395947	0.079270429701986	0.0804735786246439
10.606060606060607	0.19136315495098027	0.03778504350210213	0.1691194122600001	0.14827002987388868	0.07927063452098816	0.08047357750378151
11.111111111111112	0.1913737408205541	0.037786801537783486	0.16911959394152198	0.14828316688630203	0.07927073024241439	0.08047356619164993
11.616161616161618	0.19138078616888687	0.03778796754499555	0.16911968281793396	0.14829190387510213	0.0792707732201682	0.08047355557021953
12.121212121212121	0.19138547184735807	0.037788740531444515	0.1691197246570928	0.14829771126235688	0.07927079129292028	0.0804735478121874
12.626262626262626	0.19138859056336038	0.03778925340952184	0.1691197426420281	0.1483015744868118	0.0792707983896908	0.08047354338720632
13.131313131313131	0.1913906663335108	0.03778959391852048	0.16911975013686145	0.14830414480921747	0.07927080096944718	0.08047354101863101
13.636363636363637	0.19139204814995203	0.03778982023247646	0.16911975408328478	0.1483058558129979	0.07927080198201497	0.08047353962593531
14.141414141414142	0.19139296631743474	0.037789970380318505	0.1691197552494669	0.14830699250770563	0.07927080209810472	0.08047353897693807
14.646464646464647	0.1913935773601649	0.03779007024227496	0.16911975437838633	0.14830774832459193	0.07927080178000596	0.0804735387231811
15.151515151515152	0.19139398472992458	0.03779013676198727	0.16911975436564844	0.1483082521243057	0.07927080184382838	0.08047353858921888
15.656565656565657	0.19139425550106348	0.03779018078126537	0.16911975581211447	0.14830858776915687	0.07927080208790943	0.08047353857194975
16.161616161616163	0.19139443508614148	0.03779021009673613	0.1691197562465191	0.14830881066224463	0.07927080196783652	0.08047353854652707
16.666666666666668	0.19139455534829825	0.037790230189426406	0.16911975442919225	0.14830895887512371	0.07927080179770604	0.08047353844176308
17.171717171717173	0.19139463654925137	0.037790243765127136	0.1691197523408166	0.14830905794426347	0.07927080186502929	0.08047353841055847
17.67676767676768	0.19139469053016225	0.03779025214692593	0.16911975288767028	0.14830912441139557	0.07927080198976326	0.08047353850049241
18.181818181818183	0.19139472488398446	0.037790256980648966	0.16911975621037992	0.14830916857607165	0.07927080194718172	0.08047353855285101
18.68686868686869	0.19139474811931878	0.03779026096120588	0.16911975649432334	0.14830919786619084	0.07927080193716789	0.08047353852232988
19.191919191919194	0.19139476412569117	0.03779026381860249	0.16911975554182887	0.14830921726835852	0.0792708019530417	0.08047353851307017
19.6969696969697	0.1913947745900376	0.03779026558548879	0.16911975538064022	0.14830923016378228	0.07927080195822242	0.08047353850731934
