NON $ % + -
#NON	d	b	a	c
7.575757575757576	0.2139616724047988	0.18021005624672393	0.21037910713926575	0.18170188676253848
8.080808080808081	0.21396425695379032	0.1802107512645593	0.21037976950346995	0.18170264195789193
8.585858585858587	0.21396550374657905	0.18021097596315486	0.21038019832814653	0.1817028910846399
9.090909090909092	0.2139660850038167	0.1802110352884187	0.21038043215180116	0.18170295982966042
9.595959595959597	0.21396634889020585	0.18021104402256144	0.21038054777029241	0.1817029718160714
10.101010101010102	0.2139664665924284	0.18021104024912366	0.21038060188203195	0.1817029691002607
10.606060606060607	0.21396651624132912	0.18021103521832374	0.21038062511396796	0.18170296428930963
11.111111111111112	0.21396653680699787	0.18021103189318902	0.2103806343932871	0.1817029609686258
11.616161616161618	0.21396654515704	0.1802110301465566	0.21038063784021582	0.1817029591953965
12.121212121212121	0.21396654878833848	0.18021102936803132	0.21038063914354235	0.18170295839846295
12.626262626262626	0.21396655035453854	0.1802110290079124	0.2103806396340599	0.18170295802541553
13.131313131313131	0.2139665511274742	0.18021102881074702	0.21038063984837246	0.18170295782017154
13.636363636363637	0.21396655174213117	0.18021102865386485	0.2103806400175749	0.1817029576563734
14.141414141414142	0.21396655198734238	0.18021102858608187	0.21038064006749296	0.18170295758540952
14.646464646464647	0.2139665518631078	0.1802110286073981	0.21038063999812667	0.18170295760727997
15.151515151515152	0.21396655190358263	0.18021102859364602	0.210380639993867	0.1817029575927396
15.656565656565657	0.21396655188875807	0.18021102859596794	0.21038063997876666	0.18170295759502214
16.161616161616163	0.21396655177710588	0.18021102862401736	0.21038063993849004	0.18170295762417582
16.666666666666668	0.2139665516688989	0.18021102864872263	0.21038063988900205	0.18170295764967698
17.171717171717173	0.21396655161681233	0.18021102866477137	0.2103806398801355	0.1817029576665481
17.67676767676768	0.21396655156472572	0.18021102868082012	0.21038063987126895	0.1817029576834192
18.181818181818183	0.21396655151737695	0.18021102869541067	0.21038063986322936	0.18170295769875788
18.68686868686869	0.2139665515158122	0.18021102869590977	0.21038063986318087	0.18170295769928782
19.191919191919194	0.21396655151424746	0.18021102869640884	0.21038063986313238	0.18170295769981776
19.6969696969697	0.2139665515126827	0.18021102869690794	0.21038063986308386	0.18170295770034772
20.202020202020204	0.21396655151111793	0.18021102869740704	0.21038063986303537	0.18170295770087766
20.70707070707071	0.21396655150955318	0.18021102869790612	0.21038063986298688	0.1817029577014076
21.212121212121215	0.21396655150798843	0.18021102869840522	0.2103806398629384	0.18170295770193753
21.71717171717172	0.21396655150642369	0.1802110286989043	0.2103806398628899	0.18170295770246747
22.222222222222225	0.2139665515048589	0.1802110286994034	0.21038063986284142	0.1817029577029974
22.72727272727273	0.21396655150329416	0.18021102869990246	0.2103806398627929	0.18170295770352735
23.232323232323235	0.2139665515017294	0.18021102870040157	0.2103806398627444	0.1817029577040573
23.73737373737374	0.21396655150016466	0.18021102870090067	0.21038063986269592	0.18170295770458725
24.242424242424242	0.2139665514985999	0.18021102870139974	0.21038063986264743	0.18170295770511719
24.747474747474747	0.21396655149703514	0.18021102870189884	0.21038063986259894	0.18170295770564712
25.252525252525253	0.2139665514954704	0.1802110287023979	0.21038063986255046	0.18170295770617706
25.757575757575758	0.21396655149390564	0.180211028702897	0.21038063986250194	0.181702957706707
26.262626262626263	0.2139665514923409	0.18021102870339611	0.21038063986245345	0.18170295770723693
26.767676767676768	0.21396655149077612	0.1802110287038952	0.21038063986240496	0.1817029577077669
27.272727272727273	0.21396655148921137	0.1802110287043943	0.21038063986235647	0.18170295770829684
27.77777777777778	0.21396655148764662	0.18021102870489336	0.21038063986230798	0.18170295770882677
28.282828282828284	0.21396655148608187	0.18021102870539246	0.2103806398622595	0.1817029577093567
28.78787878787879	0.2139665514845171	0.18021102870589156	0.21038063986221098	0.18170295770988665
29.292929292929294	0.21396655148295235	0.18021102870639064	0.2103806398621625	0.18170295771041658
29.7979797979798	0.2139665514813876	0.18021102870688974	0.210380639862114	0.18170295771094652
30.303030303030305	0.21396655147982285	0.1802110287073888	0.2103806398620655	0.1817029577114765
30.80808080808081	0.21396655147825808	0.1802110287078879	0.21038063986201702	0.18170295771200642
31.313131313131315	0.21396655147669333	0.180211028708387	0.21038063986196853	0.18170295771253636
31.81818181818182	0.21396655147512858	0.18021102870888608	0.21038063986192002	0.1817029577130663
32.323232323232325	0.21396655147356383	0.18021102870938518	0.21038063986187153	0.18170295771359624
32.82828282828283	0.21396655147199906	0.18021102870988426	0.21038063986182304	0.18170295771412617
33.333333333333336	0.2139665514704343	0.18021102871038336	0.21038063986177455	0.1817029577146561
33.83838383838384	0.21396655146886956	0.18021102871088246	0.21038063986172606	0.18170295771518608
34.343434343434346	0.2139665514673048	0.18021102871138153	0.21038063986167757	0.181702957715716
34.84848484848485	0.21396655146574003	0.18021102871188063	0.21038063986162905	0.18170295771624595
35.35353535353536	0.2139665514642089	0.18021102871236896	0.2103806398615818	0.18170295771676448
35.85858585858586	0.2139665514641617	0.18021102871238334	0.21038063986158795	0.18170295771677988
36.36363636363637	0.21396655146411445	0.18021102871239772	0.21038063986159414	0.18170295771679532
36.86868686868687	0.21396655146406723	0.18021102871241207	0.2103806398616003	0.18170295771681075
37.37373737373738	0.21396655146402	0.18021102871242645	0.2103806398616065	0.18170295771682618
37.87878787878788	0.21396655146397278	0.1802110287124408	0.21038063986161265	0.1817029577168416
38.38383838383839	0.21396655146392554	0.18021102871245517	0.21038063986161884	0.18170295771685704
38.88888888888889	0.21396655146387833	0.18021102871246952	0.210380639861625	0.18170295771687245
39.3939393939394	0.21396655146383112	0.1802110287124839	0.2103806398616312	0.18170295771688788
39.8989898989899	0.21396655146378388	0.18021102871249825	0.21038063986163735	0.1817029577169033
40.40404040404041	0.21396655146373667	0.18021102871251263	0.21038063986164354	0.18170295771691874
40.909090909090914	0.21396655146368943	0.18021102871252698	0.2103806398616497	0.18170295771693418
41.41414141414142	0.2139665514636422	0.18021102871254135	0.2103806398616559	0.1817029577169496
41.919191919191924	0.21396655146359497	0.1802110287125557	0.21038063986166206	0.18170295771696504
42.42424242424243	0.21396655146354776	0.18021102871257008	0.21038063986166822	0.18170295771698045
42.929292929292934	0.21396655146350052	0.18021102871258443	0.2103806398616744	0.18170295771699588
43.43434343434344	0.2139665514634533	0.1802110287125988	0.21038063986168057	0.1817029577170113
