NON $ % + - . 0
#NON	d	a	f	b	c	e
0.0	0.35015776364772244	0.9462074022422249	0.2166795962748307	0.9615844458322313	0.909695719981078	0.7448191242518912
0.5050505050505051	0.14391051457740486	0.7425768431500441	0.12041851982550675	0.41421190809501285	0.43273809357044224	0.39016386405898035
1.0101010101010102	0.06560385413665253	0.6144929808277583	0.06826424199161901	0.21381106150397106	0.31171288128084795	0.2565108351612233
1.5151515151515151	0.03318521647726596	0.5325735368380512	0.03984278431261733	0.1304386762354692	0.2733890309136593	0.20263661984245884
2.0202020202020203	0.01856062879149886	0.47941384429534745	0.024222515321021692	0.09002700937318049	0.2565676201396209	0.1806004395020247
2.5252525252525255	0.011367039603040708	0.4445061904223688	0.015462932400992722	0.06747464049246407	0.24693556529731675	0.17225974589693213
3.0303030303030303	0.0075216563218774655	0.4213724093021148	0.010399394613303524	0.05346633117356238	0.24067267270852946	0.16997080291348085
3.5353535353535355	0.005308355041232934	0.4059359525931574	0.00736463840581636	0.044094659934944	0.23642531477936202	0.17027046754330463
4.040404040404041	0.003953148346850467	0.39558438604901563	0.005475046262051552	0.03749921328904457	0.23351641279211197	0.17154760701535568
4.545454545454546	0.0030804330115364654	0.3886181607335201	0.004253500186997166	0.03269164717895649	0.2315239034600114	0.1730660776496342
5.050505050505051	0.0024948331610479308	0.3839185406446325	0.0034355384751360526	0.029098513917079755	0.23016190724524485	0.1745118166229485
5.555555555555556	0.0020883290931113263	0.3807425955851003	0.002870080242798491	0.02636300080658007	0.22923286747037286	0.17577152652831216
6.0606060606060606	0.0017980418695303195	0.3785938042240071	0.0024680201540410113	0.02425070870526259	0.22860021665116806	0.17682306774354284
6.565656565656566	0.0015857451371646216	0.37713878404080203	0.002175078629135357	0.0226011020059382	0.22816992060014177	0.17768193142443134
7.070707070707071	0.0014273311389833773	0.37615300085311515	0.0019571410338771297	0.021300823174832333	0.22787750771372772	0.1783760392441989
7.575757575757576	0.0013070989834654302	0.3754848767113803	0.0017921105620553413	0.020267889798552163	0.22767891230352102	0.17893461032205646
8.080808080808081	0.0012145291270853637	0.37503192944604147	0.001665267620662354	0.019441918249409763	0.22754408773139587	0.17938381857325156
8.585858585858587	0.0011423938951704606	0.37472480961203697	0.0015665515059225695	0.018777736503577187	0.22745258279005284	0.1797455713578207
9.090909090909092	0.0010856106204298866	0.3745165431726166	0.0014889185136415664	0.018241131669091238	0.2273904907930263	0.1800375882525883
9.595959595959597	0.0010405319286045673	0.3743752995638489	0.0014273317414539538	0.01780584940975139	0.22734836226395239	0.18027397881482254
10.101010101010102	0.0010044909114751161	0.3742795061658206	0.0013781188073531054	0.017451565554488152	0.2273197815801087	0.18046589120086173
10.606060606060607	0.0009755046536480817	0.374214533767907	0.0013385551633506396	0.01716238501397417	0.22730039268527527	0.18062212371210812
11.111111111111112	0.0009520773716895531	0.3741704664103516	0.001306589022600109	0.01692577738125867	0.2272872403406022	0.18074962967462957
