NON $ % + - .
#NON	d	a	e	b	c
16.161616161616163	0.012391186082535538	0.011839171764520894	0.18091683058914784	0.26310258727164393	0.016113349070933876
16.666666666666668	0.012391186351983554	0.011839172102947687	0.18091683814632736	0.2631025853749889	0.016113350060882492
17.171717171717173	0.01239118639570689	0.011839172989137715	0.1809168400675363	0.263102584336609	0.016113350440738708
17.67676767676768	0.012391186442484095	0.011839173327518037	0.18091684184064696	0.26310258358076816	0.016113350740609902
18.181818181818183	0.012391186388365833	0.011839173615880428	0.18091684097215333	0.26310258336906167	0.016113350719632973
18.68686868686869	0.012391186374019845	0.0118391738717407	0.1809168410844953	0.2631025830064452	0.016113350806051526
19.191919191919194	0.01239118631488865	0.011839173822252955	0.1809168396964243	0.26310258323012853	0.016113350646592334
19.6969696969697	0.012391186285498979	0.011839173797733938	0.1809168389964994	0.26310258335320735	0.016113350563763642
20.202020202020204	0.012391186274403129	0.011839173788573028	0.18091683871984882	0.2631025834144049	0.016113350528069885
20.70707070707071	0.012391186263307279	0.011839173779412116	0.1809168384431982	0.2631025834756024	0.016113350492376128
21.212121212121215	0.012391186252211429	0.011839173770251205	0.1809168381665476	0.26310258353679994	0.016113350456682368
21.71717171717172	0.012391186241115579	0.011839173761090295	0.180916837889897	0.26310258359799743	0.01611335042098861
22.222222222222225	0.01239118623001973	0.011839173751929383	0.1809168376132464	0.263102583659195	0.016113350385294854
22.72727272727273	0.012391186225136443	0.011839173747927464	0.18091683748825116	0.2631025836892152	0.016113350368659126
23.232323232323235	0.012391186223155265	0.011839173746335491	0.18091683743409953	0.2631025837046713	0.016113350360926083
23.73737373737374	0.012391186221174088	0.01183917374474352	0.1809168373799479	0.26310258372012746	0.016113350353193036
24.242424242424242	0.01239118621919291	0.011839173743151549	0.18091683732579625	0.2631025837355836	0.016113350345459992
24.747474747474747	0.012391186217211733	0.011839173741559577	0.18091683727164462	0.2631025837510398	0.016113350337726946
25.252525252525253	0.012391186215230556	0.011839173739967604	0.180916837217493	0.2631025837664959	0.0161133503299939
