0,Networkname,Nodes,Bin_method,Learn_method,Timepoints,Runtime_in_sec.,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
1,Ecoli_13_1.sif,12,KM3,FULLFIT,100,5,2,124,8,10,0.2,0.1666666667,0.875,0.553030303,0.1153132716
1,Ecoli_12_1.sif,12,KM3,FULLFIT,100,4,0,123,9,12,0,0,0.8541666667,0.4659090909,-0.0778498944
1,Ecoli_10_1.sif,10,KM3,FULLFIT,100,3,0,83,7,10,0,0,0.83,0.4611111111,-0.0914505435
1,Ecoli_11_1.sif,9,KM3,FULLFIT,100,1,0,64,8,9,0,0,0.7901234568,0.4444444444,-0.1170411472
1,Ecoli_14_1.sif,14,KM3,FULLFIT,100,6,1,170,12,13,0.0769230769,0.0714285714,0.8724489796,0.5027472527,0.0056863175
2,Ecoli_11_2.sif,11,KM3,FULLFIT,100,6,0,90,11,20,0,0,0.7438016529,0.4455445545,-0.1407195089
2,Ecoli_14_2.sif,14,KM3,FULLFIT,100,5,4,164,5,23,0.4444444444,0.1481481481,0.8571428571,0.5592811747,0.1952225462
2,Ecoli_13_2.sif,13,KM3,FULLFIT,100,5,4,142,6,17,0.4,0.1904761905,0.8639053254,0.574967825,0.2096268216
2,Ecoli_10_2.sif,10,KM3,FULLFIT,100,5,1,74,8,17,0.1111111111,0.0555555556,0.75,0.47899729,-0.0563905798
2,Ecoli_12_2.sif,12,KM3,FULLFIT,100,5,5,113,7,19,0.4166666667,0.2083333333,0.8194444444,0.575,0.2022599587
3,Ecoli_12_3.sif,12,KM3,FULLFIT,100,5,1,100,10,33,0.0909090909,0.0294117647,0.7013888889,0.4692513369,-0.0983263396
3,Ecoli_10_3.sif,10,KM3,FULLFIT,100,4,1,67,8,24,0.1111111111,0.04,0.68,0.4666666667,-0.1008712554
3,Ecoli_13_3.sif,13,KM3,FULLFIT,100,5,1,131,9,28,0.1,0.0344827586,0.7810650888,0.4850985222,-0.0476237721
3,Ecoli_14_3.sif,14,KM3,FULLFIT,100,5,2,145,11,38,0.1538461538,0.05,0.75,0.4897435897,-0.033221593
3,Ecoli_11_3.sif,11,KM3,FULLFIT,100,4,3,84,8,26,0.2727272727,0.1034482759,0.7190082645,0.5082458771,0.024488776
4,Ecoli_11_4.sif,11,KM3,FULLFIT,100,2,5,76,7,33,0.4166666667,0.1315789474,0.6694214876,0.523620799,0.0733586874
4,Ecoli_10_4.sif,10,KM3,FULLFIT,100,4,3,63,3,31,0.5,0.0882352941,0.66,0.5213903743,0.0853336367
4,Ecoli_14_4.sif,14,KM3,FULLFIT,100,6,3,132,12,49,0.2,0.0576923077,0.6887755102,0.4871794872,-0.0425827195
4,Ecoli_12_4.sif,12,KM3,FULLFIT,100,5,3,92,6,43,0.3333333333,0.0652173913,0.6597222222,0.5019964508,0.00769117
4,Ecoli_13_4.sif,13,KM3,FULLFIT,100,6,2,122,9,36,0.1818181818,0.0526315789,0.7337278107,0.4919646444,-0.0271980429
5,Ecoli_10_5.sif,10,KM3,FULLFIT,100,4,2,55,5,38,0.2857142857,0.05,0.57,0.4833333333,-0.0640020481
5,Ecoli_12_5.sif,12,KM3,FULLFIT,100,5,3,78,8,55,0.2727272727,0.0517241379,0.5625,0.4793504411,-0.0762573721
5,Ecoli_14_5.sif,14,KM3,FULLFIT,100,6,4,122,10,60,0.2857142857,0.0625,0.6428571429,0.4933712121,-0.0241402275
5,Ecoli_13_5.sif,13,KM3,FULLFIT,100,5,6,115,7,41,0.4615384615,0.1276595745,0.7159763314,0.5351412626,0.1181795213
5,Ecoli_11_5.sif,11,KM3,FULLFIT,100,3,5,69,6,41,0.4545454545,0.1086956522,0.6115702479,0.5143478261,0.0484543712
6,Ecoli_10_6.sif,10,KM3,FULLFIT,100,5,5,46,5,44,0.5,0.1020408163,0.51,0.5020008003,0.0066680004
6,Ecoli_12_6.sif,12,KM3,FULLFIT,100,4,5,68,6,65,0.4545454545,0.0714285714,0.5069444444,0.4951737452,-0.0181628067
6,Ecoli_11_6.sif,11,KM3,FULLFIT,100,4,2,57,8,54,0.2,0.0357142857,0.4876033058,0.4563186813,-0.1582030816
6,Ecoli_13_6.sif,13,KM3,FULLFIT,100,5,1,105,8,55,0.1111111111,0.0178571429,0.6272189349,0.4735303413,-0.1109763216
6,Ecoli_14_6.sif,14,KM3,FULLFIT,100,6,3,113,7,73,0.3,0.0394736842,0.5918367347,0.4905701754,-0.0417613525
7,Ecoli_14_7.sif,14,KM3,FULLFIT,100,7,7,98,9,82,0.4375,0.0786516854,0.5357142857,0.4972697679,-0.009929336
7,Ecoli_11_7.sif,11,KM3,FULLFIT,100,5,6,52,4,59,0.6,0.0923076923,0.479338843,0.5104395604,0.0378095415
7,Ecoli_10_7.sif,10,KM3,FULLFIT,100,4,4,41,3,52,0.5714285714,0.0714285714,0.45,0.5016233766,0.0063165384
7,Ecoli_13_7.sif,13,KM3,FULLFIT,100,5,2,96,8,63,0.2,0.0307692308,0.5798816568,0.4769230769,-0.0951661903
7,Ecoli_12_7.sif,12,KM3,FULLFIT,100,5,8,59,3,74,0.7272727273,0.0975609756,0.4652777778,0.5245869394,0.091667434
8,Ecoli_11_8.sif,11,KM3,FULLFIT,100,4,8,46,3,64,0.7272727273,0.1111111111,0.4462809917,0.5249433107,0.085183542
8,Ecoli_10_8.sif,10,KM3,FULLFIT,100,5,7,33,3,57,0.7,0.109375,0.4,0.5130208333,0.0416666667
8,Ecoli_13_8.sif,13,KM3,FULLFIT,100,4,7,91,4,67,0.6363636364,0.0945945946,0.5798816568,0.5262446657,0.1055659396
8,Ecoli_14_8.sif,14,KM3,FULLFIT,100,5,10,91,3,92,0.7692307692,0.0980392157,0.5153061224,0.533062161,0.1327480115
8,Ecoli_12_8.sif,12,KM3,FULLFIT,100,5,6,44,6,88,0.5,0.0638297872,0.3472222222,0.4719148936,-0.0967558894
9,Ecoli_10_9.sif,10,KM3,FULLFIT,100,4,8,27,0,65,1,0.1095890411,0.35,0.5547945205,0.1793376737
9,Ecoli_13_9.sif,13,KM3,FULLFIT,100,6,6,81,5,77,0.5454545455,0.0722891566,0.5147928994,0.5070748109,0.0286753162
9,Ecoli_11_9.sif,12,KM3,FULLFIT,100,6,6,60,6,72,0.5,0.0769230769,0.4583333333,0.493006993,-0.0252136453
9,Ecoli_14_9.sif,14,KM3,FULLFIT,100,5,7,77,4,108,0.6363636364,0.0608695652,0.4285714286,0.5057434246,0.0245759402
9,Ecoli_12_9.sif,12,KM3,FULLFIT,100,5,7,34,4,99,0.6363636364,0.0660377358,0.2847222222,0.480387289,-0.0650863913
,,,,,,,,,,,,,,,
,Mean_Nodes,11.9555555556,,,,,,,,,,,,,
