NON $ % + - .
#NON	b	d	c	a	e
0.0	0.2259858548936995	0.6180159665462024	0.04831455990623157	0.948506437011729	0.7277773363784954
0.5050505050505051	0.21625773102513185	0.4270021830200653	0.038645529066024496	0.627468829327729	0.49625339801318535
1.0101010101010102	0.22020689515299055	0.31988040870066653	0.030877751537776395	0.4494424997203855	0.35482096208717917
1.5151515151515151	0.22839715223624502	0.2573372865318727	0.024812581859384786	0.3476386216463176	0.2665667140807689
2.0202020202020203	0.23699224033841387	0.21952455712169597	0.020170133704610956	0.2876917057337101	0.21022246429876554
2.5252525252525255	0.2445558577726384	0.19600900799355658	0.016660100238183574	0.25144826356663347	0.173421667526838
3.0303030303030303	0.25070710836112	0.18106490339229422	0.014022686623070001	0.2290333210869523	0.14886730374989599
3.5353535353535355	0.2555024937002593	0.17141536535064458	0.012044373403730565	0.21490869835160412	0.1321699692548335
4.040404040404041	0.25915012545169297	0.16511313360000138	0.010558511714628693	0.20587393962622838	0.1206295854419198
4.545454545454546	0.26188402424092705	0.16096405265516975	0.009439011168134663	0.20002709295875407	0.11254517750748433
5.050505050505051	0.26391481220672736	0.15821738694374335	0.008592115004172772	0.19620944490533285	0.10681945867107183
5.555555555555556	0.2654152507570292	0.15639223876794597	0.007948672379167139	0.1936999820748362	0.10272859158842916
6.0606060606060606	0.2665204108990335	0.15517632278864496	0.0074577732954147925	0.19204218040159687	0.0997854021763123
6.565656565656566	0.26733307701593756	0.1543648727951509	0.007081849954289096	0.1909429606950016	0.09765625101313494
7.070707070707071	0.2679302190989957	0.15382271326018415	0.006793046355980787	0.19021213967306425	0.09610928286217527
7.575757575757576	0.2683689233187527	0.15346019194858773	0.00657058140974429	0.18972528721899196	0.09498142598709863
8.080808080808081	0.26869129054671004	0.1532176598681705	0.006398850940114595	0.18940049070818826	0.09415686399243536
8.585858585858587	0.26892826917838164	0.15305534474188154	0.00626606402528603	0.18918357889733817	0.09355269736020073
9.090909090909092	0.2691025692408346	0.15294669071245764	0.006163260175181682	0.18903860772882206	0.09310921961509874
9.595959595959597	0.2692308451161151	0.1528739443129718	0.006083595328531808	0.18894166072065696	0.09278320745331158
10.101010101010102	0.26932530835246604	0.15282523420254784	0.006021820748890535	0.18887680359537393	0.09254325265215631
10.606060606060607	0.2693949134472821	0.15279261654123139	0.005973897585244983	0.1888334019334044	0.09236645723261107
11.111111111111112	0.2694462339480115	0.15277077228907837	0.005936709114276417	0.18880434981173663	0.09223608028083276
11.616161616161618	0.26948409384478794	0.15275614368172846	0.005907846193999686	0.18878490141868134	0.0921398638931953
12.121212121212121	0.2695120386092567	0.15274634676684745	0.00588544332776772	0.18877188016710134	0.09206881150855512
12.626262626262626	0.26953267482785703	0.15273978639073357	0.005868054673817289	0.18876316246919456	0.09201631389220624
13.131313131313131	0.26954792134963407	0.15273539152896332	0.005854558172545171	0.18875732314735452	0.09197750379792176
13.636363636363637	0.2695591910621564	0.15273244819272871	0.005844083412990829	0.18875341290578657	0.09194880136621636
14.141414141414142	0.2695675243502207	0.15273047732153788	0.005835954558704906	0.18875079487494223	0.09192756645120256
14.646464646464647	0.2695736877139457	0.15272915717384072	0.005829646821090465	0.18874904124876415	0.09191185046325615
15.151515151515152	0.2695782487661314	0.15272827327720048	0.005824752731850126	0.18874786724513223	0.0919002160219101
15.656565656565657	0.26958162499047233	0.1527276813861183	0.00582095590419643	0.1887470811612038	0.09189160090481567
16.161616161616163	0.2695841235630029	0.15272728449872103	0.005818010469845886	0.1887465539406832	0.09188521890482297
