NON $ % + -
#NON	c	a	b	d
0.0	0.012622010042139586	0.5000448933115124	0.6018289257121657	0.6451466183123585
0.5050505050505051	0.15407527580211583	0.4012798011217936	0.35288423012424	0.308455891029738
1.0101010101010102	0.21137185906137668	0.3344447490545979	0.27771999014683973	0.16284850766149336
1.5151515151515151	0.23463036249028724	0.2945384350376691	0.2553627241538441	0.09854421372929469
2.0202020202020203	0.24403655761410178	0.27251105966211814	0.24875322135521857	0.07014115124921358
2.5252525252525255	0.2477313640191425	0.26086245581231365	0.24668793011653517	0.05762146133501587
3.0303030303030303	0.24905711237324527	0.2548223022374248	0.24588751218939242	0.052100266850400846
3.5353535353535355	0.2494326489202063	0.25170436634065485	0.24546161187588275	0.04965279125671304
4.040404040404041	0.24946307688845368	0.25008675634070293	0.2451876149543881	0.0485560460201468
4.545454545454546	0.24939429900065369	0.2492388975128235	0.24500473830840755	0.048056385214781686
5.050505050505051	0.2493159785010233	0.2487890437170714	0.24488554660524314	0.04782379927237269
5.555555555555556	0.24925408183637912	0.24854746246452372	0.24481047313801735	0.04771278208127968
6.0606060606060606	0.24921138756983152	0.24841632828807614	0.24476457623551073	0.047658356349370844
6.565656565656566	0.24918394828677423	0.24834450630821703	0.2447371574758923	0.04763096111222793
7.070707070707071	0.24916704396488912	0.2483048899544704	0.24472105480396222	0.04761683343596736
7.575757575757576	0.24915691107576735	0.248282919381932	0.24471171461818803	0.04760939345020372
8.080808080808081	0.24915094867736148	0.2482706830143188	0.24470634499550373	0.0476054057114785
8.585858585858587	0.24914748501554035	0.24826385129624343	0.24470327850100765	0.04760324170959974
9.090909090909092	0.2491454918461001	0.24826002728357902	0.24470153513961898	0.04760205361587496
9.595959595959597	0.24914435238772253	0.24825788437055724	0.244700547769715	0.047601397042068866
10.101010101010102	0.2491437040326584	0.24825668184803848	0.2446999894317616	0.04760103181441178
10.606060606060607	0.24914333703788205	0.2482560078471144	0.24469967516304628	0.04760082843337526
11.111111111111112	0.24914312943834926	0.24825562903900303	0.2446994980304519	0.04760071445994723
11.616161616161618	0.24914300835661307	0.2482554090075679	0.244699394670849	0.04760064840204691
12.121212121212121	0.24914294401960985	0.24825529282982917	0.24469933990541592	0.04760061371321962
12.626262626262626	0.24914290641184972	0.24825522511746076	0.24469930819027524	0.04760059352411305
13.131313131313131	0.24914288581585575	0.2482551881646431	0.2446992907715381	0.04760058250491488
13.636363636363637	0.24914287421951872	0.24825516740625125	0.24469928086811782	0.04760057630933216
14.141414141414142	0.24914286779487527	0.2482551559034153	0.24469927537411454	0.047600572874691834
14.646464646464647	0.24914286416375162	0.24825514935355228	0.24469927233016311	0.047600570918685435
15.151515151515152	0.2491428620675581	0.24825514552804226	0.24469927062057534	0.047600569775024006
15.656565656565657	0.24914286085067605	0.24825514331543447	0.24469926961751504	0.047600569113265545
16.161616161616163	0.2491428601430949	0.24825514207276028	0.24469926899380895	0.047600568743419364
16.666666666666668	0.24914285973289008	0.2482551413763259	0.2446992686130646	0.047600568537751686
17.171717171717173	0.24914285932328273	0.24825514067683443	0.2446992682341988	0.0476005683304665
17.67676767676768	0.24914285904627456	0.248255140197087	0.24469926798382133	0.04760056818793878
18.181818181818183	0.2491428589055109	0.2482551399432458	0.2446992678654204	0.04760056811200473
18.68686868686869	0.24914285890099186	0.2482551399153108	0.24469926787899604	0.047600568102664345
19.191919191919194	0.24914285893573956	0.24825513995621307	0.24469926792736688	0.047600568113824064
19.6969696969697	0.2491428588947808	0.24825513987973727	0.24469926789531815	0.047600568090836994
20.202020202020204	0.24914285889325533	0.24825513987236839	0.24469926789823146	0.04760056808842915
20.70707070707071	0.24914285893116317	0.24825513993410642	0.2446992679361068	0.04760056810660054
21.212121212121215	0.2491428590085043	0.2482551400649514	0.2446992680089442	0.04760056814535116
21.71717171717172	0.2491428590240346	0.24825514008300337	0.2446992680309917	0.047600568150300726
22.222222222222225	0.2491428590568398	0.24825514014217523	0.24469926805861889	0.04760056816801127
22.72727272727273	0.249142859089645	0.24825514020134712	0.24469926808624606	0.04760056818572181
23.232323232323235	0.2491428591224502	0.24825514026051898	0.24469926811387324	0.04760056820343235
