Networkname,Timepoints,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
Gold_7_14_10_2018_13_11.sif,Namespace(dir='100'),4,35,3,7,0.5714285714285714,0.36363636363636365,0.7959183673469388,0.6423444976076556,0.3394573021281205
Gold_8_14_10_2018_13_11.sif,Namespace(dir='100'),3,45,5,11,0.375,0.21428571428571427,0.75,0.5571428571428572,0.14285714285714285
Gold_5_14_10_2018_13_11.sif,Namespace(dir='100'),2,15,2,6,0.5,0.25,0.68,0.5661764705882353,0.16840826742715195
Gold_4_14_10_2018_13_11.sif,Namespace(dir='100'),1,5,3,7,0.25,0.125,0.375,0.375,-0.2886751345948129
Gold_9_14_10_2018_13_11.sif,Namespace(dir='100'),2,62,2,15,0.5,0.11764705882352941,0.7901234567901234,0.5431985294117647,0.16238206039169226
Gold_6_14_10_2018_13_11.sif,Namespace(dir='100'),3,26,2,5,0.6,0.375,0.8055555555555556,0.6517857142857143,0.36493797212992807
