,,,Slide ID,c,b,d,a
,,,Antibody Name,c,b,d,a
,,,HUGO ID,c,b,d,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,39.8989898989899,0.006153249243544751,0.0002722995683852223,0.01873486348002372,0.04956649302726846
C1,no,Insulin,40.40404040404041,0.006153248987545756,0.0002722995517187739,0.01873486294936153,0.049566492016907535
C1,no,Insulin,40.909090909090914,0.006153248758816113,0.00027229953681435636,0.0187348624929618,0.04956649112224075
C1,no,Insulin,41.41414141414142,0.006153248484585024,0.0002722995190184637,0.018734861980884587,0.0495664900576104
C1,no,Insulin,41.919191919191924,0.006153248392819062,0.00027229951288699366,0.01873486179985856,0.04956648971100779
C1,no,Insulin,42.42424242424243,0.006153248314674861,0.00027229950766626785,0.018734861651451256,0.04956648941772188
C1,no,Insulin,42.929292929292934,0.006153248208780323,0.00027229950075610514,0.018734861454139745,0.04956648900882612
C1,no,Insulin,43.43434343434344,0.006153248023504364,0.0002722994889206378,0.018734861105445404,0.04956648827256109
C1,no,Insulin,43.939393939393945,0.006153247890060482,0.00027229948033929437,0.01873486085988034,0.04956648774839081
C1,no,Insulin,44.44444444444445,0.006153247758388201,0.0002722994718779381,0.018734860615796795,0.049566487229966365
C1,no,Insulin,44.949494949494955,0.006153247619169021,0.00027229946294445907,0.018734860349946928,0.049566486678059275
C1,no,Insulin,45.45454545454546,0.006153247478804713,0.0002722994539251451,0.01873486006831801,0.04956648611776676
C1,no,Insulin,45.959595959595966,0.006153247337519611,0.00027229944486194556,0.018734859783328124,0.0495664855521762
C1,no,Insulin,46.46464646464647,0.00615324720251006,0.00027229943621077593,0.01873485951269086,0.04956648501174653
C1,no,Insulin,46.969696969696976,0.006153247087308247,0.0002722994288027722,0.018734859279245324,0.049566484552000294
C1,no,Insulin,47.47474747474748,0.00615324700491015,0.00027229942344500203,0.01873485911122276,0.04956648422783414
C1,no,Insulin,47.979797979797986,0.006153246949755914,0.0002722994198075792,0.018734858996981275,0.04956648401460158
C1,no,Insulin,48.484848484848484,0.00615324690454948,0.0002722994168396414,0.01873485890016956,0.04956648383767376
C1,no,Insulin,48.98989898989899,0.006153246879359234,0.0002722994151607193,0.018734858845702376,0.04956648374107243
C1,no,Insulin,49.494949494949495,0.006153246867541115,0.00027229941436217526,0.01873485882327758,0.049566483697759886
C1,no,Insulin,50.0,0.00615324686257313,0.00027229941403009107,0.018734858819425607,0.04956648368114036
