NON $ % + - . 0
#NON	d	f	a	e	b	c
6.722689075630252	0.16910584764787842	0.2230103849988063	0.007512376047822802	0.18712261762656082	0.16849197128715926	0.2207004757552941
7.142857142857143	0.16911345259753674	0.2229364044233203	0.007517457601578941	0.18713614083092986	0.16849902502610967	0.22070870139549742
7.563025210084033	0.1691180748664286	0.2228939405442934	0.007521432149975384	0.1871443607640468	0.16850343510842028	0.22071406185450168
7.983193277310924	0.16912088418011448	0.22286964679765617	0.007524533179148541	0.18714935687272558	0.16850616922830622	0.22071749281420486
8.403361344537815	0.16912259192703727	0.2228557888740456	0.0075269478341302804	0.18715239406047532	0.16850785384187963	0.2207196599889383
8.823529411764707	0.1691236299398793	0.22284791279424002	0.007528825001400901	0.18715424002711906	0.16850888841301195	0.22072101734131946
9.243697478991598	0.16912426076875633	0.2228434511486538	0.007530282468262909	0.1871553621299939	0.1685095213373011	0.22072186095208052
9.663865546218487	0.16912464439093222	0.2228409342730143	0.0075314129168912005	0.18715604407035352	0.16850990829232837	0.22072238311880693
10.084033613445378	0.16912487721459155	0.22283951755888734	0.007532289047576294	0.18715645887834548	0.16851014427294536	0.22072270466677046
10.504201680672269	0.169125018939893	0.22283872718387837	0.0075329676237270325	0.18715671073258458	0.1685102878770478	0.22072290216008025
10.92436974789916	0.1691251054336942	0.2228382874732073	0.007533492927013823	0.1871568637971242	0.16851037554048645	0.22072302333604404
11.344537815126051	0.1691251570003058	0.22283804428376894	0.0075338993141071	0.18715695668064752	0.16851042852518078	0.22072309704493315
11.764705882352942	0.16912518831621418	0.2228379111361037	0.007534213616252471	0.1871570130371413	0.16851046071076978	0.22072314210479882
12.184873949579831	0.16912520865782013	0.22283783664607767	0.007534456750415713	0.18715704769586794	0.16851048073483196	0.2207231700207348
12.605042016806722	0.16912522109336517	0.22283779612618088	0.007534644790933408	0.18715706881275307	0.16851049292184506	0.22072318701413757
13.025210084033613	0.16912522751791012	0.2228377745912206	0.007534790875758649	0.1871570816809529	0.16851050018784508	0.22072319729864034
13.445378151260504	0.16912523086006676	0.22283776406785963	0.007534903610120608	0.18715708926048297	0.16851050443084456	0.22072320334828366
13.865546218487395	0.169125233572684	0.22283775889076893	0.007534990598118331	0.1871570938303983	0.1685105070808665	0.22072320707197102
14.285714285714286	0.1691252358593079	0.22283775602930916	0.007535057589469644	0.18715709669192376	0.16851050880115662	0.22072320945959603
14.705882352941178	0.16912523700346796	0.22283775455078683	0.007535109477997855	0.18715709844522113	0.16851050982518573	0.22072321089603555
15.126050420168067	0.1691252374639961	0.2228377539223693	0.00753514961786771	0.18715709947921028	0.16851051040633577	0.22072321172160944
15.546218487394958	0.16912523762463533	0.22283775370230172	0.007535180571917493	0.18715710008346975	0.16851051073426082	0.22072321219306654
15.966386554621849	0.16912523779347066	0.22283775361850602	0.0075352044668414	0.18715710045818265	0.16851051094485803	0.22072321249278698
16.386554621848738	0.16912523810068789	0.22283775357576643	0.007535222990049409	0.18715710070632197	0.1685105111051031	0.22072321271196277
16.80672268907563	0.16912523857053344	0.2228377535589161	0.007535237156695779	0.18715710086928167	0.16851051123893823	0.2207232128844636
17.22689075630252	0.16912523923423567	0.2228377535448198	0.007535248140909554	0.18715710099522861	0.16851051137453033	0.22072321305004106
17.647058823529413	0.16912524010912977	0.22283775352145224	0.0075352565617078605	0.18715710110533884	0.16851051152462593	0.22072321322650557
18.067226890756302	0.16912524092220493	0.22283775349274992	0.007535263312037465	0.18715710119963325	0.16851051166002898	0.22072321338455755
18.487394957983195	0.16912524081928154	0.22283775350560153	0.007535269174203459	0.18715710122397824	0.1685105116615705	0.22072321339183673
18.907563025210084	0.16912524037014445	0.22283775352860094	0.00753527363385649	0.18715710121468576	0.1685105116088464	0.22072321333678624
19.327731092436974	0.1691252395747937	0.22283775356174818	0.007535276690996562	0.18715710117175582	0.16851051150185667	0.2207232132194061
19.747899159663866	0.1691252391579134	0.2228377535801516	0.007535279439699395	0.1871571011537072	0.16851051144807058	0.22072321316123342
20.168067226890756	0.16912523892217596	0.2228377535905891	0.0075352815820541276	0.1871571011446055	0.16851051141822485	0.2207232131291743
20.58823529411765	0.16912523875084667	0.22283775359707028	0.007535282941823063	0.18715710113502435	0.1685105113950079	0.22072321310365114
21.008403361344538	0.16912523839493337	0.22283775361189384	0.0075352855243278885	0.18715710111759323	0.16851051134804895	0.22072321305248022
21.42857142857143	0.16912523844785712	0.22283775360850006	0.007535285487204491	0.1871571011183504	0.16851051135408868	0.2207232130587177
21.84873949579832	0.16912523850078084	0.22283775360510624	0.007535285450081094	0.18715710111910758	0.1685105113601284	0.22072321306495518
22.26890756302521	0.1691252385537046	0.22283775360171246	0.007535285412957698	0.18715710111986475	0.16851051136616813	0.22072321307119266
22.689075630252102	0.16912523856195877	0.2228377536009152	0.007535285398180409	0.18715710111963935	0.16851051136693343	0.22072321307190698
23.10924369747899	0.16912523856708844	0.2228377536002996	0.0075352853849661615	0.18715710111934525	0.16851051136732983	0.22072321307223497
23.529411764705884	0.16912523857221815	0.222837753599684	0.007535285371751914	0.18715710111905115	0.1685105113677262	0.22072321307256298
23.949579831932773	0.16912523857734782	0.2228377535990684	0.007535285358537667	0.18715710111875705	0.16851051136812262	0.22072321307289097
24.369747899159663	0.1691252385824775	0.2228377535984528	0.007535285345323419	0.18715710111846295	0.168510511368519	0.22072321307321896
24.789915966386555	0.1691252385876072	0.2228377535978372	0.007535285332109172	0.18715710111816883	0.16851051136891537	0.22072321307354698
25.210084033613445	0.16912523859273687	0.22283775359722158	0.007535285318894924	0.18715710111787473	0.16851051136931178	0.22072321307387496
25.630252100840337	0.16912523859355705	0.2228377535970446	0.007535285313550252	0.18715710111774891	0.16851051136933462	0.22072321307386808
26.050420168067227	0.16912523859402803	0.22283775359690317	0.007535285308843178	0.18715710111763673	0.16851051136932724	0.22072321307383408
26.47058823529412	0.16912523859449904	0.22283775359676172	0.007535285304136104	0.18715710111752454	0.16851051136931983	0.22072321307380008
26.89075630252101	0.16912523859497003	0.2228377535966203	0.00753528529942903	0.18715710111741238	0.16851051136931242	0.22072321307376605
27.310924369747898	0.16912523859544104	0.22283775359647887	0.007535285294721957	0.1871571011173002	0.16851051136930503	0.22072321307373205
27.73109243697479	0.16912523859591203	0.22283775359633742	0.007535285290014883	0.187157101117188	0.16851051136929762	0.22072321307369805
