,,,Slide ID,a,e,b,c,d
,,,Antibody Name,a,e,b,c,d
,,,HUGO ID,a,e,b,c,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,30.303030303030305,0.21448417109225165,0.0037118163459187743,0.007425832356714668,0.22407577645371365,0.005374035504501176
C1,no,Insulin,30.80808080808081,0.21448417108722653,0.003711813186884315,0.00742582811030122,0.224075776447762,0.0053740306001941835
C1,no,Insulin,31.313131313131315,0.2144841710829558,0.0037118103572214276,0.0074258240927206655,0.22407577644270374,0.005374026207231093
C1,no,Insulin,31.81818181818182,0.21448417108008982,0.0037118081718570286,0.007425820776750523,0.22407577643930923,0.005374022814518283
C1,no,Insulin,32.323232323232325,0.21448417107862858,0.003711806630791118,0.007425818162390792,0.22407577643757853,0.005374020422055751
C1,no,Insulin,32.82828282828283,0.21448417107857207,0.0037118057340236954,0.0074258162496414724,0.22407577643751156,0.005374019029843499
C1,no,Insulin,33.333333333333336,0.21448417107776022,0.0037118046897698168,0.0074258145080075945,0.22407577643654997,0.005374017408666181
C1,no,Insulin,33.83838383838384,0.2144841710772266,0.0037118038768941034,0.007425813191328003,0.2240757764359179,0.005374016146696393
C1,no,Insulin,34.343434343434346,0.21448417107719164,0.0037118033762095076,0.00742581235374728,0.2240757764358765,0.0053740153693931005
C1,no,Insulin,34.84848484848485,0.2144841710776554,0.0037118031877160294,0.0074258119952654265,0.2240757764364258,0.005374015076756306
C1,no,Insulin,35.35353535353536,0.21448417107748052,0.0037118021831904486,0.007425810291746788,0.2240757764362186,0.005374013517251313
C1,no,Insulin,35.85858585858586,0.21448417107795947,0.003711802388930468,0.007425810623976209,0.2240757764367859,0.005374013836653798
C1,no,Insulin,36.36363636363637,0.21448417107843845,0.0037118025946704866,0.00742581095620563,0.22407577643735316,0.005374014156056282
C1,no,Insulin,36.86868686868687,0.2144841710789174,0.003711802800410506,0.007425811288435052,0.22407577643792045,0.005374014475458768
C1,no,Insulin,37.37373737373738,0.21448417107939638,0.0037118030061505246,0.007425811620664473,0.22407577643848772,0.005374014794861252
C1,no,Insulin,37.87878787878788,0.21448417107951634,0.003711803073019593,0.0074258117206342355,0.22407577643862983,0.0053740148986729476
C1,no,Insulin,38.38383838383839,0.21448417107961046,0.0037118031298971157,0.007425811803893283,0.2240757764387413,0.005374014986973225
C1,no,Insulin,38.88888888888889,0.21448417107970458,0.003711803186774638,0.00742581188715233,0.2240757764388528,0.005374015075273503
C1,no,Insulin,39.3939393939394,0.21448417107979872,0.0037118032436521606,0.007425811970411377,0.22407577643896429,0.005374015163573781
C1,no,Insulin,39.8989898989899,0.21448417107989284,0.0037118033005296832,0.007425812053670424,0.22407577643907578,0.005374015251874058
C1,no,Insulin,40.40404040404041,0.21448417107998696,0.0037118033574072055,0.007425812136929471,0.22407577643918727,0.005374015340174336
C1,no,Insulin,40.909090909090914,0.2144841710800811,0.003711803414284728,0.007425812220188518,0.22407577643929877,0.005374015428474614
C1,no,Insulin,41.41414141414142,0.21448417108017523,0.0037118034711622508,0.007425812303447565,0.22407577643941026,0.005374015516774891
C1,no,Insulin,41.919191919191924,0.21448417108026935,0.003711803528039773,0.007425812386706612,0.22407577643952176,0.005374015605075169
C1,no,Insulin,42.42424242424243,0.21448417108035372,0.0037118035796050784,0.007425812462098678,0.2240757764396217,0.005374015685128434
C1,no,Insulin,42.929292929292934,0.2144841710803722,0.0037118035953290244,0.007425812484412467,0.2240757764396436,0.00537401570953937
C1,no,Insulin,43.43434343434344,0.21448417108039072,0.00371180361105297,0.007425812506726257,0.2240757764396655,0.005374015733950306
C1,no,Insulin,43.939393939393945,0.2144841710804092,0.003711803626776916,0.007425812529040046,0.22407577643968743,0.005374015758361241
C1,no,Insulin,44.44444444444445,0.21448417108042772,0.0037118036425008616,0.007425812551353835,0.22407577643970933,0.005374015782772177
C1,no,Insulin,44.949494949494955,0.2144841710804462,0.0037118036582248076,0.007425812573667625,0.22407577643973126,0.005374015807183113
C1,no,Insulin,45.45454545454546,0.21448417108046472,0.003711803673948753,0.007425812595981414,0.22407577643975315,0.005374015831594048
C1,no,Insulin,45.959595959595966,0.2144841710804832,0.0037118036896726992,0.007425812618295204,0.22407577643977508,0.005374015856004984
C1,no,Insulin,46.46464646464647,0.21448417108050172,0.003711803705396645,0.0074258126406089925,0.22407577643979698,0.00537401588041592
C1,no,Insulin,46.969696969696976,0.2144841710805202,0.003711803721120591,0.007425812662922782,0.22407577643981888,0.005374015904826855
C1,no,Insulin,47.47474747474748,0.21448417108053294,0.0037118037320477606,0.007425812678424964,0.22407577643983395,0.005374015921790948
C1,no,Insulin,47.979797979797986,0.2144841710805337,0.0037118037330253193,0.007425812679798313,0.22407577643983484,0.005374015923308582
C1,no,Insulin,48.484848484848484,0.21448417108053444,0.0037118037340028776,0.007425812681171661,0.22407577643983576,0.005374015924826216
C1,no,Insulin,48.98989898989899,0.2144841710805352,0.003711803734980436,0.0074258126825450105,0.22407577643983664,0.00537401592634385
C1,no,Insulin,49.494949494949495,0.21448417108053594,0.0037118037359579943,0.007425812683918359,0.22407577643983753,0.005374015927861484
C1,no,Insulin,50.0,0.2144841710805367,0.0037118037369355526,0.0074258126852917074,0.22407577643983842,0.005374015929379118
