Networkname,Nodes,Bin_method,Learn_method,Timepoints,Runtime_in_sec.,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
Gold_6_16_10_2018_14_34.sif,6,KM3,BESTFIT,100,4,2,23,4,7,0.3333333333333333,0.2222222222222222,0.6944444444444444,0.3472222222222222,0.08606629658238704
Gold_4_16_10_2018_14_34.sif,4,KM3,BESTFIT,100,0,3,8,0,5,0.3333333333333333,0.2222222222222222,0.6944444444444444,0.3472222222222222,0.08606629658238704
Gold_5_16_10_2018_14_34.sif,5,KM3,BESTFIT,100,0,1,13,2,9,0.3333333333333333,0.1,0.56,0.28,-0.050251890762960605
