,,,Slide ID,c,d,b,a,e
,,,Antibody Name,c,d,b,a,e
,,,HUGO ID,c,d,b,a,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.25538976233373945,0.5713239003719939,0.5570567384513524,0.9430799886045104,0.5604703351898769
C1,no,Insulin,0.5050505050505051,0.18297566537586793,0.331927803921446,0.1911683964368288,0.39576659193259356,0.3103296316951928
C1,no,Insulin,1.0101010101010102,0.12735826999526736,0.21939748383463772,0.07887677137656834,0.17421983941614683,0.21602037675539235
C1,no,Insulin,1.5151515151515151,0.08732137932634729,0.16276275046483543,0.03875979552908774,0.08167030755847307,0.1698152030170911
C1,no,Insulin,2.0202020202020203,0.05970501305078787,0.13271575126758411,0.021968435657663463,0.041507643894653376,0.13999038885306755
C1,no,Insulin,2.5252525252525255,0.041186171121968124,0.11627528124563442,0.013952993676164347,0.023271502021357682,0.11734895260834202
C1,no,Insulin,3.0303030303030303,0.02900128006274585,0.10722652912751204,0.009756686064528577,0.01455845754075199,0.09920917837695262
C1,no,Insulin,3.5353535353535355,0.021090083048522227,0.10236256656746742,0.007427229790501135,0.010171499250641047,0.08467429378951204
C1,no,Insulin,4.040404040404041,0.016005640440934953,0.09991520680132036,0.006089084567583483,0.007854215871917739,0.07327439775862467
C1,no,Insulin,4.545454545454546,0.012766386247189164,0.09885679272228448,0.005307319836334055,0.006582613295878757,0.0645999943883078
C1,no,Insulin,5.050505050505051,0.010720169993736473,0.09856933680152265,0.0048489094624423485,0.005867026389132485,0.05822201681097423
C1,no,Insulin,5.555555555555556,0.009439299828744946,0.09867734967907002,0.004582049041610716,0.005459661631790303,0.053696662594787045
C1,no,Insulin,6.0606060606060606,0.00864573272208316,0.09895683433966808,0.004429384357626693,0.0052281086864017536,0.05059599173918815
C1,no,Insulin,6.565656565656566,0.008159939383367164,0.09928098209435733,0.004344499641151462,0.0050983173832004035,0.04854005482954936
C1,no,Insulin,7.070707070707071,0.007866742273800513,0.099584759818669,0.00429929019866874,0.005027524227256577,0.04721735618932192
C1,no,Insulin,7.575757575757576,0.007692762107254413,0.09984069622901268,0.004276770281722025,0.004990593979968332,0.0463897155028594
C1,no,Insulin,8.080808080808081,0.007591667527902511,0.10004247923821286,0.004266800867264659,0.004972701218983788,0.04588552696164241
C1,no,Insulin,8.585858585858587,0.007534432080725658,0.10019430015628714,0.004263432295931006,0.004965144139368517,0.04558648692448115
C1,no,Insulin,9.090909090909092,0.007503115490411258,0.10030456666731305,0.004263279261246224,0.004962913493794313,0.045414203597007985
C1,no,Insulin,9.595959595959597,0.007486791941824397,0.10038242734224505,0.004264491013586062,0.004963206253208559,0.04531835148894187
C1,no,Insulin,10.101010101010102,0.007478893742282462,0.100436122140688,0.004266106044375035,0.0049645088049832895,0.04526737385108033
C1,no,Insulin,10.606060606060607,0.007475557208487137,0.10047239641496668,0.004267668335188216,0.0049660533448326475,0.045241995715317736
C1,no,Insulin,11.111111111111112,0.007474558559670019,0.10049645099088378,0.00426899401536234,0.004967486292449513,0.045230663082497694
C1,no,Insulin,11.616161616161618,0.007474662911617216,0.10051213009561517,0.004270040323710467,0.004968677072233606,0.045226709453440386
C1,no,Insulin,12.121212121212121,0.007475208110582472,0.10052217767098372,0.004270827156029647,0.0049696041853532925,0.045226346325066606
C1,no,Insulin,12.626262626262626,0.007475858539177046,0.10052850978365928,0.004271397948077351,0.004970294406463713,0.04522749453582844
C1,no,Insulin,13.131313131313131,0.007476462553453433,0.10053243110992105,0.004271801021646459,0.004970791602628411,0.04522912511430536
C1,no,Insulin,13.636363636363637,0.007476964210322752,0.10053481332826837,0.004272078984403764,0.004971140615095012,0.04523071369242224
C1,no,Insulin,14.141414141414142,0.007477354251611285,0.10053623124370378,0.0042722670204573595,0.00497138026738538,0.04523206977062579
C1,no,Insulin,14.646464646464647,0.0074776437712865155,0.1005370565209356,0.00427239207817483,0.004971541564573168,0.045233150137906186
C1,no,Insulin,15.151515151515152,0.007477851928942037,0.100537522221016,0.004272473804868131,0.0049716482615964445,0.045233965068364065
C1,no,Insulin,15.656565656565657,0.007477997998609639,0.10053777450655331,0.004272526327443835,0.0049717177551345994,0.04523455494653668
C1,no,Insulin,16.161616161616163,0.007478098345247173,0.1005379034924218,0.004272559542266718,0.00497176229556305,0.045234970869584265
C1,no,Insulin,16.666666666666668,0.0074781659353735245,0.10053796319631483,0.004272580176451383,0.004971790327336399,0.04523525893826727
C1,no,Insulin,17.171717171717173,0.007478210611547254,0.10053798572545725,0.004272592736243281,0.00497180763036507,0.04523545457196428
C1,no,Insulin,17.67676767676768,0.0074782396208774565,0.10053798980752095,0.004272600216150562,0.004971818106636442,0.0452355845441091
C1,no,Insulin,18.181818181818183,0.007478258215746931,0.10053798638732302,0.004272604623500141,0.004971824388981677,0.045235669421166434
C1,no,Insulin,18.68686868686869,0.007478269981064409,0.10053798043480018,0.004272607167717426,0.00497182809286339,0.04523572395999359
C1,no,Insulin,19.191919191919194,0.007478277220489713,0.10053797350179218,0.004272608523590376,0.0049718301359625,0.04523575836933104
C1,no,Insulin,19.6969696969697,0.007478281550561636,0.10053796693124757,0.004272609180011005,0.0049718311825781665,0.04523577967537198
C1,no,Insulin,20.202020202020204,0.007478284054619935,0.10053796135011707,0.004272609446047183,0.004971831659064611,0.04523579253964347
C1,no,Insulin,20.70707070707071,0.007478285430598369,0.10053795690526686,0.004272609504417404,0.004971831821536076,0.045235800030846235
C1,no,Insulin,21.212121212121215,0.0074782861912931955,0.1005379536640868,0.004272609486730461,0.004971831855123353,0.04523580440836414
C1,no,Insulin,21.71717171717172,0.0074782866225097016,0.10053795144372689,0.004272609452298679,0.0049718318468163205,0.04523580699682923
C1,no,Insulin,22.222222222222225,0.007478286828458284,0.10053794999656436,0.004272609410906085,0.004971831815513019,0.04523580830006911
C1,no,Insulin,22.72727272727273,0.0074782869511497456,0.10053794909529958,0.004272609383726774,0.004971831794186145,0.04523580907713887
C1,no,Insulin,23.232323232323235,0.007478286935285946,0.10053794844116948,0.004272609337796816,0.004971831741826745,0.045235809151880385
C1,no,Insulin,23.73737373737374,0.007478286904840996,0.1005379480236559,0.00427260930340326,0.004971831701225148,0.04523580910668023
C1,no,Insulin,24.242424242424242,0.007478286796420412,0.10053794765444879,0.004272609252804071,0.004971831636452479,0.04523580871855489
C1,no,Insulin,24.747474747474747,0.00747828669796256,0.10053794739313998,0.004272609211586691,0.0049718315829257054,0.045235808349606936
C1,no,Insulin,25.252525252525253,0.007478286589476844,0.10053794719378101,0.004272609171890044,0.004971831530340528,0.045235807928029705
C1,no,Insulin,25.757575757575758,0.0074782865012933955,0.10053794707169515,0.004272609142174659,0.004971831490505778,0.04523580757263423
C1,no,Insulin,26.262626262626263,0.007478286418567789,0.1005379469016443,0.004272609110816085,0.004971831449041495,0.045235807268632515
C1,no,Insulin,26.767676767676768,0.007478286328221425,0.10053794659567872,0.004272609068975466,0.004971831394878883,0.04523580699188177
C1,no,Insulin,27.272727272727273,0.007478286257061118,0.10053794635989721,0.004272609036352558,0.004971831352626163,0.04523580677116257
C1,no,Insulin,27.77777777777778,0.007478286211908153,0.1005379462530586,0.00427260901834717,0.004971831329014742,0.045235806608737
