Networkname,Nodes,Bin_method,Learn_method,Timepoints,Runtime_in_sec.,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
Network_14_16_10_2018_23_20.sif,14,KM3,BESTFIT,150,7,3,159,12,22,0.2,0.12,0.826530612244898,0.413265306122449,0.06252110237916646
Network_5_16_10_2018_23_20.sif,5,KM3,BESTFIT,150,1,0,12,4,9,0.0,0.0,0.48,0.24,-0.32732683535398854
Network_12_16_10_2018_23_20.sif,12,KM3,BESTFIT,150,5,1,113,9,21,0.1,0.045454545454545456,0.7916666666666666,0.3958333333333333,-0.04007466839094956
Network_8_16_10_2018_23_20.sif,8,KM3,BESTFIT,150,2,2,44,6,12,0.25,0.14285714285714285,0.71875,0.359375,0.02857142857142857
Network_13_16_10_2018_23_20.sif,13,KM3,BESTFIT,150,7,2,131,13,23,0.13333333333333333,0.08,0.7869822485207101,0.39349112426035504,-0.012830526669720716
Network_6_16_10_2018_23_20.sif,6,KM3,BESTFIT,150,0,3,21,3,9,0.5,0.25,0.6666666666666666,0.3333333333333333,0.15811388300841897
Network_11_16_10_2018_23_20.sif,11,KM3,BESTFIT,150,7,1,89,14,17,0.06666666666666667,0.05555555555555555,0.743801652892562,0.371900826446281,-0.08678263675380168
Network_9_16_10_2018_23_20.sif,9,KM3,BESTFIT,150,1,0,60,9,12,0.0,0.0,0.7407407407407407,0.37037037037037035,-0.14744195615489714
Network_10_16_10_2018_23_20.sif,10,KM3,BESTFIT,150,2,2,74,10,14,0.16666666666666666,0.125,0.76,0.38,0.006715191366878169
Network_4_16_10_2018_23_20.sif,4,KM3,BESTFIT,150,0,1,6,3,6,0.25,0.14285714285714285,0.4375,0.21875,-0.21821789023599236
Network_7_16_10_2018_23_20.sif,7,KM3,BESTFIT,150,2,1,33,3,12,0.25,0.07692307692307693,0.6938775510204082,0.3469387755102041,-0.010336227882434039

Mean_Nodes,9.0
Mean_Runtime,3.090909090909091
Mean_BACC,0.34756891539784784
Mean_MCC,-0.05337173964689927
Mean_ACC,0.6951378307956957
Mean_Precision,0.17424242424242425
Mean_Recall,0.09442249669522397
