0,Networkname,Nodes,Bin_method,Learn_method,Timepoints,Runtime_in_sec.,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
1,Ecoli_11_1.sif,9,KM3,REVEAL,100,4,1,65,7,8,0.125,0.1111111111,0.8148148148,0.5069444444,0.0146301434
1,Ecoli_10_1.sif,10,KM3,REVEAL,100,11,0,84,6,10,0,0,0.84,0.4666666667,-0.0842151921
1,Ecoli_13_1.sif,12,KM3,REVEAL,100,85,2,122,10,10,0.1666666667,0.1666666667,0.8611111111,0.5454545455,0.0909090909
1,Ecoli_12_1.sif,12,KM3,REVEAL,100,92,1,124,8,11,0.1111111111,0.0833333333,0.8680555556,0.5113636364,0.0259499648
1,Ecoli_14_1.sif,14,KM3,REVEAL,100,1359,0,169,13,14,0,0,0.862244898,0.4642857143,-0.0739221271
2,Ecoli_10_2.sif,10,KM3,REVEAL,100,11,2,74,8,16,0.2,0.1111111111,0.76,0.5067750678,0.0173526402
2,Ecoli_11_2.sif,11,KM3,REVEAL,100,46,0,89,12,20,0,0,0.7355371901,0.4405940594,-0.1476493995
2,Ecoli_12_2.sif,12,KM3,REVEAL,100,92,5,113,7,19,0.4166666667,0.2083333333,0.8194444444,0.575,0.2022599587
2,Ecoli_13_2.sif,13,KM3,REVEAL,100,708,2,140,8,19,0.2,0.0952380952,0.8402366864,0.5205920206,0.0575798995
2,Ecoli_14_2.sif,14,KM3,REVEAL,100,1340,2,161,8,25,0.2,0.0740740741,0.8316326531,0.513368398,0.0418772471
3,Ecoli_10_3.sif,10,KM3,REVEAL,100,11,1,68,7,24,0.125,0.04,0.69,0.4733333333,-0.0851256531
3,Ecoli_11_3.sif,11,KM3,REVEAL,100,37,3,84,8,26,0.2727272727,0.1034482759,0.7190082645,0.5082458771,0.024488776
3,Ecoli_12_3.sif,12,KM3,REVEAL,100,98,3,102,8,31,0.2727272727,0.0882352941,0.7291666667,0.5077540107,0.0247953378
3,Ecoli_13_3.sif,13,KM3,REVEAL,100,724,2,130,10,27,0.1666666667,0.0689655172,0.7810650888,0.4987684729,-0.0036157345
3,Ecoli_14_3.sif,14,KM3,REVEAL,100,1217,1,145,11,39,0.0833333333,0.025,0.7448979592,0.4772435897,-0.0765114638
4,Ecoli_10_4.sif,10,KM3,REVEAL,100,10,4,63,3,30,0.5714285714,0.1176470588,0.67,0.5360962567,0.1340334184
4,Ecoli_11_4.sif,11,KM3,REVEAL,100,37,4,77,6,34,0.4,0.1052631579,0.6694214876,0.5164870006,0.0555828748
