,,,Slide ID,b,c,a,e,d
,,,Antibody Name,b,c,a,e,d
,,,HUGO ID,b,c,a,e,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,36.36363636363637,0.15982204649720017,0.14208624989240723,0.08557182002663687,0.019578500805377447,0.18620061027390977
C1,no,Insulin,36.86868686868687,0.15982204648940632,0.1420862498816167,0.08557182002086589,0.01957850080340029,0.18620061027709414
C1,no,Insulin,37.37373737373738,0.15982204648161247,0.1420862498708262,0.0855718200150949,0.01957850080142313,0.18620061028027848
C1,no,Insulin,37.87878787878788,0.15982204647381862,0.14208624986003568,0.08557182000932392,0.019578500799445973,0.18620061028346285
C1,no,Insulin,38.38383838383839,0.15982204646602477,0.14208624984924517,0.08557182000355293,0.019578500797468812,0.1862006102866472
C1,no,Insulin,38.88888888888889,0.15982204645823095,0.14208624983845464,0.08557181999778195,0.019578500795491654,0.18620061028983154
C1,no,Insulin,39.3939393939394,0.1598220464504371,0.14208624982766413,0.08557181999201097,0.019578500793514496,0.1862006102930159
C1,no,Insulin,39.8989898989899,0.15982204644264325,0.14208624981687362,0.08557181998623997,0.019578500791537338,0.18620061029620025
C1,no,Insulin,40.40404040404041,0.1598220464348494,0.14208624980608311,0.08557181998046899,0.01957850078956018,0.18620061029938462
C1,no,Insulin,40.909090909090914,0.15982204642705555,0.14208624979529258,0.08557181997469801,0.019578500787583022,0.18620061030256896
C1,no,Insulin,41.41414141414142,0.1598220464192617,0.14208624978450207,0.08557181996892703,0.019578500785605864,0.1862006103057533
C1,no,Insulin,41.919191919191924,0.1598220464178649,0.14208624978256099,0.08557181996788887,0.019578500785249798,0.1862006103063258
C1,no,Insulin,42.42424242424243,0.15982204641721326,0.14208624978165066,0.08557181996740199,0.019578500785082564,0.18620061030659404
C1,no,Insulin,42.929292929292934,0.15982204641656161,0.14208624978074036,0.08557181996691511,0.019578500784915333,0.1862006103068623
C1,no,Insulin,43.43434343434344,0.15982204641590997,0.14208624977983006,0.08557181996642824,0.0195785007847481,0.18620061030713056
C1,no,Insulin,43.939393939393945,0.15982204641525832,0.14208624977891973,0.08557181996594135,0.019578500784580864,0.18620061030739882
C1,no,Insulin,44.44444444444445,0.15982204641460668,0.14208624977800943,0.08557181996545447,0.01957850078441363,0.18620061030766707
C1,no,Insulin,44.949494949494955,0.15982204641395503,0.14208624977709913,0.0855718199649676,0.019578500784246396,0.18620061030793536
C1,no,Insulin,45.45454545454546,0.15982204641330341,0.1420862497761888,0.08557181996448072,0.01957850078407916,0.18620061030820362
C1,no,Insulin,45.959595959595966,0.15982204641265177,0.1420862497752785,0.08557181996399384,0.019578500783911927,0.18620061030847188
C1,no,Insulin,46.46464646464647,0.15982204641200012,0.14208624977436818,0.08557181996350696,0.019578500783744693,0.18620061030874013
C1,no,Insulin,46.969696969696976,0.15982204641134848,0.14208624977345788,0.08557181996302009,0.01957850078357746,0.1862006103090084
C1,no,Insulin,47.47474747474748,0.15982204641069683,0.14208624977254758,0.08557181996253321,0.019578500783410224,0.18620061030927665
C1,no,Insulin,47.979797979797986,0.1598220464100452,0.14208624977163725,0.08557181996204632,0.01957850078324299,0.1862006103095449
C1,no,Insulin,48.484848484848484,0.15982204640939354,0.14208624977072695,0.08557181996155945,0.019578500783075756,0.18620061030981316
C1,no,Insulin,48.98989898989899,0.1598220464087419,0.14208624976981665,0.08557181996107258,0.01957850078290852,0.18620061031008142
C1,no,Insulin,49.494949494949495,0.15982204640809025,0.14208624976890633,0.0855718199605857,0.01957850078274129,0.18620061031034968
C1,no,Insulin,50.0,0.1598220464074386,0.14208624976799603,0.08557181996009881,0.019578500782574056,0.18620061031061794
