NON $ % + - . 0
#NON	a	d	c	b	e	f
0.0	0.24823121093504874	0.8395478597119947	0.09186675564474822	0.2591773267290012	0.22801757305055104	0.6189108617646782
0.5050505050505051	0.13833497762991445	0.388436749244601	0.05034604350403235	0.26793108519597114	0.2531972122788722	0.23979600650952032
1.0101010101010102	0.07706334945438323	0.18433641816449062	0.026390937946685566	0.2507965319533572	0.2314632904827096	0.09629170547023291
1.5151515151515151	0.04261947664767618	0.08914543551606538	0.013374795828147488	0.2206024725561698	0.19619757128315624	0.04007844486289792
2.0202020202020203	0.023329550214669603	0.04365701014626981	0.006619164064162852	0.18577555045782984	0.1597189830703981	0.017244845081473878
2.5252525252525255	0.012631213664497834	0.02154450949013636	0.003224103682070766	0.15143379672763968	0.12663757238743942	0.0076365898039019164
3.0303030303030303	0.006767399990242993	0.010676960816577156	0.0015542430050253298	0.12035010114122943	0.09848578199662707	0.003462171709059047
3.5353535353535355	0.0035910697359220678	0.005301346327264705	0.0007442317806790012	0.09373236090894375	0.075454022916281	0.0015985337482692676
4.040404040404041	0.0018891798525577255	0.00263323519860385	0.00035474832596193875	0.07181686297484517	0.05712736102418748	0.0007480827469125725
4.545454545454546	0.000986181940339096	0.0013070934095803267	0.0001685211042520019	0.05429451591852988	0.042845167522010445	0.000353403303126113
5.050505050505051	0.0005112157739897574	0.0006479162820054208	7.982210506922281e-05	0.040597879199204254	0.03189149035239302	0.000167979051277358
5.555555555555556	0.0002633306057876711	0.0003205628429049692	3.770453703800583e-05	0.030080642296315102	0.02359439106684552	8.013136486943317e-05
6.0606060606060606	0.00013485292603013542	0.0001582347569543722	1.7758247519224777e-05	0.022118874848400378	0.01737026477134411	3.8285123887296035e-05
6.565656565656566	6.867996356992206e-05	7.789627176360365e-05	8.337186566160504e-06	0.016160248476178907	0.012735920393617917	1.8291502231833756e-05
7.070707070707071	3.479955663870707e-05	3.8236548201669516e-05	3.901068449447721e-06	0.011742581442052102	0.009306306719184825	8.72980254968976e-06
7.575757575757576	1.7547372053310435e-05	1.8711822228054598e-05	1.8189683041655654e-06	0.008492535152442872	0.00678016346521868	4.1586604566808e-06
8.080808080808081	8.807800266396079e-06	9.12853269595168e-06	8.451110698070159e-07	0.006117053742359272	0.0049271781383451365	1.976404949505521e-06
8.585858585858587	4.401639150617601e-06	4.438872076206615e-06	3.911642737168585e-07	0.004390309278238736	0.0035724511933260396	9.366073307769888e-07
9.090909090909092	2.1908223546239527e-06	2.1517958708131774e-06	1.8040949432727315e-07	0.0031410068015662444	0.0025848348340976853	4.4257562696008744e-07
9.595959595959597	1.0857737317550085e-06	1.0393463773385914e-06	8.285335534212032e-08	0.0022407858869667794	0.0018666502305756461	2.0836841712604738e-07
10.101010101010102	5.359108547480848e-07	5.002302475381901e-07	3.789167751721358e-08	0.001594379295989642	0.0013454865018177426	9.773927397980667e-08
10.606060606060607	2.634004105026694e-07	2.398311282121213e-07	1.725023913456184e-08	0.0011316696172440383	0.0009680348413335456	4.565847800384166e-08
11.111111111111112	1.2902777934395795e-07	1.1464873208556566e-07	7.828076213402202e-09	0.0008014020502416815	0.0006952175284961046	2.1264561171707006e-08
11.616161616161618	6.302840660867812e-08	5.4674987604966764e-08	3.5429836430337442e-09	0.0005663556416232432	0.0004985571271950375	9.878739386614411e-09
12.121212121212121	3.065775732321887e-08	2.5964729672753295e-08	1.5954642897689549e-09	0.00039945022093473083	0.0003569793459417045	4.5680929042504765e-09
12.626262626262626	1.4851392615237098e-08	1.228008346180735e-08	7.149481879273021e-10	0.0002811822263140949	0.0002551733503604708	2.102812942947558e-09
13.131313131313131	7.166320163047369e-09	5.785147149059842e-09	3.1891126921213503e-10	0.00019754914348813244	0.00018208127804137568	9.638121362895308e-10
13.636363636363637	3.4465362625857867e-09	2.716481070571365e-09	1.4172759040673826e-10	0.0001385407019007796	0.0001297310394250093	4.4019162192392867e-10
