NON $ % + - .
#NON	b	a	d	c	e
0.0	0.9800720208467163	0.9783327903657705	0.8843810473413104	0.6521783305118787	0.8222270313058364
0.5050505050505051	0.470160730501178	0.46413561505579476	0.35152617432192046	0.45981924572271243	0.3821871035842027
1.0101010101010102	0.23230372527066878	0.28633955661408916	0.1929700841809472	0.3461964589003841	0.22081581057149707
1.5151515151515151	0.12248065970887644	0.21726182293147175	0.14127097506433747	0.2702518205743384	0.15972131018028587
2.0202020202020203	0.07231349344579968	0.18802708819097427	0.12442503527966241	0.216122695015313	0.13742920467810613
2.5252525252525255	0.049642777397876765	0.1750002606728579	0.11997040290824408	0.17766747728825713	0.13053421065215862
3.0303030303030303	0.03952186657175924	0.16903341928229249	0.11974033682902467	0.1515596690998631	0.12937428870458856
3.5353535353535355	0.03506801411057655	0.1662623439950845	0.12061047766867274	0.13485831956223	0.12995859981039035
4.040404040404041	0.03314066403738446	0.16496677384741204	0.12150053192216206	0.1247529332740774	0.13080013687920075
4.545454545454546	0.03232276865691486	0.16435911210826418	0.12214295640446522	0.11890938945890031	0.13146407333006419
5.050505050505051	0.03198362439456852	0.16407366973144244	0.1225454297819231	0.11564663239149797	0.13189831182997205
5.555555555555556	0.03184693346342927	0.16393948969055747	0.12277848739094292	0.113873267949306	0.13215649176106511
6.0606060606060606	0.03179383179145007	0.16387639335467236	0.12290676409266507	0.1129294299833893	0.132301238638229
6.565656565656566	0.031774238865770126	0.16384671932956713	0.12297487846257492	0.11243540711548325	0.1323791761781217
7.070707070707071	0.031767564963180325	0.16383276120488044	0.12301007994583081	0.11218028539155141	0.13241990370487372
7.575757575757576	0.03176560912653289	0.1638261958504491	0.12302788603693347	0.1120499855023397	0.13244069583216284
8.080808080808081	0.03176523069694239	0.16382310735751943	0.12303673494449992	0.11198404088998361	0.13245111059259923
8.585858585858587	0.03176529838900446	0.16382165540067575	0.12304106553580692	0.11195092915826317	0.13245624315852494
9.090909090909092	0.031765438540240304	0.16382097235919607	0.12304315712624715	0.11193440656758236	0.13245873758186072
9.595959595959597	0.03176555140139532	0.16382065085446407	0.12304415494539418	0.11192620666068243	0.13245993440072273
10.101010101010102	0.03176562490540424	0.1638204996522495	0.1230446261309548	0.11192215423521178	0.1324605025890768
10.606060606060607	0.031765668057944674	0.16382042852654952	0.12304484651988475	0.11192015800609702	0.1324607696654747
11.111111111111112	0.03176569190096337	0.1638203950871102	0.12304494847034655	0.11191917824754292	0.13246089384017365
11.616161616161618	0.03176570450220865	0.1638203793922857	0.12304499515549107	0.11191869901437422	0.13246095096187088
12.121212121212121	0.031765710974990834	0.16382037196563362	0.12304501652631655	0.11191846358607314	0.13246097723450279
12.626262626262626	0.03176571421507794	0.16382036842481165	0.1230450263169	0.11191834740727755	0.13246098931063346
13.131313131313131	0.03176571585494957	0.16382036677369682	0.12304503066666744	0.1119182905225656	0.13246099470777503
13.636363636363637	0.03176571661290866	0.16382036605756595	0.12304503240413507	0.11191826436228712	0.13246099688358698
14.141414141414142	0.031765716959820674	0.1638203657197431	0.12304503316220984	0.11191825164465177	0.1324609978360053
14.646464646464647	0.03176571712624449	0.16382036554428153	0.123045033546385	0.1119182450176281	0.132460998316503
15.151515151515152	0.03176571720736488	0.16382036545799872	0.12304503372903243	0.11191824166036708	0.13246099854541318
15.656565656565657	0.031765717247131516	0.16382036541696018	0.12304503381078356	0.1119182399854357	0.13246099864876165
16.161616161616163	0.03176571726603712	0.16382036539688866	0.12304503384826129	0.1119182391399304	0.13246099869627218
16.666666666666668	0.031765717280312106	0.16382036538162853	0.123045033876336	0.11191823849230427	0.13246099873189723
17.171717171717173	0.031765717291299546	0.16382036536992303	0.12304503389775324	0.11191823799282433	0.13246099875911294
17.67676767676768	0.03176571729631309	0.16382036536434635	0.12304503390732241	0.11191823774708802	0.13246099877128006
18.181818181818183	0.03176571729535274	0.16382036536489852	0.12304503390504348	0.11191823775509534	0.13246099876839867
18.68686868686869	0.03176571729270414	0.1638203653672521	0.12304503389950178	0.11191823784021084	0.13246099876136944
19.191919191919194	0.03176571729347237	0.16382036536625233	0.12304503390092417	0.11191823779202494	0.13246099876317732
