NON Galpha_GTP APLC IP3 Ca_ER Ca_Cyt DG Raplc Rpkc Rgalpha_gtp Rdg Rip3 Rcyt1 Rcyt2 Rer PLC R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 Cytosol ER Kp Kd Kr n Kg m Ks Kc1 Kc2 w Ker Cplc_total k0 k1 k2 k3 k4 k5 k6 k7 k8 k9 k10 k11 
#NON Galpha_GTP APLC IP3 Ca_ER Ca_Cyt DG Raplc Rpkc Rgalpha_gtp Rdg Rip3 Rcyt1 Rcyt2 Rer PLC R1 R2 R3 R4 R5 R6 R7 R8 R9 R10 R11 Cytosol ER Kp Kd Kr n Kg m Ks Kc1 Kc2 w Ker Cplc_total k0 k1 k2 k3 k4 k5 k6 k7 k8 k9 k10 k11 
0 1.0000000000 9.0000000000 1.0000000000 1000.0000000000000 200.000000000000 1.0000000000 0.6923076923 0.0454545455 0.00000255999 0.0099009901 0.0000639959 0.1666666667 0.0909090909 0.9995783029 1.0000000000 0.1000000000 3.4000000000 2.7692307692 0.2045454545 0.0000000304158 1.0800000000 126.000000000000 2.0000000000 -99.328326 272.727272727273 260.000000000000 1.0000000000 1.0000000000 4.0000000000 10.00000000000 200.000000000000 4.0000000000 25.00000000000 2.0000000000 25.00000000000 1000.0000000000000 2000.0000000000000 3.0000000000 75.00000000000 10.00000000000 0.1000000000 3.4000000000 4.0000000000 4.5000000000 1.2000000000 0.1200000000 14.00000000000 2.0000000000 10500.00000000000000 600.000000000000 3000.0000000000000 260.000000000000 
10 0.1279442369 2.7107399347 20.18634528649 929.930803188965 723.947760871641 20.18634528649 0.4039405432 0.5239706659 0.000000 0.8029512139 0.3448830772 0.4199360197 0.2657715288 0.9994756707 7.2892600653 0.1000000000 0.4350104054 0.2067274582 0.3016756215 0.00000000481811 0.3252887922 37.95035908573 40.37269057298 3367.4119596922769 797.314586502919 260.000000000000 1.0000000000 1.0000000000 4.0000000000 10.00000000000 200.000000000000 4.0000000000 25.00000000000 2.0000000000 25.00000000000 1000.0000000000000 2000.0000000000000 3.0000000000 75.00000000000 10.00000000000 0.1000000000 3.4000000000 4.0000000000 4.5000000000 1.2000000000 0.1200000000 14.00000000000 2.0000000000 10500.00000000000000 600.000000000000 3000.0000000000000 260.000000000000 
20 18.06712739457 4.1807234876 22.85601108613 918.308394733158 594.103962503883 22.85601108613 0.5110456910 0.5204400232 0.2143120092 0.8393309078 0.4331562869 0.3726883418 0.2290208762 0.9994555204 5.8192765124 0.1000000000 61.42823314154 36.93251041481 42.31285289960 1.2561166253 0.5016868185 58.53012882586 45.71202217225 4322.0516378593247 687.062628666325 260.000000000000 1.0000000000 1.0000000000 4.0000000000 10.00000000000 200.000000000000 4.0000000000 25.00000000000 2.0000000000 25.00000000000 1000.0000000000000 2000.0000000000000 3.0000000000 75.00000000000 10.00000000000 0.1000000000 3.4000000000 4.0000000000 4.5000000000 1.2000000000 0.1200000000 14.00000000000 2.0000000000 10500.00000000000000 600.000000000000 3000.0000000000000 260.000000000000 
30 1.8152232966 1.3646059582 10.16162949116 888.031919252207 648.227174131888 10.16162949116 0.2543720767 0.3851702875 0.0000277938 0.5080161727 0.0629278742 0.3932875178 0.2447777821 0.9993979445 8.6353940418 0.1000000000 6.1717592086 1.8469684785 3.1462653558 0.0001463151 0.1637527150 19.10448341505 20.32325898232 424.372364757428 734.333346244416 260.000000000000 1.0000000000 1.0000000000 4.0000000000 10.00000000000 200.000000000000 4.0000000000 25.00000000000 2.0000000000 25.00000000000 1000.0000000000000 2000.0000000000000 3.0000000000 75.00000000000 10.00000000000 0.1000000000 3.4000000000 4.0000000000 4.5000000000 1.2000000000 0.1200000000 14.00000000000 2.0000000000 10500.00000000000000 600.000000000000 3000.0000000000000 260.000000000000 
40 0.4536229741 2.1539077948 16.03968883564 860.511567402150 689.971966450616 16.03968883564 0.3500065108 0.4775460613 0.000000108398 0.7201009121 0.2089231123 0.4082742082 0.2564978279 0.9993383532 7.8460922052 0.1000000000 1.5423181119 0.6350839775 0.9748163907 0.000000734934 0.2584689354 30.15470912696 32.07937767128 1947.2767044960974 769.493483637704 260.000000000000 1.0000000000 1.0000000000 4.0000000000 10.00000000000 200.000000000000 4.0000000000 25.00000000000 2.0000000000 25.00000000000 1000.0000000000000 2000.0000000000000 3.0000000000 75.00000000000 10.00000000000 0.1000000000 3.4000000000 4.0000000000 4.5000000000 1.2000000000 0.1200000000 14.00000000000 2.0000000000 10500.00000000000000 600.000000000000 3000.0000000000000 260.000000000000 
50 1.8395805767 3.3330841943 24.69420626466 841.478217865682 651.476689510130 24.69420626466 0.4545269229 0.5445831919 0.0000293159 0.8591160025 0.4907706687 0.3944813110 0.2457033441 0.9992924653 6.6669158057 0.1000000000 6.2545739609 3.3445555960 4.5081209803 0.0002014933 0.3999701033 46.66317871978 49.38841252933 4912.7572434469112 737.110032406688 260.000000000000 1.0000000000 1.0000000000 4.0000000000 10.00000000000 200.000000000000 4.0000000000 25.00000000000 2.0000000000 25.00000000000 1000.0000000000000 2000.0000000000000 3.0000000000 75.00000000000 10.00000000000 0.1000000000 3.4000000000 4.0000000000 4.5000000000 1.2000000000 0.1200000000 14.00000000000 2.0000000000 10500.00000000000000 600.000000000000 3000.0000000000000 260.000000000000 
60 20.98885998245 1.4572852217 8.6567124518 824.705432383590 580.466002369921 8.6567124518 0.2670348282 0.3450965938 0.3319151063 0.4283710987 0.0398631918 0.3672752223 0.2249461926 0.9992484451 8.5427147783 0.1000000000 71.36212394033 22.41902647933 32.59432839023 1.4575529253 0.1748742266 20.40199310370 17.31342490359 197.883806813243 674.838577803563 260.000000000000 1.0000000000 1.0000000000 4.0000000000 10.00000000000 200.000000000000 4.0000000000 25.00000000000 2.0000000000 25.00000000000 1000.0000000000000 2000.0000000000000 3.0000000000 75.00000000000 10.00000000000 0.1000000000 3.4000000000 4.0000000000 4.5000000000 1.2000000000 0.1200000000 14.00000000000 2.0000000000 10500.00000000000000 600.000000000000 3000.0000000000000 260.000000000000 
70 1.1659919733 1.5415849518 11.47983079478 794.737070901968 645.256955085184 11.47983079478 0.2781848452 0.4079891112 0.00000473173 0.5685685167 0.0882773298 0.3921922063 0.2439297830 0.9991602529 8.4584150482 0.1000000000 3.9643727091 1.2974451862 2.1407041298 0.0000273070 0.1849901942 21.58218932549 22.95966158956 690.818267907602 731.789349058990 260.000000000000 1.0000000000 1.0000000000 4.0000000000 10.00000000000 200.000000000000 4.0000000000 25.00000000000 2.0000000000 25.00000000000 1000.0000000000000 2000.0000000000000 3.0000000000 75.00000000000 10.00000000000 0.1000000000 3.4000000000 4.0000000000 4.5000000000 1.2000000000 0.1200000000 14.00000000000 2.0000000000 10500.00000000000000 600.000000000000 3000.0000000000000 260.000000000000 
80 0.5090629688 2.3585603925 17.56342128081 768.795680067822 678.869509299639 17.56342128081 0.3709267895 0.4921957974 0.000000171920 0.7551862370 0.2574676676 0.4043610927 0.2534164157 0.9990724273 7.6414396075 0.1000000000 1.7308140941 0.7553003708 1.1275139424 0.00000119052 0.2830272471 33.01984549517 35.12684256162 2458.2862441879151 760.249247239880 260.000000000000 1.0000000000 1.0000000000 4.0000000000 10.00000000000 200.000000000000 4.0000000000 25.00000000000 2.0000000000 25.00000000000 1000.0000000000000 2000.0000000000000 3.0000000000 75.00000000000 10.00000000000 0.1000000000 3.4000000000 4.0000000000 4.5000000000 1.2000000000 0.1200000000 14.00000000000 2.0000000000 10500.00000000000000 600.000000000000 3000.0000000000000 260.000000000000 
