NON	A	B	C	D	E	F	G	H	I	NON	NON	NON	NON	NON	NON	NON
#NON Receptor R-Smad_cyt R-Smad-P_cyt Smad4_cyt R-Smad-P-Smad4_cyt R-Smad-P-Smad4_nuc R-Smad_nuc R-Smad-P_nuc Smad4_nuc NON	NON	NON	NON	NON	NON	NON
390	1118.11	134078	165.062	116223	74.9421	31314.9	13636.3	730.627	2387.05	918941	1	1	134318	45681.9	116298	33702	
400	1105.69	134484	162.932	116673	74.261	30883.6	13674.2	720.782	2369.24	931765	1	1	134721	45278.6	116747	33252.8	
410	1094.58	134849	161.032	117076	73.6488	30496.7	13708.1	711.946	2353.22	944437	1	1	135083	44916.8	117150	32850	
420	1084.63	135175	159.338	117438	73.0986	30149.9	13738.5	704.019	2338.82	956971	1	1	135408	44592.4	117511	32488.7	
430	1075.73	135468	157.825	117763	72.6045	29838.9	13765.8	696.909	2325.88	969382	1	1	135698	44301.6	117835	32164.8	
440	1067.77	135730	156.475	118053	72.1608	29560.2	13790.2	690.534	2314.26	981681	1	1	135959	44040.9	118126	31874.4	
450	1060.64	135966	155.269	118314	71.7626	29310.5	13812.1	684.819	2303.82	993882	1	1	136193	43807.4	118386	31614.3	
460	1054.26	136176	154.193	118547	71.4053	29086.7	13831.7	679.698	2294.46	1.00599e+06	1	1	136402	43598.1	118619	31381.2	
470	1048.56	136365	153.231	118757	71.0849	28886.3	13849.2	675.109	2286.06	1.01802e+06	1	1	136589	43410.7	118828	31172.4	
480	1043.45	136534	152.371	118944	70.7975	28706.8	13865	670.998	2278.52	1.02998e+06	1	1	136757	43242.8	119015	30985.3	
490	1038.88	136685	151.603	119112	70.5399	28546.1	13879.1	667.315	2271.76	1.04188e+06	1	1	136908	43092.4	119182	30817.8	
510	1034.79	136821	150.917	119262	70.309	28402.1	13891.7	664.016	2265.7	1.05372e+06	1	1	137042	42957.8	119332	30667.8	
520	1034.79	136821	150.917	119262	70.309	28402.1	13891.7	664.016	2265.7	1.05372e+06	1	1	137042	42957.8	119332	30667.8	
530	1034.79	136821	150.917	119262	70.309	28402.1	13891.7	664.016	2265.7	1.05372e+06	1	1	137042	42957.8	119332	30667.8	
540	1034.79	136821	150.917	119262	70.309	28402.1	13891.7	664.016	2265.7	1.05372e+06	1	1	137042	42957.8	119332	30667.8	
550	1034.79	136821	150.917	119262	70.309	28402.1	13891.7	664.016	2265.7	1.05372e+06	1	1	137042	42957.8	119332	30667.8	
560	1034.79	136821	150.917	119262	70.309	28402.1	13891.7	664.016	2265.7	1.05372e+06	1	1	137042	42957.8	119332	30667.8	
570	1034.79	136821	150.917	119262	70.309	28402.1	13891.7	664.016	2265.7	1.05372e+06	1	1	137042	42957.8	119332	30667.8	
580	1034.79	136821	150.917	119262	70.309	28402.1	13891.7	664.016	2265.7	1.05372e+06	1	1	137042	42957.8	119332	30667.8	
590	1034.79	136821	150.917	119262	70.309	28402.1	13891.7	664.016	2265.7	1.05372e+06	1	1	137042	42957.8	119332	30667.8	
600	1034.79	136821	150.917	119262	70.309	28402.1	13891.7	664.016	2265.7	1.05372e+06	1	1	137042	42957.8	119332	30667.8	
