,,,Slide ID,d,f,c,b,a,e
C1,no,Insulin,19.6969696969697,0.15199420886678477,0.13232414574101165,0.17522209899122326,0.1600171471445992,0.16107150875861895,0.21326511564633469
C1,no,Insulin,20.202020202020204,0.1519942063506184,0.13232414328366765,0.17522209558981433,0.16001714059354802,0.16107150645697035,0.2132651126483203
C1,no,Insulin,20.70707070707071,0.15199420473891254,0.13232414169125886,0.17522209339438632,0.16001713635471235,0.16107150496451036,0.21326511069779516
C1,no,Insulin,21.212121212121215,0.15199420370956773,0.13232414065268877,0.17522209197236063,0.1600171335977584,0.1610715039900308,0.2132651094164816
C1,no,Insulin,21.71717171717172,0.15199420303786526,0.13232413995517595,0.17522209102571892,0.1600171317530946,0.1610715033345681,0.2132651085475331
C1,no,Insulin,22.222222222222225,0.15199420235816755,0.1323241393263109,0.17522209014020138,0.16001713006416368,0.16107150274738397,0.21326510779558464
C1,no,Insulin,22.72727272727273,0.15199420186738727,0.13232413890586148,0.17522208953225996,0.16001712892240455,0.16107150235665138,0.213265107308185
C1,no,Insulin,23.232323232323235,0.15199420156552443,0.13232413869382767,0.17522208920189464,0.16001712832781723,0.16107150216237034,0.21326510708533417
C1,no,Insulin,23.73737373737374,0.15199420142582953,0.13232413865417383,0.17522208910369558,0.16001712818784092,0.16107150213027296,0.21326510707879334
C1,no,Insulin,24.242424242424242,0.15199420124739835,0.13232413851625113,0.17522208889660867,0.16001712780729133,0.1610715020029875,0.21326510692626097
C1,no,Insulin,24.747474747474747,0.1519942011602273,0.13232413845518468,0.1752220888013153,0.1600171276359921,0.16107150194704806,0.21326510686216668
C1,no,Insulin,25.252525252525253,0.1519942011643164,0.13232413847097446,0.17522208881781537,0.16001712767394327,0.16107150196245462,0.21326510688651049
C1,no,Insulin,25.757575757575758,0.15199420107751407,0.13232413842342314,0.1752220887352303,0.16001712753405875,0.1610715019198624,0.21326510684456423
C1,no,Insulin,26.262626262626263,0.1519942011510594,0.13232413848592373,0.17522208882587714,0.1600171277039881,0.161071501977916,0.21326510691677178
C1,no,Insulin,26.767676767676768,0.15199420122460477,0.13232413854842434,0.175222088916524,0.16001712787391745,0.16107150203596962,0.21326510698897932
C1,no,Insulin,27.272727272727273,0.15199420129815014,0.13232413861092496,0.17522208900717082,0.1600171280438468,0.16107150209402324,0.21326510706118687
C1,no,Insulin,27.77777777777778,0.15199420135483793,0.1323241386592216,0.17522208907715503,0.16001712817510774,0.16107150213889077,0.21326510711704516
C1,no,Insulin,28.282828282828284,0.15199420136143937,0.13232413866531617,0.17522208908574743,0.16001712819147915,0.16107150214458052,0.21326510712432736
C1,no,Insulin,28.78787878787879,0.15199420136804084,0.13232413867141074,0.17522208909433984,0.16001712820785055,0.16107150215027025,0.21326510713160957
C1,no,Insulin,29.292929292929294,0.1519942013746423,0.1323241386775053,0.17522208910293227,0.16001712822422196,0.16107150215596,0.2132651071388918
C1,no,Insulin,29.7979797979798,0.15199420138124378,0.13232413868359988,0.17522208911152468,0.16001712824059336,0.16107150216164975,0.213265107146174
C1,no,Insulin,30.303030303030305,0.15199420138784525,0.13232413868969445,0.17522208912011708,0.16001712825696474,0.16107150216733948,0.2132651071534562
C1,no,Insulin,30.80808080808081,0.15199420139444672,0.13232413869578905,0.1752220891287095,0.16001712827333614,0.16107150217302924,0.2132651071607384
C1,no,Insulin,31.313131313131315,0.1519942014010482,0.13232413870188361,0.17522208913730192,0.16001712828970754,0.161071502178719,0.2132651071680206
C1,no,Insulin,31.81818181818182,0.15199420140764966,0.13232413870797818,0.17522208914589432,0.16001712830607895,0.16107150218440874,0.21326510717530284
C1,no,Insulin,32.323232323232325,0.15199420141425113,0.13232413871407275,0.17522208915448675,0.16001712832245035,0.16107150219009847,0.21326510718258504
C1,no,Insulin,32.82828282828283,0.1519942014208526,0.13232413872016732,0.17522208916307916,0.16001712833882173,0.16107150219578822,0.21326510718986724
C1,no,Insulin,33.333333333333336,0.15199420142745407,0.1323241387262619,0.17522208917167156,0.16001712835519313,0.16107150220147798,0.21326510719714944
C1,no,Insulin,33.83838383838384,0.15199420143405554,0.13232413873235646,0.175222089180264,0.16001712837156454,0.1610715022071677,0.21326510720443165
C1,no,Insulin,34.343434343434346,0.15199420144065698,0.13232413873845103,0.1752220891888564,0.16001712838793594,0.16107150221285746,0.21326510721171388
C1,no,Insulin,34.84848484848485,0.15199420144725845,0.1323241387445456,0.1752220891974488,0.16001712840430735,0.1610715022185472,0.21326510721899608
C1,no,Insulin,35.35353535353536,0.15199420145385992,0.13232413875064017,0.17522208920604124,0.16001712842067875,0.16107150222423697,0.21326510722627828
C1,no,Insulin,35.85858585858586,0.1519942014604614,0.13232413875673474,0.17522208921463364,0.16001712843705013,0.1610715022299267,0.21326510723356049
C1,no,Insulin,36.36363636363637,0.15199420146706286,0.1323241387628293,0.17522208922322605,0.16001712845342153,0.16107150223561645,0.2132651072408427
C1,no,Insulin,36.86868686868687,0.15199420147366433,0.13232413876892388,0.17522208923181848,0.16001712846979294,0.1610715022413062,0.21326510724812492
C1,no,Insulin,37.37373737373738,0.1519942014802658,0.13232413877501845,0.17522208924041088,0.16001712848616434,0.16107150224699596,0.21326510725540712
C1,no,Insulin,37.87878787878788,0.15199420148686726,0.13232413878111302,0.1752220892490033,0.16001712850253574,0.16107150225268568,0.21326510726268932
C1,no,Insulin,38.38383838383839,0.15199420149273876,0.13232413878653554,0.17522208925664734,0.16001712851710115,0.16107150225774813,0.21326510726916936
C1,no,Insulin,38.88888888888889,0.15199420149335732,0.1323241387871218,0.1752220892574667,0.16001712851867017,0.16107150225829625,0.2132651072698768
C1,no,Insulin,39.3939393939394,0.15199420149397588,0.13232413878770805,0.17522208925828608,0.1600171285202392,0.1610715022588444,0.21326510727058423
C1,no,Insulin,39.8989898989899,0.15199420149459442,0.13232413878829427,0.17522208925910546,0.16001712852180822,0.1610715022593925,0.21326510727129167
C1,no,Insulin,40.40404040404041,0.15199420149521298,0.13232413878888052,0.17522208925992483,0.16001712852337724,0.16107150225994063,0.21326510727199907
C1,no,Insulin,40.909090909090914,0.15199420149583154,0.13232413878946678,0.1752220892607442,0.16001712852494626,0.16107150226048877,0.2132651072727065
C1,no,Insulin,41.41414141414142,0.1519942014964501,0.13232413879005303,0.17522208926156357,0.16001712852651528,0.1610715022610369,0.21326510727341394
C1,no,Insulin,41.919191919191924,0.15199420149706866,0.13232413879063928,0.17522208926238295,0.1600171285280843,0.16107150226158504,0.21326510727412137
C1,no,Insulin,42.42424242424243,0.1519942014976872,0.1323241387912255,0.17522208926320232,0.16001712852965333,0.16107150226213315,0.21326510727482878
C1,no,Insulin,42.929292929292934,0.15199420149830575,0.13232413879181176,0.1752220892640217,0.16001712853122235,0.1610715022626813,0.21326510727553621
C1,no,Insulin,43.43434343434344,0.15199420149892431,0.13232413879239802,0.17522208926484106,0.16001712853279138,0.16107150226322942,0.21326510727624365
C1,no,Insulin,43.939393939393945,0.15199420149954287,0.13232413879298427,0.17522208926566044,0.1600171285343604,0.16107150226377756,0.21326510727695108
C1,no,Insulin,44.44444444444445,0.15199420150016144,0.1323241387935705,0.1752220892664798,0.16001712853592942,0.16107150226432568,0.2132651072776585
C1,no,Insulin,44.949494949494955,0.15199420150078,0.13232413879415675,0.17522208926729918,0.16001712853749844,0.1610715022648738,0.21326510727836592
C1,no,Insulin,45.45454545454546,0.15199420150139853,0.132324138794743,0.17522208926811855,0.1600171285390675,0.16107150226542194,0.21326510727907336
C1,no,Insulin,45.959595959595966,0.1519942015020171,0.13232413879532925,0.17522208926893793,0.16001712854063652,0.16107150226597006,0.2132651072797808
C1,no,Insulin,46.46464646464647,0.15199420150263565,0.13232413879591548,0.1752220892697573,0.16001712854220554,0.1610715022665182,0.2132651072804882
C1,no,Insulin,46.969696969696976,0.1519942015032542,0.13232413879650173,0.1752220892705767,0.16001712854377456,0.16107150226706632,0.21326510728119563
C1,no,Insulin,47.47474747474748,0.15199420150387277,0.132324138797088,0.17522208927139607,0.16001712854534358,0.16107150226761446,0.21326510728190307
C1,no,Insulin,47.979797979797986,0.15199420150449133,0.13232413879767424,0.17522208927221544,0.1600171285469126,0.16107150226816258,0.2132651072826105
C1,no,Insulin,48.484848484848484,0.15199420150510987,0.13232413879826047,0.17522208927303481,0.16001712854848163,0.16107150226871073,0.2132651072833179
C1,no,Insulin,48.98989898989899,0.15199420150572843,0.13232413879884672,0.1752220892738542,0.16001712855005065,0.16107150226925884,0.21326510728402534
C1,no,Insulin,49.494949494949495,0.15199420150574053,0.13232413879885824,0.17522208927387023,0.16001712855008146,0.1610715022692696,0.21326510728403927
C1,no,Insulin,50.0,0.15199420150574786,0.13232413879886526,0.17522208927388,0.16001712855010017,0.16107150226927616,0.21326510728404774
