,,,Slide ID,d,f,c,b,a,e
,,,Antibody Name,d,f,c,b,a,e
,,,HUGO ID,d,f,c,b,a,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.9870758229959923,0.5152491973071952,0.9372814025188199,0.997231186207185,0.577343557200809,0.5123194174247317
C1,no,Insulin,0.5050505050505051,0.3860604218658177,0.3678819554044598,0.47107429185469046,0.6919651486237243,0.40870094121358846,0.41686060878377945
C1,no,Insulin,1.0101010101010102,0.2430486112269647,0.2713041134311132,0.3114420951514333,0.48976591312520745,0.3028553493999131,0.3322548302230308
C1,no,Insulin,1.5151515151515151,0.20255043512408696,0.21343442098058543,0.25055058300793426,0.36276134456208203,0.24155873526306837,0.280837790811358
C1,no,Insulin,2.0202020202020203,0.18556659734113,0.18026311182719454,0.22243442996192517,0.2851490504733313,0.20755129858420557,0.2533335381357301
C1,no,Insulin,2.5252525252525255,0.17518755716452114,0.16127385852391837,0.20649569935518464,0.2378755192910107,0.18866588225884826,0.2384606002522448
C1,no,Insulin,3.0303030303030303,0.16787309594045818,0.1501730596042175,0.19621089609272946,0.2088545319173501,0.17790041750891916,0.22978059306680498
C1,no,Insulin,3.5353535353535355,0.16267272707437927,0.14350622074465277,0.18924684560597482,0.1908496073537358,0.17155137999969647,0.22429582826655936
C1,no,Insulin,4.040404040404041,0.1590638865595532,0.1394050370675149,0.1845071663392753,0.17957274489237482,0.16768964455858398,0.22065447919848047
C1,no,Insulin,4.545454545454546,0.15662071024550986,0.13683707244735907,0.1813133264806376,0.17245857116909244,0.16528606352135408,0.21819112124633114
C1,no,Insulin,5.050505050505051,0.1549975738878547,0.1352105261156704,0.17918822225373737,0.16794791134917308,0.1637674652663403,0.21652418014457317
C1,no,Insulin,5.555555555555556,0.1539333401931911,0.13417330391988574,0.1777899145245537,0.1650786044486323,0.16279961616128596,0.21540485655927497
C1,no,Insulin,6.0606060606060606,0.15324172114027235,0.13350952631387483,0.1768777934390471,0.16324965668296482,0.16217999091332239,0.2146606130521693
C1,no,Insulin,6.565656565656566,0.1527948902696249,0.13308405025195838,0.17628659881216177,0.16208242103168052,0.16178252087956904,0.21417033865997395
C1,no,Insulin,7.070707070707071,0.15250732019665664,0.13281117866690498,0.17590514505819513,0.16133695266808204,0.16152741098787435,0.2138498733900738
C1,no,Insulin,7.575757575757576,0.15232270929421787,0.13263618457200133,0.1756597916544068,0.16086065765139393,0.16136369643154855,0.21364168407943154
C1,no,Insulin,8.080808080808081,0.15220437939233664,0.13252399730344872,0.17550231658561208,0.16055628106111652,0.16125868550350395,0.2135070717920816
C1,no,Insulin,8.585858585858587,0.15212862569742264,0.13245209852562123,0.17540139102241473,0.16036173976758594,0.16119136002570367,0.21342031844110898
C1,no,Insulin,9.090909090909092,0.15208015352297782,0.13240604105304302,0.17533676985966398,0.16023739572153126,0.16114822181867317,0.2133645551649052
C1,no,Insulin,9.595959595959597,0.15204914938073238,0.13237654818948952,0.1752954182894311,0.16015791724857473,0.16112059469558468,0.21332877526552285
C1,no,Insulin,10.101010101010102,0.15202932494006335,0.132357669549014,0.17526897032559474,0.16010711836530123,0.16110290946463163,0.2133058476271919
C1,no,Insulin,10.606060606060607,0.15201665367709058,0.1323455886494868,0.17525206032926802,0.16007465149963965,0.16109159224842906,0.21329116759329758
C1,no,Insulin,11.111111111111112,0.15200855327320023,0.13233785854829172,0.1752412485957086,0.160053898133313,0.16108435113862377,0.21328177310550345
C1,no,Insulin,11.616161616161618,0.15200337476875989,0.13233291280983273,0.17523433601520527,0.160040631063327,0.16107971859426592,0.21327576293660905
C1,no,Insulin,12.121212121212121,0.15200006215985426,0.13232974692112842,0.17522991378967157,0.1600321442283913,0.1610767534475865,0.21327191641658116
C1,no,Insulin,12.626262626262626,0.15199794778712278,0.13232772523826125,0.17522709123524038,0.16002672778391003,0.16107486014628866,0.21326946076435352
C1,no,Insulin,13.131313131313131,0.15199659601363613,0.13232643155734947,0.17522528614848387,0.16002326349495682,0.16107364871232457,0.21326788964629081
C1,no,Insulin,13.636363636363637,0.15199573109152223,0.1323256040439456,0.17522413167345988,0.1600210481902353,0.16107287391059638,0.21326688515383282
C1,no,Insulin,14.141414141414142,0.15199517782302674,0.13232507629898302,0.17522339479058838,0.16001963526170143,0.16107237991739407,0.21326624541150158
C1,no,Insulin,14.646464646464647,0.15199482573373066,0.13232473887954616,0.17522292452951732,0.1600187326041589,0.16107206403495747,0.21326583594451765
C1,no,Insulin,15.151515151515152,0.1519946042239991,0.13232452165072434,0.17522262414943532,0.16001815332622524,0.16107186043177993,0.21326557028862372
C1,no,Insulin,15.656565656565657,0.15199446103722883,0.13232438316797632,0.1752224316844493,0.16001778347510653,0.16107173073607198,0.21326540165432473
C1,no,Insulin,16.161616161616163,0.1519943645404129,0.13232429598033357,0.175222307759006,0.16001754843077395,0.16107164941074942,0.21326529821923962
C1,no,Insulin,16.666666666666668,0.15199430668004,0.1323242389810849,0.17522222908963767,0.1600173965796831,0.16107159598463294,0.21326522844551526
C1,no,Insulin,17.171717171717173,0.15199426830999502,0.1323242029287969,0.17522217854488153,0.16001729993141967,0.16107156228372393,0.21326518505887898
C1,no,Insulin,17.67676767676768,0.15199424419938834,0.13232417974168612,0.17522214628564742,0.16001723797444023,0.16107154058111964,0.2132651569171847
C1,no,Insulin,18.181818181818183,0.15199422865615494,0.13232416482881562,0.17522212552216712,0.16001719811713513,0.16107152662541832,0.21326513883410284
C1,no,Insulin,18.68686868686869,0.15199421887232764,0.13232415541945156,0.17522211243132008,0.16001717297915388,0.16107151781918663,0.2132651274152969
C1,no,Insulin,19.191919191919194,0.15199421276103411,0.13232414951913596,0.175222104232665,0.16001715722535223,0.16107151229608585,0.21326512024524633
