,,,Slide ID,b,d,a,c,e
,,,Antibody Name,b,d,a,c,e
,,,HUGO ID,b,d,a,c,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.02238928500047821,0.3013197318894093,0.4433415982279134,0.9758889721483435,0.0978728165264392
C1,no,Insulin,0.5050505050505051,0.028386801174635327,0.28948394367301733,0.29572233915879786,0.6498974450234866,0.05104852187477317
C1,no,Insulin,1.0101010101010102,0.03459537481325597,0.28125770024665725,0.23975961839196339,0.46468427093709,0.03627797063395941
C1,no,Insulin,1.5151515151515151,0.040504709923656707,0.27551315701037743,0.2178572066476324,0.35925696470193835,0.03232470235165322
C1,no,Insulin,2.0202020202020203,0.04570393899378157,0.27148784271121196,0.20881694748775542,0.299107129958181,0.03188047857685577
C1,no,Insulin,2.5252525252525255,0.04997002865735113,0.26866023595677263,0.20477660298546854,0.264692963317086,0.03243829540542714
C1,no,Insulin,3.0303030303030303,0.053270958396542424,0.2666704379143904,0.2027776376343031,0.2449358079323896,0.03315871321828633
C1,no,Insulin,3.5353535353535355,0.05570738475486998,0.2652684335567688,0.201677097916648,0.23354633453395676,0.03378556796479598
C1,no,Insulin,4.040404040404041,0.05744082052213649,0.26427969478911756,0.2010130398341824,0.22694807556494898,0.03426503327446847
C1,no,Insulin,4.545454545454546,0.05863993913585901,0.26358195716687105,0.20058512310557888,0.2231030322748297,0.03460925104106579
C1,no,Insulin,5.050505050505051,0.05945199683397853,0.2630893506223007,0.200297748056402,0.22084693294598315,0.03484716338367
C1,no,Insulin,5.555555555555556,0.05999320680017339,0.2627414556325629,0.20010010975508002,0.21951258726535114,0.035007424253081745
C1,no,Insulin,6.0606060606060606,0.060349609025971855,0.26249570467317573,0.199962407709265,0.21871622980309285,0.03511335820240805
C1,no,Insulin,6.565656565656566,0.06058222669487469,0.26232207963491533,0.1998657995641043,0.21823611749778626,0.035182362685601494
C1,no,Insulin,7.070707070707071,0.06073306363171777,0.26219939813591275,0.19979777699335122,0.21794343726583731,0.03522678319732414
C1,no,Insulin,7.575757575757576,0.06083041804440615,0.26211270575779255,0.1997497923967926,0.21776288343348987,0.0352550983161807
C1,no,Insulin,8.080808080808081,0.06089305810654073,0.26205144152442533,0.19971591091827123,0.21765010660744746,0.03527299655241188
C1,no,Insulin,8.585858585858587,0.06093328840787858,0.26200814524931354,0.19969197563991775,0.21757876262219722,0.035284227850133146
C1,no,Insulin,9.090909090909092,0.06095910759510527,0.2619775462161472,0.19967506253725303,0.21753305436023793,0.035291229889811086
C1,no,Insulin,9.595959595959597,0.06097568148135433,0.2619559204567903,0.19966311015562552,0.21750340863391568,0.03529556945616253
C1,no,Insulin,10.101010101010102,0.060986332603556355,0.2619406361406139,0.19965466270865365,0.21748395457346187,0.035298244260562314
C1,no,Insulin,10.606060606060607,0.06099319014741218,0.26192983358664035,0.19964869234717011,0.21747105056145016,0.03529988437785842
C1,no,Insulin,11.111111111111112,0.06099761599996212,0.261922198827784,0.19964447266208757,0.21746240802026678,0.035300884745149926
C1,no,Insulin,11.616161616161618,0.061000482618042334,0.26191680211749946,0.19964149009161045,0.21745656659853946,0.035301492231293245
C1,no,Insulin,12.121212121212121,0.061002345183589816,0.2619129879073009,0.19963938192142847,0.21745259056369315,0.035301858749142656
C1,no,Insulin,12.626262626262626,0.06100356067060775,0.2619102916067485,0.19963789156845477,0.21744986624725507,0.03530207875675362
C1,no,Insulin,13.131313131313131,0.06100435609214654,0.2619083876628782,0.19963683933489107,0.2174479905131805,0.03530220973523769
C1,no,Insulin,13.636363636363637,0.06100487966713255,0.26190704254921937,0.19963609577777755,0.21744669263093983,0.03530228714823293
C1,no,Insulin,14.141414141414142,0.06100522704770849,0.26190609131333004,0.1996355698931297,0.21744578939323794,0.03530233286161803
C1,no,Insulin,14.646464646464647,0.06100545963654219,0.2619054165520001,0.19963519704951593,0.2174451565776205,0.03530235996996209
C1,no,Insulin,15.151515151515152,0.06100561439817732,0.2619049405019257,0.19963493404897084,0.21744471558183343,0.035302375444371245
C1,no,Insulin,15.656565656565657,0.061005718804540504,0.2619046021495284,0.19963474698822903,0.2174444052611367,0.03530238411996315
C1,no,Insulin,16.161616161616163,0.061005788196423945,0.2619043648517903,0.1996346157535024,0.2174441895008196,0.035302388634685024
C1,no,Insulin,16.666666666666668,0.06100583514268837,0.26190419758958505,0.19963452329533748,0.21744403818363348,0.03530239106181154
C1,no,Insulin,17.171717171717173,0.06100586739213537,0.261904078562785,0.1996344575643998,0.21744393089932612,0.03530239238101254
C1,no,Insulin,17.67676767676768,0.061005888575657224,0.26190399691435706,0.19963441253495745,0.21744385763058346,0.03530239296930722
C1,no,Insulin,18.181818181818183,0.061005903171363146,0.2619039392341755,0.1996343807493287,0.21744380599866722,0.03530239327634158
C1,no,Insulin,18.68686868686869,0.06100591349768522,0.26190389802719155,0.19963435802439894,0.21744376913175525,0.03530239345826934
C1,no,Insulin,19.191919191919194,0.06100592085443266,0.26190386881254585,0.19963434186393936,0.2174437429558504,0.03530239357488315
C1,no,Insulin,19.6969696969697,0.061005926160253465,0.2619038477863014,0.19963433016235138,0.21744372408972742,0.03530239360845706
C1,no,Insulin,20.202020202020204,0.061005929895348816,0.26190383290502584,0.19963432180859014,0.217443710731586,0.03530239355408783
C1,no,Insulin,20.70707070707071,0.061005932486874956,0.2619038223612409,0.19963431582557847,0.21744370128765583,0.035302393411985836
C1,no,Insulin,21.212121212121215,0.06100593431960965,0.2619038147282348,0.19963431147020208,0.2174436944758144,0.035302393223621324
C1,no,Insulin,21.71717171717172,0.061005935579173685,0.2619038093370782,0.1996343083983931,0.2174436896885508,0.0353023930191339
C1,no,Insulin,22.222222222222225,0.061005936484274485,0.261903805432362,0.19963430622918035,0.2174436862286815,0.03530239285126533
C1,no,Insulin,22.72727272727273,0.061005937132101166,0.261903802637973,0.19963430476034366,0.2174436837522183,0.03530239275271339
C1,no,Insulin,23.232323232323235,0.061005937649676614,0.26190380041204864,0.19963430362323714,0.21744368177636728,0.03530239271881618
C1,no,Insulin,23.73737373737374,0.061005938111607455,0.2619037984062571,0.19963430253108716,0.21744367999885794,0.035302392711190525
C1,no,Insulin,24.242424242424242,0.061005938446669926,0.2619037969531358,0.19963430175766425,0.21744367870825498,0.03530239276647921
C1,no,Insulin,24.747474747474747,0.061005938654864034,0.26190379605268477,0.19963430130296844,0.21744367790455846,0.03530239288468223
C1,no,Insulin,25.252525252525253,0.06100593873618977,0.26190379570490396,0.1996343011669997,0.21744367758776834,0.035302393065799596
C1,no,Insulin,25.757575757575758,0.06100593887074254,0.26190379512168604,0.1996343008698472,0.21744367706704826,0.03530239313363993
C1,no,Insulin,26.262626262626263,0.061005938964345315,0.2619037947151548,0.19963430066246998,0.21744367670365625,0.035302393180338724
C1,no,Insulin,26.767676767676768,0.06100593900389511,0.2619037945426496,0.19963430057978437,0.2174436765478547,0.035302393218714936
C1,no,Insulin,27.272727272727273,0.06100593898939192,0.26190379460417057,0.1996343006217904,0.21744367659964367,0.03530239324876856
C1,no,Insulin,27.77777777777778,0.06100593908105617,0.2619037942029017,0.19963430042703936,0.2174436762382133,0.03530239333138667
