,,,Slide ID,b,d,a,c,e
C1,no,Insulin,28.282828282828284,0.061005939033863935,0.26190379440895434,0.19963430053663364,0.217443676420803,0.03530239332167361
C1,no,Insulin,28.78787878787879,0.0610059389866717,0.2619037946150069,0.19963430064622795,0.2174436766033927,0.035302393311960556
C1,no,Insulin,29.292929292929294,0.06100593893947946,0.2619037948210595,0.19963430075582225,0.2174436767859824,0.035302393302247506
C1,no,Insulin,29.7979797979798,0.061005938892287226,0.26190379502711214,0.19963430086541656,0.21744367696857209,0.03530239329253445
C1,no,Insulin,30.303030303030305,0.06100593888520543,0.2619037950585996,0.19963430088251086,0.2174436769964684,0.0353023932920219
C1,no,Insulin,30.80808080808081,0.06100593887907191,0.2619037950859601,0.19963430089741835,0.21744367702070755,0.03530239329172686
C1,no,Insulin,31.313131313131315,0.061005938872938384,0.2619037951133206,0.19963430091232584,0.2174436770449467,0.03530239329143182
C1,no,Insulin,31.81818181818182,0.06100593886680487,0.26190379514068113,0.19963430092723333,0.21744367706918583,0.035302393291136776
C1,no,Insulin,32.323232323232325,0.06100593886067134,0.26190379516804163,0.1996343009421408,0.21744367709342496,0.035302393290841734
C1,no,Insulin,32.82828282828283,0.06100593885453782,0.26190379519540213,0.1996343009570483,0.21744367711766413,0.03530239329054669
C1,no,Insulin,33.333333333333336,0.061005938848404294,0.26190379522276264,0.19963430097195578,0.21744367714190327,0.03530239329025165
C1,no,Insulin,33.83838383838384,0.06100593884227078,0.26190379525012314,0.19963430098686327,0.2174436771661424,0.03530239328995661
C1,no,Insulin,34.343434343434346,0.06100593883613725,0.26190379527748364,0.19963430100177076,0.21744367719038155,0.035302393289661574
C1,no,Insulin,34.84848484848485,0.06100593883000373,0.26190379530484414,0.19963430101667823,0.2174436772146207,0.03530239328936653
C1,no,Insulin,35.35353535353536,0.061005938823870204,0.26190379533220465,0.19963430103158572,0.21744367723885985,0.03530239328907149
C1,no,Insulin,35.85858585858586,0.061005938817736687,0.26190379535956515,0.1996343010464932,0.217443677263099,0.03530239328877645
C1,no,Insulin,36.36363636363637,0.06100593881160316,0.26190379538692565,0.1996343010614007,0.21744367728733813,0.03530239328848141
C1,no,Insulin,36.86868686868687,0.06100593880546964,0.26190379541428616,0.1996343010763082,0.21744367731157727,0.035302393288186365
C1,no,Insulin,37.37373737373738,0.061005938799336114,0.2619037954416467,0.19963430109121566,0.21744367733581643,0.03530239328789132
C1,no,Insulin,37.87878787878788,0.061005938793202596,0.2619037954690072,0.19963430110612315,0.21744367736005557,0.03530239328759628
C1,no,Insulin,38.38383838383839,0.06100593878706907,0.2619037954963677,0.19963430112103064,0.2174436773842947,0.03530239328730125
C1,no,Insulin,38.88888888888889,0.06100593878093555,0.2619037955237282,0.19963430113593814,0.21744367740853385,0.035302393287006205
C1,no,Insulin,39.3939393939394,0.061005938775640034,0.2619037955473592,0.1996343011488164,0.21744367742946893,0.03530239328675917
C1,no,Insulin,39.8989898989899,0.06100593877483806,0.2619037955509923,0.19963430115081365,0.217443677432687,0.03530239328676953
C1,no,Insulin,40.40404040404041,0.06100593877403608,0.26190379555462534,0.19963430115281092,0.2174436774359051,0.03530239328677989
C1,no,Insulin,40.909090909090914,0.06100593877323411,0.2619037955582584,0.19963430115480818,0.21744367743912316,0.03530239328679026
C1,no,Insulin,41.41414141414142,0.061005938772432135,0.2619037955618914,0.19963430115680544,0.21744367744234122,0.03530239328680062
C1,no,Insulin,41.919191919191924,0.06100593877163016,0.26190379556552446,0.1996343011588027,0.2174436774455593,0.03530239328681098
C1,no,Insulin,42.42424242424243,0.06100593877082818,0.2619037955691575,0.19963430116079997,0.21744367744877738,0.035302393286821346
C1,no,Insulin,42.929292929292934,0.06100593877002621,0.26190379557279053,0.19963430116279723,0.21744367745199544,0.035302393286831706
C1,no,Insulin,43.43434343434344,0.061005938769224236,0.26190379557642357,0.1996343011647945,0.21744367745521354,0.03530239328684207
C1,no,Insulin,43.939393939393945,0.06100593876842226,0.2619037955800566,0.19963430116679176,0.2174436774584316,0.03530239328685243
C1,no,Insulin,44.44444444444445,0.06100593876762028,0.26190379558368965,0.19963430116878902,0.21744367746164966,0.03530239328686279
C1,no,Insulin,44.949494949494955,0.061005938766818306,0.2619037955873227,0.1996343011707863,0.21744367746486776,0.03530239328687316
C1,no,Insulin,45.45454545454546,0.061005938766016336,0.2619037955909557,0.19963430117278358,0.21744367746808582,0.03530239328688352
C1,no,Insulin,45.959595959595966,0.06100593876521436,0.26190379559458876,0.19963430117478084,0.2174436774713039,0.035302393286893885
C1,no,Insulin,46.46464646464647,0.06100593876441238,0.2619037955982218,0.1996343011767781,0.21744367747452198,0.035302393286904245
C1,no,Insulin,46.969696969696976,0.06100593876361041,0.26190379560185484,0.19963430117877537,0.21744367747774004,0.035302393286914605
C1,no,Insulin,47.47474747474748,0.06100593876280844,0.2619037956054879,0.19963430118077263,0.2174436774809581,0.03530239328692497
C1,no,Insulin,47.979797979797986,0.06100593876200646,0.2619037956091209,0.1996343011827699,0.2174436774841762,0.03530239328693533
C1,no,Insulin,48.484848484848484,0.061005938761204484,0.26190379561275395,0.19963430118476716,0.21744367748739427,0.0353023932869457
C1,no,Insulin,48.98989898989899,0.06100593876066789,0.2619037956151851,0.19963430118610373,0.21744367748954768,0.03530239328695276
C1,no,Insulin,49.494949494949495,0.061005938760652335,0.2619037956152564,0.19963430118614306,0.21744367748961085,0.035302393286953365
C1,no,Insulin,50.0,0.06100593876063678,0.26190379561532773,0.1996343011861824,0.217443677489674,0.03530239328695397
