,,,Slide ID,g,e,c,a,d,h,f,b,i
,,,Antibody Name,g,e,c,a,d,h,f,b,i
,,,HUGO ID,g,e,c,a,d,h,f,b,i
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.2181286741662145,0.4089303549859077,0.958460128546754,0.6276893231691817,0.053268280192502626,0.7697318056774629,0.08053480826272552,0.07329568043391954,0.0057907865178381535
C1,no,Insulin,0.33557046979865773,0.19710054639875232,0.3034942242843413,0.5897312090786255,0.38994965309378204,0.03680891299680282,0.4353216593654809,0.0425611353993995,0.08318625849069897,0.12361624391361474
C1,no,Insulin,0.6711409395973155,0.1695278905232807,0.22700782159968833,0.36331513893265355,0.27957721672643726,0.025196482429763006,0.251472217782248,0.023805042038094484,0.1037570659421709,0.15569444133077456
C1,no,Insulin,1.0067114093959733,0.14253839398480384,0.17400416481581563,0.2241550616447775,0.2234599854171336,0.017132666738548536,0.14985147345320946,0.013948813320503775,0.12051789494721879,0.1553484769995939
C1,no,Insulin,1.342281879194631,0.11829330211575606,0.13686143034111317,0.13853223756207905,0.19265176697582767,0.011594801120816307,0.09272042397481237,0.008474719345051155,0.13160844401508132,0.14424568922094264
C1,no,Insulin,1.6778523489932886,0.0973816839042639,0.11014201013955141,0.085782671284298,0.17407894995216602,0.007820687596496236,0.05980329562423391,0.005289187203412314,0.13773370861549392,0.13077648708055792
C1,no,Insulin,2.0134228187919465,0.07974568098430039,0.09029562659967444,0.05323605977833538,0.1616393784519915,0.005262163694577108,0.04022498606553458,0.0033648419289823888,0.14011599377057943,0.11789856503350159
C1,no,Insulin,2.348993288590604,0.06506908823901868,0.07506574459298887,0.03311912885392581,0.1524208061386524,0.0035340788993746875,0.028128417408346096,0.002168721815722801,0.13988494764691406,0.10642869224596692
C1,no,Insulin,2.684563758389262,0.05295567765603081,0.0630262609299677,0.020659607582686142,0.1449916376234338,0.0023699410713757807,0.0203332741682801,0.0014096168961530574,0.1379196945198928,0.09640310677890586
C1,no,Insulin,3.0201342281879198,0.04301054615020282,0.05327005715030719,0.012924998360316341,0.1386164660746052,0.0015872245600529404,0.015090946727855423,0.0009208360393294577,0.1348487378711538,0.08762243221261616
C1,no,Insulin,3.3557046979865772,0.03487435370132159,0.045210665217046225,0.008111262478383353,0.1328955018531773,0.001061754996693275,0.011422689386687291,0.0006030998780902834,0.13109858040576197,0.07985587540471556
C1,no,Insulin,3.691275167785235,0.02823466314748239,0.03845917890062156,0.0051070152406069306,0.12759831965696913,0.0007094345433188963,0.008767192357378085,0.00039534632800993934,0.12694870198160915,0.07290678189879042
C1,no,Insulin,4.026845637583893,0.022826537013107173,0.03274888479554279,0.0032264313978049176,0.1225858882952701,0.00047348011961239424,0.006792258553542065,0.00025908044959239366,0.12257805371837101,0.06662493111185684
C1,no,Insulin,4.3624161073825505,0.018428538829645572,0.02788949776980678,0.0020454740884741553,0.11777241886357141,0.0003156327947630438,0.005293641817904955,0.00016959561869375032,0.11809978160524444,0.06090082872130633
C1,no,Insulin,4.697986577181208,0.01485714872733292,0.02373941532724815,0.0013013794777360437,0.11310529954873447,0.00021015429006356214,0.00414024636562446,0.00011083874385416885,0.11358535427714431,0.05565585876034877
C1,no,Insulin,5.033557046979866,0.011961029788552539,0.02018890537414699,0.000830912865424727,0.10855352172036899,0.00013975039291690163,0.00324410881031378,7.229743570043084e-05,0.10908050595736514,0.050833160279858874
C1,no,Insulin,5.369127516778524,0.009615771720351938,0.01714990100005201,0.0005324035773786786,0.1041003853541851,9.281410143461777e-05,0.0025436928631336433,4.7057530188481084e-05,0.10461536427542802,0.04639053527631508
C1,no,Insulin,5.704697986577181,0.007719274045102393,0.014549672303865962,0.0003423108626729848,0.09973859633267608,6.156034827093585e-05,0.0019943464286804025,3.056046494600187e-05,0.10021069184080877,0.042295410640773204
