,,,Slide ID,b,h,i,d,g,c,m,f,a,l,j,k,e
,,,Antibody Name,b,h,i,d,g,c,m,f,a,l,j,k,e
,,,HUGO ID,b,h,i,d,g,c,m,f,a,l,j,k,e
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,2.684563758389262,0.058850768773370726,0.11552708170721569,0.24038093843432118,0.276177709471918,0.18580237724666562,0.22526960379006453,0.130718553143159,0.0814344478498693,0.14143784831494122,0.02273666994569155,0.1200219075087972,0.19990882050534517,0.17514365758956044
C1,no,Insulin,3.0201342281879198,0.049022568567328784,0.10540141287462043,0.22976929339726582,0.2623109776014137,0.1582539782081074,0.21628202484157047,0.1200269719294013,0.07032116705393218,0.13089054644977,0.020040853051857432,0.1076119422388901,0.18544654494539983,0.15706284896611752
C1,no,Insulin,3.3557046979865772,0.04180363516276089,0.09716546763957389,0.22029844218218766,0.24931498714881348,0.13726423083586628,0.20757193520627915,0.11198178689702157,0.062061236703228675,0.1223056447761848,0.017999097632966587,0.09711864886762404,0.17299610552775188,0.14271500304247234
C1,no,Insulin,3.691275167785235,0.03642875235726309,0.09047171342759086,0.21194790319684187,0.23752665949688342,0.12118766793256791,0.19948646634128947,0.10574470198530281,0.05579957102719519,0.11528509616829473,0.01641216079446675,0.08835564097842047,0.1623996968916322,0.1311877934927973
C1,no,Insulin,4.026845637583893,0.03237430857058306,0.08503278406451056,0.20467261213030238,0.2270806269891723,0.1087982316867522,0.19219701693363037,0.10078986122691676,0.050977158564783284,0.10953321399287694,0.015158702188113906,0.08110133990903025,0.1534695436445866,0.12184909001311245
C1,no,Insulin,4.3624161073825505,0.02927840426941916,0.08061193298694525,0.1984024758897423,0.21798398261080773,0.09918772455468133,0.1857623913055071,0.09678244976806503,0.047216214572082506,0.10481734052117071,0.014158454778956229,0.07513218548190223,0.14600306778382424,0.1142430631254318
C1,no,Insulin,4.697986577181208,0.026887985704930468,0.07701548557841642,0.1930493240436054,0.21016745018093166,0.09168391309023669,0.18017160121729073,0.09350210259193938,0.04425348942692127,0.1009492868748458,0.013354803468599474,0.07024023522175193,0.13979856229043786,0.10802851169609329
C1,no,Insulin,5.033557046979866,0.025023840751015134,0.07408612474629829,0.18851533154088448,0.20352015612329125,0.08578794538947823,0.17537284637994058,0.09079697911325102,0.04190059215676701,0.09777529571487519,0.012705976815639564,0.06624114482030068,0.13466637403875212,0.10294194544883323
C1,no,Insulin,5.369127516778524,0.02355732298232225,0.0716967123701107,0.18470038965234767,0.1979127869575622,0.08112783059497292,0.1712929486835552,0.08855697540268197,0.040019619175414266,0.09516946028008919,0.012180227075102324,0.06297646571729533,0.1304352726126225,0.09877500216070367
C1,no,Insulin,5.704697986577181,0.02239480365448106,0.06974480505445119,0.1815076057881025,0.19321245690266217,0.07742442772469686,0.16785009344902224,0.08669839844623797,0.03850771143285478,0.09302875046320543,0.011752959127017395,0.06031280194778253,0.12695508895590762,0.09536018735746733
C1,no,Insulin,6.0402684563758395,0.021467206666504566,0.06814794559009021,0.17884689722512936,0.18929172992165422,0.07446677113945174,0.16496188379022544,0.08515520665672427,0.03728694672622158,0.09126895606536671,0.011404878705183818,0.058139422164554345,0.12409686344282714,0.09256144997592411
C1,no,Insulin,6.375838926174497,0.020722904323817043,0.06683974457115142,0.17663698505516578,0.18603361091408893,0.07209423126060706,0.16255014309359925,0.08387391449522676,0.036297531023622695,0.08982130958086061,0.011120719936615106,0.056365287506034936,0.12175153801315504,0.09026762379168564
C1,no,Insulin,6.7114093959731544,0.020122829851353687,0.06576667490909109,0.1748061887855393,0.1833338551125079,0.07018356698748167,0.160543515475866,0.08281049591378446,0.03549307759425476,0.0886296652639527,0.010888328064915123,0.05491602225901482,0.11982791047324048,0.08838760597502361
C1,no,Insulin,7.046979865771813,0.019637082904621236,0.06488548223061312,0.17329237033656467,0.18110152627154336,0.06863951623210456,0.15887858428996382,0.08192838749516058,0.034837263449989796,0.08764815208017909,0.010697976558863847,0.05373109837966629,0.1182502982604428,0.08684664900052178
C1,no,Insulin,7.38255033557047,0.01924254432773735,0.06416113771508536,0.1720423833750233,0.1792585356585241,0.06738793033155889,0.15750007411907388,0.08119709903787627,0.03430142373756443,0.08683926786113215,0.010541849845470727,0.05276137051454294,0.11695625777661117,0.0855834273905674
C1,no,Insulin,7.718120805369128,0.018921172249653714,0.06356522160978799,0.17101125912015303,0.1777386301927031,0.06637071469061914,0.15636051243737498,0.08059117611270229,0.03386278713304755,0.08617233685359543,0.010413644903006523,0.051966981372158355,0.11589449479739826,0.08454766185867509
C1,no,Insulin,8.053691275167786,0.018658770508110267,0.06307460092627665,0.17016122490008592,0.1764860741032783,0.06554206537922952,0.1554195600544938,0.08008936810381713,0.03350315183076885,0.08562221621358096,0.010308263234304369,0.05131560156001639,0.11502294578992477,0.08369814992711841
C1,no,Insulin,8.389261744966444,0.018444086922414005,0.0626704243707353,0.1694607586797801,0.17545430207359247,0.06486566920080114,0.15464323251676215,0.07967395807966453,0.03320789838637109,0.08516829207672687,0.010221566602745778,0.05078099774112144,0.11430719758187043,0.08300115519885355
C1,no,Insulin,8.724832214765101,0.01826814644547026,0.06233727066224218,0.1688836467318405,0.1746045799720651,0.0643125795293395,0.1540030650115899,0.0793301802237446,0.03296522613291826,0.08479361746588758,0.010150190156108248,0.050341852876500025,0.11371907800419585,0.0824290587547346
C1,no,Insulin,9.060402684563758,0.018123754320786344,0.06206254076419023,0.1684081925626352,0.1739048331616245,0.06385963953551625,0.15347534925185796,0.07904576401736858,0.032765585614586513,0.08448428129584537,0.010091388670438878,0.04998083948030058,0.11323558046489857,0.08195927526802217
C1,no,Insulin,9.395973154362416,0.018005113770078237,0.06183589969978585,0.16801647169993483,0.17332856528933493,0.06348822897691579,0.15304040683835782,0.07881050641019835,0.03260121689938008,0.08422883314157809,0.010042921782610468,0.049683844558180736,0.11283789006182769,0.08157333126261981
C1,no,Insulin,9.731543624161075,0.017907535936444417,0.06164887223536507,0.16769370072037643,0.1728539274285408,0.0631833310473829,0.15268194726933174,0.07861594574770153,0.032465799969258934,0.08401785001111035,0.010002954713234445,0.049439360463955896,0.11251062024264596,0.08125611789685021
C1,no,Insulin,10.067114093959733,0.017827216799698873,0.061494495640884946,0.16742770435100013,0.1724629325027412,0.06293279682552094,0.1523865163828896,0.0784550658247331,0.03235417610996991,0.08384356970152311,0.009969984830439368,0.04923799266813614,0.11224118277187976,0.08099528004871567
C1,no,Insulin,10.40268456375839,0.017761054988320937,0.061367034778426775,0.1672084434280105,0.17214075634706177,0.06272675068118709,0.1521429972067823,0.07832204389283205,0.03226211821160663,0.0836995833411452,0.00994277716443171,0.04907204659566793,0.1120192522969349,0.08078069156642098
C1,no,Insulin,10.738255033557047,0.017706524173453843,0.06126177671663072,0.1670276686949175,0.17187522472453037,0.06255717255278852,0.15194224058823608,0.07821206495807265,0.03218616792047399,0.08358061311749988,0.009920318675615242,0.04893523240586199,0.111836380548587,0.08060407628602195
C1,no,Insulin,11.073825503355705,0.017661560768715744,0.0611748429969438,0.16687859962231252,0.17165633676495792,0.06241753000107275,0.15177671809329288,0.07812114640724872,0.03212348997164728,0.0834823082510237,0.009901777331019566,0.04882239913327968,0.11168564603704202,0.08045866266920706
C1,no,Insulin,11.409395973154362,0.017624469329724845,0.06110303668528265,0.16675564982903185,0.17147585299995158,0.062302473134920586,0.15164021921980972,0.07804598800697315,0.03207175019877579,0.0834010761535147,0.009886465817409,0.048729310086892685,0.11156136303374772,0.0803388887755285
C1,no,Insulin,11.74496644295302,0.01759386204046039,0.06104371257739393,0.16665421673309067,0.17132699725788933,0.062207629709423645,0.1515276312973944,0.07798385771071617,0.032029029236927145,0.08333394207698312,0.009873820273944654,0.048652487549012614,0.11145885125377727,0.08024019700079554
C1,no,Insulin,12.080536912751679,0.017568601581505087,0.0609946913678763,0.16657052412108864,0.17120421076893633,0.062129422784059134,0.15143475641803777,0.07793249487451995,0.031993750415605385,0.0832784544885133,0.009863378205486953,0.048589078248276525,0.11137427676181968,0.08015885712112969
C1,no,Insulin,12.416107382550337,0.017547745435617247,0.06095419032345507,0.16650146271939542,0.17110290557534538,0.062064905841769415,0.15135812777860022,0.07789003293176557,0.03196461203334888,0.08323260060110668,0.00985475228071032,0.04853672588099937,0.11130450092456115,0.08009179358557547
C1,no,Insulin,12.751677852348994,0.017530518369627646,0.060920747740542784,0.16644446070153665,0.17101929776630062,0.062011671472335064,0.1512948861100058,0.07785495279973008,0.03194054322058958,0.08319472066748944,0.00984761878397797,0.048493493876256566,0.11124692537028961,0.080036479378723
C1,no,Insulin,13.087248322147651,0.01751629272077863,0.060893094261392056,0.166397386718784,0.17095027811622915,0.06196773503366115,0.15124268030226673,0.07782595339190677,0.03192065637114724,0.0831633946750653,0.009841726984833881,0.04845778702298734,0.11119936323449338,0.07999084610359485
C1,no,Insulin,13.422818791946309,0.017504541883833345,0.06087024161261792,0.1663585225584731,0.17089330201862596,0.06193146293503291,0.15119958477736797,0.07780197915373738,0.03190422535804388,0.08313750379848955,0.009836858931525218,0.048428292838083635,0.11116010070739332,0.0799531933791732
C1,no,Insulin,13.758389261744966,0.017494834302636545,0.06085135475091287,0.16632643034709688,0.17084625979748913,0.061901513095423216,0.151164003941872,0.07778216084238537,0.03189064846926644,0.08311610350465345,0.009832836425328851,0.04840392753524095,0.11112768007246794,0.07992211869715177
C1,no,Insulin,14.093959731543626,0.017486814003562813,0.06083574613525788,0.16629992728280557,0.1708074148411696,0.061876780613452156,0.15113462411463235,0.0777657797061008,0.0318794295606256,0.08309841557471949,0.009829512223118732,0.04838379784407262,0.11110090589830333,0.07989646854682735
C1,no,Insulin,14.429530201342283,0.017480187142533982,0.06082284580919179,0.16627803721432838,0.17077533442908585,0.06185635347677092,0.15111036137078082,0.0777522391946199,0.031870158440726486,0.08308379531893649,0.009826765039226965,0.04836716584463874,0.1110787915594742,0.07987529218258434
C1,no,Insulin,14.76510067114094,0.017474709080248816,0.06081217937844135,0.16625994823144208,0.17074882709354935,0.061839473564140664,0.15109031429331576,0.07774104237582956,0.03186249356024851,0.0830717057803162,0.009824493720803563,0.04835341738292381,0.11106051682055144,0.0798577996932489
C1,no,Insulin,15.100671140939598,0.017470186687881323,0.060803372040424075,0.16624501986136672,0.17072695312739655,0.0618255429531935,0.1510737719341597,0.07773179637829392,0.031856165172492755,0.08306172262976197,0.009822618373928246,0.04834206763777792,0.11104543475999593,0.0798433685682762
C1,no,Insulin,15.436241610738255,0.017466447486916295,0.060796088890469405,0.16623268048328227,0.17070887398176998,0.06181402807292907,0.1510600998875953,0.0777241500059358,0.0318509323022367,0.0830534666323547,0.00982106761619443,0.04833268365022218,0.11103296801520067,0.07983144365453308
C1,no,Insulin,15.771812080536913,0.017463357231441923,0.06079006897361604,0.166222485405913,0.17069393751395798,0.06180451397770561,0.15104880479316268,0.07771782954781094,0.031846607292660443,0.08304664223316391,0.009819785866658414,0.04832492841583398,0.11102266743726495,0.07982159355167574
C1,no,Insulin,16.107382550335572,0.017460802793903107,0.0607850921574551,0.1662140599842913,0.17068159447028955,0.06179665119168489,0.15103947114820737,0.07771260413470599,0.03184303193563858,0.08304100008611076,0.009818726280019025,0.04831851791585827,0.1110141545695675,0.07981345513737224
C1,no,Insulin,16.44295302013423,0.01745869079099139,0.06078097690515488,0.16620709537168155,0.17067139197519468,0.06179015145086417,0.15103175636615865,0.07770828319171462,0.03184007567243652,0.08303633451671742,0.009817850165767087,0.04831321778583663,0.11100711747759016,0.07980672908863058
C1,no,Insulin,16.778523489932887,0.017456945227428994,0.060777575555160154,0.16620134043685503,0.1706629618174843,0.0617847803993409,0.15102538192326023,0.07770471164299476,0.031837632259598674,0.08303247815704567,0.009817126002492313,0.04830883735252474,0.11100130257952998,0.0798011721746115
C1,no,Insulin,17.114093959731544,0.01745550311113717,0.060774765535290876,0.1661965868595462,0.1706559987594498,0.06178034388349541,0.15102011695608655,0.07770176094454286,0.031835613577253216,0.08302929203430354,0.009816527642663036,0.0483052185279068,0.11099649945501634,0.07979658289856048
C1,no,Insulin,17.449664429530202,0.01745431121228067,0.06077244281340933,0.1661926584551098,0.1706502447682815,0.06177667759629782,0.15101576630684233,0.07769932214999437,0.03183394506243586,0.08302665834982254,0.009816033074310983,0.048302227577972645,0.11099252983357331,0.07979279091757978
C1,no,Insulin,17.78523489932886,0.01745332594574856,0.060770522154097326,0.16618941136842222,0.17064548892992085,0.061773646933368356,0.15101217042788578,0.07769730555871779,0.031832565655579834,0.08302448069623365,0.009815624333026749,0.04829975500199105,0.11098924836195906,0.07978965697948377
C1,no,Insulin,18.120805369127517,0.017452511587769223,0.060768934211508197,0.1661867280720623,0.17064155874540365,0.061771141886141336,0.15100919883411526,0.07769563789230241,0.03183142542270918,0.08302268048357578,0.009815286612493344,0.0482977112256861,0.11098653679141801,0.07978706723420088
C1,no,Insulin,18.456375838926174,0.017451838360604384,0.06076762208739336,0.16618451057779238,0.1706383105246791,0.06176907143150099,0.15100674289287577,0.07769425934059311,0.031830482929429874,0.08302119278977953,0.009815007336156175,0.048296021867552615,0.11098429687177096,0.07978492696849568
C1,no,Insulin,18.79194630872483,0.017451281595216205,0.060766538977611556,0.16618267727315744,0.1706356250261336,0.061767360548177684,0.15100471252619366,0.07769312158177163,0.03182970391652175,0.08301996392553813,0.00981477593267772,0.0482946254033546,0.11098244610328357,0.0797831576917515
C1,no,Insulin,19.12751677852349,0.01745082160032224,0.06076564397182566,0.16618116268819058,0.17063340644689626,0.061765947068720455,0.15100303519454944,0.07769218134009273,0.031829060258605615,0.08301894849145541,0.009814584762153763,0.04829347161866515,0.11098091759218259,0.07978169612260387
C1,no,Insulin,19.46308724832215,0.01745044214759604,0.06076489632860178,0.16617991226906453,0.17063157460116618,0.06176477515399026,0.15100164983780648,0.07769139360268196,0.03182852724355191,0.08301810408756194,0.00981442913137463,0.04829251694034126,0.11097965390652442,0.07978048880363632
C1,no,Insulin,19.798657718120808,0.017450127656768035,0.06076428715216022,0.16617887588493183,0.17063005783277288,0.0617638110862896,0.15100050338148993,0.0776907567734039,0.03182808777827296,0.08301741144530522,0.009814297610514888,0.04829172897391922,0.11097860312054228,0.07977949003026245
C1,no,Insulin,20.134228187919465,0.01744986790059608,0.06076378179645569,0.16617802019768757,0.17062880499829353,0.061763013258023226,0.1509995562788518,0.07769022697823581,0.03182772431400006,0.08301683789151129,0.009814189547408205,0.04829107746461843,0.11097773745910718,0.07977866486235528
C1,no,Insulin,20.469798657718123,0.017449653274685544,0.0607633633245542,0.1661773133381091,0.17062776984555525,0.061762353408881566,0.15099877367921216,0.07768978762992478,0.03182742379606106,0.08301636337941945,0.009814100496313876,0.04829053886617811,0.1109770231829682,0.07977798299572589
C1,no,Insulin,20.80536912751678,0.01744947578522975,0.06076301758801459,0.16617672883997112,0.17062691391170862,0.06176180796697117,0.15099812659360706,0.07768942475457942,0.03182717534799805,0.0830159712035231,0.009814026777913985,0.048290093565502616,0.11097643231684368,0.07977741921846541
C1,no,Insulin,21.140939597315437,0.01744932904740559,0.06076273157744509,0.16617624565046712,0.17062620629782374,0.06176135691637565,0.1509975916292604,0.07768912445106693,0.03182696990660876,0.08301564685622832,0.009813965876084236,0.04828972536376726,0.11097594399860888,0.0797769531282756
C1,no,Insulin,21.476510067114095,0.017449207376627585,0.06076249442841152,0.16617584502305127,0.17062561959256436,0.061760982928668225,0.15099714807518683,0.07768887544362703,0.0318267995607817,0.08301537791845716,0.009813915377533861,0.048289420063410464,0.11097553909978188,0.07977656668466364
C1,no,Insulin,21.812080536912752,0.017449106942075042,0.06076229865667652,0.16617551433485078,0.17062513530887627,0.06176067421337481,0.1509967819533504,0.07768866987054007,0.031826658943423874,0.08301515591028853,0.009813873696346839,0.04828916804602695,0.11097520488945685,0.07977624770675688
C1,no,Insulin,22.14765100671141,0.017449024038528906,0.06076213703876505,0.16617524137781212,0.170624735569322,0.06176041937749091,0.15099647974759978,0.07768850015095659,0.03182654286679251,0.08301497264053713,0.009813839294927865,0.04828896001344069,0.11097492904067954,0.07977598441688241
C1,no,Insulin,22.483221476510067,0.017448955942422007,0.06076200427244107,0.16617501717969774,0.1706244072356825,0.061760210051965955,0.15099623152533834,0.07768836072279037,0.03182644751920112,0.08301482209345659,0.009813811041308657,0.0482887891333276,0.11097470248425272,0.07977576816051794
C1,no,Insulin,22.818791946308725,0.017448900343483578,0.06076189585590137,0.16617483413114317,0.1706241391645146,0.061760039135285064,0.1509960288618613,0.07768824686056774,0.03182636966644086,0.08301469916335269,0.009813787976344945,0.04828864960892109,0.11097451753179073,0.07977559159714981
C1,no,Insulin,23.154362416107382,0.01744885387346702,0.06076180522948629,0.16617468113695014,0.17062391510838956,0.061759896276033094,0.150995859473889,0.0776881516814099,0.031826304594051516,0.08301459640892907,0.00981376870072278,0.04828853298996056,0.1109743629700666,0.07977544402413538
C1,no,Insulin,23.48993288590604,0.017448815158643688,0.060761729714830286,0.16617455367363704,0.17062372844255486,0.06175977725087129,0.15099571835294,0.07768807237248736,0.03182625037857052,0.08301451079326697,0.009813752644519589,0.048288435829172166,0.11097423423137633,0.0797753210777283
C1,no,Insulin,23.8255033557047,0.017448782976284292,0.06076166692739268,0.16617444771525425,0.17062357327076863,0.061759678300390496,0.15099560104129056,0.07768800642907236,0.0318262053078301,0.08301443961287922,0.00981373930060798,0.04828835505803917,0.11097412725114952,0.07977521887408554
C1,no,Insulin,24.161073825503358,0.01744875610762878,0.06076161448357821,0.16617435924992074,0.17062344371574598,0.06175959567268912,0.1509955030951174,0.07768795134253054,0.03182616767370537,0.08301438016850826,0.009813728165234657,0.0482882876159069,0.11097403798478155,0.07977513354134605
C1,no,Insulin,24.496644295302016,0.0174487340231634,0.060761571330573264,0.16617428653829208,0.17062333722523945,0.06175952772630923,0.15099542258368048,0.0776879059921551,0.03182613673022107,0.08301433127590752,0.009813719023923558,0.048288232167768515,0.1109739646945964,0.07977506339722712
C1,no,Insulin,24.832214765100673,0.017448715077640693,0.060761534175395225,0.16617422417075278,0.17062324585881608,0.06175946934352211,0.15099535349847465,0.07768786686606885,0.03182611015490068,0.08301428924038261,0.00981371121555243,0.048288184558411724,0.11097390200633357,0.07977500320400484
C1,no,Insulin,25.16778523489933,0.01744870091248471,0.06076150632882617,0.16617417754310718,0.17062317754165648,0.061759425648317455,0.15099530183809873,0.0776878375095973,0.03182609027042428,0.08301425776528865,0.009813705393337074,0.04828814894139545,0.1109738552527863,0.07977495819183472
C1,no,Insulin,25.503355704697988,0.017448688741590695,0.06076148212953709,0.16617413749890078,0.17062311881657335,0.06175938791348926,0.15099525741404646,0.07768781183636797,0.03182607312516697,0.0830142305364658,0.00981370045901153,0.048288118253466766,0.11097381542751744,0.07977491947558807
C1,no,Insulin,25.838926174496645,0.01744867853469107,0.06076146209930473,0.166174103921929,0.17062306960676155,0.061759356445615386,0.15099522020254488,0.07768779069851807,0.0318260588047495,0.08301420788602117,0.009813696258461358,0.04828809260004143,0.11097378157825587,0.07977488705242754
C1,no,Insulin,26.174496644295303,0.017448669614724265,0.06076144465962394,0.16617407456659786,0.17062302660360437,0.06175932899369975,0.15099518768917392,0.07768777234540458,0.03182604630423222,0.08301418813373847,0.009813692570085132,0.04828807020147637,0.1109737519610336,0.07977485872590143
C1,no,Insulin,26.51006711409396,0.01744866227919231,0.0607614306766613,0.16617405041501723,0.17062299128162872,0.0617593066654666,0.1509951610045956,0.07768775781731842,0.031826036103219615,0.08301417213654408,0.009813689449242451,0.04828805189363863,0.11097372708743879,0.07977483548891402
C1,no,Insulin,26.845637583892618,0.017448656352072135,0.06076141966027669,0.1661740308921616,0.17062296277488082,0.06175928881853902,0.15099513948543544,0.07768774652244297,0.031826027922877025,0.08301415940436095,0.00981368685878624,0.048288037188918595,0.11097370658250219,0.07977481675888633
C1,no,Insulin,27.181208053691275,0.01744865117993347,0.06076140978899372,0.1661740138628912,0.1706229378682043,0.061759273067137015,0.15099512066862644,0.0776877362617401,0.03182602072768023,0.08301414811642703,0.009813684661209925,0.048288024276601726,0.11097368906069024,0.07977480037274244
C1,no,Insulin,27.516778523489933,0.017448647118575192,0.06076140205462328,0.1661740004898096,0.1706229183122818,0.06175926071034007,0.15099510589533158,0.0776877282326066,0.031826015081481834,0.08301413926416423,0.009813682931387119,0.04828801414263899,0.1109736752764389,0.07977478750829738
C1,no,Insulin,27.85234899328859,0.01744864410046212,0.06076139632175132,0.16617399055080662,0.170622903781147,0.061759251537967845,0.15099509491889307,0.07768772229065792,0.03182601088889301,0.08301413269572284,0.009813681642221394,0.04828800661639293,0.11097366501059226,0.07977477795055361
C1,no,Insulin,28.18791946308725,0.017448641051548443,0.060761390436820654,0.16617398051355406,0.17062288909079426,0.061759242207417755,0.15099508381658963,0.0776877161396745,0.03182600663289748,0.08301412599616083,0.009813680362784708,0.048287998984130824,0.11097365477780476,0.07977476828029795
C1,no,Insulin,28.52348993288591,0.017448638886273782,0.060761386233363905,0.1661739733854664,0.17062287865487163,0.06175923556457239,0.15099507592821532,0.07768771173465129,0.031826003605078694,0.08301412122155313,0.009813679459968003,0.048287993556317195,0.11097364754548995,0.07977476140863904
C1,no,Insulin,28.859060402684566,0.01744863730198778,0.06076138316037036,0.16617396816958788,0.1706228710192662,0.061759230706002095,0.1509950701567492,0.07768770851639707,0.031826001390263016,0.08301411772975004,0.009813678798722235,0.04828798958569998,0.11097364224993105,0.0797747563811135
C1,no,Insulin,29.194630872483224,0.017448636123743873,0.060761380876155575,0.16617396429029285,0.17062286534066437,0.061759227093514266,0.15099506586459643,0.07768770612520819,0.03182599974335487,0.0830141151336417,0.00981367830663574,0.04828798663309325,0.11097363831011713,0.07977475264225102
C1,no,Insulin,29.53020134228188,0.017448635197933587,0.06076137907401157,0.16617396124235595,0.1706228608778112,0.061759224249944,0.1509950624909281,0.07768770423471348,0.031825998447677126,0.08301411308873306,0.009813677921762968,0.04828798431078603,0.11097363522569287,0.07977474970324923
C1,no,Insulin,29.86577181208054,0.017448634396695487,0.06076137750699031,0.1661739586049594,0.1706228570146769,0.06175922178386858,0.1509950595701571,0.07768770258647673,0.0318259973247115,0.08301411131399426,0.009813677590499493,0.04828798229866105,0.1109736325678265,0.07977474715857559
C1,no,Insulin,30.201342281879196,0.017448633969634666,0.06076137666571911,0.16617395719900327,0.17062285495470164,0.06175922046537588,0.1509950580123674,0.07768770169932465,0.0318259967248441,0.083014110363782,0.009813677415359942,0.0482879812242987,0.11097363115983276,0.07977474580117554
C1,no,Insulin,30.536912751677853,0.01744863361608765,0.06076137596559215,0.1661739560352184,0.17062285324891255,0.06175921937131025,0.15099505672219765,0.07768770095899452,0.03182599622742723,0.08301410957463119,0.009813677271269477,0.04828798033373113,0.11097362999965436,0.07977474467686009
C1,no,Insulin,30.87248322147651,0.017448633230333292,0.060761375202923844,0.16617395476561997,0.1706228513880008,0.06175921817837737,0.1509950553147508,0.07768770015264044,0.0318259956849655,0.0830141087145115,0.009813677113780835,0.04828797936242827,0.11097362873190422,0.07977474345039338
C1,no,Insulin,31.20805369127517,0.017448632889449468,0.06076137452858361,0.16617395364378815,0.17062284974354144,0.06175921712392457,0.15099505407098118,0.0776876994392978,0.03182599520551601,0.0830141079541995,0.009813676974714284,0.04828797850398856,0.1109736276122633,0.0797747423665503
C1,no,Insulin,31.543624161073826,0.017448632675487283,0.06076137410308681,0.16617395293966924,0.1706228487110748,0.06175921646055196,0.15099505328995816,0.07768769898811932,0.031825994904088384,0.08301410747543046,0.00981367688796502,0.04828797796447425,0.11097362691303723,0.07977474168588546
C1,no,Insulin,31.879194630872483,0.017448632440503802,0.06076137364085501,0.16617395216633266,0.17062284757783094,0.0617592157354717,0.15099505243299047,0.07768769850036432,0.03182599457416132,0.08301410695313628,0.00981367679146998,0.048287977373539605,0.11097362613769822,0.0797747409391957
C1,no,Insulin,32.214765100671144,0.01744863214248743,0.06076137306177296,0.16617395118545242,0.17062284614150874,0.06175921482078559,0.15099505134724517,0.07768769789279587,0.031825994157305165,0.08301410629567386,0.009813676667362842,0.048287976626322573,0.11097362514383004,0.07977473999339192
C1,no,Insulin,32.5503355704698,0.01744863189487103,0.06076137257786432,0.16617395037046157,0.17062284494772975,0.061759214058906574,0.1509950504446869,0.07768769738380801,0.031825993810340375,0.08301410574747932,0.00981367656490809,0.048287976004610204,0.11097362432187186,0.07977473920707565
C1,no,Insulin,32.88590604026846,0.017448631714192007,0.0607613722253832,0.16617394977586802,0.17062284407678616,0.06175921350338765,0.15099504978623537,0.07768769701314693,0.03182599355730263,0.08301410534792966,0.009813676490011816,0.04828797555115848,0.11097362372138568,0.07977473863345409
C1,no,Insulin,33.22147651006711,0.01744863151149701,0.060761371830791645,0.16617394910873948,0.17062284309979,0.06175921288076799,0.15099504904766123,0.07768769659879114,0.031825993273618514,0.08301410490024981,0.00981367640577761,0.04828797504271372,0.1109736230462065,0.07977473799005334
C1,no,Insulin,33.557046979865774,0.01744863131911637,0.060761371456502636,0.16617394847553746,0.17062284217252932,0.06175921228998798,0.15099504834669997,0.07768769620590789,0.031825993004419524,0.08301410447549895,0.009813676325773507,0.0482879745602111,0.11097362240500844,0.07977473737942459
