,,,Slide ID,g,a,h,j,b,d,e,f,c,i
,,,Antibody Name,g,a,h,j,b,d,e,f,c,i
,,,HUGO ID,g,a,h,j,b,d,e,f,c,i
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.4454427962043642,0.18958001114749046,0.8643032250951856,0.7053664992611439,0.5461802422065891,0.9839152826745736,0.5371006516648041,0.7117361927926131,0.8690516779044208,0.4690197960879159
C1,no,Insulin,0.33557046979865773,0.2516903472366087,0.20367123059426445,0.591145264683868,0.46425098336427995,0.43491665030504273,0.5748309777887521,0.4107217479722617,0.39334198339944126,0.5324372031006647,0.34380091116626615
C1,no,Insulin,0.6711409395973155,0.15547191289897627,0.2054113829800173,0.4328651827089396,0.3301893055951895,0.36642981634574856,0.3796640334206693,0.3431885447461064,0.22921902875767536,0.3882544664031799,0.27002888606894804
C1,no,Insulin,1.0067114093959733,0.10600185375223296,0.20092661044912186,0.339128248380598,0.25497678909601773,0.32393650857756606,0.28472115088035505,0.30417699223365946,0.14337893279654576,0.32338483470607327,0.22468074731177068
C1,no,Insulin,1.342281879194631,0.0797973392074111,0.1943011182547702,0.2825591099430242,0.21223534960901702,0.2972313034589114,0.2372694560997221,0.27978497511978906,0.09790304646238142,0.2920231216930231,0.1959897270780679
C1,no,Insulin,1.6778523489932886,0.06555231781402833,0.18779205524172066,0.24794283783641102,0.18750258023151148,0.28012410754512845,0.21264965996461516,0.26362081661408904,0.07351432424930207,0.27558965969452115,0.17756975779362683
C1,no,Insulin,2.0134228187919465,0.05761502948168452,0.18234638108452286,0.22655574564773576,0.17286583269015263,0.2689258488175305,0.19926175013277464,0.25259059262278144,0.06025868683939567,0.2663284736377132,0.16567848233794036
C1,no,Insulin,2.348993288590604,0.05308031807332001,0.17816361540321451,0.21324842640785063,0.16399336963029085,0.2614565586163179,0.19160114159030206,0.24501333383940863,0.052940774698317775,0.2608055769883892,0.1579888619867478
C1,no,Insulin,2.684563758389262,0.05042361833819833,0.1751090755896016,0.20491899609191433,0.15849363291394972,0.2564120338077638,0.187007113376897,0.23983863206460085,0.04882747116934413,0.25737743505084537,0.15301131382967942
C1,no,Insulin,3.0201342281879198,0.048829396139572774,0.17294747417049233,0.1996763458639406,0.155021634839499,0.2529862612587477,0.18414884270571266,0.2363424371186636,0.04646924983894224,0.25519193864831774,0.14978470868544716
