,,,Slide ID,d,c,g,f,a,h,e,b
,,,Antibody Name,d,c,g,f,a,h,e,b
,,,HUGO ID,d,c,g,f,a,h,e,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.5041318909339295,0.5617660178586555,0.05955439811549812,0.14430119301545064,0.13060245064299347,0.14489738908430538,0.9837143247496328,0.9751798393349822
C1,no,Insulin,0.33557046979865773,0.26429108603812707,0.4376058461542758,0.11764928822955059,0.15873197764822874,0.1049893675370814,0.16235828087646903,0.7093302731356195,0.4705155170739874
C1,no,Insulin,0.6711409395973155,0.1519836989233311,0.3532540670957743,0.1383872801633022,0.15120702981670872,0.08611636704382307,0.16168651110048293,0.5349245892538814,0.2626727491660063
C1,no,Insulin,1.0067114093959733,0.09716268718748419,0.29465820212251603,0.1413002093097016,0.13682291688490028,0.07149020365887479,0.15423818521841384,0.4220405354768631,0.17390342748144702
C1,no,Insulin,1.342281879194631,0.06891921599128906,0.25319800235226747,0.13683235275277839,0.12233659253540052,0.05997667431075168,0.14468395616121013,0.34768849653959805,0.1332494928649232
C1,no,Insulin,1.6778523489932886,0.053430860547754276,0.22344063381254398,0.13020370044741503,0.11021266639434577,0.0509281682102202,0.13497742980038752,0.29792279073667,0.11240471990956274
C1,no,Insulin,2.0134228187919465,0.044384988761457016,0.20187559975589095,0.1237296773480205,0.1008893147208987,0.04388049058432658,0.12595118696207283,0.26416629813139364,0.10008486653404916
C1,no,Insulin,2.348993288590604,0.03879951171135771,0.1861626949917962,0.11823834879411686,0.09401542892310542,0.03845219521988661,0.1179525264296034,0.24103947111724308,0.09178112660042474
C1,no,Insulin,2.684563758389262,0.03519588569730693,0.17468841540404723,0.11387961840107413,0.08904827017723267,0.034316755871478616,0.11109760314683297,0.2250857378283185,0.08566492236487093
C1,no,Insulin,3.0201342281879198,0.032795720130053725,0.16630783591954992,0.11054032138171034,0.08548898884143939,0.03119699161440489,0.1053786643087347,0.2140302863065767,0.08095596845347726
C1,no,Insulin,3.3557046979865772,0.031161934975374044,0.16019248651257054,0.10803388691361444,0.08294542138711043,0.02886319577185628,0.10071658132917993,0.20634635716111366,0.07727782326796274
