,,,Slide ID,b,k,f,c,l,i,j,d,a,h,e,g
C1,no,Insulin,4.697986577181208,0.20445427031040042,0.12170002578401905,0.10886924373506779,0.18871769901823765,0.20144187486234608,0.16356540533584246,0.19058208411677535,0.0566855500735058,0.0991901225719566,0.2217825266032597,0.18428080808393688,0.15855801293186675
C1,no,Insulin,5.033557046979866,0.20440974968240996,0.12157350602037863,0.1083943443599816,0.18866340943184523,0.2013970715070445,0.1634719180982808,0.1904946598454601,0.056647658031800247,0.0991516730412389,0.221729030036426,0.18424058617451658,0.15851559908641227
C1,no,Insulin,5.369127516778524,0.2043790544391867,0.12149642345599358,0.10805456994149737,0.18862630881530942,0.20137137816563466,0.1634091793785073,0.19043636355835247,0.05662385157700571,0.09912312246341735,0.22169771616061362,0.1842131516270319,0.1584906627973288
C1,no,Insulin,5.704697986577181,0.20435809439438649,0.1214495606099387,0.1078117214817817,0.1886011196854265,0.20135667247758995,0.16336712186993643,0.19039744187212693,0.056608789587556066,0.09910248876127105,0.22167947915073574,0.18419456159535263,0.15847608848506767
C1,no,Insulin,6.0402684563758395,0.20434387553274294,0.12142112324508851,0.10763831583913541,0.18858409463519468,0.201348268625352,0.16333894862970577,0.19037143310084112,0.056599198212292826,0.09908785678523564,0.2216689033347793,0.18418201954509011,0.15846761276215732
C1,no,Insulin,6.375838926174497,0.20433427404999752,0.12140389841062885,0.10751460961645953,0.18857262665046157,0.2013434737950927,0.16332008381745214,0.19035404607399753,0.05659305585936286,0.0990776217253895,0.22166279221095606,0.18417358336635095,0.15846270369336463
C1,no,Insulin,6.7114093959731544,0.20432780922329444,0.12139347819466785,0.10742643066071673,0.18856491652847676,0.20134073941502958,0.16330745570490182,0.1903424165077706,0.056589100311164306,0.099070535144824,0.22165927083655823,0.18416791884762002,0.1584598699263587
C1,no,Insulin,7.046979865771813,0.20432346466812076,0.12138718554913215,0.10736362679105828,0.18855974102619905,0.2013391830851694,0.1632990032895355,0.19033463820741195,0.05658654236242333,0.09906566476074556,0.22165724703922593,0.1841641184220328,0.1584582386386026
C1,no,Insulin,7.38255033557047,0.20432055110482783,0.12138338944678462,0.107318927235151,0.18855627247678455,0.20133829750729418,0.16329334645819846,0.19032943415071882,0.05658488029447494,0.09906233736881458,0.22165608660701913,0.18416157502044517,0.15845730217214177
C1,no,Insulin,7.718120805369128,0.20431859517571535,0.12138110317957315,0.1072871366709944,0.18855394490538055,0.2013377945216994,0.16328956150333074,0.19032595248081838,0.05658379727314936,0.09906007372493042,0.2216554226605166,0.18415986673029403,0.15845676576960463
C1,no,Insulin,8.053691275167786,0.20431728680737907,0.12137972732015614,0.10726453988972967,0.1885523885831999,0.20133750886755422,0.163287028316687,0.19032362309300047,0.05658308845881245,0.09905853956401782,0.22165504331538677,0.18415872653385332,0.15845645903624686
C1,no,Insulin,8.389261744966444,0.20431641047326984,0.12137890024135368,0.10724848831575025,0.1885513463673369,0.20133734671164075,0.1632853332474501,0.1903220645462734,0.056582623410342474,0.09905750256157834,0.22165482683392498,0.18415796269523807,0.15845628386729202
C1,no,Insulin,8.724832214765101,0.2043158237714637,0.1213784037466721,0.10723709415507734,0.1885506486659766,0.20133725476746644,0.16328419934390992,0.19032102192708036,0.0565823175677203,0.09905680321739058,0.2216547035465269,0.18415745142882015,0.15845618405510378
C1,no,Insulin,9.060402684563758,0.20431543108684586,0.12137810572045747,0.10722900885146544,0.18855018173066165,0.2013372025883176,0.16328344055281463,0.190320324254097,0.056582115863363806,0.09905633227408607,0.22165463330819177,0.18415710933987214,0.15845612716517982
C1,no,Insulin,9.395973154362416,0.20431516823241103,0.12137792698862135,0.10722327417534767,0.18854986918819144,0.2013371729971047,0.16328293278632974,0.1903198573873696,0.056581982578940954,0.09905601553431674,0.22165459333979978,0.18415688036117683,0.1584560947806562
C1,no,Insulin,9.731543624161075,0.2043149923097194,0.12137781987558639,0.1072192085502096,0.18854966001757967,0.201337156220078,0.16328259299436557,0.19031954496741724,0.05658189434685881,0.09905580272622429,0.2216545706118277,0.18415672713044906,0.15845607635970937
C1,no,Insulin,10.067114093959733,0.20431487446503624,0.12137775558727806,0.10721632597917202,0.18854951990393004,0.2013371466804153,0.16328236540487429,0.19031933571208096,0.056581835789827686,0.09905565974183496,0.2216545576554383,0.18415662448527145,0.1584560658560927
C1,no,Insulin,10.40268456375839,0.20431479545128858,0.12137771690943082,0.10721428194144701,0.18854942596059882,0.20133714123065263,0.16328221281054187,0.19031919541116946,0.056581796829386986,0.09905556364047861,0.22165455023828345,0.18415655566912645,0.15845605984201283
C1,no,Insulin,10.738255033557047,0.2043147427906926,0.12137769422905353,0.10721283657665015,0.18854936335170944,0.2013371382662266,0.1632821111122601,0.19031910190611223,0.056581771075823746,0.09905549942223833,0.22165454618783936,0.18415650982921003,0.15845605655654044
C1,no,Insulin,11.073825503355705,0.20431470778796262,0.12137768109936126,0.10721181633203117,0.18854932173678335,0.20133713669691902,0.16328204352936304,0.19031903976752565,0.05658175408977348,0.09905545664750932,0.22165454403306017,0.1841564793581597,0.1584560548078748
C1,no,Insulin,11.409395973154362,0.2043146840797102,0.12137767274820083,0.1072110909067968,0.1885492935475577,0.20133713566899097,0.1632819977617203,0.19031899768663185,0.05658174259914555,0.09905542769742064,0.22165454263139847,0.18415645867241046,0.15845605367139817
C1,no,Insulin,11.74496644295302,0.20431466831244224,0.12137766766734052,0.10721058041397426,0.18854927479986286,0.2013371350372816,0.1632819673112196,0.19031896968942802,0.05658173497034578,0.09905540843892262,0.22165454177541336,0.18415644490947689,0.1584560529779834
C1,no,Insulin,12.080536912751679,0.20431465778497807,0.12137766475970069,0.1072102192277315,0.1885492622851344,0.20133713472864054,0.16328194696700046,0.19031895098456847,0.05658172990854341,0.09905539553527032,0.2216545413506709,0.1841564357794676,0.15845605263326296
C1,no,Insulin,12.416107382550337,0.20431465079422453,0.12137766325533392,0.10720996422428088,0.18854925397867695,0.20133713464731987,0.16328193346427242,0.19031893856954518,0.056581726588513515,0.09905538691874964,0.22165454122272846,0.18415642981176383,0.15845605252766803
C1,no,Insulin,12.751677852348994,0.20431464606622163,0.12137766229574101,0.1072097835683513,0.18854924836053444,0.20133713459035082,0.1632819243488776,0.19031893018794563,0.05658172434800234,0.09905538110443401,0.2216545411337956,0.18415642578511401,0.15845605245423436
C1,no,Insulin,13.087248322147651,0.20431464277948555,0.12137766146191638,0.10720965451135807,0.18854924445043558,0.20133713446748502,0.1632819180239699,0.19031892437202227,0.05658172276796038,0.09905537711312778,0.2216545409717734,0.1841564228870487,0.15845605232341628
C1,no,Insulin,13.422818791946309,0.20431464053128698,0.12137766084486717,0.10720956215483225,0.18854924177049928,0.20133713434073813,0.16328191368864758,0.19031892038604503,0.05658172167039925,0.09905537440847356,0.22165454081558056,0.1841564207508395,0.158456052198801
C1,no,Insulin,13.758389261744966,0.20431463911066797,0.12137766053020638,0.10720949870862703,0.18854924007571053,0.2013371342771136,0.16328191092961636,0.19031891784996058,0.056581720975386114,0.09905537268478486,0.22165454074073448,0.18415641931718227,0.1584560521397202
C1,no,Insulin,14.093959731543626,0.20431463815001094,0.12137766043400065,0.10720945228965444,0.18854923893466533,0.20133713428697014,0.16328190904293868,0.19031891611614585,0.056581720515687106,0.09905537147484157,0.22165454075069563,0.1841564184156654,0.1584560521474965
C1,no,Insulin,14.429530201342283,0.20431463757233792,0.12137766045049549,0.10720942095423476,0.1885492382547917,0.20133713432941913,0.1632819078908005,0.19031891505761625,0.056581720245908546,0.09905537071054443,0.22165454079524888,0.18415641798305518,0.1584560521819681
C1,no,Insulin,14.76510067114094,0.20431463719939416,0.12137766045316829,0.10720939919733782,0.18854923782030789,0.2013371343510484,0.16328190714827429,0.19031891437521856,0.05658172007151581,0.09905537021731792,0.2216545408135783,0.18415641783564296,0.15845605219524414
C1,no,Insulin,15.100671140939598,0.20431463695641322,0.12137766042733657,0.10720938440094693,0.18854923753933484,0.20133713434729658,0.16328190667724676,0.19031891394190456,0.05658171995728617,0.09905536991323043,0.22165454080337446,0.18415641786082845,0.15845605218604933
C1,no,Insulin,15.436241610738255,0.20431463676876324,0.12137766037604664,0.10720937378901679,0.1885492373195454,0.20133713432213002,0.16328190633856263,0.190318913629729,0.056581719870036726,0.09905536971183039,0.22165454077323066,0.18415641792804877,0.15845605216192285
C1,no,Insulin,15.771812080536913,0.20431463661848884,0.12137766032764263,0.10720936603448147,0.18854923713815883,0.20133713429563288,0.1632819060877557,0.1903189133981365,0.056581719803547495,0.09905536957198831,0.22165454074621488,0.18415641794205626,0.15845605214116157
C1,no,Insulin,16.107382550335572,0.2043146364990141,0.12137766029440981,0.1072093604479823,0.18854923698746234,0.20133713427723574,0.1632819059037036,0.19031891322793623,0.056581719754713315,0.0990553694730206,0.221654540732039,0.1841564178570887,0.1584560521312673
C1,no,Insulin,16.44295302013423,0.20431463641256897,0.12137766027944798,0.10720935637123712,0.18854923687296993,0.20133713427221345,0.16328190577210963,0.19031891310638763,0.05658171972073251,0.09905536939739157,0.22165454073209334,0.18415641764239016,0.15845605213250324
C1,no,Insulin,16.778523489932887,0.20431463635804697,0.12137766027667081,0.10720935347662278,0.1885492367966051,0.20133713427634006,0.1632819056826254,0.1903189130240795,0.056581719698152566,0.09905536933956116,0.22165454073960805,0.1841564173239055,0.1584560521391141
C1,no,Insulin,17.114093959731544,0.2043146363331824,0.12137766027755487,0.10720935142394009,0.18854923675972735,0.20133713428308106,0.16328190562339584,0.19031891297016612,0.05658171968280884,0.09905536929494911,0.22165454074543675,0.18415641695126733,0.15845605214349298
C1,no,Insulin,17.449664429530202,0.20431463632823993,0.12137766027691316,0.10720934994421133,0.1885492367564098,0.20133713428576164,0.16328190558263833,0.19031891293343509,0.056581719672078756,0.09905536926366197,0.2216545407445692,0.184156416741859,0.15845605214206657
C1,no,Insulin,17.78523489932886,0.20431463631013488,0.12137766027918212,0.1072093485557464,0.18854923672816876,0.20133713429216035,0.16328190554439664,0.1903189128985916,0.056581719662421884,0.09905536923326079,0.22165454075072666,0.1841564164875416,0.15845605214683484
C1,no,Insulin,18.120805369127517,0.20431463629783117,0.12137766028026999,0.10720934750441169,0.18854923671122698,0.2013371342956757,0.16328190551612695,0.19031891287280192,0.05658171965549204,0.09905536921178196,0.22165454075388383,0.18415641637436966,0.15845605214922354
C1,no,Insulin,18.456375838926174,0.20431463629132882,0.12137766028017676,0.1072093467902072,0.18854923670558443,0.20133713429630762,0.16328190549782928,0.19031891285606609,0.05658171965128921,0.09905536919922549,0.2216545407540407,0.18415641640234318,0.15845605214923267
C1,no,Insulin,18.79194630872483,0.2043146362906278,0.12137766027890243,0.10720934641313294,0.18854923671124119,0.20133713429405614,0.16328190548950364,0.1903189128483841,0.056581719649813414,0.09905536919559138,0.22165454075119725,0.18415641657146217,0.1584560521468623
C1,no,Insulin,19.12751677852349,0.2043146362913001,0.12137766027749743,0.1072093461660094,0.18854923671845836,0.20133713429143707,0.16328190548472157,0.19031891284393776,0.0565817196491585,0.09905536919457769,0.22165454074803848,0.18415641674390051,0.15845605214425892
C1,no,Insulin,19.46308724832215,0.20431463628886873,0.12137766027702376,0.107209345839365,0.18854923671738935,0.20133713429099412,0.1632819054769836,0.19031891283684457,0.05658171964739724,0.09905536918981274,0.221654540747279,0.18415641678030734,0.15845605214359293
C1,no,Insulin,19.798657718120808,0.20431463628809213,0.12137766027635265,0.1072093456558397,0.18854923671849977,0.20133713429002367,0.1632819054731978,0.19031891283335686,0.05658171964657803,0.09905536918806875,0.2216545407460335,0.18415641682879375,0.15845605214255754
C1,no,Insulin,20.134228187919465,0.2043146362889703,0.12137766027548408,0.10720934561543351,0.1885492367217896,0.20133713428852576,0.1632819054733642,0.19031891283347466,0.05658171964670085,0.09905536918934572,0.221654540744302,0.1841564168893598,0.15845605214115274
C1,no,Insulin,20.469798657718123,0.20431463629150326,0.12137766027441806,0.10720934571814641,0.18854923672725887,0.20133713428650038,0.16328190547748275,0.1903189128371979,0.05658171964776571,0.09905536919364367,0.22165454074208446,0.18415641696200546,0.15845605213937852
C1,no,Insulin,20.80536912751678,0.20431463629070562,0.12137766027333942,0.10720934545783782,0.18854923672996718,0.201337134284728,0.1632819054723851,0.1903189128324837,0.05658171964674631,0.09905536919171004,0.22165454073990584,0.18415641705405644,0.15845605213758104
C1,no,Insulin,21.140939597315437,0.20431463629225932,0.12137766027299658,0.10720934558671193,0.18854923673174276,0.20133713428421057,0.1632819054760305,0.19031891283581928,0.05658171964753202,0.09905536919444388,0.221654540739365,0.18415641705490338,0.15845605213715933
C1,no,Insulin,21.476510067114095,0.20431463629381302,0.12137766027265373,0.10720934571558605,0.18854923673351837,0.20133713428369315,0.16328190547967592,0.19031891283915484,0.05658171964831772,0.09905536919717774,0.22165454073882412,0.1841564170557503,0.1584560521367376
C1,no,Insulin,21.812080536912752,0.20431463629536672,0.12137766027231088,0.10720934584446015,0.18854923673529397,0.20133713428317573,0.1632819054833213,0.1903189128424904,0.056581719649103426,0.09905536919991159,0.22165454073828325,0.18415641705659724,0.1584560521363159
C1,no,Insulin,22.14765100671141,0.20431463629654387,0.1213776602720525,0.1072093459421783,0.1885492367366405,0.2013371342827887,0.16328190548607222,0.19031891284500774,0.056581719649696674,0.09905536920197094,0.221654540737878,0.18415641705724847,0.15845605213599978
C1,no,Insulin,22.483221476510067,0.2043146362967145,0.12137766027201989,0.10720934595661866,0.18854923673684018,0.20133713428275024,0.1632819054864323,0.19031891284533803,0.05658171964977551,0.09905536920222743,0.22165454073783522,0.18415641705737673,0.15845605213596603
C1,no,Insulin,22.818791946308725,0.20431463629688512,0.12137766027198728,0.10720934597105902,0.18854923673703985,0.2013371342827118,0.16328190548679233,0.1903189128456683,0.05658171964985434,0.09905536920248391,0.22165454073779245,0.184156417057505,0.15845605213593225
C1,no,Insulin,23.154362416107382,0.20431463629705576,0.12137766027195468,0.10720934598549937,0.18854923673723953,0.20133713428267333,0.16328190548715238,0.19031891284599856,0.056581719649933165,0.0990553692027404,0.22165454073774965,0.18415641705763325,0.15845605213589847
C1,no,Insulin,23.48993288590604,0.2043146362972264,0.12137766027192207,0.10720934599993973,0.1885492367374392,0.2013371342826349,0.16328190548751242,0.19031891284632882,0.056581719650012,0.09905536920299689,0.22165454073770688,0.1841564170577615,0.15845605213586472
C1,no,Insulin,23.8255033557047,0.20431463629739705,0.12137766027188945,0.10720934601438008,0.18854923673763888,0.20133713428259642,0.1632819054878725,0.19031891284665908,0.05658171965009083,0.09905536920325336,0.2216545407376641,0.18415641705788974,0.15845605213583094
C1,no,Insulin,24.161073825503358,0.20431463629756766,0.12137766027185684,0.10720934602882044,0.18854923673783855,0.20133713428255798,0.16328190548823254,0.19031891284698937,0.056581719650169664,0.09905536920350985,0.2216545407376213,0.184156417058018,0.15845605213579717
C1,no,Insulin,24.496644295302016,0.2043146362977383,0.12137766027182423,0.1072093460432608,0.1885492367380382,0.2013371342825195,0.1632819054885926,0.19031891284731964,0.056581719650248496,0.09905536920376634,0.22165454073757854,0.18415641705814625,0.15845605213576341
C1,no,Insulin,24.832214765100673,0.20431463629790894,0.12137766027179162,0.10720934605770115,0.18854923673823787,0.20133713428248107,0.16328190548895266,0.1903189128476499,0.05658171965032732,0.09905536920402282,0.22165454073753577,0.1841564170582745,0.15845605213572964
C1,no,Insulin,25.16778523489933,0.20431463629807958,0.121377660271759,0.10720934607214151,0.18854923673843754,0.2013371342824426,0.1632819054893127,0.19031891284798017,0.056581719650406155,0.0990553692042793,0.22165454073749297,0.18415641705840277,0.15845605213569589
C1,no,Insulin,25.503355704697988,0.20431463629825022,0.1213776602717264,0.10720934608658186,0.18854923673863722,0.20133713428240416,0.16328190548967275,0.19031891284831043,0.05658171965048499,0.0990553692045358,0.2216545407374502,0.18415641705853103,0.1584560521356621
C1,no,Insulin,25.838926174496645,0.20431463629842084,0.12137766027169379,0.10720934610102222,0.1885492367388369,0.2013371342823657,0.16328190549003282,0.19031891284864072,0.05658171965056382,0.09905536920479228,0.22165454073740742,0.18415641705865926,0.15845605213562833
C1,no,Insulin,26.174496644295303,0.20431463629859148,0.12137766027166118,0.10720934611546257,0.18854923673903656,0.20133713428232725,0.16328190549039287,0.19031891284897098,0.056581719650642646,0.09905536920504876,0.22165454073736465,0.18415641705878752,0.15845605213559458
C1,no,Insulin,26.51006711409396,0.20431463629876212,0.12137766027162857,0.10720934612990293,0.18854923673923624,0.20133713428228878,0.16328190549075292,0.19031891284930125,0.05658171965072148,0.09905536920530525,0.22165454073732185,0.18415641705891578,0.1584560521355608
C1,no,Insulin,26.845637583892618,0.20431463629893276,0.12137766027159595,0.10720934614434328,0.1885492367394359,0.20133713428225034,0.16328190549111296,0.1903189128496315,0.05658171965080031,0.09905536920556174,0.22165454073727908,0.18415641705904404,0.15845605213552702
C1,no,Insulin,27.181208053691275,0.20431463629910337,0.12137766027156334,0.10720934615878364,0.18854923673963558,0.20133713428221187,0.16328190549147303,0.19031891284996177,0.056581719650879145,0.09905536920581821,0.2216545407372363,0.1841564170591723,0.15845605213549327
C1,no,Insulin,27.516778523489933,0.20431463629927402,0.12137766027153073,0.10720934617322399,0.18854923673983526,0.20133713428217342,0.16328190549183308,0.19031891285029204,0.05658171965095797,0.0990553692060747,0.2216545407371935,0.18415641705930055,0.1584560521354595
C1,no,Insulin,27.85234899328859,0.20431463629944466,0.12137766027149813,0.10720934618766435,0.18854923674003493,0.20133713428213496,0.16328190549219312,0.19031891285062233,0.0565817196510368,0.09905536920633119,0.22165454073715074,0.18415641705942878,0.1584560521354257
C1,no,Insulin,28.18791946308725,0.2043146362996153,0.12137766027146552,0.1072093462021047,0.1885492367402346,0.2013371342820965,0.1632819054925532,0.1903189128509526,0.056581719651115636,0.09905536920658767,0.22165454073710797,0.18415641705955704,0.15845605213539196
C1,no,Insulin,28.52348993288591,0.20431463629978594,0.1213776602714329,0.10720934621654506,0.18854923674043428,0.20133713428205807,0.16328190549291324,0.19031891285128286,0.05658171965119447,0.09905536920684416,0.22165454073706517,0.1841564170596853,0.15845605213535818
C1,no,Insulin,28.859060402684566,0.20431463629995655,0.12137766027140029,0.10720934623098541,0.18854923674063392,0.2013371342820196,0.1632819054932733,0.19031891285161312,0.0565817196512733,0.09905536920710065,0.2216545407370224,0.18415641705981356,0.1584560521353244
C1,no,Insulin,29.194630872483224,0.2043146363001272,0.12137766027136768,0.10720934624542577,0.1885492367408336,0.20133713428198116,0.16328190549363336,0.19031891285194338,0.05658171965135213,0.09905536920735714,0.22165454073697963,0.18415641705994182,0.15845605213529065
C1,no,Insulin,29.53020134228188,0.20431463630029784,0.12137766027133506,0.10720934625986613,0.18854923674103327,0.2013371342819427,0.1632819054939934,0.19031891285227368,0.05658171965143096,0.09905536920761361,0.22165454073693686,0.18415641706007008,0.15845605213525688
C1,no,Insulin,29.86577181208054,0.20431463630037788,0.12137766027132002,0.10720934626671245,0.18854923674112709,0.20133713428192535,0.16328190549416133,0.1903189128524277,0.05658171965146782,0.09905536920773268,0.22165454073691743,0.18415641706013103,0.15845605213524155
C1,no,Insulin,30.201342281879196,0.20431463630039556,0.12137766027131706,0.10720934626832944,0.18854923674114796,0.20133713428192251,0.1632819054941969,0.1903189128524604,0.05658171965147577,0.09905536920775712,0.22165454073691412,0.1841564170601456,0.15845605213523892
C1,no,Insulin,30.536912751677853,0.20431463630041324,0.1213776602713141,0.10720934626994641,0.18854923674116883,0.20133713428191966,0.1632819054942325,0.19031891285249306,0.05658171965148372,0.09905536920778157,0.22165454073691082,0.1841564170601602,0.15845605213523628
C1,no,Insulin,30.87248322147651,0.2043146363004309,0.12137766027131114,0.1072093462715634,0.1885492367411897,0.20133713428191682,0.16328190549426808,0.19031891285252572,0.05658171965149167,0.09905536920780603,0.22165454073690752,0.18415641706017477,0.15845605213523367
C1,no,Insulin,31.20805369127517,0.20431463630044858,0.12137766027130818,0.10720934627318036,0.18854923674121057,0.201337134281914,0.16328190549430366,0.19031891285255842,0.05658171965149962,0.09905536920783047,0.22165454073690422,0.18415641706018937,0.15845605213523103
C1,no,Insulin,31.543624161073826,0.20431463630046626,0.12137766027130523,0.10720934627479735,0.18854923674123145,0.20133713428191116,0.16328190549433924,0.1903189128525911,0.05658171965150757,0.09905536920785492,0.2216545407369009,0.18415641706020394,0.1584560521352284
C1,no,Insulin,31.879194630872483,0.20431463630048394,0.12137766027130226,0.10720934627641432,0.18854923674125235,0.20133713428190833,0.16328190549437482,0.19031891285262378,0.05658171965151552,0.09905536920787937,0.2216545407368976,0.18415641706021854,0.15845605213522576
C1,no,Insulin,32.214765100671144,0.20431463630050162,0.1213776602712993,0.1072093462780313,0.18854923674127322,0.20133713428190547,0.16328190549441043,0.19031891285265645,0.05658171965152347,0.09905536920790381,0.2216545407368943,0.18415641706023314,0.15845605213522315
C1,no,Insulin,32.5503355704698,0.2043146363005193,0.12137766027129634,0.10720934627964827,0.1885492367412941,0.20133713428190264,0.16328190549444602,0.19031891285268915,0.05658171965153142,0.09905536920792826,0.221654540736891,0.1841564170602477,0.15845605213522052
C1,no,Insulin,32.88590604026846,0.20431463630053698,0.12137766027129339,0.10720934628126526,0.18854923674131496,0.2013371342818998,0.1632819054944816,0.19031891285272182,0.056581719651539374,0.09905536920795271,0.2216545407368877,0.1841564170602623,0.15845605213521788
C1,no,Insulin,33.22147651006711,0.20431463630055466,0.12137766027129043,0.10720934628288224,0.18854923674133583,0.20133713428189698,0.16328190549451718,0.19031891285275448,0.05658171965154732,0.09905536920797715,0.2216545407368844,0.18415641706027688,0.15845605213521524
C1,no,Insulin,33.557046979865774,0.2043146363005723,0.12137766027128746,0.10720934628449921,0.1885492367413567,0.20133713428189412,0.16328190549455276,0.19031891285278718,0.05658171965155527,0.0990553692080016,0.2216545407368811,0.18415641706029148,0.15845605213521263
C1,no,Insulin,33.89261744966443,0.20431463630059,0.12137766027128451,0.1072093462861162,0.18854923674137758,0.2013371342818913,0.16328190549458835,0.19031891285281985,0.05658171965156322,0.09905536920802606,0.2216545407368778,0.18415641706030605,0.15845605213521
C1,no,Insulin,34.22818791946309,0.20431463630060767,0.12137766027128155,0.10720934628773317,0.18854923674139848,0.20133713428188846,0.16328190549462393,0.19031891285285255,0.056581719651571175,0.0990553692080505,0.2216545407368745,0.18415641706032065,0.15845605213520736
C1,no,Insulin,34.56375838926175,0.20431463630062535,0.1213776602712786,0.10720934628935015,0.18854923674141935,0.20133713428188563,0.1632819054946595,0.1903189128528852,0.05658171965157912,0.09905536920807495,0.2216545407368712,0.18415641706033523,0.15845605213520472
C1,no,Insulin,34.899328859060404,0.20431463630064303,0.12137766027127563,0.10720934629096712,0.18854923674144022,0.2013371342818828,0.16328190549469512,0.1903189128529179,0.05658171965158707,0.0990553692080994,0.22165454073686788,0.18415641706034983,0.1584560521352021
C1,no,Insulin,35.234899328859065,0.2043146363006607,0.12137766027127267,0.1072093462925841,0.1885492367414611,0.20133713428187994,0.1632819054947307,0.19031891285295058,0.056581719651595024,0.09905536920812384,0.22165454073686458,0.18415641706036442,0.15845605213519948
C1,no,Insulin,35.57046979865772,0.2043146363006784,0.12137766027126971,0.10720934629420108,0.18854923674148197,0.2013371342818771,0.1632819054947663,0.19031891285298325,0.056581719651602976,0.0990553692081483,0.22165454073686128,0.184156417060379,0.15845605213519684
C1,no,Insulin,35.90604026845638,0.20431463630069607,0.12137766027126676,0.10720934629581806,0.18854923674150284,0.20133713428187427,0.16328190549480187,0.19031891285301594,0.05658171965161092,0.09905536920817275,0.22165454073685797,0.1841564170603936,0.1584560521351942
C1,no,Insulin,36.241610738255034,0.20431463630071373,0.12137766027126379,0.10720934629743505,0.1885492367415237,0.20133713428187144,0.16328190549483745,0.1903189128530486,0.05658171965161887,0.09905536920819719,0.22165454073685467,0.18415641706040817,0.1584560521351916
C1,no,Insulin,36.577181208053695,0.2043146363007314,0.12137766027126083,0.10720934629905202,0.1885492367415446,0.20133713428186858,0.16328190549487304,0.1903189128530813,0.056581719651626824,0.09905536920822164,0.22165454073685137,0.18415641706042277,0.15845605213518896
