,,,Slide ID,b,k,f,c,l,i,j,d,a,h,e,g
,,,Antibody Name,b,k,f,c,l,i,j,d,a,h,e,g
,,,HUGO ID,b,k,f,c,l,i,j,d,a,h,e,g
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.4952099528462979,0.35087288325968014,0.3243777502185985,0.751040955131052,0.374534097045374,0.018213597789160207,0.511797365933859,0.18814500767487674,0.07286474675682963,0.1602229347767472,0.557744277933277,0.05043192289756626
C1,no,Insulin,0.33557046979865773,0.28855169195777813,0.2731579498296192,0.24825381323104173,0.38259212702558576,0.30918338747680607,0.11622131795315556,0.34454932473016886,0.13506585845113245,0.06688827801447791,0.2223483979562905,0.29201245734498327,0.13076673821111345
C1,no,Insulin,0.6711409395973155,0.22671464975998146,0.21967455746982603,0.2028190218907624,0.2559474238431521,0.26688271218026643,0.15507411671619703,0.2683018476348167,0.10277175842017228,0.07580521363545226,0.23889099111280662,0.21424554498561102,0.15890510871490823
C1,no,Insulin,1.0067114093959733,0.20959462883231897,0.18430139768133766,0.1736319221781524,0.2126704058724866,0.24078493936016232,0.16825493113619674,0.23154060485776945,0.08351113727468139,0.08499795653090617,0.23983782409248877,0.19254010531061455,0.1667459525885579
C1,no,Insulin,1.342281879194631,0.20579204521084363,0.16131152923884307,0.1540729164358414,0.1981708820963071,0.22491324262659038,0.17118697642408173,0.2131545681909658,0.07222529901894471,0.09153963859499814,0.23621126945459464,0.18712570118353136,0.1671812724576201
C1,no,Insulin,1.6778523489932886,0.20534282480670557,0.14654137359135824,0.14057812741028322,0.19325696245314594,0.21533932439314174,0.17053725063609892,0.20356040272699422,0.06568568922358776,0.09552322056099931,0.23205251533764468,0.18593783606859524,0.1654185106762026
C1,no,Insulin,2.0134228187919465,0.20541606467944665,0.1371375310373851,0.1310880778987617,0.1914090437416538,0.2096042477379662,0.16897101106658866,0.19831061569649544,0.061911300724945224,0.09770518809064548,0.22862894721929727,0.18561633012682466,0.16341012888359543
C1,no,Insulin,2.348993288590604,0.20539687474396384,0.13119558988826222,0.12433710893671443,0.1905272530413309,0.20619149464824782,0.1674400824858212,0.19529855750612155,0.059728594715774075,0.09878546432573113,0.22614934731495373,0.18538337181778972,0.161765970611105
C1,no,Insulin,2.684563758389262,0.20525708114082508,0.12746554034876506,0.1195041548756395,0.1899784731546002,0.20417346136723605,0.1662115450687804,0.19349584678450452,0.05845850056986644,0.09925254295551446,0.2244726245901845,0.18513537332965474,0.16058139951194
C1,no,Insulin,3.0201342281879198,0.20506795260476546,0.12513723668800578,0.11603370193333497,0.1895828583338738,0.20298708456084252,0.16530372372894594,0.19237950617321983,0.05771286150194967,0.09940573387580627,0.22338637608076903,0.18489801093090877,0.15978418936645297
C1,no,Insulin,3.3557046979865772,0.20488327890030048,0.12369105959053421,0.11353889581022603,0.18928698913302586,0.20229326210138615,0.16466038927376708,0.19167037695500105,0.057270588504867395,0.09941346882456847,0.22270289993922412,0.184696643129766,0.15926988280376642
C1,no,Insulin,3.691275167785235,0.20472771534044493,0.12279666086234167,0.11174548197939695,0.1890679193037166,0.2018893574020274,0.16421494490158361,0.19121176812801843,0.05700541135345858,0.09936395443509881,0.2222817938490151,0.18453926513357438,0.1589474480885506
C1,no,Insulin,4.026845637583893,0.2046070037092933,0.12224560231064335,0.11045706757815069,0.1889091496635922,0.20165516430266595,0.16391065293775886,0.190911559798792,0.05684471541956409,0.09929990442283942,0.22202639062717563,0.18442264775413736,0.15874940846863705
C1,no,Insulin,4.3624161073825505,0.2045179211739533,0.12190721229264137,0.10953230256438322,0.18879641967602417,0.20151984014769783,0.1637044543899285,0.1907134675894893,0.05674634193355427,0.09923982098860053,0.22187335535251682,0.18433918668054344,0.15862962203104564
