,,,Slide ID,a,e,g,b,c,d,f
,,,Antibody Name,a,e,g,b,c,d,f
,,,HUGO ID,a,e,g,b,c,d,f
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.4078061844498593,0.33794456518144456,0.3771882135329945,0.002235126361558759,0.595434055912894,0.2857844016816524,0.9414721983481739
C1,no,Insulin,0.33557046979865773,0.3333195618553212,0.2921469937845447,0.29806172499309674,0.09314728435437064,0.3985408656569832,0.173548012178517,0.5294001355863196
C1,no,Insulin,0.6711409395973155,0.29708462746793896,0.25898489107772316,0.24380931615317314,0.13887264002615732,0.31221183346814546,0.11260473387113631,0.30843119053425955
C1,no,Insulin,1.0067114093959733,0.27688192370895615,0.2331839575762919,0.20517033010839714,0.162065029258051,0.27114637135616726,0.07753092429688092,0.18752405455168691
C1,no,Insulin,1.342281879194631,0.26366635632169183,0.21203175291674214,0.1766366043721843,0.17415903567559424,0.24893481680346652,0.05613434531941112,0.11968401033660078
C1,no,Insulin,1.6778523489932886,0.2536890626160843,0.19412010940593263,0.15485392691890162,0.18070627115862595,0.23481923564113744,0.04239094893193034,0.08048370954820906
C1,no,Insulin,2.0134228187919465,0.24537403781021372,0.17870094913947854,0.13774771369324385,0.18437818659744035,0.22438886623621968,0.033189851604719704,0.05708435204285976
C1,no,Insulin,2.348993288590604,0.23805844250449104,0.1653590499142077,0.12402117461327115,0.18648056890935383,0.21583107172353444,0.026832197268802663,0.04263194649370429
C1,no,Insulin,2.684563758389262,0.23147211662270725,0.15384007907386474,0.11284923062618997,0.18767395137677165,0.20840697367300512,0.022332773108193902,0.03339410593587885
C1,no,Insulin,3.0201342281879198,0.22551412164383283,0.14395885938729394,0.10368714220274672,0.1883097334209273,0.20182235807486062,0.0190877290251424,0.027290137710221905
C1,no,Insulin,3.3557046979865772,0.22015173240335273,0.13555329388647633,0.09615334734037502,0.18858756085275094,0.19596238021180754,0.0167100547977256,0.02312949317000119
C1,no,Insulin,3.691275167785235,0.2153728373065667,0.12846533915353253,0.08996137202251007,0.18862995759817636,0.1907773902154023,0.01494342282168,0.020211890388980996
C1,no,Insulin,4.026845637583893,0.21116388564401223,0.12253704330590161,0.08488277993202564,0.18851813195102163,0.18623403037532532,0.013614029286058399,0.018113607460373618
C1,no,Insulin,4.3624161073825505,0.2075012686117685,0.11761355727256198,0.0807282304077415,0.18830925429803655,0.18229598398172298,0.012601957610899547,0.016570933865709646
C1,no,Insulin,4.697986577181208,0.2043499949089944,0.11354807947154506,0.07733806143326244,0.18804489657054432,0.17891858755275578,0.01182328962212514,0.015415143428610735
C1,no,Insulin,5.033557046979866,0.20166600915128066,0.1102061180087445,0.07457731053248468,0.18775536278424138,0.17604970204339024,0.011218522153172197,0.014535329278452108
C1,no,Insulin,5.369127516778524,0.19939988423488275,0.10746806849460327,0.07233248408100232,0.18746221396947374,0.17363293300534688,0.010744917553678356,0.013856683732508826
C1,no,Insulin,5.704697986577181,0.19750048798769193,0.10523012201298063,0.07050891595168081,0.18718005894827153,0.17161114689516876,0.010371376187494218,0.013327494382111995
C1,no,Insulin,6.0402684563758395,0.19591793996831175,0.10340387075419248,0.06902828985006441,0.18691804554755206,0.169929356818627,0.010074968224930076,0.01291117716481333
C1,no,Insulin,6.375838926174497,0.19460567982720117,0.10191509174807156,0.06782627298848251,0.18668115993875803,0.1685367164344939,0.009838569301355288,0.012581302356343766
C1,no,Insulin,6.7114093959731544,0.1935216349798295,0.10070213245160302,0.06685031566853908,0.18647136905061268,0.16738760119981738,0.009649234067091773,0.012318407526156804
C1,no,Insulin,7.046979865771813,0.19262873683845738,0.09971417086606393,0.06605766679026383,0.1862885637997391,0.1664420276385942,0.00949706537454352,0.012107918178261328
C1,no,Insulin,7.38255033557047,0.19189493603895316,0.09890953175156071,0.06541363790371084,0.18613131418284054,0.1656655719963041,0.009374418758357261,0.01193875924072847
C1,no,Insulin,7.718120805369128,0.19129292077434773,0.09825416331138556,0.0648901277888026,0.18599743600778557,0.16502899774103136,0.009275336462281708,0.011802408492572565
C1,no,Insulin,8.053691275167786,0.19079965923938172,0.09772029534411154,0.06446438043491756,0.18588439705781626,0.16450771818261045,0.009195137780230503,0.011692237163347738
C1,no,Insulin,8.389261744966444,0.19039590216309463,0.09728533213443602,0.06411798844009943,0.1857895853328517,0.16408123030708346,0.009130125057320327,0.01160304958842913
C1,no,Insulin,8.724832214765101,0.19006565713525492,0.0969308872921264,0.06383604493242472,0.18571048668625903,0.16373253011613642,0.009077356664773302,0.011530736923257175
C1,no,Insulin,9.060402684563758,0.18979568524578766,0.09664199803241792,0.06360646902999552,0.18564478176304422,0.1634475649483783,0.009034482547662334,0.011472032977727935
C1,no,Insulin,9.395973154362416,0.189575080756457,0.0964065039471737,0.06341947592234527,0.18559039087235768,0.16321477220121308,0.008999619971653128,0.011424330733203713
C1,no,Insulin,9.731543624161075,0.1893948743675732,0.09621449989744696,0.06326711654241671,0.1855454929100965,0.16302465013418035,0.008971250991721233,0.011385533867898241
C1,no,Insulin,10.067114093959733,0.1892476939669632,0.09605792688030482,0.0631429412714383,0.18550851324694076,0.16286940070804315,0.008948153405607305,0.011353959607994006
C1,no,Insulin,10.40268456375839,0.18912750034156808,0.0959302293054539,0.06304171409390444,0.1854781104513546,0.16274263988468798,0.008929340028663557,0.011328251082561212
C1,no,Insulin,10.738255033557047,0.18902937214049553,0.09582607485081968,0.06295918064464534,0.18545314865504914,0.16263915945230165,0.008914010395072185,0.011307308420035304
C1,no,Insulin,11.073825503355705,0.18894925739982724,0.09574111184386919,0.06289187632763955,0.1854326791208842,0.1625546854784101,0.008901515717847945,0.011290242731404844
C1,no,Insulin,11.409395973154362,0.18888385728579496,0.095671799664952,0.06283698430954662,0.1854159088948055,0.16248573252865575,0.008891329344546518,0.01127633226993897
C1,no,Insulin,11.74496644295302,0.18883047353386934,0.09561525285486296,0.06279221152650655,0.18540217994911887,0.16242945259513092,0.0088830234093259,0.011264991343524723
C1,no,Insulin,12.080536912751679,0.18878689933051598,0.09556911671690596,0.06275568822690501,0.18539094727760827,0.16238351694670827,0.008876249544697904,0.01125574337100318
C1,no,Insulin,12.416107382550337,0.18875133050512483,0.0955314697031874,0.0627258896247211,0.18538176080236637,0.16234602219850972,0.00887072397938548,0.011248200330606042
C1,no,Insulin,12.751677852348994,0.18872229610980346,0.09550074763709103,0.06270157524291015,0.18537425041330122,0.16231541684327536,0.008866216070895851,0.011242046978314817
C1,no,Insulin,13.087248322147651,0.18869860272634068,0.09547568331665383,0.06268174062572056,0.18536811384349233,0.16229044244024105,0.008862539205509458,0.011237028337199398
C1,no,Insulin,13.422818791946309,0.18867926486715145,0.09545523028143625,0.06266555644220476,0.18536310031562686,0.1622700595482611,0.00885953934068106,0.01123293394707816
C1,no,Insulin,13.758389261744966,0.18866348242646877,0.09543853974774058,0.06265235032250784,0.1853590050197276,0.16225342430064493,0.008857091672611115,0.011229593350564233
C1,no,Insulin,14.093959731543626,0.18865060135327655,0.09542491938206905,0.06264157404721618,0.1853556604056401,0.16223984749281053,0.008855094499334346,0.011226867692328503
C1,no,Insulin,14.429530201342283,0.18864008825131798,0.09541380503550466,0.06263278095652226,0.18535292963585145,0.16222876728149943,0.008853464966924473,0.01122464385623903
C1,no,Insulin,14.76510067114094,0.18863151269715206,0.09540474134396007,0.062625610550552,0.18535070184842176,0.16221973016710783,0.008852136209653007,0.011222830549641257
C1,no,Insulin,15.100671140939598,0.18862451076630696,0.09539734165102001,0.06261975661243939,0.18534888258447063,0.16221235184082147,0.008851051404797982,0.011221350148655726
C1,no,Insulin,15.436241610738255,0.18861879373806045,0.0953912983185167,0.06261497565796303,0.18534739601611686,0.16220632660117137,0.00885016542802769,0.011220141040558206
C1,no,Insulin,15.771812080536913,0.1886141309148326,0.09538636487339114,0.06261107280576554,0.1853461808458953,0.16220140945096428,0.008849442230614504,0.011219154053198411
C1,no,Insulin,16.107382550335572,0.18861032990745583,0.0953823397959456,0.06260788877415986,0.18534518837352296,0.16219739859348506,0.008848852311448557,0.011218349006102869
C1,no,Insulin,16.44295302013423,0.18860722793098714,0.09537905653337085,0.0626052918772239,0.1853443793730248,0.16219412585991647,0.00884837122595301,0.011217692617974138
C1,no,Insulin,16.778523489932887,0.18860468703656338,0.095376377266515,0.06260317272321755,0.1853437215372929,0.16219145141786093,0.00884797852323107,0.011217156894373666
C1,no,Insulin,17.114093959731544,0.188602608784711,0.09537419049687108,0.0626014429174347,0.18534318558796067,0.16218926722940044,0.008847657859330121,0.011216719407043373
C1,no,Insulin,17.449664429530202,0.18860093315601825,0.09537240538492592,0.06260003084361815,0.18534274263225642,0.16218749261917587,0.008847396374253412,0.011216362481343117
C1,no,Insulin,17.78523489932886,0.1885995476243861,0.09537094915081121,0.06259887885922764,0.18534238492444835,0.1621860374996218,0.00884718291650547,0.011216071144847305
