,,,Slide ID,b,a,d,c
,,,Antibody Name,b,a,d,c
,,,HUGO ID,b,a,d,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.48846642284571173,0.3112126663230119,0.9355743783664032,0.09718125044406156
C1,no,Insulin,0.5050505050505051,0.3171334301975984,0.2799667244741789,0.49102180684679725,0.2267146328765448
C1,no,Insulin,1.0101010101010102,0.21768222842348178,0.2612774373489665,0.3478301002797902,0.24356034032965795
C1,no,Insulin,1.5151515151515151,0.15876905397800128,0.2499739458507029,0.3000827818052544,0.23815729138387784
C1,no,Insulin,2.0202020202020203,0.12310402363121263,0.24308649741770205,0.28409475561294273,0.23216274973028017
C1,no,Insulin,2.5252525252525255,0.10104728297962223,0.23886952617580934,0.2788786310281658,0.22870692715215854
C1,no,Insulin,3.0303030303030303,0.08713994669606996,0.2362796451520984,0.2772523274680624,0.22708335030437538
C1,no,Insulin,3.5353535353535355,0.07822693233520361,0.23468596492859006,0.27677618707369006,0.22639960931703282
C1,no,Insulin,4.040404040404041,0.07244064981790864,0.23370410606981634,0.27664895625674707,0.22613202129302443
C1,no,Insulin,4.545454545454546,0.06864777152098056,0.23309873114712695,0.2766199479165808,0.22603309596222784
C1,no,Insulin,5.050505050505051,0.06614426482580425,0.23272530671918923,0.27661556416052935,0.22599829464814672
C1,no,Insulin,5.555555555555556,0.06448386720152599,0.23249489350112773,0.2766160687793645,0.22598662237382214
C1,no,Insulin,6.0606060606060606,0.0633791054723311,0.23235269663290584,0.27661693291705025,0.22598290128289658
C1,no,Insulin,6.565656565656566,0.06264252172843734,0.23226493254001412,0.27661745560082784,0.22598178440095518
C1,no,Insulin,7.070707070707071,0.06215078288363159,0.2322107597548137,0.2766177040116115,0.22598147330218066
C1,no,Insulin,7.575757575757576,0.06182225817411977,0.2321773201157276,0.27661781045330097,0.2259813979412702
C1,no,Insulin,8.080808080808081,0.06160269382082622,0.2321566785481148,0.2766178532583814,0.22598138432393766
C1,no,Insulin,8.585858585858587,0.061455926831007146,0.23214393585750706,0.2766178680689506,0.22598138383697705
C1,no,Insulin,9.090909090909092,0.06135782229190236,0.23213606970726985,0.27661787452196523,0.2259813854249192
C1,no,Insulin,9.595959595959597,0.0612922524563122,0.23213121384336505,0.2766178755615743,0.22598138714623317
C1,no,Insulin,10.101010101010102,0.061248436357058296,0.23212821657815305,0.2766178776576291,0.22598138623170375
C1,no,Insulin,10.606060606060607,0.06121915812200671,0.23212636558211241,0.27661787601647697,0.22598138530511097
C1,no,Insulin,11.111111111111112,0.061199600757820875,0.23212522323198537,0.27661787804666155,0.22598139118661384
C1,no,Insulin,11.616161616161618,0.06118653861701053,0.23212451798911146,0.2766178769999077,0.22598138252576175
C1,no,Insulin,12.121212121212121,0.06117781645152912,0.2321240826734858,0.27661787482391725,0.22598139168468148
C1,no,Insulin,12.626262626262626,0.061171993608071504,0.23212381404898433,0.2766178756405603,0.22598138908165333
C1,no,Insulin,13.131313131313131,0.061168107059009554,0.23212364823464476,0.2766178764096587,0.22598138813926255
C1,no,Insulin,13.636363636363637,0.06116551372171271,0.232123545901879,0.2766178768145378,0.2259813880125109
C1,no,Insulin,14.141414141414142,0.06116377953241778,0.23212348253987677,0.2766178768390126,0.22598138794185468
C1,no,Insulin,14.646464646464647,0.06116262414625803,0.23212344353307515,0.27661787688198125,0.22598138791233455
C1,no,Insulin,15.151515151515152,0.06116185798419672,0.23212341967779967,0.27661787687350115,0.22598138792623426
C1,no,Insulin,15.656565656565657,0.06116134753781721,0.2321234049305411,0.2766178768899337,0.2259813879212483
C1,no,Insulin,16.161616161616163,0.06116100156442747,0.23212339549020816,0.2766178769137134,0.22598138787503005
C1,no,Insulin,16.666666666666668,0.06116077172384106,0.23212338973492744,0.27661787689235195,0.2259813878681109
C1,no,Insulin,17.171717171717173,0.06116061993699976,0.23212338630552665,0.2766178768678498,0.22598138793902228
C1,no,Insulin,17.67676767676768,0.06116051892653026,0.23212338419393475,0.2766178768978243,0.2259813880122822
C1,no,Insulin,18.181818181818183,0.06116045025574891,0.23212338280153647,0.27661787696816686,0.2259813879908582
C1,no,Insulin,18.68686868686869,0.061160404444280204,0.23212338193999077,0.2766178769765898,0.22598138782920707
C1,no,Insulin,19.191919191919194,0.061160373320730085,0.23212338141933467,0.27661787688484485,0.22598138773976642
C1,no,Insulin,19.6969696969697,0.061160354868855675,0.23212338119057985,0.2766178766964208,0.22598138778838647
C1,no,Insulin,20.202020202020204,0.06116034147008178,0.23212338101879137,0.2766178767376383,0.22598138816016947
C1,no,Insulin,20.70707070707071,0.06116033101399158,0.23212338088793902,0.2766178768133592,0.22598138843806365
C1,no,Insulin,21.212121212121215,0.061160322019445795,0.23212338077765027,0.2766178767330901,0.22598138845665602
C1,no,Insulin,21.71717171717172,0.0611603162232822,0.23212338071194297,0.27661787672096316,0.22598138840812623
C1,no,Insulin,22.222222222222225,0.06116031362550079,0.2321233806908171,0.2766178767769785,0.22598138829247424
C1,no,Insulin,22.72727272727273,0.06116031307139197,0.23212338069721233,0.2766178768648035,0.22598138814644025
C1,no,Insulin,23.232323232323235,0.061160311667217124,0.23212338068837488,0.27661787689338746,0.22598138806209644
C1,no,Insulin,23.73737373737374,0.06116031165845578,0.23212338069748076,0.2766178769333838,0.22598138796799674
C1,no,Insulin,24.242424242424242,0.061160313045107946,0.23212338072452998,0.27661787698479245,0.2259813878641412
C1,no,Insulin,24.747474747474747,0.06116031476204962,0.23212338077126013,0.2766178771440755,0.22598138756519776
C1,no,Insulin,25.252525252525253,0.06116031580962232,0.23212338078221662,0.2766178771127596,0.22598138761026101
C1,no,Insulin,25.757575757575758,0.06116031685719502,0.2321233807931731,0.2766178770814437,0.22598138765532427
C1,no,Insulin,26.262626262626263,0.061160317904767725,0.2321233808041296,0.27661787705012775,0.22598138770038753
C1,no,Insulin,26.767676767676768,0.06116031895234043,0.23212338081508607,0.27661787701881185,0.2259813877454508
C1,no,Insulin,27.272727272727273,0.06116031883148702,0.23212338081156883,0.27661787700258855,0.22598138776721574
C1,no,Insulin,27.77777777777778,0.06116031855738151,0.23212338080615322,0.2766178769883449,0.2259813877859249
C1,no,Insulin,28.282828282828284,0.061160318283276,0.2321233808007376,0.2766178769741012,0.22598138780463403
C1,no,Insulin,28.78787878787879,0.06116031800917049,0.232123380795322,0.27661787695985746,0.22598138782334318
C1,no,Insulin,29.292929292929294,0.06116031773506498,0.23212338078990635,0.27661787694561374,0.2259813878420523
C1,no,Insulin,29.7979797979798,0.06116031746095947,0.23212338078449074,0.27661787693137,0.22598138786076144
C1,no,Insulin,30.303030303030305,0.061160317186853955,0.23212338077907513,0.2766178769171263,0.22598138787947059
C1,no,Insulin,30.80808080808081,0.061160316912748446,0.2321233807736595,0.2766178769028826,0.22598138789817973
C1,no,Insulin,31.313131313131315,0.061160316740915203,0.2321233807703401,0.27661787689469164,0.22598138790854638
C1,no,Insulin,31.81818181818182,0.06116031667873855,0.23212338076926825,0.2766178768929904,0.22598138790996816
C1,no,Insulin,32.323232323232325,0.0611603166165619,0.2321233807681964,0.2766178768912892,0.22598138791138994
C1,no,Insulin,32.82828282828283,0.061160316554385245,0.23212338076712458,0.276617876889588,0.22598138791281175
C1,no,Insulin,33.333333333333336,0.06116031649220859,0.23212338076605274,0.27661787688788675,0.22598138791423353
C1,no,Insulin,33.83838383838384,0.06116031643003194,0.2321233807649809,0.27661787688618555,0.22598138791565534
C1,no,Insulin,34.343434343434346,0.06116031636785529,0.23212338076390907,0.27661787688448436,0.22598138791707711
C1,no,Insulin,34.84848484848485,0.061160316305678634,0.23212338076283723,0.27661787688278316,0.2259813879184989
C1,no,Insulin,35.35353535353536,0.061160316248156404,0.2321233807618466,0.27661787688121514,0.2259813879198076
C1,no,Insulin,35.85858585858586,0.061160316243364356,0.23212338076177624,0.276617876881156,0.22598138791983505
C1,no,Insulin,36.36363636363637,0.06116031623857231,0.23212338076170588,0.2766178768810969,0.2259813879198625
C1,no,Insulin,36.86868686868687,0.061160316233780265,0.23212338076163552,0.2766178768810378,0.22598138791988995
C1,no,Insulin,37.37373737373738,0.06116031622898822,0.23212338076156516,0.27661787688097866,0.22598138791991743
C1,no,Insulin,37.87878787878788,0.06116031622419617,0.2321233807614948,0.27661787688091954,0.22598138791994488
C1,no,Insulin,38.38383838383839,0.061160316219404126,0.23212338076142444,0.2766178768808604,0.22598138791997233
C1,no,Insulin,38.88888888888889,0.06116031621461208,0.23212338076135408,0.2766178768808013,0.22598138791999978
C1,no,Insulin,39.3939393939394,0.06116031620982003,0.23212338076128372,0.27661787688074213,0.22598138792002723
