,,,Slide ID,e,d,c,b,a
,,,Antibody Name,e,d,c,b,a
,,,HUGO ID,e,d,c,b,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,29.292929292929294,0.25453924691606544,0.20838910475722958,0.12613072962631175,0.1586981733297594,0.2057395055916293
C1,no,Insulin,29.7979797979798,0.25453924691622065,0.20838910475735262,0.12613072962508254,0.15869817332939407,0.20573950559176404
C1,no,Insulin,30.303030303030305,0.2545392469162313,0.20838910475736236,0.12613072962502142,0.1586981733293796,0.20573950559177318
C1,no,Insulin,30.80808080808081,0.2545392469162419,0.2083891047573721,0.1261307296249603,0.15869817332936514,0.20573950559178233
C1,no,Insulin,31.313131313131315,0.2545392469162525,0.20838910475738184,0.1261307296248992,0.15869817332935066,0.20573950559179147
C1,no,Insulin,31.81818181818182,0.2545392469162632,0.20838910475739159,0.1261307296248381,0.1586981733293362,0.2057395055918006
C1,no,Insulin,32.323232323232325,0.2545392469162738,0.20838910475740133,0.12613072962477698,0.15869817332932173,0.20573950559180976
C1,no,Insulin,32.82828282828283,0.2545392469162844,0.20838910475741107,0.12613072962471586,0.15869817332930727,0.2057395055918189
C1,no,Insulin,33.333333333333336,0.25453924691629504,0.2083891047574208,0.12613072962465474,0.15869817332929279,0.20573950559182805
C1,no,Insulin,33.83838383838384,0.25453924691630564,0.20838910475743055,0.12613072962459362,0.15869817332927832,0.20573950559183718
C1,no,Insulin,34.343434343434346,0.25453924691631624,0.20838910475744032,0.1261307296245325,0.15869817332926386,0.20573950559184634
C1,no,Insulin,34.84848484848485,0.2545392469163269,0.20838910475745007,0.12613072962447142,0.1586981733292494,0.20573950559185547
C1,no,Insulin,35.35353535353536,0.2545392469163375,0.2083891047574598,0.1261307296244103,0.15869817332923492,0.2057395055918646
C1,no,Insulin,35.85858585858586,0.2545392469163481,0.20838910475746955,0.12613072962434918,0.15869817332922045,0.20573950559187376
C1,no,Insulin,36.36363636363637,0.25453924691635876,0.2083891047574793,0.12613072962428806,0.158698173329206,0.2057395055918829
C1,no,Insulin,36.86868686868687,0.25453924691636937,0.20838910475748904,0.12613072962422694,0.15869817332919153,0.20573950559189205
C1,no,Insulin,37.37373737373738,0.25453924691637997,0.20838910475749878,0.12613072962416583,0.15869817332917704,0.20573950559190118
C1,no,Insulin,37.87878787878788,0.2545392469163906,0.20838910475750852,0.12613072962410474,0.15869817332916258,0.20573950559191034
C1,no,Insulin,38.38383838383839,0.25453924691640123,0.20838910475751826,0.12613072962404362,0.15869817332914812,0.20573950559191947
C1,no,Insulin,38.88888888888889,0.25453924691641183,0.208389104757528,0.1261307296239825,0.15869817332913366,0.2057395055919286
C1,no,Insulin,39.3939393939394,0.2545392469164225,0.20838910475753775,0.12613072962392138,0.15869817332911917,0.20573950559193777
C1,no,Insulin,39.8989898989899,0.2545392469164331,0.2083891047575475,0.12613072962386027,0.1586981733291047,0.2057395055919469
C1,no,Insulin,40.40404040404041,0.2545392469164437,0.20838910475755723,0.12613072962379915,0.15869817332909025,0.20573950559195606
C1,no,Insulin,40.909090909090914,0.25453924691645435,0.20838910475756697,0.12613072962373803,0.1586981733290758,0.2057395055919652
C1,no,Insulin,41.41414141414142,0.25453924691646496,0.20838910475757672,0.12613072962367694,0.1586981733290613,0.20573950559197435
C1,no,Insulin,41.919191919191924,0.25453924691647556,0.20838910475758646,0.12613072962361582,0.15869817332904684,0.20573950559198348
C1,no,Insulin,42.42424242424243,0.2545392469164862,0.2083891047575962,0.1261307296235547,0.15869817332903238,0.2057395055919926
C1,no,Insulin,42.929292929292934,0.2545392469164968,0.20838910475760594,0.1261307296234936,0.15869817332901792,0.20573950559200177
C1,no,Insulin,43.43434343434344,0.2545392469165074,0.20838910475761568,0.12613072962343247,0.15869817332900343,0.2057395055920109
C1,no,Insulin,43.939393939393945,0.2545392469165181,0.20838910475762543,0.12613072962337135,0.15869817332898897,0.20573950559202006
C1,no,Insulin,44.44444444444445,0.2545392469165287,0.20838910475763517,0.12613072962331026,0.1586981733289745,0.2057395055920292
C1,no,Insulin,44.949494949494955,0.2545392469165301,0.20838910475763647,0.12613072962330213,0.1586981733289726,0.20573950559203041
C1,no,Insulin,45.45454545454546,0.2545392469165302,0.20838910475763653,0.12613072962330193,0.15869817332897257,0.20573950559203044
C1,no,Insulin,45.959595959595966,0.25453924691653024,0.20838910475763656,0.12613072962330174,0.15869817332897254,0.20573950559203047
C1,no,Insulin,46.46464646464647,0.25453924691653024,0.20838910475763658,0.12613072962330155,0.15869817332897249,0.20573950559203052
C1,no,Insulin,46.969696969696976,0.2545392469165303,0.20838910475763664,0.12613072962330135,0.15869817332897246,0.20573950559203055
C1,no,Insulin,47.47474747474748,0.25453924691653035,0.20838910475763667,0.12613072962330116,0.15869817332897243,0.20573950559203058
C1,no,Insulin,47.979797979797986,0.2545392469165304,0.20838910475763672,0.12613072962330096,0.1586981733289724,0.2057395055920306
C1,no,Insulin,48.484848484848484,0.2545392469165304,0.20838910475763675,0.12613072962330077,0.15869817332897238,0.20573950559203066
C1,no,Insulin,48.98989898989899,0.25453924691653046,0.2083891047576368,0.1261307296233006,0.15869817332897235,0.2057395055920307
C1,no,Insulin,49.494949494949495,0.2545392469165305,0.20838910475763683,0.1261307296233004,0.1586981733289723,0.20573950559203072
C1,no,Insulin,50.0,0.25453924691653057,0.2083891047576369,0.12613072962330021,0.15869817332897226,0.20573950559203075
