,,,Slide ID,a,d,c,b,e,f
,,,Antibody Name,a,d,c,b,e,f
,,,HUGO ID,a,d,c,b,e,f
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.1119834397887961,0.9757942105971601,0.6368808396178721,0.852100590294207,0.9219437761532691,0.06532938558972345
C1,no,Insulin,0.5050505050505051,0.18439571900234816,0.4400334895198703,0.4272309363130403,0.44316940462194526,0.44766010285725916,0.28541338362095253
C1,no,Insulin,1.0101010101010102,0.1878673281255096,0.27881762658952003,0.3254013689622098,0.2753783551601901,0.25564803953665816,0.2849654242055353
C1,no,Insulin,1.5151515151515151,0.17077636037267208,0.2176774993230114,0.2699669502828947,0.19941355267852642,0.17117905784494203,0.2523014185096967
C1,no,Insulin,2.0202020202020203,0.15203791520067234,0.1885380304868162,0.23817513638436982,0.1621094240811986,0.1310159758388627,0.22516092220603162
C1,no,Insulin,2.5252525252525255,0.13730844115411875,0.17267773957022003,0.21963388865435646,0.14267342714615855,0.11070448395238736,0.20737678008327953
C1,no,Insulin,3.0303030303030303,0.12715201590639072,0.1636130596761835,0.20879670486218235,0.13213909264130172,0.09997966883888305,0.1965725317109988
C1,no,Insulin,3.5353535353535355,0.1206186712282867,0.15838405657313612,0.20247767976809875,0.12628563260809797,0.09415917304298005,0.19020070535154954
C1,no,Insulin,4.040404040404041,0.11658910410139783,0.15537933611649818,0.1988047140232381,0.12298356913898889,0.09094865704481941,0.18648988447473644
C1,no,Insulin,4.545454545454546,0.11417130016017749,0.15366414138466528,0.19667548211663596,0.12110397694374964,0.08916191742486985,0.18434071172041872
C1,no,Insulin,5.050505050505051,0.1127478760217852,0.15269108136057377,0.19544358497747674,0.12002842020350406,0.088163162944239,0.1830990974625483
C1,no,Insulin,5.555555555555556,0.11192123057613274,0.152141861515094,0.19473181025043138,0.11941105723808931,0.08760393692118443,0.1823826190847853
C1,no,Insulin,6.0606060606060606,0.11144602752683674,0.15183317899166282,0.1943209224754451,0.11905606483116425,0.08729080900090287,0.18196940089270255
C1,no,Insulin,6.565656565656566,0.11117500136301138,0.1516603222595832,0.19408386030791033,0.11885172561386247,0.08711565451233039,0.18173114494659703
C1,no,Insulin,7.070707070707071,0.11102140706137069,0.15156385619767293,0.19394713548134743,0.11873403485807248,0.08701784734288705,0.18159378862995657
C1,no,Insulin,7.575757575757576,0.11093483606021402,0.15151020329170517,0.19386829932421093,0.11866622867473892,0.0869633565298974,0.18151460579516204
C1,no,Insulin,8.080808080808081,0.11088627148728213,0.1514804700047554,0.19382284485390286,0.11862715226893576,0.08693307802668988,0.1814689624905764
