,,,Slide ID,a,c,d,b
,,,Antibody Name,a,c,d,b
,,,HUGO ID,a,c,d,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.35798177934713904,0.4355880580648921,0.1303879875339622,0.18476759890536165
C1,no,Insulin,0.5050505050505051,0.23020965195872126,0.2926548984624328,0.24988730157510833,0.19368495419169404
C1,no,Insulin,1.0101010101010102,0.17348585802686378,0.2275316832653198,0.2813770384485136,0.18395179610365242
C1,no,Insulin,1.5151515151515151,0.14678550075490626,0.19634001428992678,0.2840010118471441,0.174662014350499
C1,no,Insulin,2.0202020202020203,0.13367310677074232,0.18067126139724246,0.27930469533014834,0.16852988099169414
C1,no,Insulin,2.5252525252525255,0.1270136283163247,0.17242463591847731,0.2741708663743651,0.16487693549640411
C1,no,Insulin,3.0303030303030303,0.12352622681842917,0.16790805889374202,0.27026331803340914,0.16276217575224597
C1,no,Insulin,3.5353535353535355,0.12164653463723278,0.16535896662123603,0.26763164910461656,0.16153923911933823
C1,no,Insulin,4.040404040404041,0.12060688541868082,0.1638902364205835,0.2659560700646831,0.16082673929215163
C1,no,Insulin,4.545454545454546,0.1200193763133794,0.16303258622527084,0.26491970835069506,0.16040826163384286
C1,no,Insulin,5.050505050505051,0.11968179807653535,0.162527583550417,0.26428876686731895,0.16016096195849627
C1,no,Insulin,5.555555555555556,0.11948545123579364,0.16222872195746635,0.2639080445207396,0.16001423709945037
C1,no,Insulin,6.0606060606060606,0.1193702708496153,0.16205131866699501,0.26367947202927033,0.1599269789007734
C1,no,Insulin,6.565656565656566,0.11930231437232189,0.16194582443770947,0.263542645148194,0.15987501899681095
C1,no,Insulin,7.070707070707071,0.11926206691154548,0.16188302459844012,0.263460878004042,0.15984405745986277
C1,no,Insulin,7.575757575757576,0.11923817174848411,0.16184561724725677,0.26341206101152476,0.15982560167304222
C1,no,Insulin,8.080808080808081,0.11922396296137018,0.16182332709712166,0.26338293355239345,0.15981459989096203
C1,no,Insulin,8.585858585858587,0.11921550527641428,0.16181004177362196,0.2633655599036871,0.15980803901882673
C1,no,Insulin,9.090909090909092,0.1192104680268089,0.16180212274889402,0.26335519865562024,0.15980413004545765
C1,no,Insulin,9.595959595959597,0.11920746666798893,0.16179740167933415,0.26334902069481314,0.15980179663293856
C1,no,Insulin,10.101010101010102,0.11920567795861461,0.16179458737309269,0.2633453368283,0.15980040765164868
C1,no,Insulin,10.606060606060607,0.11920461181136106,0.16179290965167042,0.26334314057418645,0.1597995785129269
C1,no,Insulin,11.111111111111112,0.11920397634184882,0.16179190952246175,0.2633418312903,0.1597990843802528
C1,no,Insulin,11.616161616161618,0.119203596553656,0.16179131174782382,0.2633410487188552,0.1597987890433984
C1,no,Insulin,12.121212121212121,0.11920337365347684,0.16179096089200398,0.26334058939255495,0.1597986157002404
C1,no,Insulin,12.626262626262626,0.11920323820957687,0.1617907476967346,0.26334031028581834,0.15979851039960397
C1,no,Insulin,13.131313131313131,0.11920315537900486,0.16179061731949593,0.26334013960210095,0.15979844601963575
C1,no,Insulin,13.636363636363637,0.11920310729109423,0.16179054161935555,0.2633400404959585,0.15979840859581537
C1,no,Insulin,14.141414141414142,0.11920307875736146,0.16179049669444498,0.2633399816774375,0.15979838631854815
C1,no,Insulin,14.646464646464647,0.11920306219686784,0.16179047062161447,0.2633399475410805,0.15979837334379243
C1,no,Insulin,15.151515151515152,0.11920305276777167,0.16179045578137577,0.26333992811325674,0.15979836596788743
C1,no,Insulin,15.656565656565657,0.11920304709975647,0.1617904468639094,0.2633399164410569,0.15979836160631988
C1,no,Insulin,16.161616161616163,0.11920304357020223,0.1617904413100026,0.2633399091716102,0.1597983589881406
C1,no,Insulin,16.666666666666668,0.11920304138786006,0.16179043787319172,0.26333990467196894,0.15979835744326976
C1,no,Insulin,17.171717171717173,0.1192030400648088,0.1617904357879538,0.26333990194065016,0.15979835651426538
C1,no,Insulin,17.67676767676768,0.11920303918808428,0.16179043440607788,0.2633399001303059,0.15979835586092994
C1,no,Insulin,18.181818181818183,0.11920303852240044,0.16179043335628354,0.26333989875484065,0.15979835542450238
C1,no,Insulin,18.68686868686869,0.11920303814301116,0.16179043275918548,0.2633398979731454,0.15979835507768947
C1,no,Insulin,19.191919191919194,0.1192030379970746,0.16179043253105582,0.26333989767530797,0.15979835481950871
C1,no,Insulin,19.6969696969697,0.11920303781068453,0.16179043223789027,0.26333989729159796,0.15979835464486752
C1,no,Insulin,20.202020202020204,0.11920303774550384,0.16179043213584357,0.26333989715827727,0.15979835455677163
C1,no,Insulin,20.70707070707071,0.1192030378015325,0.1617904322249157,0.263339897275346,0.159798354555221
C1,no,Insulin,21.212121212121215,0.11920303771735777,0.16179043209300592,0.2633398971029465,0.15979835444818744
C1,no,Insulin,21.71717171717172,0.11920303779437606,0.16179043221439207,0.263339897261938,0.15979835451043414
