NON $ % + - . 0 1
#NON	a	b	f	g	d	c	e
0.0	0.8880016045769278	0.5478221317109478	0.7845600300635596	0.3458974092022654	0.2720621462318292	0.018045784055018776	0.6381700729565405
0.33557046979865773	0.47520082990468254	0.42400219092804725	0.5942338234717764	0.17760268834610116	0.18192402408479555	0.03828754170318096	0.5011356472808954
0.6711409395973155	0.297134329871855	0.33115821596641687	0.4538146814078419	0.09539829988874256	0.12372274202325062	0.042826329280755526	0.4030361739916355
1.0067114093959733	0.2172519764193959	0.26535746660410736	0.35306868917822276	0.053870742145644	0.08558975524553068	0.040251692568569586	0.33153697917391844
1.342281879194631	0.1786252937524639	0.2207145298560625	0.2824881121980409	0.032104666152696915	0.060310411264079156	0.03504238734069612	0.27887941418282175
1.6778523489932886	0.15773585012681762	0.1913213868467958	0.23388574712006618	0.020243661257935766	0.04339095467681197	0.029387404173321866	0.24000984238010867
2.0134228187919465	0.14496733328123584	0.17226319715920005	0.2007422341581966	0.013519153794747168	0.03197447919272102	0.024245712108074812	0.2114274458646686
2.348993288590604	0.13637849642082023	0.1599437029678994	0.17822373379053003	0.009555725303995028	0.024214730098830604	0.019946320950319157	0.19055529277996944
2.684563758389262	0.1302811038451132	0.15193953038444377	0.16292203740864322	0.007132174818714594	0.01890360165885631	0.01651789485137377	0.17543058648180612
3.0201342281879198	0.12586135016424727	0.14669298079398083	0.15250454291621046	0.005599540051944094	0.015243256644299192	0.01386309803209645	0.16454882279508515
3.3557046979865772	0.1226504902530268	0.14322332819678288	0.14539702300520774	0.004601046506052857	0.012703135345764184	0.011846062586335089	0.15676772634597436
3.691275167785235	0.12033184454580968	0.1409137667675814	0.14054061404913715	0.003933755423145716	0.010928365233201624	0.010332772372860994	0.15123261371756952
4.026845637583893	0.11867207995589767	0.1393716958098238	0.1372210302288582	0.0034782822601411687	0.009680238165167906	0.009207007926868996	0.14731284497342867
4.3624161073825505	0.11749465073115645	0.13834262414172668	0.13495371485833907	0.003162059652343948	0.008797183874262616	0.008374359498637837	0.1445483098891583
4.697986577181208	0.11666638483798285	0.13765852821281005	0.13340804296984551	0.0029395878554648864	0.008169085023032818	0.007760980834969514	0.1426061562396628
5.033557046979866	0.1160881410844333	0.13720683010480386	0.13235736353665442	0.002781500200932847	0.007720310602533182	0.007310436428030394	0.14124709991924916
5.369127516778524	0.11568719974523625	0.1369113894943784	0.1316458338603668	0.002668340782133262	0.007398487678820062	0.006980224809391216	0.1402999388804586
