NON $ % + - . 0
#NON	a	b	d	f	e	c
0.0	0.23829703739715324	0.4043710252794599	0.15445166218259399	0.7858585878578751	0.16121029788152674	0.2469958177541427
0.33557046979865773	0.18344650437752724	0.323315590669522	0.17040569361043933	0.45783276905764636	0.12624984370854567	0.24363913968147352
0.6711409395973155	0.14476608090865895	0.2598488542000033	0.16625042438380536	0.3089417212214727	0.09795260938172796	0.23063045303473906
1.0067114093959733	0.11765310186848366	0.2108084057799041	0.15491983214300786	0.23681266273161072	0.07685662238443916	0.21407962213551474
1.342281879194631	0.0986804463362499	0.17332421873944723	0.14186617312671593	0.19862680331756635	0.061768980865825114	0.1970403706480045
1.6778523489932886	0.08527171354474446	0.14483198194770458	0.1293343858341555	0.17630474621503925	0.05111150824401223	0.18100383363615466
2.0134228187919465	0.0756023440575938	0.12318999698316072	0.1181635949043212	0.16198608401503475	0.04353313180170358	0.16662812105936506
2.348993288590604	0.0684514920228198	0.10670763155041293	0.1085714589755705	0.15207052998126946	0.03805091029324169	0.1541212845922268
2.684563758389262	0.06302802574844706	0.094095942581608	0.10050706332029476	0.1447903142056888	0.033999707141817166	0.14345368424905755
3.0201342281879198	0.058823035807999524	0.08439012657834762	0.09381321274985688	0.13920980903690378	0.03094177536670231	0.1344784907389188
3.3557046979865772	0.05550511366998567	0.0768738103770689	0.08830148660957533	0.1347979511719287	0.028589634950525026	0.12699998218741324
3.691275167785235	0.05285271840368606	0.07101608477955344	0.08378628570185637	0.13123421696838444	0.026751927764397082	0.12081147716956699
4.026845637583893	0.05071260224104751	0.06642275308048792	0.08009923461992419	0.12831408071222716	0.025298352377998788	0.11571546567190269
4.3624161073825505	0.04897481754018005	0.06279989332709751	0.07709408375716341	0.12589982687399953	0.024137737178592723	0.11153330861433255
4.697986577181208	0.047557731555321246	0.059927083928553046	0.07464705290010526	0.12389365465860705	0.0232044673627652	0.10810889458529094
5.033557046979866	0.04639896462971078	0.057637928562075835	0.07265509121629499	0.12222256575006749	0.022450070667125635	0.10530888981996092
