,,,Slide ID,G10,G9,G6,G2,G7,G3,G1,G8,G4,G5
,,,Antibody Name,G10,G9,G6,G2,G7,G3,G1,G8,G4,G5
,,,HUGO ID,G10,G9,G6,G2,G7,G3,G1,G8,G4,G5
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.47273075383656504,0.28267549920978696,0.6165071432545882,0.024610752220282084,0.9318123760835773,0.17002659069953074,0.1259646658918615,0.8368506752476707,0.6132126002421981,0.08575390701677044
C1,no,Insulin,0.5050505050505051,0.24900236588709657,0.19832099808528408,0.4013249322532181,0.14021125124756645,0.6042607315266747,0.6716471729224398,0.17134307694271933,0.3209958596857972,0.3560037464039772,0.04416925779384727
C1,no,Insulin,1.0101010101010102,0.14774214667947996,0.15599490841822697,0.3534867267689718,0.18008414267369963,0.41872571382646395,0.8700975529246358,0.20538214181381945,0.20157318269014882,0.22060510934595154,0.03221823033182896
C1,no,Insulin,1.5151515151515151,0.09698276155161797,0.13315528930968812,0.34361517583752466,0.19576878346853516,0.3119468377219613,0.9486081904633162,0.22329836535619288,0.16729345375035976,0.14524915769004626,0.027939425460180745
C1,no,Insulin,2.0202020202020203,0.06935749178818035,0.12122464953051265,0.34238038074888766,0.20233037905761514,0.25042272502581764,0.9796684500058256,0.2319509384968777,0.15296949829530193,0.1016366381552835,0.026251891404779033
C1,no,Insulin,2.5252525252525255,0.053194023257406894,0.11479512306243565,0.34270521394354125,0.2051680953284505,0.21493389446979688,0.9919564638912423,0.23595097546808336,0.14472664490690026,0.07550783692530809,0.025551921291206543
C1,no,Insulin,3.0303030303030303,0.04315993083100688,0.11109427934431752,0.3430782569048077,0.20641286049493737,0.19442958565938992,0.9968178297407777,0.23774739659466884,0.1394078559163937,0.059352848378154716,0.025252298509208564
C1,no,Insulin,3.5353535353535355,0.03664760110022824,0.1088398140530164,0.34329651447475346,0.20695993773139876,0.182562675394568,0.9987410691482653,0.23853690602075434,0.1359660954803987,0.049079243405701405,0.025120896155891345
C1,no,Insulin,4.040404040404041,0.03228716109596085,0.1074258674143365,0.3434019179526693,0.20719917745447722,0.1756843352196706,0.9995019395897096,0.23887800784715013,0.13379488598665373,0.04238501357184374,0.025062005520813658
C1,no,Insulin,4.545454545454546,0.029306165895165597,0.10653381382023952,0.3434481440036868,0.2073029234245277,0.17169265662764924,0.9998029535802613,0.23902334639582754,0.13245946914922535,0.037933956388726375,0.025035063640557218
C1,no,Insulin,5.050505050505051,0.02724055947601581,0.1059748129042645,0.34346722045848443,0.2073474830210594,0.16937404830464184,0.9999220444771337,0.23908456925660054,0.13165368942885577,0.03492591893200488,0.0250224930891571
C1,no,Insulin,5.555555555555556,0.025796895211043523,0.10562854029109038,0.3434747544327115,0.20736643829606835,0.1680263529952096,0.9999691609383914,0.23911011517278175,0.1311738229756604,0.032867149418783353,0.025016518903212177
C1,no,Insulin,6.0606060606060606,0.02478240774184506,0.10541662431194447,0.3434776267434129,0.2073744284834211,0.1672426304168327,0.9999877984120076,0.23912068917290547,0.13089048189276195,0.03144441734292491,0.025013631803481234
C1,no,Insulin,6.565656565656566,0.024067059386396153,0.10528833271537712,0.34347868779286406,0.2073777689579495,0.1667867269943858,0.9999951723197192,0.23912503669510848,0.13072409475549604,0.030454113025560028,0.025012215674834328
C1,no,Insulin,7.070707070707071,0.023561544628735352,0.10521136557329784,0.34347906824407,0.20737915541930013,0.16652146083926975,0.9999980901973817,0.239126814178591,0.13062671814056012,0.029761130371441236,0.025011512142409067
