NON $ % + - . 0 1
#NON	e	a	d	c	g	b	f
0.0	0.9910806276362257	0.15683868484435737	0.020644690668394472	0.9980572784244396	0.43328773496472417	0.3057983299234943	0.10376863446588591
0.5050505050505051	0.4486319538095547	0.17261106592660727	0.13692993456053976	0.4818997194500871	0.3133141126418699	0.24809716791803302	0.237158602108157
1.0101010101010102	0.3269675470391173	0.1979295709804242	0.17306654957021791	0.3463697680109942	0.2675430104075609	0.2155650740850476	0.30586643957490894
1.5151515151515151	0.30419647966361446	0.2180909882006538	0.18391737646743556	0.3141829439892614	0.25006572129983823	0.20018027766899132	0.3370625083338645
2.0202020202020203	0.3023619726492846	0.23165583311840526	0.18742755132018488	0.30840562288928636	0.24354695390012715	0.1934422132869153	0.3506845919050972
2.5252525252525255	0.3037303793883271	0.24011552965915817	0.18864706856089436	0.3084372291653896	0.24122585394759924	0.19063202899525322	0.3565456765116368
3.0303030303030303	0.3049042364004063	0.24517080181754466	0.1890575128754914	0.30923861727312224	0.24046716027256	0.1895056029556295	0.3590524293143356
3.5353535353535355	0.30556727122299243	0.24811134116896483	0.18915956910859094	0.3098298843266375	0.2402611480100216	0.18907206051021203	0.3601218760568498
4.040404040404041	0.30589475737898464	0.24979095590874326	0.18914768537946727	0.3101611456081292	0.2402332694145696	0.18891361492467193	0.36057764817484483
4.545454545454546	0.30604672286740403	0.25073813440528636	0.1891022283777037	0.31032750327396286	0.24025202745318394	0.18886018124375445	0.3607718022791705
5.050505050505051	0.3061149084226823	0.251267347055008	0.1890551237100535	0.31040640268280667	0.24027569742202076	0.18884477425817722	0.3608544966134615
5.555555555555556	0.30614490846784137	0.2515610129127743	0.1890169280158729	0.3104425691689645	0.2402938091588492	0.18884201734892747	0.36088971290170246
6.0606060606060606	0.3061579480614346	0.2517231277148058	0.18898924092276823	0.31045878453323394	0.24030563519006923	0.18884280240074366	0.360904707139397
6.565656565656566	0.3061635721256224	0.2518122658269892	0.1889704554447011	0.31046594607299244	0.24031277658430827	0.18884414225284502	0.36091109039268776
7.070707070707071	0.3061659910051379	0.2518611457377934	0.1889582629082975	0.3104690823332718	0.24031689538467563	0.18884522680091326	0.3609138116799531
7.575757575757576	0.3061670262415827	0.2518878846539763	0.18895059645089066	0.31047044343026503	0.24031920138312632	0.1888459525278906	0.36091497098847003
8.080808080808081	0.3061674696322544	0.2519024885782019	0.1889458898423174	0.31047103366725826	0.24032046777831959	0.18884639807621525	0.36091546285038517
8.585858585858587	0.3061676572756912	0.25191044991203465	0.18894305447047072	0.31047128541670754	0.24032115136509977	0.1888466568712485	0.3609156725537656
9.090909090909092	0.30616773763085453	0.25191478417950075	0.18894137255845217	0.3104713937518156	0.2403215163270379	0.18884680239286744	0.360915761864122
9.595959595959597	0.3061677720733864	0.25191714471275783	0.18894038650622497	0.31047144039760455	0.24032170978972894	0.1888468825063586	0.36091580007849855
10.101010101010102	0.3061677865703843	0.25191842762988786	0.18893981500974602	0.31047146024257705	0.24032181152363155	0.18884692587666163	0.36091581641948095
10.606060606060607	0.3061677930284307	0.2519191296419015	0.18893948520918907	0.3104714691059652	0.24032186520468068	0.18884694921062323	0.36091582365939723
11.111111111111112	0.30616779594547394	0.2519195098494787	0.18893929637849943	0.3104714728280921	0.2403218931410351	0.18884696162596457	0.3609158264851729
11.616161616161618	0.30616779685618983	0.2519197157721145	0.1889391892730971	0.3104714741677038	0.24032190760090638	0.18884696818251856	0.36091582762150964
12.121212121212121	0.30616779709638714	0.25191982863503015	0.188939128577936	0.31047147476143433	0.24032191515328116	0.1888469716387794	0.36091582819270046
12.626262626262626	0.30616779747226763	0.25191989009124827	0.1889390939820924	0.3104714751060608	0.24032191906949754	0.18884697343803636	0.36091582837142916
13.131313131313131	0.30616779778622155	0.25191992162058013	0.18893907523093983	0.31047147520663904	0.2403219209563182	0.1888469743061936	0.36091582836445857
13.636363636363637	0.3061677976012801	0.25191993908341087	0.18893906469875985	0.31047147512646334	0.24032192192768814	0.18884697477527523	0.36091582838911346
14.141414141414142	0.306167797350724	0.2519199479322189	0.18893905916622386	0.3104714750714761	0.24032192237017694	0.18884697501343972	0.3609158284012051
14.646464646464647	0.30616779737696287	0.25191995276305307	0.18893905605335448	0.31047147511654083	0.2403219226054822	0.18884697513451487	0.360915828399106
15.151515151515152	0.30616779757306106	0.2519199555762916	0.1889390542139371	0.31047147517037604	0.24032192274545838	0.18884697518185345	0.36091582839707664
15.656565656565657	0.30616779771203795	0.25191995799143047	0.18893905264007096	0.310471475225286	0.2403219228659613	0.18884697523153132	0.3609158283942769
16.161616161616163	0.30616779777044306	0.2519199595336339	0.18893905163482969	0.3104714752498622	0.24032192294066707	0.18884697526411254	0.36091582839291403
16.666666666666668	0.30616779774658337	0.25191996012909645	0.18893905124521776	0.31047147523984875	0.24032192296557514	0.1888469752764804	0.36091582839330305
17.171717171717173	0.3061677976746183	0.2519199600837468	0.18893905127218602	0.3104714752095251	0.24032192295731153	0.18884697527514016	0.36091582839474495
17.67676767676768	0.3061677976688203	0.2519199604210017	0.1889390510498595	0.31047147520665946	0.24032192297149468	0.18884697528185365	0.3609158283949015
18.181818181818183	0.3061677976514463	0.25191996044459947	0.18893905103125333	0.3104714751987537	0.24032192297028565	0.1888469752818156	0.36091582839536346
18.68686868686869	0.30616779762249635	0.2519199601545401	0.18893905121636748	0.31047147518580764	0.24032192295368446	0.18884697527502603	0.36091582839613084
19.191919191919194	0.3061677975857281	0.25191996008026607	0.18893905125883104	0.31047147516947166	0.24032192294579982	0.18884697527257563	0.36091582839703656
19.6969696969697	0.3061677975832111	0.2519199598491573	0.1889390514094961	0.31047147516801293	0.24032192293496987	0.18884697526752475	0.3609158283972109
20.202020202020204	0.3061677975806942	0.2519199596180486	0.1889390515601612	0.31047147516655427	0.24032192292413995	0.18884697526247385	0.36091582839738523
20.70707070707071	0.3061677975781772	0.25191995938693984	0.18893905171082628	0.31047147516509555	0.24032192291331	0.18884697525742294	0.3609158283975596
21.212121212121215	0.3061677975778557	0.2519199593502843	0.18893905173490444	0.31047147516490536	0.2403219229116462	0.18884697525664262	0.3609158283975845
21.71717171717172	0.3061677975777761	0.25191995933504535	0.1889390517450406	0.31047147516485485	0.24032192291099194	0.18884697525633262	0.3609158283975929
22.222222222222225	0.3061677975776965	0.25191995931980643	0.18893905175517678	0.31047147516480433	0.2403219229103377	0.18884697525602265	0.3609158283976013
22.72727272727273	0.3061677975776169	0.2519199593045675	0.18893905176531295	0.3104714751647538	0.24032192290968343	0.18884697525571265	0.36091582839760966
23.232323232323235	0.30616779757753726	0.2519199592893286	0.18893905177544912	0.31047147516470336	0.24032192290902918	0.18884697525540264	0.36091582839761804
23.73737373737374	0.30616779757745766	0.2519199592740897	0.1889390517855853	0.31047147516465284	0.24032192290837492	0.18884697525509267	0.3609158283976264
24.242424242424242	0.30616779757737805	0.2519199592588508	0.18893905179572146	0.31047147516460233	0.2403219229077207	0.18884697525478267	0.3609158283976348
24.747474747474747	0.3061677975772984	0.2519199592436119	0.18893905180585763	0.3104714751645518	0.24032192290706644	0.18884697525447267	0.3609158283976432
25.252525252525253	0.3061677975772188	0.25191995922837296	0.1889390518159938	0.31047147516450135	0.2403219229064122	0.1888469752541627	0.3609158283976516
25.757575757575758	0.3061677975771392	0.25191995921313404	0.18893905182612997	0.31047147516445084	0.24032192290575793	0.1888469752538527	0.36091582839766
26.262626262626263	0.3061677975770596	0.2519199591978951	0.18893905183626614	0.3104714751644003	0.24032192290510368	0.1888469752535427	0.3609158283976684
26.767676767676768	0.3061677975769799	0.2519199591826562	0.1889390518464023	0.3104714751643498	0.24032192290444943	0.18884697525323269	0.3609158283976768
27.272727272727273	0.3061677975769003	0.25191995916741733	0.1889390518565385	0.3104714751642993	0.24032192290379517	0.1888469752529227	0.36091582839768516
27.77777777777778	0.3061677975768207	0.2519199591521784	0.18893905186667467	0.31047147516424883	0.24032192290314092	0.1888469752526127	0.36091582839769354
28.282828282828284	0.30616779757674106	0.2519199591369395	0.18893905187681084	0.3104714751641983	0.24032192290248666	0.1888469752523027	0.3609158283977019
28.78787878787879	0.30616779757666146	0.25191995912170057	0.188939051886947	0.3104714751641478	0.2403219229018324	0.18884697525199273	0.3609158283977103
29.292929292929294	0.30616779757658186	0.25191995910646164	0.18893905189708318	0.3104714751640973	0.24032192290117815	0.18884697525168273	0.3609158283977187
29.7979797979798	0.30616779757650225	0.2519199590912227	0.18893905190721935	0.31047147516404683	0.24032192290052393	0.18884697525137273	0.36091582839772707
30.303030303030305	0.3061677975764226	0.25191995907598386	0.18893905191735552	0.3104714751639963	0.24032192289986967	0.18884697525106273	0.3609158283977355
30.80808080808081	0.306167797576343	0.25191995906074494	0.1889390519274917	0.3104714751639458	0.24032192289921542	0.18884697525075275	0.3609158283977439
31.313131313131315	0.3061677975762634	0.251919959045506	0.18893905193762786	0.3104714751638953	0.24032192289856116	0.18884697525044275	0.36091582839775227
31.81818181818182	0.30616779757618373	0.2519199590302671	0.18893905194776403	0.3104714751638448	0.2403219228979069	0.18884697525013275	0.36091582839776065
32.323232323232325	0.30616779757610413	0.25191995901502817	0.1889390519579002	0.3104714751637943	0.24032192289725265	0.18884697524982277	0.36091582839776903
32.82828282828283	0.30616779757608076	0.25191995901016223	0.18893905196114566	0.3104714751637793	0.24032192289704638	0.1888469752497249	0.36091582839777164
33.333333333333336	0.30616779757607826	0.25191995900915737	0.18893905196182623	0.3104714751637776	0.24032192289700682	0.18884697524970603	0.36091582839777203
33.83838383838384	0.30616779757607576	0.2519199590081525	0.1889390519625068	0.31047147516377593	0.24032192289696727	0.18884697524968716	0.3609158283977724
34.343434343434346	0.3061677975760733	0.25191995900714764	0.1889390519631874	0.3104714751637742	0.24032192289692772	0.1888469752496683	0.3609158283977728
34.84848484848485	0.3061677975760708	0.2519199590061428	0.18893905196386795	0.3104714751637725	0.2403219228968882	0.1888469752496494	0.36091582839777325
35.35353535353536	0.3061677975760683	0.2519199590051379	0.18893905196454852	0.31047147516377077	0.24032192289684864	0.18884697524963054	0.36091582839777364
35.85858585858586	0.3061677975760659	0.25191995900413305	0.1889390519652291	0.31047147516376905	0.2403219228968091	0.18884697524961166	0.36091582839777403
