,,,Slide ID,a,c,b,e,d
,,,Antibody Name,a,c,b,e,d
,,,HUGO ID,a,c,b,e,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.6858677858037143,0.8542354665377797,0.5602318422466209,0.5480510528867059,0.4701103228232866
C1,no,Insulin,0.33557046979865773,0.3860666196643209,0.5212786417031432,0.4641132632692559,0.3179814949451496,0.2963465818023968
C1,no,Insulin,0.6711409395973155,0.25958120581334776,0.38272979810508295,0.39345783443559057,0.21040633984614177,0.20313120665456233
C1,no,Insulin,1.0067114093959733,0.20214580417224118,0.32010344474165925,0.3409008665527156,0.15708063174271036,0.1513311617397092
C1,no,Insulin,1.342281879194631,0.17387372320261404,0.288018863451695,0.30136611182570733,0.12914781594447577,0.12174076039242028
C1,no,Insulin,1.6778523489932886,0.15893950113009572,0.26896177897521456,0.27131780650608417,0.11386214543295038,0.10452263139800647
C1,no,Insulin,2.0134228187919465,0.15063614111008866,0.2560524587400348,0.24826487437138356,0.10523547305054641,0.09439124119941458
C1,no,Insulin,2.348993288590604,0.1458681627286628,0.24648373183502253,0.2304309707672735,0.10026785168581795,0.08839221206434174
C1,no,Insulin,2.684563758389262,0.14307980545821658,0.23902246069878288,0.21653366788840764,0.09737122200696467,0.08482832028771993
C1,no,Insulin,3.0201342281879198,0.14143360113570572,0.23305745897828928,0.20563563597123583,0.09566940208641299,0.08270777848708313
C1,no,Insulin,3.3557046979865772,0.1404573159283078,0.22823543179769296,0.1970435064341671,0.09466509986037955,0.08144528748603627
C1,no,Insulin,3.691275167785235,0.13987723295001456,0.2243202797490008,0.1902384798027491,0.09407089282815907,0.08069358110767405
C1,no,Insulin,4.026845637583893,0.13953235776906955,0.2211372547272205,0.18482822070671173,0.09371880190327819,0.08024607795616483
C1,no,Insulin,4.3624161073825505,0.13932731726284314,0.2185493943349834,0.18051312757751717,0.09350999845575254,0.0799797455131433
C1,no,Insulin,4.697986577181208,0.1392054420188557,0.21644640340605448,0.17706240702374348,0.0933861142110551,0.07982128984126828
C1,no,Insulin,5.033557046979866,0.13913301494894095,0.21473846795410786,0.17429688038195168,0.09331258933596563,0.0797270394189598
C1,no,Insulin,5.369127516778524,0.13908998521329585,0.2133521977873197,0.17207650900003782,0.09326894742970405,0.07967099560440584
C1,no,Insulin,5.704697986577181,0.13906442754565743,0.21222760727033818,0.17029120457384841,0.09324304274923818,0.07963768083590317
C1,no,Insulin,6.0402684563758395,0.13904924682908737,0.21131571144950723,0.16885398559383774,0.09322766220430896,0.07961787712658831
C1,no,Insulin,6.375838926174497,0.13904023255280246,0.21057655194527755,0.16769584589044376,0.09321853234526749,0.07960610979924877
C1,no,Insulin,6.7114093959731544,0.1390348801618823,0.20997759654567685,0.16676184584086443,0.09321311213254053,0.07959911804240462
