,,,Slide ID,e,b,c,d,a
,,,Antibody Name,e,b,c,d,a
,,,HUGO ID,e,b,c,d,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,8.080808080808081,0.023005989955522516,0.2646664343499618,0.0062604120118709,0.30298397098578295,0.25756053208084506
C1,no,Insulin,8.585858585858587,0.023000025715396916,0.2646668921295361,0.006257954965416253,0.3029958934449867,0.2575610711217385
C1,no,Insulin,9.090909090909092,0.022996824493183472,0.2646670998095403,0.006256636821607116,0.30300297379647956,0.25756131635497603
C1,no,Insulin,9.595959595959597,0.022995110041910113,0.2646671931785756,0.006255931009553921,0.30300713604107465,0.25756142685001454
C1,no,Insulin,10.101010101010102,0.022994187723286402,0.2646672364225496,0.00625555097405708,0.3030095638943527,0.257561477989622
C1,no,Insulin,10.606060606060607,0.022993693649241916,0.26466725575764666,0.006255348008933413,0.3030109664917645,0.25756150095365826
C1,no,Insulin,11.111111111111112,0.022993429180482104,0.2646672647109456,0.006255238880973327,0.30301177422710784,0.25756151151880646
C1,no,Insulin,11.616161616161618,0.022993286169645133,0.2646672690927882,0.006255179406275471,0.30301223978672576,0.2575615166838388
C1,no,Insulin,12.121212121212121,0.022993206791520695,0.264667271017411,0.006255147392806673,0.3030125067720406,0.2575615190273786
C1,no,Insulin,12.626262626262626,0.022993163730096206,0.26466727181879013,0.006255130242529642,0.3030126600127168,0.2575615199802957
C1,no,Insulin,13.131313131313131,0.02299314312259619,0.26466727214815194,0.00625512135919641,0.30301274508853154,0.25756152035514585
C1,no,Insulin,13.636363636363637,0.02299313221270797,0.264667272311712,0.006255116572892865,0.3030127929410865,0.2575615205523129
C1,no,Insulin,14.141414141414142,0.022993125610430265,0.2646672723936605,0.006255113948926155,0.30301282018445513,0.25756152065269783
C1,no,Insulin,14.646464646464647,0.022993122171688824,0.2646672724307181,0.006255112537868013,0.30301283555318154,0.2575615206976901
C1,no,Insulin,15.151515151515152,0.02299312033778577,0.26466727244652954,0.006255111790716885,0.30301284412858165,0.25756152071672717
C1,no,Insulin,15.656565656565657,0.02299311939393907,0.2646672724527385,0.006255111406503036,0.30301284879293955,0.2575615207241118
C1,no,Insulin,16.161616161616163,0.022993118885191993,0.26466727245622057,0.0062551111938125275,0.3030128514375084,0.2575615207283124
C1,no,Insulin,16.666666666666668,0.022993118607107368,0.2646672724586557,0.006255111070784832,0.303012852971515,0.2575615207313376
C1,no,Insulin,17.171717171717173,0.022993118455571025,0.26466727246002436,0.006255111001279144,0.3030128538535368,0.2575615207330545
C1,no,Insulin,17.67676767676768,0.022993118350376086,0.2646672724608644,0.006255110954180835,0.30301285446187337,0.25756152073409944
C1,no,Insulin,18.181818181818183,0.02299311825118719,0.26466727246186683,0.006255110906716292,0.30301285506501774,0.2575615207353788
C1,no,Insulin,18.68686868686869,0.022993118181976854,0.2646672724624696,0.006255110875656745,0.30301285546600587,0.25756152073613964
C1,no,Insulin,19.191919191919194,0.022993118142745083,0.26466727246267285,0.006255110861002196,0.30301285566483777,0.25756152073638194
C1,no,Insulin,19.6969696969697,0.022993118133491877,0.26466727246247645,0.006255110862752644,0.3030128556615135,0.2575615207361058
C1,no,Insulin,20.202020202020204,0.022993118146109565,0.26466727246200994,0.006255110875988075,0.30301285551555796,0.2575615207354806
C1,no,Insulin,20.70707070707071,0.022993118131655044,0.2646672724620553,0.006255110871008104,0.3030128555863018,0.2575615207355301
C1,no,Insulin,21.212121212121215,0.02299311812703871,0.2646672724620228,0.006255110870211247,0.30301285560275615,0.25756152073548233
C1,no,Insulin,21.71717171717172,0.022993118132260567,0.26466727246191246,0.006255110873597506,0.30301285556492097,0.2575615207353373
C1,no,Insulin,22.222222222222225,0.022993118147320607,0.26466727246172433,0.006255110881166881,0.3030128554727963,0.2575615207350949
C1,no,Insulin,22.72727272727273,0.02299311817221884,0.2646672724614583,0.006255110892919371,0.30301285532638217,0.2575615207347553
C1,no,Insulin,23.232323232323235,0.022993118174036924,0.2646672724613047,0.006255110895999371,0.30301285529919014,0.25756152073454897
C1,no,Insulin,23.73737373737374,0.02299311818286243,0.26466727246126087,0.006255110899373702,0.303012855252485,0.2575615207344967
C1,no,Insulin,24.242424242424242,0.02299311819168794,0.264667272461217,0.006255110902748033,0.3030128552057799,0.25756152073444444
C1,no,Insulin,24.747474747474747,0.02299311820051345,0.2646672724611732,0.006255110906122363,0.30301285515907483,0.2575615207343922
C1,no,Insulin,25.252525252525253,0.02299311820933896,0.26466727246112937,0.006255110909496694,0.3030128551123697,0.2575615207343399
C1,no,Insulin,25.757575757575758,0.022993118211171986,0.2646672724611205,0.00625511091020093,0.30301285510255477,0.2575615207343293
C1,no,Insulin,26.262626262626263,0.022993118211427875,0.26466727246111943,0.0062551109103029315,0.3030128551010603,0.2575615207343281
C1,no,Insulin,26.767676767676768,0.022993118211683764,0.2646672724611184,0.006255110910404933,0.3030128550995659,0.2575615207343268
C1,no,Insulin,27.272727272727273,0.022993118211939653,0.2646672724611173,0.006255110910506935,0.3030128550980714,0.2575615207343256
C1,no,Insulin,27.77777777777778,0.022993118212195542,0.26466727246111627,0.006255110910608937,0.30301285509657694,0.2575615207343243
C1,no,Insulin,28.282828282828284,0.02299311821245143,0.2646672724611152,0.006255110910710938,0.30301285509508247,0.2575615207343231
C1,no,Insulin,28.78787878787879,0.02299311821270732,0.2646672724611142,0.006255110910812939,0.303012855093588,0.2575615207343218
C1,no,Insulin,29.292929292929294,0.02299311821296321,0.26466727246111316,0.006255110910914941,0.3030128550920936,0.2575615207343206
C1,no,Insulin,29.7979797979798,0.0229931182132191,0.2646672724611121,0.006255110911016943,0.3030128550905991,0.2575615207343193
C1,no,Insulin,30.303030303030305,0.022993118213474988,0.26466727246111105,0.0062551109111189445,0.30301285508910464,0.2575615207343181
C1,no,Insulin,30.80808080808081,0.02299311821373088,0.26466727246111,0.006255110911220946,0.30301285508761017,0.2575615207343168
C1,no,Insulin,31.313131313131315,0.02299311821398677,0.26466727246110894,0.006255110911322947,0.3030128550861157,0.2575615207343156
C1,no,Insulin,31.81818181818182,0.022993118214242658,0.26466727246110794,0.006255110911424949,0.3030128550846212,0.2575615207343143
C1,no,Insulin,32.323232323232325,0.022993118214498547,0.2646672724611069,0.006255110911526951,0.3030128550831268,0.2575615207343131
C1,no,Insulin,32.82828282828283,0.022993118214754436,0.26466727246110583,0.006255110911628952,0.30301285508163234,0.2575615207343119
C1,no,Insulin,33.333333333333336,0.022993118215010325,0.2646672724611048,0.006255110911730954,0.30301285508013787,0.2575615207343106
C1,no,Insulin,33.83838383838384,0.022993118215266214,0.2646672724611037,0.006255110911832956,0.3030128550786434,0.2575615207343094
C1,no,Insulin,34.343434343434346,0.022993118215522104,0.26466727246110267,0.006255110911934958,0.3030128550771489,0.2575615207343081
C1,no,Insulin,34.84848484848485,0.022993118215777993,0.2646672724611016,0.0062551109120369585,0.30301285507565445,0.2575615207343069
C1,no,Insulin,35.35353535353536,0.02299311821603388,0.2646672724611006,0.00625511091213896,0.30301285507416004,0.2575615207343056
C1,no,Insulin,35.85858585858586,0.02299311821628977,0.26466727246109956,0.006255110912240962,0.30301285507266557,0.2575615207343044
C1,no,Insulin,36.36363636363637,0.02299311821654566,0.2646672724610985,0.006255110912342964,0.3030128550711711,0.2575615207343031
C1,no,Insulin,36.86868686868687,0.022993118216801552,0.26466727246109745,0.006255110912444965,0.3030128550696766,0.2575615207343019
C1,no,Insulin,37.37373737373738,0.02299311821705744,0.2646672724610964,0.006255110912546967,0.30301285506818215,0.2575615207343006
C1,no,Insulin,37.87878787878788,0.02299311821731333,0.26466727246109534,0.006255110912648968,0.30301285506668774,0.2575615207342994
C1,no,Insulin,38.38383838383839,0.02299311821756922,0.2646672724610943,0.00625511091275097,0.30301285506519327,0.2575615207342981
C1,no,Insulin,38.88888888888889,0.02299311821782511,0.2646672724610933,0.0062551109128529715,0.3030128550636988,0.2575615207342969
C1,no,Insulin,39.3939393939394,0.022993118218080998,0.26466727246109223,0.006255110912954973,0.3030128550622043,0.2575615207342956
C1,no,Insulin,39.8989898989899,0.022993118218336887,0.2646672724610912,0.006255110913056975,0.30301285506070985,0.2575615207342944
C1,no,Insulin,40.40404040404041,0.022993118218592776,0.2646672724610901,0.006255110913158977,0.3030128550592154,0.2575615207342931
C1,no,Insulin,40.909090909090914,0.022993118218848665,0.26466727246108906,0.0062551109132609785,0.30301285505772096,0.2575615207342919
C1,no,Insulin,41.41414141414142,0.022993118219104554,0.264667272461088,0.006255110913362979,0.3030128550562265,0.2575615207342906
C1,no,Insulin,41.919191919191924,0.022993118219360443,0.264667272461087,0.006255110913464981,0.303012855054732,0.2575615207342894
C1,no,Insulin,42.42424242424243,0.022993118219616335,0.26466727246108596,0.006255110913566983,0.30301285505323755,0.2575615207342881
C1,no,Insulin,42.929292929292934,0.022993118219872224,0.2646672724610849,0.006255110913668985,0.3030128550517431,0.2575615207342869
C1,no,Insulin,43.43434343434344,0.022993118220128114,0.26466727246108385,0.006255110913770986,0.3030128550502486,0.2575615207342857
C1,no,Insulin,43.939393939393945,0.022993118220384003,0.2646672724610828,0.006255110913872988,0.3030128550487542,0.2575615207342844
C1,no,Insulin,44.44444444444445,0.02299311822063989,0.26466727246108174,0.006255110913974989,0.3030128550472597,0.2575615207342832
C1,no,Insulin,44.949494949494955,0.02299311822089578,0.2646672724610807,0.006255110914076991,0.30301285504576525,0.2575615207342819
C1,no,Insulin,45.45454545454546,0.02299311822115167,0.2646672724610797,0.006255110914178992,0.3030128550442708,0.2575615207342807
C1,no,Insulin,45.959595959595966,0.02299311822140756,0.26466727246107863,0.006255110914280994,0.3030128550427763,0.2575615207342794
C1,no,Insulin,46.46464646464647,0.022993118221663448,0.2646672724610776,0.006255110914382996,0.30301285504128184,0.2575615207342782
C1,no,Insulin,46.969696969696976,0.022993118221919337,0.2646672724610765,0.006255110914484998,0.3030128550397874,0.2575615207342769
C1,no,Insulin,47.47474747474748,0.022993118222175226,0.26466727246107546,0.006255110914586999,0.30301285503829295,0.2575615207342757
C1,no,Insulin,47.979797979797986,0.02299311822243112,0.2646672724610744,0.006255110914689,0.3030128550367985,0.2575615207342744
C1,no,Insulin,48.484848484848484,0.022993118222687008,0.26466727246107336,0.006255110914791002,0.303012855035304,0.2575615207342732
C1,no,Insulin,48.98989898989899,0.022993118222942897,0.26466727246107236,0.006255110914893004,0.30301285503380954,0.2575615207342719
C1,no,Insulin,49.494949494949495,0.022993118223198786,0.2646672724610713,0.0062551109149950055,0.3030128550323151,0.2575615207342707
C1,no,Insulin,50.0,0.022993118223454675,0.26466727246107025,0.006255110915097007,0.30301285503082065,0.2575615207342694
