,,,Slide ID,b,c,d,a
,,,Antibody Name,b,c,d,a
,,,HUGO ID,b,c,d,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.9502381470918769,0.3652982428616224,0.6822401737433437,0.5566485799137046
C1,no,Insulin,0.5050505050505051,0.48456319568333767,0.22456127914721621,0.245762472489177,0.39048886750421885
C1,no,Insulin,1.0101010101010102,0.3238566573572038,0.14423711493054842,0.11700836450875528,0.3347888566781459
C1,no,Insulin,1.5151515151515151,0.2699801294479082,0.09828997564172526,0.07371493650194527,0.31733767021677717
C1,no,Insulin,2.0202020202020203,0.2532162534114367,0.07261616894300862,0.05674295147995651,0.31294772731273485
C1,no,Insulin,2.5252525252525255,0.24895571689357032,0.05850226428676875,0.048978799019001686,0.3127326178662519
C1,no,Insulin,3.0303030303030303,0.2486179562326487,0.05075630226320051,0.04499134097841127,0.3136135864787066
C1,no,Insulin,3.5353535353535355,0.2492880013427983,0.046474841158029,0.04281211815176036,0.31457937574551414
C1,no,Insulin,4.040404040404041,0.250038728758672,0.04408690457312923,0.041591065891549116,0.3153496747602737
C1,no,Insulin,4.545454545454546,0.25062797044188445,0.04274533057612906,0.040901909616278126,0.31589346900031934
C1,no,Insulin,5.050505050505051,0.2510352562948726,0.0419880851834087,0.04051264435714242,0.31625302528159505
C1,no,Insulin,5.555555555555556,0.25129916687934356,0.04155959341579591,0.04029297367951345,0.31648120938455
C1,no,Insulin,6.0606060606060606,0.25146371200121,0.04131688395124992,0.040169139432863904,0.3166220297661353
C1,no,Insulin,6.565656565656566,0.2515637499208443,0.041179388376352995,0.04009938364041066,0.31670720980981665
C1,no,Insulin,7.070707070707071,0.25162351247997283,0.041101524171464385,0.04006010919950208,0.3167579721673264
C1,no,Insulin,7.575757575757576,0.25165876577043883,0.04105745107159935,0.04003799954522704,0.3167878841297366
C1,no,Insulin,8.080808080808081,0.25167936630137283,0.04103251977172581,0.04002555522932985,0.31680535713929064
C1,no,Insulin,8.585858585858587,0.25169131729261146,0.04101842634909535,0.04001854798870844,0.3168154936737517
C1,no,Insulin,9.090909090909092,0.25169821244453294,0.04101046219180948,0.04001460648592411,0.3168213430305799
C1,no,Insulin,9.595959595959597,0.25170217244083004,0.04100596467902395,0.04001238641897016,0.31682470330710594
C1,no,Insulin,10.101010101010102,0.25170443831142836,0.041003426400426146,0.04001113632071285,0.3168266265638724
C1,no,Insulin,10.606060606060607,0.25170573265478363,0.04100199256172675,0.04001043220912085,0.3168277254761728
C1,no,Insulin,11.111111111111112,0.2517064699219054,0.04100118339752381,0.04001003560553314,0.3168283515767798
C1,no,Insulin,11.616161616161618,0.25170688335751235,0.04100073328453375,0.04000981535224219,0.31682870275377323
C1,no,Insulin,12.121212121212121,0.2517071240828436,0.04100047219276223,0.040009687799447365,0.3168289072533675
C1,no,Insulin,12.626262626262626,0.2517072606493267,0.04100032502282524,0.04000961594535689,0.3168290232896002
C1,no,Insulin,13.131313131313131,0.25170733679455415,0.0410002437169108,0.040009576107886295,0.316829088005245
C1,no,Insulin,13.636363636363637,0.25170737937443,0.04100019842641623,0.0400095537538753,0.31682912420207415
C1,no,Insulin,14.141414141414142,0.2517074022937277,0.041000174105571004,0.04000954177057052,0.31682914368949955
C1,no,Insulin,14.646464646464647,0.2517074154554722,0.041000160114222084,0.040009535126721854,0.3168291548763982
C1,no,Insulin,15.151515151515152,0.2517074234309203,0.04100015159927336,0.040009531396598096,0.3168291616472557
C1,no,Insulin,15.656565656565657,0.2517074280583653,0.0410001466596702,0.04000952930455379,0.31682916557359797
C1,no,Insulin,16.161616161616163,0.25170743155847086,0.04100014293120093,0.04000952764925592,0.3168291685451757
C1,no,Insulin,16.666666666666668,0.25170743353006,0.0410001408501208,0.04000952657233062,0.31682917022259166
C1,no,Insulin,17.171717171717173,0.2517074341809107,0.041000140189690434,0.04000952602160188,0.3168291707811316
C1,no,Insulin,17.67676767676768,0.2517074349108647,0.041000139425418566,0.04000952558733975,0.31682917140312605
C1,no,Insulin,18.181818181818183,0.25170743498970505,0.04100013935254474,0.04000952548327683,0.31682917147182105
