,,,Slide ID,b,c,d,a
C1,no,Insulin,18.68686868686869,0.2517074352169365,0.04100013912633283,0.040009525277088606,0.31682917166731045
C1,no,Insulin,19.191919191919194,0.2517074348700552,0.04100013949400694,0.04000952546199125,0.3168291713723471
C1,no,Insulin,19.6969696969697,0.2517074345231739,0.04100013986168104,0.0400095256468939,0.3168291710773838
C1,no,Insulin,20.202020202020204,0.2517074344251313,0.041000139965530896,0.04000952569865737,0.31682917099402
C1,no,Insulin,20.70707070707071,0.25170743437461235,0.04100014001899521,0.04000952572499373,0.3168291709510678
C1,no,Insulin,21.212121212121215,0.25170743432409337,0.04100014007245952,0.040009525751330086,0.3168291709081156
C1,no,Insulin,21.71717171717172,0.2517074342735744,0.04100014012592383,0.04000952577766644,0.3168291708651634
C1,no,Insulin,22.222222222222225,0.2517074342230554,0.04100014017938814,0.0400095258040028,0.3168291708222111
C1,no,Insulin,22.72727272727273,0.2517074341725364,0.04100014023285246,0.040009525830339156,0.31682917077925893
C1,no,Insulin,23.232323232323235,0.2517074341220174,0.041000140286316766,0.04000952585667551,0.31682917073630673
C1,no,Insulin,23.73737373737374,0.2517074340714984,0.041000140339781076,0.04000952588301187,0.31682917069335453
C1,no,Insulin,24.242424242424242,0.25170743402097945,0.041000140393245385,0.040009525909348226,0.3168291706504023
C1,no,Insulin,24.747474747474747,0.25170743397046047,0.0410001404467097,0.04000952593568458,0.3168291706074501
C1,no,Insulin,25.252525252525253,0.25170743394340983,0.04100014047533056,0.04000952594976611,0.31682917058445115
C1,no,Insulin,25.757575757575758,0.25170743393607237,0.041000140483083175,0.040009525953553705,0.3168291705782127
C1,no,Insulin,26.262626262626263,0.25170743392873485,0.0410001404908358,0.0400095259573413,0.31682917057197424
C1,no,Insulin,26.767676767676768,0.2517074339213974,0.04100014049858842,0.04000952596112889,0.3168291705657358
C1,no,Insulin,27.272727272727273,0.2517074339140599,0.041000140506341036,0.040009525964916484,0.3168291705594974
C1,no,Insulin,27.77777777777778,0.25170743390672246,0.041000140514093654,0.04000952596870408,0.31682917055325893
C1,no,Insulin,28.282828282828284,0.25170743389938494,0.04100014052184627,0.040009525972491675,0.3168291705470205
C1,no,Insulin,28.78787878787879,0.25170743389204747,0.04100014052959889,0.04000952597627927,0.316829170540782
C1,no,Insulin,29.292929292929294,0.25170743388471,0.04100014053735151,0.040009525980066865,0.31682917053454357
C1,no,Insulin,29.7979797979798,0.25170743387737254,0.041000140545104126,0.04000952598385445,0.31682917052830517
C1,no,Insulin,30.303030303030305,0.25170743387180533,0.0410001405509862,0.04000952598672809,0.31682917052357185
C1,no,Insulin,30.80808080808081,0.2517074338716258,0.04100014055117553,0.04000952598682027,0.31682917052341925
C1,no,Insulin,31.313131313131315,0.25170743387144634,0.04100014055136486,0.04000952598691244,0.31682917052326665
C1,no,Insulin,31.81818181818182,0.2517074338712669,0.041000140551554196,0.040009525987004614,0.31682917052311405
C1,no,Insulin,32.323232323232325,0.25170743387108735,0.04100014055174352,0.04000952598709678,0.31682917052296145
C1,no,Insulin,32.82828282828283,0.2517074338709079,0.04100014055193286,0.04000952598718895,0.31682917052280885
C1,no,Insulin,33.333333333333336,0.2517074338707284,0.041000140552122186,0.04000952598728113,0.31682917052265624
C1,no,Insulin,33.83838383838384,0.25170743387054895,0.04100014055231152,0.0400095259873733,0.3168291705225036
C1,no,Insulin,34.343434343434346,0.2517074338703694,0.04100014055250085,0.040009525987465475,0.316829170522351
C1,no,Insulin,34.84848484848485,0.25170743387018996,0.04100014055269018,0.040009525987557644,0.3168291705221984
C1,no,Insulin,35.35353535353536,0.2517074338700105,0.04100014055287952,0.04000952598764981,0.3168291705220458
C1,no,Insulin,35.85858585858586,0.251707433869831,0.041000140553068845,0.04000952598774199,0.3168291705218932
C1,no,Insulin,36.36363636363637,0.2517074338696515,0.04100014055325818,0.04000952598783416,0.3168291705217406
C1,no,Insulin,36.86868686868687,0.25170743386947203,0.04100014055344751,0.040009525987926335,0.316829170521588
C1,no,Insulin,37.37373737373738,0.25170743386929256,0.04100014055363684,0.040009525988018504,0.3168291705214354
C1,no,Insulin,37.87878787878788,0.25170743386911304,0.04100014055382617,0.040009525988110674,0.3168291705212828
C1,no,Insulin,38.38383838383839,0.25170743386893357,0.041000140554015505,0.04000952598820285,0.3168291705211302
C1,no,Insulin,38.88888888888889,0.2517074338687541,0.04100014055420483,0.04000952598829502,0.3168291705209776
C1,no,Insulin,39.3939393939394,0.25170743386857464,0.04100014055439417,0.040009525988387196,0.316829170520825
C1,no,Insulin,39.8989898989899,0.2517074338683951,0.0410001405545835,0.040009525988479365,0.3168291705206724
C1,no,Insulin,40.40404040404041,0.25170743386821565,0.04100014055477283,0.040009525988571534,0.31682917052051973
C1,no,Insulin,40.909090909090914,0.2517074338680362,0.041000140554962164,0.04000952598866371,0.31682917052036713
C1,no,Insulin,41.41414141414142,0.2517074338678567,0.04100014055515149,0.04000952598875588,0.31682917052021453
C1,no,Insulin,41.919191919191924,0.2517074338676772,0.041000140555340826,0.04000952598884805,0.31682917052006193
C1,no,Insulin,42.42424242424243,0.2517074338674977,0.041000140555530154,0.040009525988940225,0.31682917051990933
C1,no,Insulin,42.929292929292934,0.25170743386731825,0.04100014055571949,0.040009525989032395,0.31682917051975673
C1,no,Insulin,43.43434343434344,0.2517074338671388,0.041000140555908816,0.04000952598912457,0.31682917051960413
C1,no,Insulin,43.939393939393945,0.25170743386695926,0.04100014055609815,0.04000952598921674,0.31682917051945153
C1,no,Insulin,44.44444444444445,0.2517074338667798,0.04100014055628748,0.04000952598930891,0.31682917051929893
C1,no,Insulin,44.949494949494955,0.2517074338666003,0.04100014055647681,0.040009525989401086,0.31682917051914633
C1,no,Insulin,45.45454545454546,0.2517074338664208,0.04100014055666615,0.040009525989493255,0.31682917051899373
C1,no,Insulin,45.959595959595966,0.25170743386624134,0.041000140556855476,0.04000952598958543,0.31682917051884113
C1,no,Insulin,46.46464646464647,0.25170743386606187,0.04100014055704481,0.0400095259896776,0.3168291705186885
C1,no,Insulin,46.969696969696976,0.2517074338658824,0.04100014055723414,0.04000952598976977,0.3168291705185359
C1,no,Insulin,47.47474747474748,0.2517074338657029,0.04100014055742347,0.040009525989861947,0.3168291705183833
C1,no,Insulin,47.979797979797986,0.2517074338655234,0.0410001405576128,0.040009525989954116,0.3168291705182307
C1,no,Insulin,48.484848484848484,0.25170743386534394,0.041000140557802135,0.04000952599004629,0.3168291705180781
C1,no,Insulin,48.98989898989899,0.2517074338651645,0.04100014055799146,0.04000952599013846,0.3168291705179255
C1,no,Insulin,49.494949494949495,0.25170743386498495,0.0410001405581808,0.04000952599023063,0.3168291705177729
C1,no,Insulin,50.0,0.2517074338648055,0.041000140558370125,0.04000952599032281,0.3168291705176203
