,,,Slide ID,h,e,g,c,f,i,b,a,d
,,,Antibody Name,h,e,g,c,f,i,b,a,d
,,,HUGO ID,h,e,g,c,f,i,b,a,d
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,8.585858585858587,0.018242149373518143,0.05348837158568791,0.06663554227693477,0.12377043685514359,0.15485319793943886,0.11632517873553479,0.024464897212679672,0.11937320704693137,0.13722572911842434
C1,no,Insulin,9.090909090909092,0.018129884173340056,0.05314729642839186,0.06596021968280583,0.12376084094111842,0.15484354045773668,0.11631278087683107,0.02427176208546541,0.11936867968506978,0.13722157170952143
C1,no,Insulin,9.595959595959597,0.01804771517240186,0.05289884571896423,0.06546874103511577,0.12375470400329627,0.1548373639369585,0.11630485289193207,0.02413133616153961,0.11936578393809917,0.13721891325520716
C1,no,Insulin,10.101010101010102,0.017987645552496816,0.052717724548176685,0.06511087588573956,0.1237507796905639,0.15483341390398409,0.11629978327648913,0.024029132727227013,0.11936393065009027,0.1372172132435677
C1,no,Insulin,10.606060606060607,0.017943772968424303,0.05258564452242737,0.06485019735022172,0.12374826985362732,0.15483088792636693,0.11629654152527466,0.023954699729140983,0.11936274704935709,0.13721612625949928
C1,no,Insulin,11.111111111111112,0.01791174311013585,0.05248929930046109,0.06466025343270851,0.1237466656219275,0.15482927271842056,0.11629446845173837,0.023900470806950968,0.11936198648923525,0.13721543064808264
C1,no,Insulin,11.616161616161618,0.01788837657349348,0.05241903368695044,0.06452181793485819,0.12374563881390782,0.15482823944222115,0.1162931428437379,0.023860950589029675,0.11936150398760881,0.13721498643259022
C1,no,Insulin,12.121212121212121,0.017871327834927314,0.05236777523643328,0.06442090554962608,0.12374498210304212,0.1548275792368388,0.11629229528644705,0.02383214653573648,0.1193611978625179,0.13721470267058158
C1,no,Insulin,12.626262626262626,0.01785888705347562,0.05233038736804199,0.06434733855807537,0.12374456424733825,0.15482715665518534,0.11629175260385181,0.02381115035339015,0.11936098776475608,0.13721451871205198
C1,no,Insulin,13.131313131313131,0.01784982681783782,0.05230313323939532,0.06429370391413194,0.12374429391793013,0.15482688619951718,0.11629140655940183,0.023795845568300642,0.11936087226729791,0.13721440461097015
C1,no,Insulin,13.636363636363637,0.017843211081688636,0.05228324825807542,0.06425459895597802,0.12374412282029493,0.15482671374292747,0.11629118476639613,0.02378468904193864,0.11936078900243631,0.13721432976789577
C1,no,Insulin,14.141414141414142,0.017838389022471344,0.05226875094802937,0.06422608899414156,0.12374401317415538,0.1548266033588775,0.11629104302470196,0.023776556832240284,0.1193607369731113,0.1372142821875335
C1,no,Insulin,14.646464646464647,0.01783487351226183,0.05225818129089189,0.06420530278723385,0.12374394307954761,0.15482653275923638,0.11629095237732909,0.0237706289456105,0.11936070346482643,0.13721425171554527
C1,no,Insulin,15.151515151515152,0.017832310583212094,0.052250475259098775,0.06419014753484432,0.12374389821797949,0.15482648759937004,0.11629089441507676,0.023766307774546018,0.11936068223804813,0.1372142322683936
C1,no,Insulin,15.656565656565657,0.017830441815440305,0.052244856300008,0.06417909618744888,0.12374386949693707,0.15482645869551673,0.11629085732251017,0.02376315734384229,0.11936066871737536,0.13721421983439908
C1,no,Insulin,16.161616161616163,0.0178290789989376,0.05224075878166547,0.0641710366089286,0.12374385113412771,0.1548264402025265,0.11629083357623315,0.02376086020212579,0.11936065994473714,0.13721421184885446
C1,no,Insulin,16.666666666666668,0.01782808629433039,0.05223777424974845,0.06416516575289666,0.12374383949115571,0.15482642843663333,0.11629081845887417,0.023759187177217634,0.11936065405202649,0.13721420671316809
C1,no,Insulin,17.171717171717173,0.017827362696080533,0.05223559837524176,0.0641608851437504,0.12374383195571394,0.15482642087947118,0.11629080879234843,0.02375796752446205,0.11936065076482322,0.13721420352492134
C1,no,Insulin,17.67676767676768,0.017826835209905786,0.052234012076872276,0.06415776409625508,0.12374382706534007,0.15482641604613573,0.11629080261117886,0.023757078393217612,0.11936064919396008,0.13721420156693256
C1,no,Insulin,18.181818181818183,0.017826449975226418,0.052232854700704406,0.06415548686553767,0.12374382414211442,0.1548264129939226,0.11629079859059636,0.023756429731223987,0.11936064675517244,0.13721420001677467
C1,no,Insulin,18.68686868686869,0.017826169047093665,0.05223201276277539,0.0641538302967546,0.12374382282120744,0.15482641110472853,0.11629079591319741,0.02375595792101698,0.11936064122125027,0.13721419830009463
C1,no,Insulin,19.191919191919194,0.017825964406686334,0.05223139958167513,0.06415262366091405,0.12374382229890561,0.1548264097991983,0.11629079410840588,0.023755614312840373,0.11936063448291385,0.13721419672463825
C1,no,Insulin,19.6969696969697,0.01782581646122488,0.05223095243272802,0.06415174343612567,0.12374382138644073,0.15482640873760165,0.11629079310173338,0.02375536368652296,0.11936063349833102,0.137214196506723
C1,no,Insulin,20.202020202020204,0.017825708913959473,0.052230625985065816,0.06415110068775633,0.1237438203689266,0.15482640807019726,0.11629079255801038,0.023755180688976335,0.11936063634739749,0.1372141969630431
C1,no,Insulin,20.70707070707071,0.017825629163581158,0.05223038789712348,0.06415063208454014,0.12374381981422493,0.15482640803348488,0.116290792183548,0.023755047257808772,0.11936063971268099,0.1372141971551405
C1,no,Insulin,21.212121212121215,0.017825571799877617,0.05223021447080366,0.06415029068299495,0.12374381914835839,0.15482640786049146,0.11629079204134754,0.023754950046668926,0.11936064358939097,0.13721419772735377
C1,no,Insulin,21.71717171717172,0.017825529822622654,0.05223008806379061,0.06415004185354425,0.12374381893904914,0.15482640772394346,0.11629079188384474,0.023754879207498355,0.11936064412267075,0.13721419777240698
C1,no,Insulin,22.222222222222225,0.017825499209819434,0.05222999587246969,0.06414986036215103,0.1237438187899256,0.15482640763515987,0.11629079178761041,0.023754827541854297,0.11936064458537186,0.13721419782298275
C1,no,Insulin,22.72727272727273,0.017825476863587337,0.05222992865886506,0.06414972803984734,0.12374381872183766,0.1548264075773894,0.11629079171766014,0.023754789876306883,0.11936064464848552,0.13721419781500202
C1,no,Insulin,23.232323232323235,0.017825460572624033,0.05222987967550964,0.0641496316033384,0.12374381868213272,0.1548264075406466,0.11629079167179071,0.023754762427084544,0.1193606446582823,0.1372141978042741
C1,no,Insulin,23.73737373737374,0.01782544845943989,0.0522298432648258,0.06414955991721544,0.12374381865975881,0.15482640751644464,0.11629079164064647,0.023754742023614862,0.11936064463383642,0.13721419779189578
C1,no,Insulin,24.242424242424242,0.017825439921657176,0.052229817616127314,0.06414950941749836,0.1237438186529309,0.15482640750237434,0.11629079162115663,0.02375472765125107,0.11936064456935629,0.13721419777617747
C1,no,Insulin,24.747474747474747,0.01782543372169256,0.05222979901488703,0.06414947279367635,0.12374381866246091,0.15482640749242557,0.11629079160543214,0.02375471722882293,0.11936064440932725,0.13721419774677723
C1,no,Insulin,25.252525252525253,0.01782542934828713,0.05222978592889786,0.06414944703073329,0.1237438186922565,0.15482640748312507,0.1162907915892096,0.0237547098981226,0.1193606440958572,0.13721419769424759
C1,no,Insulin,25.757575757575758,0.01782542605531848,0.05222977613164359,0.06414942774949701,0.12374381876284384,0.15482640746529394,0.11629079156209945,0.023754704413111206,0.11936064339939441,0.13721419758332568
C1,no,Insulin,26.262626262626263,0.017825423618966278,0.052229768963518185,0.06414941365612215,0.12374381890536636,0.15482640742716922,0.11629079151375124,0.023754700406420037,0.11936064199594439,0.13721419736698356
C1,no,Insulin,26.767676767676768,0.017825421725676624,0.05222976351299323,0.06414940296793295,0.12374381920115979,0.15482640733867542,0.11629079141874828,0.023754697373077435,0.11936063904659402,0.13721419692433237
C1,no,Insulin,27.272727272727273,0.017825420230289157,0.05222975902058135,0.0641493941247999,0.12374381921355115,0.15482640733139524,0.1162907914118821,0.023754694856756384,0.11936063889754536,0.13721419690232967
C1,no,Insulin,27.77777777777778,0.01782541916653669,0.05222975567532193,0.06414938751659056,0.12374381906165047,0.15482640736934145,0.11629079145638069,0.023754692971773527,0.11936064036279187,0.1372141971245001
C1,no,Insulin,28.282828282828284,0.017825418494292592,0.052229753422959574,0.06414938304805358,0.12374381882479264,0.15482640742984843,0.11629079152772685,0.02375469169328024,0.11936064265917058,0.13721419747327449
C1,no,Insulin,28.78787878787879,0.01782541788029196,0.052229751480987456,0.06414937921122647,0.12374381873192697,0.1548264074520377,0.11629079155508183,0.02375469059870755,0.1193606435501851,0.13721419760927736
C1,no,Insulin,29.292929292929294,0.01782541749379022,0.052229750246817724,0.06414937677195896,0.12374381866677685,0.15482640746682774,0.11629079157442256,0.02375468990266578,0.11936064417168603,0.13721419770486756
C1,no,Insulin,29.7979797979798,0.017825416975130758,0.05222974858066373,0.06414937347752915,0.12374381856908806,0.15482640748930254,0.11629079160348518,0.023754688962320584,0.11936064510528824,0.1372141978482748
C1,no,Insulin,30.303030303030305,0.017825416953552803,0.05222974852829155,0.0641493733766517,0.12374381858507376,0.15482640748466753,0.11629079159866622,0.023754688934088695,0.11936064494742686,0.13721419782472966
C1,no,Insulin,30.80808080808081,0.017825416931974845,0.05222974847591936,0.06414937327577426,0.12374381860105947,0.15482640748003249,0.11629079159384725,0.023754688905856806,0.11936064478956547,0.13721419780118455
C1,no,Insulin,31.313131313131315,0.01782541692122481,0.0522297484481052,0.0641493732217737,0.1237438186065993,0.15482640747847212,0.11629079159219045,0.023754688890656742,0.11936064473512067,0.1372141977930409
C1,no,Insulin,31.81818181818182,0.017825416914206894,0.052229748428755586,0.06414937318393048,0.12374381860853871,0.15482640747797147,0.11629079159162357,0.023754688879948437,0.11936064471632112,0.13721419779020572
C1,no,Insulin,32.323232323232325,0.017825416907188984,0.05222974840940598,0.06414937314608725,0.12374381861047812,0.15482640747747084,0.11629079159105671,0.023754688869240127,0.11936064469752154,0.13721419778737057
C1,no,Insulin,32.82828282828283,0.01782541690017107,0.052229748390056376,0.06414937310824402,0.12374381861241752,0.15482640747697018,0.11629079159048983,0.02375468885853182,0.11936064467872197,0.1372141977845354
C1,no,Insulin,33.333333333333336,0.017825416893153156,0.05222974837070676,0.0641493730704008,0.12374381861435693,0.15482640747646956,0.11629079158992295,0.023754688847823512,0.1193606446599224,0.13721419778170024
C1,no,Insulin,33.83838383838384,0.01782541688839143,0.05222974835739038,0.06414937304432267,0.1237438186154487,0.15482640747619272,0.11629079158960647,0.023754688840437136,0.11936064464937084,0.13721419778010735
C1,no,Insulin,34.343434343434346,0.01782541688590419,0.05222974835015613,0.064149373030105,0.12374381861568597,0.15482640747614146,0.11629079158954239,0.023754688836399623,0.11936064464713418,0.13721419777976682
C1,no,Insulin,34.84848484848485,0.01782541688341695,0.05222974834292188,0.06414937301588733,0.12374381861592323,0.1548264074760902,0.11629079158947832,0.02375468883236211,0.11936064464489753,0.13721419777942628
C1,no,Insulin,35.35353535353536,0.01782541688092971,0.05222974833568763,0.06414937300166966,0.1237438186161605,0.1548264074760389,0.11629079158941424,0.023754688828324592,0.11936064464266087,0.13721419777908575
C1,no,Insulin,35.85858585858586,0.01782541687844247,0.05222974832845338,0.06414937298745199,0.12374381861639776,0.15482640747598764,0.11629079158935016,0.02375468882428708,0.11936064464042422,0.13721419777874524
C1,no,Insulin,36.36363636363637,0.01782541687654798,0.052229748322940736,0.06414937297661752,0.12374381861657602,0.1548264074759492,0.11629079158930208,0.023754688821210235,0.11936064463874434,0.13721419777848948
C1,no,Insulin,36.86868686868687,0.01782541687641021,0.05222974832253044,0.06414937297580979,0.12374381861657938,0.15482640747594875,0.1162907915893014,0.023754688820980547,0.11936064463871461,0.13721419777848495
C1,no,Insulin,37.37373737373738,0.01782541687627244,0.05222974832212015,0.06414937297500206,0.12374381861658275,0.1548264074759483,0.11629079158930074,0.02375468882075086,0.11936064463868488,0.1372141977784804
C1,no,Insulin,37.87878787878788,0.017825416876134672,0.05222974832170985,0.06414937297419432,0.12374381861658611,0.15482640747594784,0.11629079158930007,0.02375468882052117,0.11936064463865514,0.13721419777847585
C1,no,Insulin,38.38383838383839,0.0178254168759969,0.052229748321299556,0.06414937297338659,0.12374381861658947,0.1548264074759474,0.1162907915892994,0.023754688820291484,0.11936064463862542,0.13721419777847133
C1,no,Insulin,38.88888888888889,0.017825416875859132,0.05222974832088926,0.06414937297257886,0.12374381861659284,0.15482640747594695,0.11629079158929873,0.023754688820061796,0.11936064463859569,0.13721419777846677
C1,no,Insulin,39.3939393939394,0.01782541687572136,0.05222974832047896,0.06414937297177113,0.1237438186165962,0.15482640747594648,0.11629079158929806,0.023754688819832108,0.11936064463856597,0.13721419777846225
C1,no,Insulin,39.8989898989899,0.017825416875583592,0.05222974832006867,0.0641493729709634,0.12374381861659955,0.15482640747594603,0.1162907915892974,0.02375468881960242,0.11936064463853623,0.1372141977784577
C1,no,Insulin,40.40404040404041,0.017825416875445824,0.052229748319658376,0.06414937297015567,0.12374381861660293,0.1548264074759456,0.11629079158929671,0.023754688819372732,0.1193606446385065,0.13721419777845315
C1,no,Insulin,40.909090909090914,0.017825416875308052,0.05222974831924808,0.06414937296934795,0.12374381861660629,0.15482640747594512,0.11629079158929605,0.023754688819143045,0.11936064463847677,0.13721419777844862
C1,no,Insulin,41.41414141414142,0.017825416875170284,0.05222974831883778,0.06414937296854022,0.12374381861660964,0.15482640747594467,0.11629079158929538,0.02375468881891336,0.11936064463844703,0.13721419777844407
C1,no,Insulin,41.919191919191924,0.017825416875032515,0.052229748318427485,0.06414937296773249,0.12374381861661302,0.15482640747594423,0.11629079158929471,0.023754688818683672,0.11936064463841731,0.13721419777843955
C1,no,Insulin,42.42424242424243,0.017825416874894744,0.052229748318017195,0.06414937296692476,0.12374381861661637,0.15482640747594376,0.11629079158929403,0.023754688818453985,0.11936064463838758,0.137214197778435
C1,no,Insulin,42.929292929292934,0.017825416874756975,0.0522297483176069,0.06414937296611703,0.12374381861661973,0.1548264074759433,0.11629079158929337,0.023754688818224297,0.11936064463835784,0.13721419777843044
C1,no,Insulin,43.43434343434344,0.017825416874619207,0.0522297483171966,0.0641493729653093,0.1237438186166231,0.15482640747594287,0.1162907915892927,0.02375468881799461,0.11936064463832811,0.13721419777842592
C1,no,Insulin,43.939393939393945,0.017825416874481435,0.052229748316786305,0.06414937296450157,0.12374381861662646,0.15482640747594242,0.11629079158929202,0.02375468881776492,0.11936064463829839,0.13721419777842137
C1,no,Insulin,44.44444444444445,0.017825416874343667,0.05222974831637601,0.06414937296369384,0.12374381861662982,0.15482640747594195,0.11629079158929136,0.023754688817535233,0.11936064463826865,0.1372141977784168
C1,no,Insulin,44.949494949494955,0.017825416874205895,0.05222974831596571,0.06414937296288611,0.12374381861663318,0.1548264074759415,0.11629079158929069,0.023754688817305546,0.11936064463823892,0.1372141977784123
C1,no,Insulin,45.45454545454546,0.017825416874068127,0.05222974831555542,0.06414937296207839,0.12374381861663655,0.15482640747594106,0.11629079158929002,0.023754688817075858,0.1193606446382092,0.13721419777840774
C1,no,Insulin,45.959595959595966,0.01782541687393036,0.052229748315145125,0.06414937296127066,0.12374381861663991,0.1548264074759406,0.11629079158928934,0.02375468881684617,0.11936064463817947,0.1372141977784032
C1,no,Insulin,46.46464646464647,0.017825416873792587,0.05222974831473483,0.06414937296046293,0.12374381861664327,0.15482640747594015,0.11629079158928868,0.023754688816616482,0.11936064463814973,0.13721419777839866
C1,no,Insulin,46.969696969696976,0.01782541687365482,0.05222974831432453,0.0641493729596552,0.12374381861664664,0.1548264074759397,0.11629079158928801,0.023754688816386794,0.11936064463812,0.1372141977783941
C1,no,Insulin,47.47474747474748,0.01782541687351705,0.052229748313914234,0.06414937295884747,0.12374381861665,0.15482640747593923,0.11629079158928733,0.023754688816157107,0.11936064463809028,0.13721419777838958
C1,no,Insulin,47.979797979797986,0.01782541687337928,0.052229748313503944,0.06414937295803974,0.12374381861665336,0.1548264074759388,0.11629079158928667,0.02375468881592742,0.11936064463806054,0.13721419777838503
C1,no,Insulin,48.484848484848484,0.01782541687324151,0.05222974831309365,0.06414937295723201,0.12374381861665673,0.15482640747593834,0.116290791589286,0.02375468881569773,0.11936064463803081,0.1372141977783805
C1,no,Insulin,48.98989898989899,0.017825416873103742,0.05222974831268335,0.06414937295642428,0.12374381861666009,0.1548264074759379,0.11629079158928533,0.023754688815468043,0.11936064463800108,0.13721419777837596
C1,no,Insulin,49.494949494949495,0.01782541687296597,0.052229748312273054,0.06414937295561655,0.12374381861666345,0.15482640747593743,0.11629079158928465,0.023754688815238355,0.11936064463797134,0.1372141977783714
C1,no,Insulin,50.0,0.017825416872828202,0.05222974831186276,0.06414937295480883,0.12374381861666682,0.15482640747593698,0.11629079158928399,0.023754688815008668,0.11936064463794162,0.13721419777836688
