,,,Slide ID,a,e,g,f,b,d,c
,,,Antibody Name,a,e,g,f,b,d,c
,,,HUGO ID,a,e,g,f,b,d,c
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.7543495972821704,0.45052868454826644,0.8775579692446179,0.20545348239005212,0.7304625157681621,0.29824490534131687,0.6391043873579343
C1,no,Insulin,0.5050505050505051,0.5305823679822551,0.25441171928925366,0.6329422093751282,0.1910158623863229,0.4513928446388361,0.22720141378407294,0.29037962310550114
C1,no,Insulin,1.0101010101010102,0.3793345159309533,0.15498221375973917,0.47198367259248675,0.1662003705334933,0.2926867632395239,0.1780002639772053,0.15251190512585797
C1,no,Insulin,1.5151515151515151,0.2766456088975431,0.10202054898287825,0.36450786533711166,0.1406573355401532,0.20049993757339477,0.14317634611007934,0.09288661873115632
C1,no,Insulin,2.0202020202020203,0.207177669652958,0.07229613989489586,0.29226912585664666,0.11862305838798538,0.14617476154522474,0.11888705932567072,0.06406392437381754
C1,no,Insulin,2.5252525252525255,0.160302287713621,0.0547490216214723,0.2434376612366851,0.10111215636040491,0.11355616067710805,0.10210063552402532,0.04847122569396615
C1,no,Insulin,3.0303030303030303,0.12861277817268008,0.04391012867024588,0.21014504434683123,0.08773508619945533,0.093434338484409,0.09043038333264718,0.03920411337161799
C1,no,Insulin,3.5353535353535355,0.1070628793838155,0.0369517006299048,0.18718503001728157,0.07770197335374568,0.08060440637011235,0.08218968037538137,0.03330809873538226
C1,no,Insulin,4.040404040404041,0.0922851876598284,0.03234070105961306,0.17114884657264243,0.07023711783586059,0.07214043959460224,0.07626956579556793,0.02938124195173932
C1,no,Insulin,4.545454545454546,0.08205622397140037,0.029206453868329783,0.15981115173719335,0.06470123591508814,0.06638341744419182,0.07195677558086314,0.02668556043192842
C1,no,Insulin,5.050505050505051,0.07490946354030124,0.027032651430228104,0.151709442599914,0.060600936549282836,0.0623697358046499,0.06878549463877663,0.024796799288007643
C1,no,Insulin,5.555555555555556,0.06987242753441604,0.02550102801943591,0.14586933509738462,0.05756526950608451,0.05951927425883916,0.06644108740977779,0.023454274270311628
C1,no,Insulin,6.0606060606060606,0.06629437083776406,0.024408615708505818,0.1416305244434884,0.05531813198751738,0.05746810182341115,0.06470338058109575,0.022490018343333234
C1,no,Insulin,6.565656565656566,0.06373513900101146,0.023622119710868406,0.13853775763140966,0.053654763145588216,0.055978602545539144,0.06341402108679954,0.0217920726440757
C1,no,Insulin,7.070707070707071,0.06189374007641268,0.02305181415973384,0.136272265737622,0.052423507072293776,0.05489026533381493,0.06245713014630786,0.021283950856829204
C1,no,Insulin,7.575757575757576,0.060562102151072196,0.02263602536647999,0.13460786388569027,0.051512079694835566,0.05409169056163473,0.06174708317599766,0.020912401693751668
C1,no,Insulin,8.080808080808081,0.05959497888570648,0.02233164904220163,0.1333823912817068,0.050837368476511026,0.05350404814744632,0.06122034849268003,0.020639818646233515
C1,no,Insulin,8.585858585858587,0.058890066188233975,0.022108147759081608,0.13247863066603882,0.050337859809536235,0.05307076890647802,0.06082971021165052,0.020439342866267828
C1,no,Insulin,9.090909090909092,0.05837473577076646,0.02194365583350335,0.13181132570060067,0.04996803092869465,0.05275086573552916,0.060540074653522395,0.020291623915868272
C1,no,Insulin,9.595959595959597,0.05799706247411532,0.021822384703767038,0.1313181676539354,0.04969419043910912,0.052514440780138213,0.060325366109334484,0.020182624609383634
C1,no,Insulin,10.101010101010102,0.057719717427823225,0.021732866111135018,0.1309534776391683,0.049491412831552326,0.05233959466453953,0.060166228227519464,0.020102113563197885
C1,no,Insulin,10.606060606060607,0.05751570726556694,0.021666723530667543,0.13068365856626582,0.049341246039934866,0.05221022527724158,0.060048291676182045,0.020042598570373184
C1,no,Insulin,11.111111111111112,0.05736544363263389,0.021617820734500554,0.13048396771848536,0.04923003730140057,0.052114474692257946,0.05996089985528812,0.019998580692390647
C1,no,Insulin,11.616161616161618,0.057254626946787665,0.021581640656205776,0.13033612220358978,0.04914766618966923,0.05204358046044436,0.059896140374983524,0.019966006598449937
C1,no,Insulin,12.121212121212121,0.05717283699295236,0.021554865505437337,0.1302266472055259,0.04908665494672612,0.05199108329231161,0.059848153993363386,0.019941895261326
C1,no,Insulin,12.626262626262626,0.057112423310612816,0.02153504400945179,0.13014557119237474,0.049041461970765886,0.05195220338219197,0.05981259925319394,0.01992404346914621
C1,no,Insulin,13.131313131313131,0.05706777508520162,0.021520367869171178,0.13008552252353886,0.04900798581070131,0.05192340640157874,0.05978625503035715,0.019910824148687337
C1,no,Insulin,13.636363636363637,0.057034760009634845,0.021509498996938565,0.1300410417098661,0.04898318664725543,0.051902074905541266,0.05976673483666075,0.019901033209312725
C1,no,Insulin,14.141414141414142,0.057010336842821537,0.02150144872361058,0.13000809131893934,0.04896481481217896,0.051886272607936074,0.059752274870340176,0.019893781772273182
C1,no,Insulin,14.646464646464647,0.05699226577574871,0.021495486039866313,0.12998368115343203,0.0489512045655711,0.05187456558238493,0.05974155820681265,0.01988841009818137
C1,no,Insulin,15.151515151515152,0.05697889191418408,0.021491068917590943,0.1299655995288884,0.04894112286673164,0.051865895393969325,0.05973362033816299,0.019884429724974898
C1,no,Insulin,15.656565656565657,0.05696898975667912,0.02148779672478991,0.129952201827777,0.048933652388285086,0.05185946964083437,0.05972773914439484,0.01988148224740393
C1,no,Insulin,16.161616161616163,0.0569616584031775,0.021485372676379972,0.1299422758578078,0.04892811791997417,0.05185470890822903,0.059723380239675605,0.019879298440459683
C1,no,Insulin,16.666666666666668,0.05695623003331583,0.021483576962099644,0.12993492280100277,0.048924018044404945,0.051851182360394224,0.05972015131439833,0.019877680611192074
C1,no,Insulin,17.171717171717173,0.05695220997594572,0.021482246621214507,0.1299294752588787,0.04892098064291409,0.05184856972689669,0.059717759158011134,0.01987648204140462
C1,no,Insulin,17.67676767676768,0.056949232764543174,0.02148126108171102,0.12992543959043562,0.048918730475790845,0.05184663424908326,0.05971598698297039,0.01987559410329347
C1,no,Insulin,18.181818181818183,0.05694702748377814,0.021480530894480473,0.1299224495260871,0.04891706331561007,0.05184520023996711,0.059714673945120325,0.019874936223269322
C1,no,Insulin,18.68686868686869,0.05694539358499211,0.02147998978953004,0.1299202337253715,0.04891582786514788,0.051844137565209336,0.05971370090812908,0.019874448697764637
C1,no,Insulin,19.191919191919194,0.05694418165909299,0.021479588375956385,0.12991858991408595,0.048914911341535805,0.05184334919407666,0.059712979018608815,0.01987408703708931
C1,no,Insulin,19.6969696969697,0.05694328328830506,0.021479290786353442,0.12991737121894123,0.04891423185234622,0.05184276468615226,0.059712443772263854,0.01987381892594157
C1,no,Insulin,20.202020202020204,0.05694262061950973,0.021479071237983555,0.12991647212477397,0.04891373056109058,0.05184233347321963,0.05971204889368723,0.019873621120205166
C1,no,Insulin,20.70707070707071,0.05694213028598279,0.021478908753191393,0.12991580681229467,0.04891335960887173,0.05184201443740804,0.05971175678920695,0.01987347470587146
C1,no,Insulin,21.212121212121215,0.05694176607937572,0.02147878804616808,0.12991531266234987,0.0489130840808912,0.05184177752907743,0.05971153994503891,0.019873365919745326
C1,no,Insulin,21.71717171717172,0.056941495644739167,0.02147869842865248,0.12991494574698223,0.048912879496910956,0.05184160159355023,0.05971137890745163,0.019873285165588204
C1,no,Insulin,22.222222222222225,0.05694129560212811,0.021478632178926645,0.12991467424173792,0.04891272813385541,0.051841471266168705,0.0597112594688096,0.019873225521129845
C1,no,Insulin,22.72727272727273,0.056941147848549825,0.021478583311003416,0.12991447356382096,0.048912616294438174,0.051841374724550235,0.0597111707429209,0.019873181602814798
C1,no,Insulin,23.232323232323235,0.05694103836633049,0.021478547170444288,0.12991432471554032,0.048912533382072,0.0518413028924881,0.05971110444708737,0.01987314920332675
C1,no,Insulin,23.73737373737374,0.056940956579149826,0.021478520198168396,0.12991421350141547,0.04891247144521474,0.051841249156930634,0.05971105476926667,0.019873125047249723
C1,no,Insulin,24.242424242424242,0.05694089547917145,0.021478499994365286,0.1299141305359071,0.04891242520920747,0.05184120924738551,0.05971101807886316,0.01987310688880008
C1,no,Insulin,24.747474747474747,0.0569408492713848,0.021478484548214674,0.12991406806270547,0.04891239030601738,0.05184117969648909,0.05971099149477009,0.01987309282241182
C1,no,Insulin,25.252525252525253,0.056940817439120356,0.02147847369254207,0.12991402535885962,0.04891236633763879,0.051841160139558626,0.05971097465009473,0.01987308270216118
C1,no,Insulin,25.757575757575758,0.056940793142385746,0.021478465456196912,0.1299139926469918,0.04891234801034163,0.05184114499149519,0.05971096137694187,0.019873075078212062
C1,no,Insulin,26.262626262626263,0.05694077473204947,0.021478459520202716,0.12991396740883338,0.048912334021530286,0.05184113239377607,0.059710949288301424,0.019873069912915594
C1,no,Insulin,26.767676767676768,0.05694076128749604,0.02147845510197483,0.12991394910056633,0.048912323833431595,0.0518411234996528,0.059710941013027465,0.019873065973669283
C1,no,Insulin,27.272727272727273,0.05694075139119999,0.021478451816880455,0.1299139356720124,0.0489123163450202,0.05184111707330241,0.05971093513788541,0.01987306300783619
C1,no,Insulin,27.77777777777778,0.056940744054252077,0.02147844938516988,0.12991392571177413,0.0489123107921421,0.051841112295625935,0.05971093076035079,0.019873060816912536
C1,no,Insulin,28.282828282828284,0.05694073857528955,0.02147844756831673,0.12991391827550478,0.04891230664584812,0.0518411087315157,0.0597109274983194,0.019873059178960147
C1,no,Insulin,28.78787878787879,0.05694073451076149,0.021478446219457627,0.12991391276071398,0.048912303570354934,0.05184110609150281,0.059710925085859116,0.01987305796180161
C1,no,Insulin,29.292929292929294,0.056940731603658264,0.021478445253296098,0.12991390881856746,0.04891230137115992,0.05184110420857084,0.05971092337012808,0.019873057088443957
C1,no,Insulin,29.7979797979798,0.056940729463285884,0.0214784445401612,0.12991390591878868,0.04891229975259099,0.05184110282885208,0.0597109221188123,0.019873056441829753
C1,no,Insulin,30.303030303030305,0.05694072789732627,0.0214784440159952,0.12991390380062356,0.04891229856918572,0.05184110182819076,0.059710921218771223,0.019873055963849275
C1,no,Insulin,30.80808080808081,0.056940726727516114,0.021478443621462725,0.1299139022223158,0.0489122976860997,0.05184110109135636,0.05971092056486279,0.019873055600721525
C1,no,Insulin,31.313131313131315,0.05694072584301866,0.021478443321874163,0.12991390103048617,0.04891229701880298,0.051841100538752155,0.0597109200775784,0.01987305532346198
C1,no,Insulin,31.81818181818182,0.05694072505349389,0.02147844305660892,0.1299138999637343,0.04891229642246045,0.05184110003771621,0.0597109196293666,0.019873055080390275
C1,no,Insulin,32.323232323232325,0.056940724340833346,0.021478442819853078,0.12991389899727998,0.04891229588330748,0.05184109957580667,0.05971091920849232,0.019873054866504904
C1,no,Insulin,32.82828282828283,0.05694072378292052,0.02147844263661197,0.1299138982377011,0.04891229546054501,0.05184109920653526,0.05971091886542736,0.019873054703317027
C1,no,Insulin,33.333333333333336,0.056940723379755406,0.021478442506885586,0.12991389768499761,0.04891229515417305,0.051841098929902005,0.059710918600171733,0.019873054590826646
C1,no,Insulin,33.83838383838384,0.056940723131338,0.02147844243067393,0.12991389733916953,0.0489122949641916,0.051841098745906894,0.059710918412725425,0.019873054529033755
C1,no,Insulin,34.343434343434346,0.056940723037668305,0.021478442407977007,0.12991389720021687,0.04891229489060065,0.05184109865454992,0.05971091830308844,0.019873054517938357
C1,no,Insulin,34.84848484848485,0.05694072285810662,0.021478442352142385,0.12991389695129418,0.04891229475351982,0.05184109852426911,0.05971091817238116,0.01987305447175987
C1,no,Insulin,35.35353535353536,0.05694072269687197,0.021478442300698498,0.12991389672962456,0.048912294630853774,0.05184109841204285,0.05971091806342751,0.019873054427649132
C1,no,Insulin,35.85858585858586,0.05694072260058652,0.021478442270433624,0.12991389659659444,0.04891229455745303,0.05184109834336031,0.0597109179953847,0.019873054402225507
C1,no,Insulin,36.36363636363637,0.05694072256925028,0.021478442261347756,0.1299138965522039,0.04891229453331758,0.05184109831822148,0.05971091796825272,0.019873054395488997
C1,no,Insulin,36.86868686868687,0.05694072260286324,0.021478442273440895,0.12991389659645286,0.04891229455844743,0.05184109833662636,0.059710917982031576,0.0198730544074396
C1,no,Insulin,37.37373737373738,0.056940722439043315,0.021478442223465604,0.12991389636793463,0.048912294433074203,0.05184109821423682,0.05971091785632884,0.019873054367235233
C1,no,Insulin,37.87878787878788,0.05694072251502805,0.021478442248145387,0.12991389647177753,0.04891229449074102,0.05184109826553516,0.059710917904844084,0.01987305438890227
C1,no,Insulin,38.38383838383839,0.05694072259101277,0.021478442272825173,0.12991389657562044,0.04891229454840783,0.05184109831683349,0.059710917953359324,0.019873054410569305
C1,no,Insulin,38.88888888888889,0.056940722666997505,0.02147844229750496,0.12991389667946335,0.04891229460607464,0.051841098368131826,0.059710918001874565,0.01987305443223634
C1,no,Insulin,39.3939393939394,0.05694072274298223,0.021478442322184745,0.12991389678330623,0.04891229466374145,0.051841098419430166,0.059710918050389805,0.019873054453903374
C1,no,Insulin,39.8989898989899,0.05694072281896696,0.02147844234686453,0.12991389688714913,0.04891229472140826,0.0518410984707285,0.059710918098905046,0.01987305447557041
C1,no,Insulin,40.40404040404041,0.05694072287614466,0.021478442365445445,0.1299138969652763,0.04891229476479878,0.05184109850929493,0.05971091813535086,0.019873054491894186
C1,no,Insulin,40.909090909090914,0.05694072288358122,0.021478442367895964,0.12991389697539016,0.04891229477043113,0.051841098514187785,0.05971091813987526,0.01987305449408601
C1,no,Insulin,41.41414141414142,0.05694072289101777,0.021478442370346486,0.12991389698550398,0.04891229477606348,0.05184109851908064,0.059710918144399654,0.019873054496277836
C1,no,Insulin,41.919191919191924,0.05694072289845433,0.021478442372797005,0.1299138969956178,0.04891229478169583,0.0518410985239735,0.05971091814892405,0.01987305449846966
C1,no,Insulin,42.42424242424243,0.05694072290589089,0.021478442375247524,0.12991389700573167,0.04891229478732818,0.051841098528866356,0.05971091815344844,0.019873054500661482
C1,no,Insulin,42.929292929292934,0.05694072291332745,0.021478442377698043,0.1299138970158455,0.048912294792960526,0.05184109853375921,0.05971091815797284,0.01987305450285331
C1,no,Insulin,43.43434343434344,0.056940722920764006,0.021478442380148562,0.12991389702595932,0.048912294798592874,0.05184109853865207,0.05971091816249723,0.019873054505045132
