,,,Slide ID,c,d,e,a,f,b
,,,Antibody Name,c,d,e,a,f,b
,,,HUGO ID,c,d,e,a,f,b
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,37.37373737373738,0.24788930666175668,0.2183280027006809,0.187865066854096,0.21265343859226774,0.22550740474068584,0.15210300740592733
C1,no,Insulin,37.87878787878788,0.24788930666811426,0.21832800270435435,0.18786506685409518,0.21265343859226776,0.2255074047406857,0.15210300740863072
C1,no,Insulin,38.38383838383839,0.24788930667447187,0.21832800270802777,0.18786506685409435,0.2126534385922678,0.2255074047406856,0.15210300741133415
C1,no,Insulin,38.88888888888889,0.24788930668082945,0.2183280027117012,0.18786506685409352,0.2126534385922678,0.22550740474068545,0.15210300741403757
C1,no,Insulin,39.3939393939394,0.24788930668718706,0.21832800271537461,0.18786506685409268,0.21265343859226782,0.2255074047406853,0.152103007416741
C1,no,Insulin,39.8989898989899,0.24788930669354467,0.21832800271904804,0.18786506685409185,0.21265343859226785,0.2255074047406852,0.1521030074194444
C1,no,Insulin,40.40404040404041,0.24788930669990225,0.2183280027227215,0.18786506685409102,0.21265343859226785,0.22550740474068506,0.15210300742214783
C1,no,Insulin,40.909090909090914,0.24788930670625986,0.2183280027263949,0.18786506685409018,0.21265343859226787,0.22550740474068492,0.15210300742485125
C1,no,Insulin,41.41414141414142,0.24788930671261744,0.21832800273006833,0.18786506685408935,0.21265343859226787,0.2255074047406848,0.15210300742755464
C1,no,Insulin,41.919191919191924,0.24788930671886206,0.2183280027336765,0.1878650668540885,0.2126534385922679,0.22550740474068467,0.15210300743021002
C1,no,Insulin,42.42424242424243,0.24788930671901357,0.2183280027337639,0.1878650668540885,0.2126534385922679,0.22550740474068467,0.15210300743027436
C1,no,Insulin,42.929292929292934,0.2478893067191651,0.21832800273385128,0.1878650668540885,0.2126534385922679,0.22550740474068467,0.15210300743033867
C1,no,Insulin,43.43434343434344,0.2478893067193166,0.21832800273393868,0.1878650668540885,0.2126534385922679,0.22550740474068465,0.152103007430403
C1,no,Insulin,43.939393939393945,0.24788930671946813,0.21832800273402608,0.18786506685408846,0.2126534385922679,0.22550740474068465,0.15210300743046734
C1,no,Insulin,44.44444444444445,0.24788930671961965,0.21832800273411349,0.18786506685408846,0.2126534385922679,0.22550740474068465,0.15210300743053165
C1,no,Insulin,44.949494949494955,0.24788930671977116,0.2183280027342009,0.18786506685408846,0.2126534385922679,0.22550740474068465,0.152103007430596
C1,no,Insulin,45.45454545454546,0.24788930671992268,0.2183280027342883,0.18786506685408846,0.2126534385922679,0.22550740474068465,0.1521030074306603
C1,no,Insulin,45.959595959595966,0.2478893067200742,0.2183280027343757,0.18786506685408844,0.21265343859226793,0.22550740474068465,0.15210300743072463
C1,no,Insulin,46.46464646464647,0.24788930672022572,0.2183280027344631,0.18786506685408844,0.21265343859226793,0.22550740474068465,0.15210300743078894
C1,no,Insulin,46.969696969696976,0.24788930672037723,0.2183280027345505,0.18786506685408844,0.21265343859226793,0.22550740474068465,0.15210300743085328
C1,no,Insulin,47.47474747474748,0.24788930672052875,0.2183280027346379,0.18786506685408844,0.21265343859226793,0.22550740474068465,0.1521030074309176
C1,no,Insulin,47.979797979797986,0.24788930672068027,0.2183280027347253,0.1878650668540884,0.21265343859226793,0.22550740474068465,0.15210300743098193
C1,no,Insulin,48.484848484848484,0.2478893067208318,0.2183280027348127,0.1878650668540884,0.21265343859226793,0.22550740474068465,0.15210300743104624
C1,no,Insulin,48.98989898989899,0.24788930672098328,0.2183280027349001,0.1878650668540884,0.21265343859226793,0.22550740474068465,0.15210300743111058
C1,no,Insulin,49.494949494949495,0.2478893067211348,0.2183280027349875,0.1878650668540884,0.21265343859226793,0.22550740474068465,0.15210300743117489
C1,no,Insulin,50.0,0.2478893067212863,0.2183280027350749,0.18786506685408838,0.21265343859226793,0.22550740474068465,0.15210300743123922
