NON $ % + - . 0 1
#NON	g	e	c	f	d	a	b
0.0	0.9372794586320551	0.01767250477004345	0.4200468468966819	0.10530296558183261	0.3998447675578204	0.76492023418285	0.7976521192526952
0.5050505050505051	0.5392568596041704	0.10494536970798424	0.18608526467654193	0.09899082178780241	0.32723443431136373	0.32483170665306776	0.38361914783978285
1.0101010101010102	0.352377640683323	0.11321057696044197	0.09534942178685514	0.0874108951474701	0.2727953133444737	0.17698063719360874	0.23242943958782827
1.5151515151515151	0.2613992680523295	0.10479767498846587	0.0578571723310321	0.07547569134097358	0.23406705579148882	0.12389489318733882	0.17321307188392332
2.0202020202020203	0.21446816398161264	0.09665271107653045	0.041206244150292934	0.06529087517929189	0.20871163711091786	0.10193140909747798	0.14663756527578015
2.5252525252525255	0.18834928806149748	0.09119811661797665	0.03324179073885369	0.057385718177126975	0.19283420109046456	0.09076195618248883	0.1323127272968372
3.0303030303030303	0.17260273192072864	0.08767642875905333	0.02913359034313399	0.05155692263397771	0.182866073603339	0.08389938234869669	0.1232446041952977
3.5353535353535355	0.16244094971670064	0.08527459847669745	0.02684487983148311	0.04737130621917901	0.1763991562662237	0.07918964243483208	0.11694024696514721
4.040404040404041	0.15555939304723665	0.08354012330103465	0.02547120578101171	0.044400299096566294	0.17202511606910356	0.07581032521526951	0.11238631178538709
4.545454545454546	0.15075849092164936	0.08224989587656147	0.02459163214307717	0.042297860789731766	0.16896036906217188	0.07335652642059808	0.10906342875286246
5.050505050505051	0.1473524819517928	0.08128357355599766	0.02399988347218559	0.040807976900200146	0.16676234641298476	0.07157395070261434	0.10663959335375524
5.555555555555556	0.1449141782385227	0.08056285428952996	0.023588200043183728	0.03974867718408629	0.16516602327802965	0.07028169547743542	0.10487645778573182
6.0606060606060606	0.14316021570402104	0.08002919162629554	0.023295846087378193	0.03899267968288959	0.1640004936288447	0.06934654359626037	0.10359708144961641
6.565656565656566	0.14189518732025783	0.07963668970003242	0.023085822570209965	0.03845125538129286	0.16314839430250133	0.06867041251076736	0.10267016092977908
7.070707070707071	0.14098138777480843	0.07934949265032974	0.022934037848497877	0.03806236103043451	0.16252580515727186	0.06818164854668178	0.10199909213046046
7.575757575757576	0.1403206584510177	0.07914009245982086	0.02282403296466149	0.03778237357008158	0.16207149153010147	0.06782825168553722	0.1015133570175454
8.080808080808081	0.13984260012749647	0.07898776487143902	0.02274421638571668	0.03758043377941381	0.1617404284702618	0.06757263291457423	0.1011617483387248
8.585858585858587	0.1394965451184226	0.07887711203407409	0.022686285279930832	0.03743458892742012	0.1614994759475954	0.06738765913249874	0.10090717847143318
9.090909090909092	0.1392459569234813	0.07879680087319649	0.022644240372410265	0.037329152358492754	0.16132428343796268	0.06725375469201499	0.10072282496653667
9.595959595959597	0.13906445591092098	0.07873854106504022	0.02261373240037875	0.03725287446727582	0.16119700650883678	0.0671567906605223	0.10058929486046603
