NON $ % + - . 0 1 2
#NON	b	e	f	d	h	a	c	g
19.6969696969697	0.1981020184459486	0.0013558163542455668	0.14777419513236673	0.11924344636555363	0.10905004763372343	0.14158826413194472	0.13690465485738462	0.14104140366802717
20.202020202020204	0.1981020182347859	0.0013557949047737596	0.14777419501461755	0.1192434459585368	0.10905004751815227	0.14158826418246703	0.1369046546879993	0.1410414035839061
20.70707070707071	0.19810201809386258	0.0013557801516944192	0.14777419498761146	0.11924344592049874	0.10905004748654049	0.14158826415759784	0.13690465462359183	0.14104140351439592
21.212121212121215	0.19810201799740307	0.001355769161038465	0.1477741949733928	0.11924344590120707	0.10905004746942201	0.14158826414259093	0.13690465458479747	0.14104140346495564
21.71717171717172	0.19810201795275031	0.001355762847654477	0.14777419499912564	0.11924344602491131	0.10905004749083949	0.14158826410642797	0.13690465459869633	0.14104140343287552
22.222222222222225	0.19810201791300278	0.0013557570444624216	0.14777419499644373	0.11924344601721468	0.10905004748745217	0.1415882641044351	0.1369046545871612	0.1410414034109695
22.72727272727273	0.19810201790743584	0.001355754423378834	0.14777419501493527	0.11924344608197777	0.1090500475048193	0.14158826409350742	0.13690465460534393	0.1410414034019844
23.232323232323235	0.19810201791749996	0.001355753464292649	0.14777419504004688	0.11924344616951348	0.10905004752876432	0.1415882640800504	0.13690465463387563	0.14104140339993895
23.73737373737374	0.19810201793124152	0.0013557530910980626	0.1477741950529823	0.11924344620342198	0.10905004754194889	0.1415882640798655	0.13690465465157728	0.14104140340334667
24.242424242424242	0.1981020179424908	0.0013557527894437573	0.14777419505121725	0.11924344617725526	0.10905004754172419	0.14158826409266326	0.13690465465422796	0.14104140340957538
24.747474747474747	0.19810201796178759	0.001355753516035749	0.14777419506162776	0.1192434462044114	0.10905004755249932	0.14158826409309747	0.13690465467026416	0.14104140341716387
25.252525252525253	0.19810201797116322	0.0013557537177847196	0.1477741950609294	0.11924344619381703	0.10905004755251954	0.14158826409857175	0.13690465467240506	0.14104140342265312
25.757575757575758	0.1981020179676885	0.0013557531209930174	0.14777419504841136	0.11924344614392167	0.10905004754100009	0.14158826410878367	0.13690465465917748	0.14104140342461194
26.262626262626263	0.19810201797001506	0.0013557531527076249	0.14777419504398417	0.11924344612610231	0.1090500475370047	0.1415882641126946	0.13690465465528692	0.1410414034274669
26.767676767676768	0.19810201796626165	0.0013557528337405516	0.14777419503838302	0.11924344610855724	0.10905004753151523	0.14158826411445563	0.13690465464840107	0.14104140342735685
27.272727272727273	0.19810201796012356	0.001355752201106667	0.1477741950363829	0.11924344610515826	0.10905004752928824	0.14158826411318243	0.13690465464461254	0.14104140342468952
27.77777777777778	0.19810201794973675	0.0013557516173804125	0.14777419502879796	0.11924344608561471	0.10905004752149414	0.1415882641129116	0.1369046546337041	0.14104140342155294
28.282828282828284	0.19810201794103	0.0013557510588445133	0.14777419502476663	0.11924344607726023	0.10905004751716613	0.14158826411144157	0.13690465462700802	0.14104140341810123
28.78787878787879	0.19810201793400328	0.0013557505254989692	0.1477741950242889	0.11924344608009482	0.1090500475163042	0.1415882641087724	0.1369046546245243	0.14104140341433438
29.292929292929294	0.1981020179265814	0.001355750141248911	0.14777419501759423	0.11924344606155109	0.10905004750953741	0.14158826410935982	0.1369046546154066	0.14104140341253066
29.7979797979798	0.19810201792039533	0.0013557498087095467	0.1477741950123619	0.11924344604722578	0.10905004750423095	0.14158826410970174	0.13690465460817974	0.1410414034108994
30.303030303030305	0.19810201791546492	0.0013557495267009503	0.1477741950086849	0.11924344603742904	0.10905004750047408	0.14158826410975578	0.13690465460294704	0.14104140340941898
30.80808080808081	0.19810201791179013	0.001355749295223122	0.1477741950065633	0.11924344603216086	0.1090500474982668	0.1415882641095219	0.13690465459970844	0.14104140340808932
31.313131313131315	0.198102017909371	0.0013557491142760615	0.1477741950059971	0.11924344603142126	0.1090500474976091	0.14158826410900013	0.136904654598464	0.1410414034069105
31.81818181818182	0.19810201790820745	0.0013557489838597692	0.14777419500698624	0.11924344603521021	0.109050047498501	0.14158826410819045	0.13690465459921367	0.14104140340588245
32.323232323232325	0.1981020179082995	0.0013557489039742448	0.14777419500953076	0.11924344604352773	0.10905004750094248	0.14158826410709288	0.1369046546019575	0.1410414034050052
32.82828282828283	0.19810201790964724	0.0013557488746194883	0.14777419501363068	0.11924344605637381	0.10905004750493355	0.14158826410570738	0.13690465460669546	0.14104140340427876
33.333333333333336	0.19810201791185955	0.001355748882321455	0.14777419501867625	0.11924344607190525	0.1090500475098729	0.14158826410419073	0.13690465461267476	0.14104140340370136
33.83838383838384	0.198102017911157	0.0013557487968396955	0.1477741950187742	0.11924344607230553	0.10905004750994825	0.14158826410405803	0.1369046546126193	0.14104140340325616
34.343434343434346	0.1981020179108055	0.0013557487307180904	0.1477741950190171	0.11924344607297031	0.1090500475101821	0.14158826410400002	0.13690465461281656	0.14104140340295773
34.84848484848485	0.19810201791080512	0.001355748683956639	0.1477741950194049	0.11924344607389963	0.1090500475105745	0.14158826410401673	0.13690465461326654	0.14104140340280605
35.35353535353536	0.19810201791115578	0.001355748656555342	0.1477741950199376	0.11924344607509345	0.10905004751112542	0.14158826410410816	0.13690465461396922	0.14104140340280114
35.85858585858586	0.19810201791185753	0.0013557486485141987	0.14777419502061523	0.11924344607655178	0.10905004751183486	0.1415882641042743	0.13690465461492465	0.141041403402943
36.36363636363637	0.19810201791291032	0.0013557486598332095	0.1477741950214378	0.11924344607827464	0.10905004751270282	0.14158826410451514	0.13690465461613277	0.1410414034032316
36.86868686868687	0.19810201791431423	0.0013557486905123744	0.14777419502240527	0.11924344608026201	0.10905004751372932	0.1415882641048307	0.13690465461759363	0.141041403403667
37.37373737373738	0.19810201791606918	0.0013557487405516933	0.14777419502351766	0.11924344608251389	0.10905004751491434	0.14158826410522093	0.1369046546193072	0.14104140340424912
37.87878787878788	0.1981020179184013	0.0013557486836167096	0.14777419502659067	0.1192434460895649	0.1090500475180881	0.14158826410568368	0.13690465462340962	0.14104140340438193
38.38383838383839	0.1981020179188514	0.0013557487119607828	0.14777419502654077	0.11924344608925333	0.10905004751805816	0.1415882641058145	0.13690465462346935	0.14104140340466867
38.88888888888889	0.19810201791930154	0.001355748740304856	0.14777419502649086	0.11924344608894175	0.10905004751802823	0.14158826410594533	0.13690465462352905	0.1410414034049554
