-1,Prediction vs Aggregated Network,,,,,,,,,,,,,,
0,Networkname,Nodes,Timepoints,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC,Runtime_in_sec.,,
15,UACC812_mainInsulin,45,108,6,1749,129,286,0.0444444444,0.0205479452,0.8087557604,0.4759289247,-0.0680167092,,,
16,UACC812_mainIGF1,45,109,9,1774,126,273,0.0666666667,0.0319148936,0.8171402383,0.4827995521,-0.0479010796,,,
17,BT20_mainFGF1,48,82,14,1857,130,746,0.0972222222,0.0184210526,0.6811066618,0.4764978942,-0.0943461477,,,
18,BT20_mainNRG1,48,77,27,1841,115,690,0.1901408451,0.0376569038,0.6988402544,0.4894317239,-0.0417530212,,,
19,BT20_mainPBS,48,77,18,1856,124,597,0.1267605634,0.0292682927,0.7221579961,0.483321015,-0.0623701545,,,
20,BT20_mainHGF,48,82,21,1827,122,621,0.1468531469,0.0327102804,0.713238132,0.4850570386,-0.0565023328,,,
21,BT20_mainEGF,48,83,19,1791,125,636,0.1319444444,0.0290076336,0.7040062233,0.481883775,-0.0686593944,,,
22,BT20_mainSerum,48,83,31,1801,111,661,0.2183098592,0.0447976879,0.7035330261,0.4933716473,-0.0257895878,,,
23,BT20_mainInsulin,48,81,13,1891,130,610,0.0909090909,0.0208667737,0.7201210287,0.4782710909,-0.0815399111,,,
24,BT20_mainIGF1,48,82,15,1929,129,561,0.1041666667,0.0260416667,0.7380410023,0.4816797255,-0.066621588,,,
25,BT549_mainFGF1,45,87,18,1705,116,483,0.1343283582,0.0359281437,0.7420327304,0.4861134403,-0.0489916919,,,
26,BT549_mainNRG1,45,87,11,1725,124,428,0.0814814815,0.0250569476,0.7587412587,0.4789968351,-0.0701982935,,,
27,BT549_mainPBS,45,87,13,1693,122,526,0.0962962963,0.0241187384,0.7247238743,0.4784505538,-0.0778849009,,,
28,BT549_mainHGF,45,87,23,1572,112,653,0.1703703704,0.0340236686,0.6758474576,0.4837576775,-0.0632398197,,,
29,BT549_mainEGF,45,85,16,1709,117,489,0.1203007519,0.0316831683,0.74002574,0.4838043443,-0.0575287507,,,
30,BT549_mainSerum,45,87,22,1622,113,623,0.162962963,0.0341085271,0.6907563025,0.4844894221,-0.0596090933,,,
31,BT549_mainInsulin,45,86,15,1643,120,538,0.1111111111,0.027124774,0.7158894646,0.4795294885,-0.0744993862,,,
32,BT549_mainIGF1,45,87,13,1722,122,488,0.0962962963,0.0259481038,0.7398720682,0.4798937916,-0.0707614096,,,
,,,,,,,,,,,,,,,
,Prediction vs AggregatedPriorNetwork,,,,,,,,,,,,,,
0,Networkname,Nodes,Bin_method,Learn_method,Timepoints,Runtime_in_sec.,TP,TN,FP,FN,Pre,Rec,ACC,BACC,MCC
1,MCF7_mainFGF1.sif,41,KM3,BESTFIT,105,660,78,569,45,989,0.6341463415,0.0731021556,0.3848899465,0.4999061266,-0.0003471382
2,MCF7_mainNRG1.sif,41,KM3,BESTFIT,105,594,75,568,46,992,0.6198347107,0.0702905342,0.3825104105,0.4976859837,-0.008621996
3,MCF7_mainPBS.sif,41,KM3,BESTFIT,105,629,77,569,45,990,0.631147541,0.0721649485,0.3842950625,0.4994375231,-0.0020878444
4,MCF7_mainHGF.sif,41,KM3,BESTFIT,103,604,76,567,47,991,0.6178861789,0.0712277413,0.3825104105,0.497340255,-0.0098355829
5,MCF7_mainEGF.sif,41,KM3,BESTFIT,105,651,77,568,46,990,0.6260162602,0.0721649485,0.3837001785,0.4986231908,-0.0050913606
6,MCF7_mainSerum.sif,41,KM3,BESTFIT,104,591,72,563,51,995,0.5853658537,0.0674789128,0.3777513385,0.4922085118,-0.0288124724
7,MCF7_mainInsulin.sif,41,KM3,BESTFIT,105,651,82,573,41,985,0.6666666667,0.0768509841,0.3896490184,0.5050378699,0.0186297512
8,MCF7_mainIGF1.sif,41,KM3,BESTFIT,105,598,78,569,45,989,0.6341463415,0.0731021556,0.3848899465,0.4999061266,-0.0003471382
9,UACC812_mainFGF1.sif,45,KM3,BESTFIT,108,801,77,698,57,1193,0.5746268657,0.0606299213,0.3827160494,0.4925666163,-0.0289196959
10,UACC812_mainNRG1.sif,45,KM3,BESTFIT,108,802,86,706,49,1184,0.637037037,0.0677165354,0.3911111111,0.5014079366,0.0054587178
11,UACC812_mainPBS.sif,45,KM3,BESTFIT,107,783,77,697,58,1193,0.5703703704,0.0606299213,0.3822222222,0.4919043646,-0.0313876272
12,UACC812_mainHGF.sif,45,KM3,BESTFIT,107,788,84,704,51,1186,0.6222222222,0.0661417323,0.3891358025,0.4992960317,-0.0027293589
13,UACC812_mainEGF.sif,45,KM3,BESTFIT,109,804,70,690,65,1200,0.5185185185,0.0551181102,0.375308642,0.4845126975,-0.0600458956
14,UACC812_mainSerum.sif,45,KM3,BESTFIT,109,793,76,696,59,1194,0.562962963,0.0598425197,0.3812345679,0.4908484122,-0.0354816656
15,UACC812_mainInsulin.sif,45,KM3,BESTFIT,108,813,71,691,64,1199,0.5259259259,0.0559055118,0.3762962963,0.4855686499,-0.0559518572
16,UACC812_mainIGF1.sif,45,KM3,BESTFIT,109,807,81,701,54,1189,0.6,0.0637795276,0.3861728395,0.4961281744,-0.0150114739
17,BT20_mainFGF1.sif,48,KM3,BESTFIT,82,728,91,830,53,1330,0.6319444444,0.0640394089,0.3997395833,0.5020083794,0.0080676124
18,BT20_mainNRG1.sif,48,KM3,BESTFIT,77,649,85,826,57,1336,0.5985915493,0.0598170303,0.3953993056,0.4976321844,-0.0095737755
19,BT20_mainPBS.sif,48,KM3,BESTFIT,77,710,92,833,50,1329,0.6478873239,0.0647431386,0.4014756944,0.5040589985,0.0164117262
20,BT20_mainHGF.sif,48,KM3,BESTFIT,82,733,73,813,70,1348,0.5104895105,0.051372273,0.3845486111,0.4860485374,-0.0562252924
21,BT20_mainEGF.sif,48,KM3,BESTFIT,83,743,75,814,69,1346,0.5208333333,0.0527797326,0.3858506944,0.4873185186,-0.0509412096
22,BT20_mainSerum.sif,48,KM3,BESTFIT,83,734,82,823,60,1339,0.5774647887,0.057705841,0.3927951389,0.4948778355,-0.0207104191
23,BT20_mainInsulin.sif,48,KM3,BESTFIT,81,737,92,832,51,1329,0.6433566434,0.0647431386,0.4010416667,0.5034927471,0.0140759958
24,BT20_mainIGF1.sif,48,KM3,BESTFIT,82,756,79,818,65,1342,0.5486111111,0.0555946517,0.3893229167,0.4909909838,-0.0361890041
25,BT549_mainFGF1.sif,45,KM3,BESTFIT,87,665,73,694,61,1197,0.5447761194,0.057480315,0.3787654321,0.4883428065,-0.045352494
26,BT549_mainNRG1.sif,45,KM3,BESTFIT,87,725,75,695,60,1195,0.5555555556,0.0590551181,0.3802469136,0.4897924597,-0.0395757039
27,BT549_mainPBS.sif,45,KM3,BESTFIT,87,682,80,700,55,1190,0.5925925926,0.062992126,0.3851851852,0.4950722219,-0.0191055122
28,BT549_mainHGF.sif,45,KM3,BESTFIT,87,681,80,700,55,1190,0.5925925926,0.062992126,0.3851851852,0.4950722219,-0.0191055122
29,BT549_mainEGF.sif,45,KM3,BESTFIT,85,668,76,698,57,1194,0.5714285714,0.0598425197,0.3822222222,0.4921729155,-0.0305575808
30,BT549_mainSerum.sif,45,KM3,BESTFIT,87,663,76,696,59,1194,0.562962963,0.0598425197,0.3812345679,0.4908484122,-0.0354816656
31,BT549_mainInsulin.sif,45,KM3,BESTFIT,86,641,85,705,50,1185,0.6296296296,0.0669291339,0.3901234568,0.5003519841,0.0013646794
32,BT549_mainIGF1.sif,45,KM3,BESTFIT,87,679,75,695,60,1195,0.5555555556,0.0590551181,0.3802469136,0.4897924597,-0.0395757039
