,,,Slide ID,d,c,e,b,a
,,,Antibody Name,d,c,e,b,a
,,,HUGO ID,d,c,e,b,a
Cell Line,Inhibitor,Stimulus,Timepoint
C1,no,Insulin,0.0,0.1491079057407132,0.44084915632564636,0.6376809759717152,0.510915799636313,0.896879296891881
C1,no,Insulin,0.5050505050505051,0.17426718099454397,0.28001642824852235,0.3590920399709031,0.28876421995126555,0.32801944250137394
C1,no,Insulin,1.0101010101010102,0.17107490361017494,0.1996044214643384,0.2371680618826189,0.21073644470145406,0.13839589018303397
C1,no,Insulin,1.5151515151515151,0.16546201288932336,0.16009322014882865,0.18382336413311323,0.182459077233261,0.073305436393631
C1,no,Insulin,2.0202020202020203,0.16226160816195967,0.14131735339183493,0.1604999027534281,0.172387714509903,0.05019294666429791
C1,no,Insulin,2.5252525252525255,0.16099357184664395,0.13272486190755567,0.1503198755012341,0.16903344539442977,0.04171809804233179
C1,no,Insulin,3.0303030303030303,0.16065327524244347,0.12893501720696116,0.14589925171164855,0.16805781802840675,0.03853377254120233
C1,no,Insulin,3.5353535353535355,0.1606441643512228,0.12732206959400677,0.1440007887117377,0.1678541701150976,0.03732095009850685
C1,no,Insulin,4.040404040404041,0.16071252138078562,0.12665997537529988,0.14319986437569046,0.16786241851451264,0.03685805178885316
C1,no,Insulin,4.545454545454546,0.16077578743225104,0.12639864544226234,0.14287008838140855,0.1679068548300922,0.0366829861647294
C1,no,Insulin,5.050505050505051,0.16081770405479545,0.1263001479468844,0.14273847838562287,0.16794275712625098,0.036618128767668096
C1,no,Insulin,5.555555555555556,0.16084173794606885,0.1262651788085992,0.14268802181231752,0.16796482172901608,0.036594910242074584
C1,no,Insulin,6.0606060606060606,0.1608543851411764,0.12625381112821785,0.14266969842085303,0.16797680509425975,0.03658703534851688
C1,no,Insulin,6.565656565656566,0.16086065391434345,0.12625065494418053,0.14266355764738817,0.1679828430048413,0.03658459412608686
C1,no,Insulin,7.070707070707071,0.16086362005133054,0.12625008449976854,0.14266177318336018,0.16798572662252254,0.036583962720332874
C1,no,Insulin,7.575757575757576,0.16086496938655773,0.1262501840288074,0.14266141141906588,0.16798704584321947,0.03658387277460085
C1,no,Insulin,8.080808080808081,0.16086556146053418,0.12625037102583492,0.1426614395839193,0.16798762663438932,0.036583909793170284
C1,no,Insulin,8.585858585858587,0.16086581202251812,0.1262505102929127,0.14266153342970708,0.16798787299830983,0.036583957002805804
C1,no,Insulin,9.090909090909092,0.16086591589031118,0.1262505921371354,0.14266160706976755,0.16798797525619605,0.03658398898561154
C1,no,Insulin,9.595959595959597,0.1608659565492469,0.12625063647730886,0.1426616541495709,0.167988015362938,0.03658400785618579
C1,no,Insulin,10.101010101010102,0.16086597157588509,0.12625065885297765,0.1426616808183918,0.16798803020234018,0.03658401787665392
C1,no,Insulin,10.606060606060607,0.16086597679209938,0.12625066925817655,0.14266169444041832,0.16798803535716214,0.03658402268571783
C1,no,Insulin,11.111111111111112,0.16086597847140455,0.12625067386779468,0.14266170101031822,0.16798803701805862,0.03658402486848127
C1,no,Insulin,11.616161616161618,0.16086597900553828,0.1262506758838815,0.14266170410554405,0.16798803754675795,0.036584025839221546
C1,no,Insulin,12.121212121212121,0.1608659791366679,0.1262506767431926,0.14266170553690735,0.1679880376768456,0.03658402626074844
C1,no,Insulin,12.626262626262626,0.16086597913622355,0.1262506770909683,0.14266170618066484,0.16798803767670956,0.03658402643571752
C1,no,Insulin,13.131313131313131,0.16086597911579084,0.12625067722664396,0.14266170646218768,0.16798803765665452,0.036584026505578605
C1,no,Insulin,13.636363636363637,0.16086597908986913,0.12625067734564338,0.1426617067156093,0.16798803763118814,0.03658402656754673
C1,no,Insulin,14.141414141414142,0.16086597906710723,0.12625067743973908,0.1426617069182058,0.16798803760882067,0.03658402661674096
C1,no,Insulin,14.646464646464647,0.16086597905425493,0.12625067748919733,0.14266170702852912,0.167988037596179,0.03658402664264653
C1,no,Insulin,15.151515151515152,0.16086597905131228,0.12625067749401808,0.1426617070465793,0.1679880375932632,0.036584026645263445
C1,no,Insulin,15.656565656565657,0.16086597905827923,0.12625067745420135,0.14266170697235633,0.16798803760007325,0.0365840266245917
C1,no,Insulin,16.161616161616163,0.16086597906407551,0.12625067742369425,0.14266170691490232,0.16798803760574363,0.036584026608717464
C1,no,Insulin,16.666666666666668,0.1608659790637092,0.12625067742680082,0.14266170692334262,0.1679880376053793,0.03658402661029403
C1,no,Insulin,17.171717171717173,0.16086597906577163,0.12625067742169213,0.14266170691312927,0.16798803760740505,0.036584026607544236
C1,no,Insulin,17.67676767676768,0.16086597907026284,0.1262506774083682,0.14266170688426227,0.1679880376118208,0.036584026600468084
C1,no,Insulin,18.181818181818183,0.16086597907718284,0.12625067738682905,0.14266170683674165,0.1679880376186266,0.03658402658906558
C1,no,Insulin,18.68686868686869,0.16086597908621306,0.12625067735318485,0.14266170676825138,0.16798803762749337,0.03658402657137376
C1,no,Insulin,19.191919191919194,0.16086597908862016,0.12625067735032566,0.14266170675866552,0.167988037629869,0.036584026569749815
C1,no,Insulin,19.6969696969697,0.16086597909102723,0.1262506773474665,0.1426617067490797,0.16798803763224462,0.036584026568125864
C1,no,Insulin,20.202020202020204,0.16086597909343434,0.12625067734460732,0.14266170673949383,0.16798803763462022,0.03658402656650192
