NON $ % + - .
#NON	c	a	d	e	b
0.0	0.5437230492722053	0.7148663600298155	0.1509830681403076	0.5442948942180849	0.32720876929807796
1.0204081632653061	0.1349156854385027	0.29597191102671444	0.1922288503140953	0.14212452784317783	0.18302163874514865
2.0408163265306123	0.04173864941078259	0.19172434835240404	0.14875878061904554	0.08575526626902279	0.1097483550028023
3.0612244897959187	0.016779765167835668	0.16700839896480293	0.12971947822074764	0.0758896030157547	0.07035834663482472
4.081632653061225	0.009011083559833271	0.1619505427112695	0.12432790427455476	0.07427051782230112	0.04986865788056313
5.1020408163265305	0.00622334807022385	0.16110322870968766	0.12310892676146332	0.07407212229031641	0.039745650503058505
6.122448979591837	0.005104088333063368	0.1610018360419286	0.12288083005180324	0.07406638579372063	0.03490235016409851
7.142857142857143	0.004621088820648718	0.1610000171084386	0.12284710936683886	0.07407265213491397	0.03261919178398711
8.16326530612245	0.004404098829852313	0.16100366022596466	0.12284415392087197	0.07407524006874465	0.03154904539821289
9.183673469387756	0.004304579090034317	0.16100510264477924	0.12284447633805085	0.0740759422239106	0.031048428743148865
10.204081632653061	0.004258460839063381	0.16100548910856916	0.12284472225239905	0.07407609565137499	0.03081429982202321
11.224489795918368	0.004236981215331412	0.16100557259639792	0.1228448006855929	0.07407612325673044	0.030704805475717696
12.244897959183675	0.00422695721482039	0.16100558726868067	0.12284481949501701	0.07407612700421039	0.0306536088055572
13.26530612244898	0.0042222734535496175	0.1610055892824976	0.12284482320701251	0.07407612727059568	0.030629664325112615
14.285714285714286	0.004220083381081747	0.16100558937772183	0.1228448238053156	0.07407612718935586	0.030618465522587186
15.306122448979592	0.004219059124888507	0.1610055893684647	0.12284482387296898	0.07407612717023161	0.030613224775244773
16.3265306122449	0.0042185795834459704	0.16100558936545892	0.12284482389027707	0.07407612716443704	0.030610772606075615
17.346938775510203	0.004218356624393447	0.16100558933662418	0.1228448238772317	0.07407612715191089	0.030609631587507718
18.367346938775512	0.004218251225933824	0.16100558937708465	0.12284482388893954	0.0740761271713838	0.030609091979810092
19.387755102040817	0.004218200877445021	0.1610055893820468	0.12284482390352652	0.07407612717064356	0.030608834826302715
20.408163265306122	0.004218178106694967	0.1610055893555113	0.1228448238899285	0.07407612715941891	0.03060871804291104
21.42857142857143	0.004218167715100423	0.16100558936224105	0.12284482388450996	0.07407612716435295	0.03060866471974118
22.448979591836736	0.004218162062149081	0.16100558938299245	0.12284482389843693	0.07407612717236872	0.030608636084440654
23.46938775510204	0.004218158925098535	0.16100558938144935	0.12284482390466192	0.07407612717009139	0.03060862013364787
24.48979591836735	0.0042181576416995634	0.16100558937019466	0.12284482389655284	0.0740761271658675	0.030608613424476766
25.510204081632654	0.004218157361121592	0.16100558937406234	0.1228448238919457	0.0740761271690171	0.030608611957639375
26.53061224489796	0.004218157315936648	0.16100558938392653	0.12284482389648176	0.07407612717331907	0.030608611793405096
27.551020408163264	0.004218157131070854	0.1610055893903797	0.12284482390485878	0.07407612717489709	0.03060861093766408
28.571428571428573	0.004218156689015932	0.1610055893820561	0.12284482390682872	0.07407612716994695	0.030608608654824582
29.591836734693878	0.004218156410139445	0.16100558937146647	0.12284482389939026	0.07407612716591185	0.030608607149317492
30.612244897959183	0.004218156378789372	0.1610055893701296	0.12284482389414421	0.07407612716637302	0.03060860697481887
31.63265306122449	0.00421815647395915	0.1610055893747026	0.1228448238947655	0.07407612716870075	0.030608607485842244
32.6530612244898	0.004218156565782393	0.1610055893802779	0.12284482389977923	0.07407612717057914	0.03060860799217159
33.673469387755105	0.004218157044748725	0.1610055894281888	0.12284482395419168	0.0740761271841198	0.03060861087765781
34.69387755102041	0.004218157637457871	0.1610055894915787	0.1228448240304886	0.07407612720106412	0.030608614496601207
35.714285714285715	0.004218157964903904	0.16100558952332322	0.12284482407491484	0.0740761272081626	0.030608616456693216
36.734693877551024	0.004218157681982753	0.1610055894683857	0.12284482401963465	0.074076127191088	0.030608614443839055
37.755102040816325	0.004218157288910227	0.1610055894038834	0.1228448239556151	0.0740761271708326	0.030608611785416406
38.775510204081634	0.004218156665420686	0.16100558930062728	0.12284482384213301	0.07407612714087002	0.03060860756396873
39.79591836734694	0.004218155722068218	0.16100558912907723	0.12284482363584995	0.07407612709507602	0.030608601009999178
40.816326530612244	0.004218154872887158	0.16100558898875664	0.12284482346160258	0.07407612705883694	0.030608595281411997
41.83673469387755	0.004218154339955117	0.1610055889149877	0.1228448233569242	0.07407612704268993	0.030608591870585237
42.85714285714286	0.004218154386363128	0.1610055889471382	0.12284482336277373	0.07407612705857684	0.030608592517448262
43.87755102040816	0.004218154687483878	0.161005589037368	0.12284482343770779	0.07407612709012532	0.03060859506447084
44.89795918367347	0.004218155297716271	0.16100558919871077	0.12284482360314652	0.0740761271395276	0.030608599915182277
45.91836734693878	0.0042181563450332995	0.1610055894564393	0.12284482389431488	0.07407612721244762	0.030608607973310397
46.93877551020408	0.004218157393395108	0.1610055896981265	0.12284482418044068	0.07407612727792888	0.030608615810975865
47.95918367346939	0.004218158164504797	0.16100558985526375	0.12284482438729116	0.07407612731588714	0.030608621268461526
48.9795918367347	0.004218158404033236	0.16100558986781588	0.12284482445307741	0.07407612730799167	0.03060862239680096
50.0	0.00421815831565421	0.16100558978474466	0.122844824417059	0.07407612727166699	0.030608620813983717
