NON $ % + -
#NON	a	b	d	c
0.0	0.30827868847275197	0.7038862482319163	0.6357997162804245	0.3027919742338252
1.0204081632653061	0.2246811080534273	0.11721862995577453	0.28685844243207487	0.261383033159231
2.0408163265306123	0.19444200320453237	0.04788911686497788	0.20870426628779867	0.24416603189899783
3.0612244897959187	0.1828440842340064	0.035483181861925665	0.18892636281111258	0.23693655509582878
4.081632653061225	0.17827348423094638	0.03262802238354992	0.18315997105989948	0.23396636613158628
5.1020408163265305	0.17645127759735685	0.03188068176129885	0.18125264331701227	0.232761221560628
6.122448979591837	0.1757213255518471	0.03166574774857107	0.1805633312564979	0.2322749689389303
7.142857142857143	0.17542834731499415	0.03159835954203769	0.18030086481907653	0.23207923337723985
8.16326530612245	0.17531066367372417	0.0315755566990329	0.18019813379057587	0.23200051746905165
9.183673469387756	0.17526337561760608	0.03156736054202426	0.18015736551261266	0.23196887218691095
10.204081632653061	0.17524437294791728	0.03156428692357357	0.18014108040463558	0.23195615363143152
11.224489795918368	0.17523673705686107	0.03156310144485886	0.18013455478077914	0.23195104281959988
12.244897959183675	0.17523366892147377	0.031562636315828854	0.1801319361891491	0.2319489894157821
13.26530612244898	0.17523243554093929	0.03156245192568207	0.18013088417945516	0.23194816344222155
14.285714285714286	0.175231938114481	0.031562378176973084	0.18013046003899563	0.2319478301924135
15.306122448979592	0.17523174100028532	0.03156234901245147	0.180130291997018	0.23194769932050585
16.3265306122449	0.17523166354601433	0.03156233746649748	0.18013022596813905	0.23194764912084315
17.346938775510203	0.17523162990832694	0.03156233264663463	0.18013019728653423	0.2319476248066185
18.367346938775512	0.17523161443848712	0.03156233052889571	0.180130184097684	0.23194761254091592
19.387755102040817	0.17523160811916796	0.03156232954897591	0.18013017871117268	0.231947608916193
20.408163265306122	0.17523160516911407	0.031562329080961134	0.1801301761969812	0.23194760736665238
21.42857142857143	0.17523160596415382	0.03156232919630252	0.18013017687498603	0.23194760793155117
22.448979591836736	0.17523160619578437	0.031562329230274744	0.18013017707248835	0.23194760809030185
23.46938775510204	0.17523160642741492	0.031562329264246965	0.18013017726999067	0.23194760824905253
24.48979591836735	0.17523160663157725	0.03156232929419514	0.18013017744407106	0.23194760838887593
25.510204081632654	0.1752316066947616	0.031562329303490295	0.1801301774979405	0.23194760843155685
26.53061224489796	0.17523160675794597	0.03156232931278545	0.18013017755180993	0.2319476084742378
27.551020408163264	0.17523160680682345	0.03156232931997592	0.18013017759348166	0.23194760850725127
28.571428571428573	0.17523160681002553	0.03156232932044707	0.18013017759621144	0.23194760850940102
29.591836734693878	0.17523160681322758	0.03156232932091822	0.18013017759894123	0.23194760851155075
30.612244897959183	0.17523160681642963	0.031562329321389374	0.18013017760167105	0.2319476085137005
31.63265306122449	0.1752316068196317	0.03156232932186052	0.18013017760440084	0.23194760851585022
32.6530612244898	0.17523160682283376	0.03156232932233167	0.18013017760713063	0.23194760851799998
33.673469387755105	0.1752316068260358	0.03156232932280282	0.18013017760986041	0.23194760852014973
34.69387755102041	0.17523160682923786	0.03156232932327397	0.1801301776125902	0.23194760852229945
35.714285714285715	0.17523160683243993	0.03156232932374512	0.18013017761532002	0.2319476085244492
36.734693877551024	0.17523160683564198	0.03156232932421627	0.1801301776180498	0.23194760852659893
37.755102040816325	0.17523160683884403	0.031562329324687416	0.1801301776207796	0.23194760852874868
38.775510204081634	0.1752316068420461	0.03156232932515857	0.18013017762350939	0.2319476085308984
39.79591836734694	0.17523160684524816	0.03156232932562972	0.18013017762623917	0.23194760853304816
40.816326530612244	0.1752316068484502	0.03156232932610087	0.180130177628969	0.23194760853519789
41.83673469387755	0.1752316068516523	0.03156232932657202	0.18013017763169878	0.23194760853734764
42.85714285714286	0.17523160685485434	0.03156232932704317	0.18013017763442857	0.23194760853949736
43.87755102040816	0.1752316068580564	0.03156232932751432	0.18013017763715836	0.23194760854164712
44.89795918367347	0.17523160686125847	0.031562329327985465	0.18013017763988814	0.23194760854379687
45.91836734693878	0.17523160686446052	0.031562329328456616	0.18013017764261796	0.2319476085459466
46.93877551020408	0.17523160686766256	0.03156232932892777	0.18013017764534775	0.23194760854809635
47.95918367346939	0.17523160687086464	0.03156232932939892	0.18013017764807754	0.23194760855024607
48.9795918367347	0.17523160687197226	0.03156232932956188	0.18013017764902176	0.23194760855098956
50.0	0.17523160687213452	0.03156232932958574	0.1801301776491601	0.23194760855109828
