NON $ % + - . 0
#NON	b	f	d	e	c	a
0.0	0.9835689961962389	0.24614838697896446	0.7965523086415633	0.4795526738852023	0.04000855387887359	0.4725964343091653
0.5050505050505051	0.4470407934964686	0.34260531183123344	0.4853710413490245	0.2866920055695692	0.14820601140267256	0.28742065834730285
1.0101010101010102	0.28207183339879227	0.3489092383126304	0.3469854566643163	0.18362089412281257	0.19044918398711727	0.20787495862614028
1.5151515151515151	0.22367608712188491	0.3357602207943653	0.28211656156006854	0.12841092416431663	0.20317846170610576	0.17132125825758934
2.0202020202020203	0.19981221747286243	0.32284302722570496	0.25050902090576044	0.09887381613547408	0.20453346497462982	0.15356575380786402
2.5252525252525255	0.18890367938066302	0.3138937954735713	0.23468925246168368	0.08310774306347633	0.20247177111274903	0.14462470158243387
3.0303030303030303	0.18355538682804587	0.3084223321254623	0.22662844748000577	0.07471194716451464	0.2000065168958009	0.14002869716752017
3.5353535353535355	0.18083295962996582	0.3052763356288888	0.22247339000050204	0.07025017071075985	0.19803819477571133	0.1376400968119579
4.040404040404041	0.179421699944603	0.3035285237247618	0.2203158903576098	0.06788309428381108	0.19668028030529755	0.13639166078875697
4.545454545454546	0.17868403805008123	0.3025772198008621	0.21919048257309093	0.06662905159646172	0.19581216253251113	0.13573727393538473
5.050505050505051	0.17829708667981875	0.3020659717135605	0.21860177262966587	0.06596543512164721	0.1952824378663573	0.13539377648808967
5.555555555555556	0.1780938089562197	0.3017934078138308	0.21829326528476234	0.06561458692937558	0.1949691583658762	0.13521333949487216
6.0606060606060606	0.17798696454276633	0.3016488316243037	0.21813141751097426	0.06542924117549646	0.19478797197206557	0.13511852440162758
6.565656565656566	0.17793079594344458	0.3015723943794109	0.21804644899221878	0.06533138946692749	0.194684912511205	0.13506869210905206
7.070707070707071	0.17790126741175746	0.3015320643856425	0.21800182179442182	0.0652797577084153	0.19462703466780326	0.13504249941267218
7.575757575757576	0.17788574492858414	0.3015108151465138	0.2179783772577655	0.06525252824062992	0.19459485793548137	0.1350287322457309
8.080808080808081	0.17787758335667106	0.3014996280799188	0.2179660559978618	0.0652381711749462	0.1945771143922415	0.13502149444052472
8.585858585858587	0.1778732938102153	0.30149374121722433	0.21795958151887548	0.06523060556236572	0.19456739384693253	0.13501769029472493
9.090909090909092	0.17787103856128156	0.30149064578236845	0.21795617887174806	0.06522661979703605	0.1945620983773482	0.135015690653384
9.595959595959597	0.17786985346754097	0.30148901586974663	0.21795438936178838	0.06522451940276615	0.19455922569375061	0.13501463908344657
10.101010101010102	0.17786923007971708	0.3014881613889409	0.21795344993910468	0.06522341454359286	0.19455767491256173	0.13501408681527274
10.606060606060607	0.1778689031945082	0.3014877117726849	0.21795295684610502	0.06522283362021095	0.19455684046301316	0.13501379695209134
11.111111111111112	0.1778687313760132	0.301487475802773	0.2179526974171434	0.0652225276934614	0.19455639295773539	0.13501364449779704
11.616161616161618	0.1778686404211375	0.3014873514552863	0.21795256087122047	0.06522236633023978	0.19455615281712682	0.13501356414746393
12.121212121212121	0.17786859273681935	0.301487285456991	0.21795248848521306	0.06522228082600735	0.19455602372370745	0.13501352165365743
12.626262626262626	0.17786856744725918	0.30148725104937374	0.21795245063420285	0.06522223598734954	0.19455595497710623	0.13501349936677293
13.131313131313131	0.17786855451447722	0.30148723322718635	0.21795243110752527	0.06522221285733622	0.19455591903754518	0.13501348788994263
13.636363636363637	0.17786854786698217	0.30148722383855064	0.21795242085088296	0.06522220073192347	0.19455590001516185	0.1350134818887367
14.141414141414142	0.17786854438236774	0.30148721897639436	0.21795241551718186	0.06522219441676846	0.1945558900196457	0.13501347876289527
14.646464646464647	0.17786854237975644	0.3014872163722456	0.21795241263175685	0.06522219097405307	0.19455588454988568	0.13501347705007513
15.151515151515152	0.17786854123614437	0.30148721494454134	0.2179524110482484	0.0652221890747601	0.19455588152636122	0.13501347610179548
15.656565656565657	0.17786854066731547	0.3014872141506641	0.2179524101835636	0.06522218804934815	0.19455587988666187	0.1350134755942888
16.161616161616163	0.17786854041779238	0.30148721370821385	0.21795240971096125	0.06522218750196554	0.19455587900657445	0.13501347532827923
16.666666666666668	0.17786854018706855	0.30148721332141243	0.21795240929758858	0.06522218702048117	0.1945558782321979	0.13501347509329875
17.171717171717173	0.17786854001347352	0.3014872130488705	0.2179524090045531	0.06522218667695512	0.1945558776787728	0.13501347492486526
17.67676767676768	0.17786853991959858	0.3014872129216398	0.21795240886472617	0.06522218651057275	0.1945558774088641	0.13501347484245044
18.181818181818183	0.17786853990544368	0.30148721293972036	0.21795240887810785	0.06522218652133409	0.19455587742247177	0.1350134748460543
18.68686868686869	0.17786853989977208	0.30148721296182	0.21795240889718318	0.06522218653990705	0.1945558774494528	0.13501347485387674
19.191919191919194	0.17786853987601894	0.3014872129352497	0.21795240886694267	0.06522218650314633	0.19455587738906874	0.13501347483541387
19.6969696969697	0.1778685398790091	0.3014872129489157	0.21795240888020811	0.0652221865176019	0.1945558774113034	0.1350134748421373
20.202020202020204	0.17786853990874255	0.30148721300281794	0.21795240893697954	0.06522218658327374	0.19455587751615677	0.13501347487404702
20.70707070707071	0.17786853992829463	0.3014872130551857	0.21795240898986196	0.06522218664260628	0.19455587760892767	0.13501347490226295
21.212121212121215	0.1778685399502839	0.3014872130852534	0.21795240902283275	0.06522218668181606	0.19455587767273505	0.13501347492166907
21.71717171717172	0.17786853997227317	0.301487213115321	0.21795240905580354	0.06522218672102584	0.19455587773654243	0.13501347494107516
22.222222222222225	0.17786853999426244	0.3014872131453887	0.21795240908877436	0.06522218676023561	0.1945558778003498	0.13501347496048124
22.72727272727273	0.1778685400157382	0.30148721317475424	0.21795240912097524	0.06522218679852983	0.19455587786266768	0.1350134749794342
23.232323232323235	0.17786854001650937	0.30148721317581145	0.21795240912213495	0.06522218679990922	0.19455587786492956	0.13501347498011637
23.73737373737374	0.17786854001728053	0.3014872131768687	0.2179524091232947	0.06522218680128863	0.19455587786719145	0.13501347498079855
24.242424242424242	0.1778685400180517	0.301487213177926	0.21795240912445443	0.06522218680266803	0.19455587786945336	0.13501347498148072
24.747474747474747	0.17786854001882285	0.30148721317898325	0.21795240912561414	0.06522218680404743	0.19455587787171524	0.1350134749821629
25.252525252525253	0.177868540019594	0.30148721318004046	0.21795240912677388	0.06522218680542684	0.19455587787397713	0.13501347498284508
25.757575757575758	0.17786854002036517	0.3014872131810977	0.21795240912793362	0.06522218680680623	0.19455587787623901	0.13501347498352725
26.262626262626263	0.17786854002113633	0.301487213182155	0.21795240912909333	0.06522218680818563	0.19455587787850093	0.13501347498420943
26.767676767676768	0.1778685400219075	0.3014872131832122	0.21795240913025307	0.06522218680956504	0.1945558778807628	0.1350134749848916
27.272727272727273	0.17786854002267866	0.30148721318426946	0.21795240913141278	0.06522218681094444	0.1945558778830247	0.13501347498557378
27.77777777777778	0.17786854002344982	0.30148721318532673	0.21795240913257252	0.06522218681232383	0.19455587788528658	0.13501347498625596
28.282828282828284	0.17786854002422098	0.301487213186384	0.21795240913373226	0.06522218681370325	0.19455587788754847	0.13501347498693814
28.78787878787879	0.17786854002499214	0.3014872131874412	0.21795240913489197	0.06522218681508264	0.19455587788981038	0.1350134749876203
29.292929292929294	0.1778685400257633	0.30148721318849847	0.2179524091360517	0.06522218681646204	0.19455587789207227	0.1350134749883025
29.7979797979798	0.17786854002653446	0.30148721318955574	0.21795240913721142	0.06522218681784143	0.19455587789433415	0.13501347498898467
30.303030303030305	0.17786854002730562	0.301487213190613	0.21795240913837116	0.06522218681922085	0.19455587789659604	0.13501347498966684
30.80808080808081	0.17786854002807678	0.3014872131916702	0.2179524091395309	0.06522218682060024	0.19455587789885795	0.13501347499034902
31.313131313131315	0.17786854002884794	0.3014872131927275	0.2179524091406906	0.06522218682197964	0.19455587790111983	0.1350134749910312
31.81818181818182	0.1778685400296191	0.30148721319378474	0.21795240914185035	0.06522218682335905	0.19455587790338172	0.13501347499171337
32.323232323232325	0.17786854003039027	0.30148721319484195	0.2179524091430101	0.06522218682473845	0.1945558779056436	0.13501347499239555
32.82828282828283	0.17786854003116143	0.3014872131958992	0.2179524091441698	0.06522218682611784	0.1945558779079055	0.13501347499307773
33.333333333333336	0.1778685400319326	0.3014872131969565	0.21795240914532954	0.06522218682749725	0.1945558779101674	0.1350134749937599
33.83838383838384	0.17786854003270375	0.30148721319801375	0.21795240914648925	0.06522218682887665	0.1945558779124293	0.13501347499444208
34.343434343434346	0.1778685400334749	0.30148721319907096	0.217952409147649	0.06522218683025605	0.19455587791469117	0.13501347499512426
34.84848484848485	0.17786854003424607	0.3014872132001282	0.21795240914880873	0.06522218683163546	0.19455587791695306	0.13501347499580643
35.35353535353536	0.17786854003501723	0.3014872132011855	0.21795240914996844	0.06522218683301485	0.19455587791921497	0.1350134749964886
35.85858585858586	0.1778685400357884	0.3014872132022427	0.21795240915112818	0.06522218683439425	0.19455587792147686	0.13501347499717078
36.36363636363637	0.17786854003655955	0.30148721320329996	0.2179524091522879	0.06522218683577365	0.19455587792373874	0.13501347499785296
36.86868686868687	0.1778685400373307	0.30148721320435723	0.21795240915344763	0.06522218683715306	0.19455587792600063	0.13501347499853514
37.37373737373738	0.17786854003810187	0.3014872132054145	0.21795240915460737	0.06522218683853245	0.1945558779282625	0.13501347499921731
37.87878787878788	0.177868540038873	0.3014872132064717	0.21795240915576708	0.06522218683991185	0.19455587793052442	0.1350134749998995
38.38383838383839	0.17786854003964417	0.30148721320752897	0.21795240915692682	0.06522218684129126	0.1945558779327863	0.13501347500058167
38.88888888888889	0.17786854004041533	0.30148721320858624	0.21795240915808656	0.06522218684267066	0.1945558779350482	0.13501347500126384
39.3939393939394	0.1778685400411865	0.30148721320964345	0.21795240915924627	0.06522218684405005	0.19455587793731008	0.13501347500194602
39.8989898989899	0.17786854004195765	0.3014872132107007	0.217952409160406	0.06522218684542946	0.194555877939572	0.1350134750026282
40.40404040404041	0.1778685400427288	0.301487213211758	0.21795240916156572	0.06522218684680886	0.19455587794183388	0.13501347500331037
40.909090909090914	0.17786854004349997	0.30148721321281524	0.21795240916272546	0.06522218684818826	0.19455587794409576	0.13501347500399255
41.41414141414142	0.17786854004427113	0.30148721321387245	0.2179524091638852	0.06522218684956767	0.19455587794635765	0.13501347500467473
41.919191919191924	0.1778685400450423	0.3014872132149297	0.2179524091650449	0.06522218685094706	0.19455587794861953	0.1350134750053569
42.42424242424243	0.17786854004581346	0.301487213215987	0.21795240916620465	0.06522218685232646	0.19455587795088145	0.13501347500603908
42.929292929292934	0.17786854004658462	0.3014872132170442	0.21795240916736436	0.06522218685370586	0.19455587795314333	0.13501347500672126
43.43434343434344	0.17786854004735578	0.30148721321810146	0.2179524091685241	0.06522218685508527	0.19455587795540522	0.13501347500740343
43.939393939393945	0.17786854004812694	0.3014872132191587	0.21795240916968384	0.06522218685646466	0.1945558779576671	0.1350134750080856
44.44444444444445	0.17786854004863187	0.30148721321985095	0.21795240917044317	0.06522218685736786	0.19455587795914836	0.1350134750085323
44.949494949494955	0.17786854004865893	0.30148721321988814	0.21795240917048397	0.06522218685741639	0.19455587795922843	0.1350134750085563
45.45454545454546	0.17786854004868602	0.30148721321992533	0.21795240917052475	0.06522218685746492	0.19455587795930854	0.13501347500858027
45.959595959595966	0.1778685400487131	0.30148721321996247	0.21795240917056552	0.06522218685751344	0.1945558779593886	0.13501347500860425
46.46464646464647	0.17786854004874017	0.30148721321999966	0.21795240917060632	0.06522218685756197	0.19455587795946871	0.13501347500862823
46.969696969696976	0.17786854004876726	0.3014872132200368	0.2179524091706471	0.06522218685761048	0.1945558779595488	0.1350134750086522
47.47474747474748	0.17786854004879435	0.301487213220074	0.2179524091706879	0.06522218685765901	0.1945558779596289	0.1350134750086762
47.979797979797986	0.1778685400488214	0.3014872132201112	0.21795240917072867	0.06522218685770753	0.19455587795970897	0.13501347500870017
48.484848484848484	0.1778685400488485	0.3014872132201483	0.21795240917076947	0.06522218685775606	0.19455587795978907	0.13501347500872415
48.98989898989899	0.17786854004887556	0.3014872132201855	0.21795240917081024	0.06522218685780458	0.19455587795986914	0.13501347500874816
49.494949494949495	0.17786854004890265	0.30148721322022265	0.21795240917085104	0.06522218685785311	0.19455587795994925	0.13501347500877214
50.0	0.17786854004892974	0.30148721322025984	0.21795240917089181	0.06522218685790163	0.19455587796002932	0.13501347500879612
