NON $ % + - . 0
#NON	a	e	f	d	c	b
0.0	0.7155656847296872	0.203184779731598	0.57286789937349	0.07130994498330123	0.6557636394625271	0.8745239727769065
0.33557046979865773	0.427282801249992	0.23210112667312532	0.26331802624203204	0.06145758856332747	0.4238056861610719	0.523271768901121
0.6711409395973155	0.2674859036485148	0.22310201561983536	0.1423079046128893	0.05300625278406534	0.3029144029915115	0.322868471720661
1.0067114093959733	0.17836899687155822	0.20085443023191893	0.0934843199187946	0.0452619192147326	0.23300164606510032	0.20693729549078976
1.342281879194631	0.1280202823468438	0.1768446857257847	0.07229554965110191	0.038563186910812314	0.18896473418247864	0.1388505762487327
1.6778523489932886	0.09897168413588114	0.15581978359225374	0.06181961799148476	0.03307305636427527	0.1598157109487789	0.09816680663356606
2.0134228187919465	0.08170928119319781	0.13914633518184777	0.055689140375255554	0.028763742739214546	0.14011610470685448	0.07340313930802303
2.348993288590604	0.07107248956070379	0.12663593873590492	0.05153642499068563	0.025496916750843642	0.126706583949015	0.05805119257677052
2.684563758389262	0.06426326284849397	0.11753525219146316	0.048478862856582726	0.023085691761583226	0.11753501977256708	0.04836933157424564
3.0201342281879198	0.05975061114850875	0.11101664879498081	0.04616136663499599	0.021338780502755953	0.11121814165596998	0.04216654328745599
3.3557046979865772	0.056676424884633037	0.1063746753315997	0.04440448811617304	0.02008720593019358	0.10682699684787227	0.03813443828032811
3.691275167785235	0.05454042112951678	0.10307050831537284	0.04308614999614558	0.019195167670222307	0.10374445450887446	0.035477357979638684
4.026845637583893	0.05303656667540882	0.10071380312244209	0.04210824643063599	0.018560074171108873	0.10156158425408895	0.03370369372424358
4.3624161073825505	0.051968707175834766	0.09902825221647224	0.041389704581087164	0.018107331144617163	0.10000522435022083	0.032505390166829046
4.697986577181208	0.05120624523760262	0.09781958888194413	0.040865254831828624	0.017783829209369786	0.09889014106458283	0.03168681686759432
5.033557046979866	0.05065985181965474	0.09695103937136074	0.04048410170706263	0.017552092141280128	0.09808860919554722	0.03112209385155459
5.369127516778524	0.050267319243054075	0.09632588177677223	0.04020779034546277	0.017385715168031696	0.09751125589680883	0.030729131677204733
5.704697986577181	0.049984821718081454	0.09587536295926398	0.04000776047826178	0.017266042824600227	0.09709482704244209	0.030453669075695047
6.0402684563758395	0.0497812562147711	0.09555041043735546	0.03986305519234345	0.017179842074228614	0.09679421963356091	0.03025938397868378
