NON $ % + -
#NON	a	d	b	c
0.0	0.6258935673829481	0.046449787749822335	0.17458278291006168	0.34414403314059794
0.33557046979865773	0.4302707854320531	0.07938862214083516	0.14521076808361522	0.16427716547071022
0.6711409395973155	0.30839797186741486	0.09442623018220607	0.12626613316417776	0.08573540175720913
1.0067114093959733	0.23201913757546713	0.10063176043476137	0.11379117796179214	0.04951710582716741
1.342281879194631	0.18385357724759116	0.10261379230312842	0.10540527185231854	0.031784964587661134
1.6778523489932886	0.1532847304649942	0.10269296460788914	0.09965652546423018	0.0225626622585025
2.0134228187919465	0.13375361960050816	0.10201078301177091	0.09564353002282307	0.017488557269230293
2.348993288590604	0.12118505756527176	0.10110642539310817	0.09279565323995391	0.014556717367405984
2.684563758389262	0.11303347422982508	0.10021740812384383	0.09074450720069042	0.01279254687661327
3.0201342281879198	0.10770073552946266	0.09943473655999209	0.08924768568340843	0.011695561570283395
3.3557046979865772	0.10417859337646408	0.09878152797454942	0.0881427365201627	0.010995038522714691
3.691275167785235	0.10182777577603037	0.09825185989426143	0.08731887712374446	0.010537698888186012
4.026845637583893	0.10024080952255307	0.09782930751764077	0.08669930787718616	0.010233396274485707
4.3624161073825505	0.09915644846078087	0.09749533733260161	0.08622995840285987	0.010027456048987795
4.697986577181208	0.09840610057048074	0.09723276823791116	0.08587221213353669	0.009885891713968715
5.033557046979866	0.09788015803220772	0.09702692855426652	0.08559812457176355	0.00978714743772238
5.369127516778524	0.09750676043979851	0.09686579697191891	0.08538723217728186	0.009717316374643273
5.704697986577181	0.0972383501388345	0.09673974236583609	0.08522439008713122	0.00966728985052603
6.0402684563758395	0.09704312409704369	0.09664114443938893	0.08509828487370036	0.00963101753983814
6.375838926174497	0.09689957224694865	0.09656401535210422	0.08500039652376759	0.009604425921899378
6.7114093959731544	0.09679296732202115	0.09650366724181697	0.0849242637169282	0.00958473518466788
7.046979865771813	0.09671310218308858	0.0964564362845419	0.08486495800763652	0.009570024135789352
7.38255033557047	0.09665280841337837	0.0964194613409323	0.08481870114168763	0.009558947047700057
7.718120805369128	0.09660698757416525	0.09639050768988322	0.08478258445702312	0.009550549336730428
8.053691275167786	0.09657197055434212	0.09636783009033946	0.08475436162744887	0.009544145967152562
8.389261744966444	0.0965450831597881	0.09635006450280896	0.08473229236040795	0.009539239123278568
8.724832214765101	0.09652435695118793	0.09633614454132573	0.08471502546920757	0.009535463476354032
9.060402684563758	0.09650832632674072	0.09632523571351104	0.08470150928860201	0.009532547839170782
9.395973154362416	0.09649589747164025	0.09631668623724364	0.08469092633597151	0.009530290436052446
9.731543624161075	0.09648623936485219	0.09630998514937485	0.08468263755273578	0.00952853838606381
10.067114093959733	0.09647872019759375	0.0963047322591964	0.0846761438530297	0.009527175764916945
10.40268456375839	0.0964728585262875	0.09630061427836979	0.08467105560721164	0.009526114455071153
10.738255033557047	0.09646828418033072	0.096297386116283	0.08466706838529875	0.009525286854135636
11.073825503355705	0.09646471033426984	0.09629485527060541	0.0846639433197213	0.009524640676131063
11.409395973154362	0.09646191616787331	0.09629287101064016	0.08466149374711654	0.009524135739156551
11.74496644295302	0.0964597305684367	0.09629131523621802	0.08465957357138824	0.009523740954407594
12.080536912751679	0.09645801947621317	0.09629009503277028	0.08465806780224498	0.009523431994918249
12.416107382550337	0.09645668042043988	0.09628913874802017	0.08465688781152737	0.009523190291642952
12.751677852348994	0.09645563186060815	0.09628838902416685	0.08465596278326999	0.009523001073976472
13.087248322147651	0.09645481034464873	0.09628780105317733	0.08465523743485713	0.009522852857728883
13.422818791946309	0.09645416656738606	0.096287339943682	0.08465466868725771	0.009522736727350312
13.758389261744966	0.09645366200468104	0.09628697838224592	0.08465422271435416	0.009522645724223115
14.093959731543626	0.09645326676701116	0.09628669507586309	0.08465387320283502	0.009522574448700027
14.429530201342283	0.09645295772666827	0.09628647349564724	0.0846535997933696	0.009522518723535853
14.76510067114094	0.0964527153141903	0.09628629961417474	0.08465338522958211	0.009522475015232122
15.100671140939598	0.09645252559617451	0.09628616346074637	0.08465321726341181	0.009522440809504306
15.436241610738255	0.09645237560783107	0.09628605576145836	0.08465308450296198	0.009522413767166876
15.771812080536913	0.09645225774483744	0.09628597107795257	0.08465298021054578	0.00952239251780419
16.107382550335572	0.09645216153900574	0.09628590194559708	0.08465289508376574	0.009522375174446103
16.44295302013423	0.09645209240356464	0.09628585221224431	0.08465283394160368	0.009522362713401839
16.778523489932887	0.09645203569871334	0.09628581149429365	0.0846527837283908	0.00952235249365619
17.114093959731544	0.09645199044742751	0.09628577908768018	0.08465274362092268	0.0095223443381483
17.449664429530202	0.09645195599830339	0.096285754516208	0.08465271305660342	0.009522338129252015
17.78523489932886	0.09645192898248185	0.09628573529851173	0.08465268908809373	0.00952233325980669
18.120805369127517	0.0964519083767126	0.09628572067599306	0.08465267081688421	0.009522329545444174
18.456375838926174	0.0964518920081383	0.09628570901255863	0.08465265631811225	0.0095223265949158
18.79194630872483	0.09645187927950881	0.0962856998633699	0.08465264506060961	0.009522324300651286
19.12751677852349	0.09645186909582533	0.0962856924364147	0.08465263606045645	0.00952232246529431
19.46308724832215	0.09645186122041192	0.09628568656309053	0.08465262910506563	0.009522321046177706
19.798657718120808	0.09645185497453204	0.09628568180320492	0.0846526235861207	0.009522319920772493
20.134228187919465	0.09645185009439529	0.09628567798579592	0.08465261926721768	0.009522319041457962
20.469798657718123	0.0964518462619899	0.09628567494330564	0.084652615869102	0.009522318350847473
20.80536912751678	0.09645184322319765	0.09628567254184124	0.0846526131686257	0.009522317803084253
21.140939597315437	0.09645184085651937	0.0962856707840274	0.08465261106197064	0.009522317376336275
21.476510067114095	0.09645183885866065	0.09628566943305912	0.08465260928519952	0.009522317016082532
21.812080536912752	0.09645183704016766	0.09628566800469553	0.0846526076668377	0.00952231668823526
22.14765100671141	0.09645183556837354	0.09628566693537105	0.08465260635850991	0.009522316422902933
22.483221476510067	0.09645183444327832	0.09628566622508569	0.08465260536021615	0.009522316220085546
22.818791946308725	0.09645183366488197	0.09628566587383944	0.08465260467195644	0.009522316079783103
23.154362416107382	0.09645183311988076	0.09628566572945235	0.0846526041919039	0.00952231598156178
23.48993288590604	0.09645183246318019	0.09628566532842295	0.08465260360991969	0.009522315863185332
23.8255033557047	0.09645183197874768	0.09628566505215203	0.0846526031812073	0.009522315775866012
24.161073825503358	0.09645183166658323	0.0962856649006396	0.08465260290576676	0.009522315719603816
24.496644295302016	0.09645183152668683	0.09628566487388565	0.08465260278359804	0.009522315694398745
24.832214765100673	0.09645183075957595	0.09628566451291176	0.08465260210649986	0.009522315556143034
25.16778523489933	0.09645183088696785	0.0962856646002366	0.0846526022200778	0.009522315579108527
25.503355704697988	0.09645183101435977	0.09628566468756145	0.08465260233365575	0.009522315602074017
25.838926174496645	0.09645183114175168	0.09628566477488627	0.08465260244723369	0.00952231562503951
26.174496644295303	0.0964518312691436	0.09628566486221111	0.08465260256081164	0.009522315648005
26.51006711409396	0.09645183138487176	0.09628566494159956	0.08465260266398396	0.009522315668867735
26.845637583892618	0.09645183140911026	0.09628566495873547	0.08465260268553508	0.009522315673236572
27.181208053691275	0.09645183143334875	0.09628566497587139	0.08465260270708622	0.00952231567760541
27.516778523489933	0.09645183145758725	0.0962856649930073	0.08465260272863735	0.009522315681974248
27.85234899328859	0.09645183148182573	0.09628566501014321	0.08465260275018849	0.009522315686343085
28.18791946308725	0.09645183150606423	0.09628566502727913	0.08465260277173962	0.009522315690711922
28.52348993288591	0.09645183153030272	0.09628566504441503	0.08465260279329076	0.009522315695080759
28.859060402684566	0.09645183155454122	0.09628566506155095	0.0846526028148419	0.009522315699449595
29.194630872483224	0.0964518315787797	0.09628566507868687	0.08465260283639303	0.009522315703818434
29.53020134228188	0.0964518316030182	0.09628566509582279	0.08465260285794415	0.009522315708187271
29.86577181208054	0.09645183162725669	0.09628566511295869	0.08465260287949529	0.009522315712556108
30.201342281879196	0.09645183165149519	0.09628566513009461	0.08465260290104643	0.009522315716924945
30.536912751677853	0.09645183167573368	0.09628566514723053	0.08465260292259756	0.009522315721293782
30.87248322147651	0.09645183169997218	0.09628566516436643	0.0846526029441487	0.009522315725662618
31.20805369127517	0.09645183172421067	0.09628566518150235	0.08465260296569983	0.009522315730031457
31.543624161073826	0.09645183174844917	0.09628566519863827	0.08465260298725097	0.009522315734400294
31.879194630872483	0.09645183177268765	0.09628566521577417	0.0846526030088021	0.009522315738769131
32.214765100671144	0.09645183179692615	0.09628566523291009	0.08465260303035323	0.009522315743137968
32.5503355704698	0.09645183181046574	0.0962856652425014	0.08465260304238821	0.009522315745578365
32.88590604026846	0.0964518318150715	0.09628566524579277	0.08465260304647697	0.009522315746408468
33.22147651006711	0.09645183181967726	0.09628566524908415	0.08465260305056573	0.00952231574723857
