NON $ % + - . 0 1 2 3 4 5 6
#NON	b	k	f	c	l	i	j	d	a	h	e	g
0.0	0.4952099528462979	0.35087288325968014	0.3243777502185985	0.751040955131052	0.374534097045374	0.018213597789160207	0.511797365933859	0.18814500767487674	0.07286474675682963	0.1602229347767472	0.557744277933277	0.05043192289756626
0.33557046979865773	0.28855169195777813	0.2731579498296192	0.24825381323104173	0.38259212702558576	0.30918338747680607	0.11622131795315556	0.34454932473016886	0.13506585845113245	0.06688827801447791	0.2223483979562905	0.29201245734498327	0.13076673821111345
0.6711409395973155	0.22671464975998146	0.21967455746982603	0.2028190218907624	0.2559474238431521	0.26688271218026643	0.15507411671619703	0.2683018476348167	0.10277175842017228	0.07580521363545226	0.23889099111280662	0.21424554498561102	0.15890510871490823
1.0067114093959733	0.20959462883231897	0.18430139768133766	0.1736319221781524	0.2126704058724866	0.24078493936016232	0.16825493113619674	0.23154060485776945	0.08351113727468139	0.08499795653090617	0.23983782409248877	0.19254010531061455	0.1667459525885579
1.342281879194631	0.20579204521084363	0.16131152923884307	0.1540729164358414	0.1981708820963071	0.22491324262659038	0.17118697642408173	0.2131545681909658	0.07222529901894471	0.09153963859499814	0.23621126945459464	0.18712570118353136	0.1671812724576201
1.6778523489932886	0.20534282480670557	0.14654137359135824	0.14057812741028322	0.19325696245314594	0.21533932439314174	0.17053725063609892	0.20356040272699422	0.06568568922358776	0.09552322056099931	0.23205251533764468	0.18593783606859524	0.1654185106762026
2.0134228187919465	0.20541606467944665	0.1371375310373851	0.1310880778987617	0.1914090437416538	0.2096042477379662	0.16897101106658866	0.19831061569649544	0.061911300724945224	0.09770518809064548	0.22862894721929727	0.18561633012682466	0.16341012888359543
2.348993288590604	0.20539687474396384	0.13119558988826222	0.12433710893671443	0.1905272530413309	0.20619149464824782	0.1674400824858212	0.19529855750612155	0.059728594715774075	0.09878546432573113	0.22614934731495373	0.18538337181778972	0.161765970611105
2.684563758389262	0.20525708114082508	0.12746554034876506	0.1195041548756395	0.1899784731546002	0.20417346136723605	0.1662115450687804	0.19349584678450452	0.05845850056986644	0.09925254295551446	0.2244726245901845	0.18513537332965474	0.16058139951194
3.0201342281879198	0.20506795260476546	0.12513723668800578	0.11603370193333497	0.1895828583338738	0.20298708456084252	0.16530372372894594	0.19237950617321983	0.05771286150194967	0.09940573387580627	0.22338637608076903	0.18489801093090877	0.15978418936645297
3.3557046979865772	0.20488327890030048	0.12369105959053421	0.11353889581022603	0.18928698913302586	0.20229326210138615	0.16466038927376708	0.19167037695500105	0.057270588504867395	0.09941346882456847	0.22270289993922412	0.184696643129766	0.15926988280376642
3.691275167785235	0.20472771534044493	0.12279666086234167	0.11174548197939695	0.1890679193037166	0.2018893574020274	0.16421494490158361	0.19121176812801843	0.05700541135345858	0.09936395443509881	0.2222817938490151	0.18453926513357438	0.1589474480885506
4.026845637583893	0.2046070037092933	0.12224560231064335	0.11045706757815069	0.1889091496635922	0.20165516430266595	0.16391065293775886	0.190911559798792	0.05684471541956409	0.09929990442283942	0.22202639062717563	0.18442264775413736	0.15874940846863705
4.3624161073825505	0.2045179211739533	0.12190721229264137	0.10953230256438322	0.18879641967602417	0.20151984014769783	0.1637044543899285	0.1907134675894893	0.05674634193355427	0.09923982098860053	0.22187335535251682	0.18433918668054344	0.15862962203104564
4.697986577181208	0.20445427031040042	0.12170002578401905	0.10886924373506779	0.18871769901823765	0.20144187486234608	0.16356540533584246	0.19058208411677535	0.0566855500735058	0.0991901225719566	0.2217825266032597	0.18428080808393688	0.15855801293186675
5.033557046979866	0.20440974968240996	0.12157350602037863	0.1083943443599816	0.18866340943184523	0.2013970715070445	0.1634719180982808	0.1904946598454601	0.056647658031800247	0.0991516730412389	0.221729030036426	0.18424058617451658	0.15851559908641227
5.369127516778524	0.2043790544391867	0.12149642345599358	0.10805456994149737	0.18862630881530942	0.20137137816563466	0.1634091793785073	0.19043636355835247	0.05662385157700571	0.09912312246341735	0.22169771616061362	0.1842131516270319	0.1584906627973288
5.704697986577181	0.20435809439438649	0.1214495606099387	0.1078117214817817	0.1886011196854265	0.20135667247758995	0.16336712186993643	0.19039744187212693	0.056608789587556066	0.09910248876127105	0.22167947915073574	0.18419456159535263	0.15847608848506767
6.0402684563758395	0.20434387553274294	0.12142112324508851	0.10763831583913541	0.18858409463519468	0.201348268625352	0.16333894862970577	0.19037143310084112	0.056599198212292826	0.09908785678523564	0.2216689033347793	0.18418201954509011	0.15846761276215732
6.375838926174497	0.20433427404999752	0.12140389841062885	0.10751460961645953	0.18857262665046157	0.2013434737950927	0.16332008381745214	0.19035404607399753	0.05659305585936286	0.0990776217253895	0.22166279221095606	0.18417358336635095	0.15846270369336463
6.7114093959731544	0.20432780922329444	0.12139347819466785	0.10742643066071673	0.18856491652847676	0.20134073941502958	0.16330745570490182	0.1903424165077706	0.056589100311164306	0.099070535144824	0.22165927083655823	0.18416791884762002	0.1584598699263587
7.046979865771813	0.20432346466812076	0.12138718554913215	0.10736362679105828	0.18855974102619905	0.2013391830851694	0.1632990032895355	0.19033463820741195	0.05658654236242333	0.09906566476074556	0.22165724703922593	0.1841641184220328	0.1584582386386026
7.38255033557047	0.20432055110482783	0.12138338944678462	0.107318927235151	0.18855627247678455	0.20133829750729418	0.16329334645819846	0.19032943415071882	0.05658488029447494	0.09906233736881458	0.22165608660701913	0.18416157502044517	0.15845730217214177
7.718120805369128	0.20431859517571535	0.12138110317957315	0.1072871366709944	0.18855394490538055	0.2013377945216994	0.16328956150333074	0.19032595248081838	0.05658379727314936	0.09906007372493042	0.2216554226605166	0.18415986673029403	0.15845676576960463
8.053691275167786	0.20431728680737907	0.12137972732015614	0.10726453988972967	0.1885523885831999	0.20133750886755422	0.163287028316687	0.19032362309300047	0.05658308845881245	0.09905853956401782	0.22165504331538677	0.18415872653385332	0.15845645903624686
8.389261744966444	0.20431641047326984	0.12137890024135368	0.10724848831575025	0.1885513463673369	0.20133734671164075	0.1632853332474501	0.1903220645462734	0.056582623410342474	0.09905750256157834	0.22165482683392498	0.18415796269523807	0.15845628386729202
8.724832214765101	0.2043158237714637	0.1213784037466721	0.10723709415507734	0.1885506486659766	0.20133725476746644	0.16328419934390992	0.19032102192708036	0.0565823175677203	0.09905680321739058	0.2216547035465269	0.18415745142882015	0.15845618405510378
9.060402684563758	0.20431543108684586	0.12137810572045747	0.10722900885146544	0.18855018173066165	0.2013372025883176	0.16328344055281463	0.190320324254097	0.056582115863363806	0.09905633227408607	0.22165463330819177	0.18415710933987214	0.15845612716517982
9.395973154362416	0.20431516823241103	0.12137792698862135	0.10722327417534767	0.18854986918819144	0.2013371729971047	0.16328293278632974	0.1903198573873696	0.056581982578940954	0.09905601553431674	0.22165459333979978	0.18415688036117683	0.1584560947806562
9.731543624161075	0.2043149923097194	0.12137781987558639	0.1072192085502096	0.18854966001757967	0.201337156220078	0.16328259299436557	0.19031954496741724	0.05658189434685881	0.09905580272622429	0.2216545706118277	0.18415672713044906	0.15845607635970937
10.067114093959733	0.20431487446503624	0.12137775558727806	0.10721632597917202	0.18854951990393004	0.2013371466804153	0.16328236540487429	0.19031933571208096	0.056581835789827686	0.09905565974183496	0.2216545576554383	0.18415662448527145	0.1584560658560927
