NON $ % + - . 0 1 2 3 4 5
#NON	g	d	i	c	a	e	f	j	h	k	b
0.0	0.3026838663342438	0.036674273792740575	0.4848947862599159	0.022345900158524223	0.5779761868510858	0.45720004158758	0.6180008878526307	0.32571589445172866	0.22591418433808985	0.34595821298131335	0.3293414958469648
0.33557046979865773	0.2115030191626349	0.07515183995345762	0.3266027290948262	0.11232153792133649	0.3165950990487675	0.2967728060901006	0.41666110286355157	0.20050180039324533	0.13742110959622528	0.2994933514155686	0.2597349349807744
0.6711409395973155	0.1750975225141712	0.10590167553199473	0.2730729029063967	0.13466976834732894	0.18365854613864227	0.2215020182576445	0.2842612419599835	0.1288383050328468	0.08972828455488724	0.29242690257455417	0.22589744978180176
1.0067114093959733	0.15678277137365995	0.12792009169974913	0.25009144836879676	0.1325898109763555	0.11644853993738694	0.1886809758593248	0.19817656420595553	0.08862082648916633	0.0645305719643465	0.29055665824093757	0.21099572427703392
1.342281879194631	0.14513727664476184	0.14283990448769343	0.23668810520914035	0.1233918144683971	0.08259909019017135	0.17616096546460477	0.14261494403292999	0.06636386051027642	0.051374492095044286	0.2875602168675168	0.20573312323058482
1.6778523489932886	0.13639607300570625	0.15259286040955553	0.22666891500146838	0.11390394088309504	0.06555744240638413	0.17273269727463647	0.10691056108675075	0.05415314962217621	0.044524634850930445	0.2829901562152292	0.20502815806788136
2.0134228187919465	0.1294487538975952	0.1588050763967802	0.21854058385273906	0.10639017354424553	0.05692252527073197	0.1729577810359481	0.08400810262133457	0.04746463689750651	0.040919165062238805	0.2777616546409024	0.20620922602349964
2.348993288590604	0.12399220509461514	0.16268971485287598	0.2120815238370818	0.10113621146060116	0.05247798926575582	0.1743544970387347	0.06931622663894532	0.04377757094283779	0.03897031132558967	0.2727812754138987	0.20795640107852797
2.684563758389262	0.11986328808170069	0.16508962319327738	0.20720815753182148	0.09771561940849599	0.050133397134680055	0.17588879136814012	0.05988152045129352	0.041718876510308	0.03787636365970205	0.2685754416653713	0.2096756821332565
3.0201342281879198	0.11686296740672215	0.1665618742637972	0.20371863145034982	0.09558081590304209	0.048859332300568104	0.17719541717838128	0.05381555295536454	0.04055096159653788	0.037237747929108805	0.2653074774984418	0.21114166345620733
3.3557046979865772	0.1147591891651376	0.16746201149123477	0.20132714969143553	0.09428030406144047	0.04814642645720232	0.1781951350337435	0.04991223559852595	0.03987814832594278	0.03685308346182364	0.26291437932199035	0.21230339137054804
3.691275167785235	0.11332637312007456	0.16801179245785805	0.19974334833681207	0.0934982651630522	0.04773772611444047	0.17891653596502183	0.04739985949575683	0.039485820596429445	0.03661690463588803	0.26123564370363195	0.21318412893520586
4.026845637583893	0.11237277303330298	0.1683476478459621	0.19872131982061872	0.0930310985526683	0.04749940968371205	0.17941835193105177	0.04578322146849908	0.03925525635050094	0.03647076500107386	0.26009473944903727	0.21383233334238713
4.3624161073825505	0.11174955269499558	0.16855293953761996	0.19807455568938895	0.09275299827267368	0.047359079217794434	0.17975875287276694	0.0447437065987708	0.03911927352640752	0.03638038493580268	0.25933760192474975	0.21429934069466405
4.697986577181208	0.1113481169207689	0.16867847899669602	0.19767128481536655	0.09258786027932435	0.04727612913165117	0.17998544459108298	0.04407597130818038	0.039039074318388496	0.036324801780407256	0.2588442710332212	0.21463041708551728
5.033557046979866	0.11109258067847878	0.1687552506724956	0.19742271529705568	0.09249005801559124	0.04722711994388707	0.18013427698380488	0.04364756063142767	0.038991903539348526	0.0362909016309175	0.2585274699464737	0.21486215914800438
5.369127516778524	0.1109315228138774	0.1688021728583299	0.19727091808301042	0.09243233434378234	0.04719826661582114	0.18023087744736077	0.04337305403075227	0.038964293173558075	0.03627042432798834	0.25832643638527397	0.21502270019157782
