NON $ % + - . 0
#NON	d	b	c	a	f	e
0.0	0.510314142496375	0.25576151002145153	0.14035686474065456	0.819689538428975	0.09554593129487099	0.2990461191486563
0.33557046979865773	0.4748545074672898	0.18171898037463882	0.21812144503219702	0.5336972119364378	0.15029400464182568	0.2541879375660291
0.6711409395973155	0.43616249839910987	0.14807512141262544	0.24390406654151625	0.37702988304499585	0.1580698029843396	0.2147966862443907
1.0067114093959733	0.40040849280553087	0.13277426414350285	0.24600011145277118	0.2876093166227207	0.15057479482841077	0.1856394583084394
1.342281879194631	0.37020324223904677	0.12621101999636922	0.23870172239795562	0.23459046132276526	0.13974345735573407	0.1651060988382259
1.6778523489932886	0.3461122248759438	0.12386819827581594	0.22885611875708367	0.20211260611931559	0.1297850494412392	0.1509359351980506
2.0134228187919465	0.3276547606917251	0.12350329858963355	0.2194564978920066	0.18168917129047496	0.12184482779453373	0.14125419973747
2.348993288590604	0.31392317274480613	0.12398125578354048	0.21158247315615708	0.16858594601545862	0.11592510197525938	0.13467612918212127
2.684563758389262	0.30393055572679467	0.12473737627634036	0.20542450263923595	0.1600540568545324	0.11167279520207722	0.13022184937848463
3.0201342281879198	0.29678039220418817	0.12550672749343098	0.20080626523738554	0.1544395025483571	0.10868573714706849	0.12721195249131467
3.3557046979865772	0.2917302541342591	0.12618006859897882	0.19743771863425327	0.15071709606982986	0.10661678848319638	0.1251806646699433
3.691275167785235	0.28819923422849014	0.12672575944139206	0.19502797353629464	0.14823636789030034	0.10519676787060697	0.12381085480891484
4.026845637583893	0.28574978594519723	0.12714785784207863	0.19332819711712507	0.14657723602308093	0.10422798327680691	0.12288751742314481
4.3624161073825505	0.2840610949380799	0.12746436009465523	0.1921416500314319	0.14546489407928254	0.10356969041056885	0.12226527537705092
4.697986577181208	0.2829025261670308	0.12769650824837145	0.19131985680316982	0.14471790685788655	0.10312358110458411	0.12184599191135163
5.033557046979866	0.28211069752369977	0.12786403104493216	0.19075410082947283	0.1442157118779312	0.10282181444685327	0.12156348294491487
5.369127516778524	0.2815711408450483	0.12798342590986173	0.19036640846095343	0.1438778287692242	0.10261793514651124	0.12137313018107908
5.704697986577181	0.28120435270574096	0.12806769994427747	0.19010168803762098	0.14365038063252508	0.10248030467098193	0.1212448707076274
6.0402684563758395	0.28095547955328576	0.12812672823266621	0.18992144158019325	0.14349722186503713	0.10238744944718554	0.12115844912397104
6.375838926174497	0.280786860766803	0.12816781733586277	0.18979898176352458	0.1433940606991186	0.10232482639027557	0.12110021671653072
6.7114093959731544	0.28067274616202903	0.1281962763698752	0.18971592263063358	0.14332456564775997	0.10228260194811906	0.12106097657536677
7.046979865771813	0.280595590817073	0.1282159050473229	0.18965966585237154	0.1432777453418424	0.10225413823833543	0.12103453602362114
7.38255033557047	0.28054346288872173	0.1282293966446254	0.18962160367685388	0.14324620093621268	0.10223495268956914	0.1210167189213787
